,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.65,$13.56,1.45,$40.44,0.49,$-0.20,0.0,$0.31,63.39,$0.49B,$0.28B,1.76,$0.00B,$0.36B,0.0,$1.09B,$0.09B,7.83%,$1.09B,$0.04B,3.59%,$1.09B,$0.04B,3.59%,$1.09B,$0.07B,6.18%,$1.09B,$0.04B,3.69%,$1.09B,$0.01B,1.29%,$0.01B,$0.36B,3.96%,$0.01B,$0.35B,4.09%,$0.01B,$0.66B,2.26%,$0.04B,$0.36B,11.04%,$266,$247,$18,$0,$11,$259,$7,$-1,$6,$1,$5,$5,$5,$14,$7,$27,27,$0.19,$0.19,$75,$189,$44,$492,$135,$0,$11,$25,$170,$663,$280,$0,$24,$24,$304,$0,$107,$-6,$359,$663,$5,$7,$-0,$7,$4,$-26,$5,$-0,$-22,$-10,$-5,$0,$0,$0,$0,$0,$0,$-5,$51,$0,$51,$-5,$-5,$0,$-2,$44,$29,$1,$0
1,2018-06-30,18.3,$13.40,1.37,$39.84,0.46,$0.12,146.99,$0.62,29.52,$0.44B,$0.23B,1.91,$0.00B,$0.36B,0.0,$1.07B,$0.09B,8.02%,$1.07B,$0.04B,3.92%,$1.07B,$0.04B,3.92%,$1.07B,$0.07B,6.44%,$1.07B,$0.05B,4.20%,$1.07B,$0.02B,1.59%,$0.02B,$0.36B,4.85%,$0.02B,$0.35B,5.00%,$0.02B,$0.61B,2.84%,$0.04B,$0.36B,11.97%,$277,$254,$23,$0,$11,$265,$11,$-1,$10,$4,$6,$6,$6,$18,$11,$27,27,$0.21,$0.22,$46,$202,$0,$437,$137,$0,$11,$24,$172,$609,$229,$0,$25,$25,$253,$0,$99,$-7,$356,$609,$17,$26,$6,$33,$-3,$-56,$33,$5,$-9,$40,$-26,$0,$0,$0,$0,$0,$0,$-26,$-2,$0,$-2,$-11,$-11,$0,$0,$-13,$2,$5,$0
2,2018-03-31,16.15,$13.38,1.21,$38.35,0.42,$0.08,203.14,$0.70,23.07,$0.45B,$0.24B,1.89,$0.00B,$0.36B,0.0,$1.04B,$0.08B,7.82%,$1.04B,$0.04B,3.76%,$1.04B,$0.04B,3.76%,$1.04B,$0.07B,6.37%,$1.04B,$0.05B,4.34%,$1.04B,$0.02B,1.83%,$0.02B,$0.36B,5.47%,$0.02B,$0.35B,5.65%,$0.02B,$0.62B,3.25%,$0.04B,$0.36B,11.23%,$284,$261,$23,$0,$12,$273,$11,$2,$13,$2,$11,$11,$11,$18,$11,$27,27,$0.41,$0.40,$44,$193,$0,$452,$142,$0,$11,$16,$169,$621,$239,$0,$25,$25,$264,$0,$94,$-1,$357,$621,$11,$20,$7,$26,$-18,$-47,$36,$3,$-17,$21,$-22,$0,$0,$0,$0,$0,$0,$-22,$6,$0,$6,$-8,$-8,$0,$0,$-2,$-0,$4,$0
3,2017-12-31,18.25,$12.78,1.43,$36.27,0.5,$0.44,41.36,$0.60,30.42,$0.42B,$0.22B,1.9,$0.00B,$0.34B,0.0,$0.99B,$0.08B,7.82%,$0.99B,$0.04B,3.86%,$0.99B,$0.04B,3.86%,$0.99B,$0.06B,6.50%,$0.99B,$0.04B,4.26%,$0.99B,$0.02B,1.62%,$0.02B,$0.34B,4.69%,$0.02B,$0.33B,4.84%,$0.02B,$0.59B,2.85%,$0.04B,$0.34B,11.13%,$258,$237,$21,$0,$11,$248,$10,$0,$11,$19,$-8,$-8,$-8,$17,$10,$27,27,$-0.31,$-0.31,$36,$180,$0,$415,$141,$0,$11,$17,$169,$585,$219,$0,$25,$25,$243,$0,$83,$-5,$341,$585,$0,$13,$5,$18,$-3,$-34,$22,$2,$-7,$11,$-15,$0,$0,$0,$0,$0,$0,$-15,$1,$0,$1,$-8,$-8,$0,$0,$-7,$-9,$2,$0
4,2017-09-30,21.65,$13.00,1.67,$35.02,0.62,$0.80,26.92,$1.19,18.19,$0.41B,$0.21B,1.91,$0.00B,$0.35B,0.0,$0.96B,$0.08B,8.05%,$0.96B,$0.04B,4.18%,$0.96B,$0.04B,4.18%,$0.96B,$0.07B,6.79%,$0.96B,$0.04B,4.39%,$0.96B,$0.03B,3.34%,$0.03B,$0.35B,9.47%,$0.03B,$0.34B,9.79%,$0.03B,$0.58B,5.85%,$0.04B,$0.35B,11.84%,$253,$234,$19,$0,$10,$244,$10,$1,$11,$2,$8,$8,$8,$16,$10,$27,27,$0.32,$0.31,$38,$165,$0,$409,$137,$0,$11,$19,$167,$576,$214,$0,$12,$12,$227,$0,$91,$-7,$349,$576,$8,$6,$-1,$6,$-4,$-19,$13,$-1,$-14,$-0,$-6,$0,$0,$0,$0,$0,$0,$-6,$4,$0,$4,$-3,$-3,$0,$-2,$-1,$-6,$1,$0
5,2017-06-30,18.05,$12.75,1.42,$33.71,0.54,$1.17,15.39,$1.24,14.56,$0.39B,$0.20B,1.95,$0.00B,$0.34B,0.0,$0.93B,$0.08B,8.17%,$0.93B,$0.04B,4.62%,$0.93B,$0.04B,4.62%,$0.93B,$0.07B,7.31%,$0.93B,$0.05B,4.84%,$0.93B,$0.03B,3.66%,$0.03B,$0.34B,10.22%,$0.03B,$0.33B,10.56%,$0.03B,$0.56B,6.35%,$0.04B,$0.34B,12.92%,$241,$223,$18,$0,$10,$233,$8,$1,$10,$1,$8,$8,$8,$15,$8,$27,28,$0.30,$0.30,$45,$145,$0,$388,$138,$0,$11,$18,$167,$555,$199,$0,$13,$13,$213,$0,$83,$-9,$342,$555,$34,$24,$3,$27,$-19,$-9,$9,$-4,$-14,$47,$-34,$0,$-2,$0,$0,$0,$0,$-36,$1,$0,$1,$-23,$-23,$0,$0,$-22,$-10,$3,$0
6,2017-03-31,16.95,$12.32,1.38,$32.50,0.52,$0.78,21.61,$1.14,14.87,$0.37B,$0.19B,2.0,$0.00B,$0.33B,0.0,$0.91B,$0.08B,8.25%,$0.91B,$0.04B,4.84%,$0.91B,$0.04B,4.84%,$0.91B,$0.07B,7.37%,$0.91B,$0.04B,4.73%,$0.91B,$0.03B,3.52%,$0.03B,$0.33B,9.75%,$0.03B,$0.32B,10.08%,$0.03B,$0.53B,6.10%,$0.04B,$0.33B,13.40%,$233,$214,$19,$0,$9,$223,$10,$0,$10,$2,$8,$8,$8,$16,$10,$27,27,$0.30,$0.30,$40,$144,$0,$373,$132,$0,$11,$17,$161,$533,$186,$0,$13,$13,$199,$0,$75,$-13,$334,$533,$26,$18,$1,$18,$-14,$-10,$11,$-1,$-10,$35,$-26,$0,$-2,$0,$0,$0,$0,$-28,$-3,$0,$-3,$-18,$-18,$0,$0,$-21,$-15,$3,$0
7,2016-12-31,18.2,$11.92,1.53,$31.42,0.58,$0.46,39.22,$1.10,16.55,$0.36B,$0.19B,1.96,$0.00B,$0.33B,0.0,$0.89B,$0.07B,8.09%,$0.89B,$0.04B,4.61%,$0.89B,$0.04B,4.61%,$0.89B,$0.06B,7.08%,$0.89B,$0.04B,4.49%,$0.89B,$0.03B,3.48%,$0.03B,$0.33B,9.51%,$0.03B,$0.32B,9.81%,$0.03B,$0.52B,5.98%,$0.04B,$0.33B,12.58%,$230,$210,$21,$0,$8,$218,$12,$-1,$11,$3,$8,$8,$8,$18,$12,$27,27,$0.29,$0.28,$43,$139,$0,$363,$131,$0,$11,$18,$160,$523,$185,$0,$12,$12,$198,$0,$66,$-16,$326,$523,$18,$11,$-1,$11,$-9,$-5,$9,$1,$-3,$26,$-20,$0,$-2,$0,$0,$0,$-0,$-22,$0,$0,$0,$-15,$-15,$0,$0,$-15,$-12,$2,$0
8,2016-09-30,13.86,$11.83,1.17,$30.11,0.46,$0.12,112.41,$0.98,14.14,$0.37B,$0.19B,1.97,$0.00B,$0.33B,0.0,$0.87B,$0.07B,7.73%,$0.87B,$0.04B,4.15%,$0.87B,$0.04B,4.15%,$0.87B,$0.06B,6.57%,$0.87B,$0.04B,4.04%,$0.87B,$0.03B,3.23%,$0.03B,$0.33B,8.65%,$0.03B,$0.32B,8.90%,$0.03B,$0.53B,5.51%,$0.04B,$0.33B,11.12%,$226,$208,$18,$0,$10,$214,$13,$1,$14,$3,$10,$10,$10,$19,$13,$28,28,$0.36,$0.36,$50,$139,$0,$371,$131,$0,$11,$17,$159,$530,$188,$0,$12,$12,$201,$0,$59,$-11,$329,$530,$10,$6,$0,$6,$-11,$-5,$12,$3,$-2,$14,$-10,$0,$-2,$0,$0,$0,$0,$-12,$0,$0,$0,$-7,$-7,$0,$0,$-7,$-5,$1,$0
9,2016-06-30,12.45,$11.49,1.08,$28.88,0.43,$-0.41,0.0,$0.77,16.17,$0.36B,$0.18B,2.07,$0.00B,$0.32B,0.0,$0.84B,$0.06B,7.61%,$0.84B,$0.03B,3.57%,$0.84B,$0.03B,3.57%,$0.84B,$0.05B,5.95%,$0.84B,$0.03B,3.21%,$0.84B,$0.02B,2.62%,$0.02B,$0.32B,6.86%,$0.02B,$0.31B,7.05%,$0.02B,$0.51B,4.44%,$0.03B,$0.32B,9.36%,$220,$203,$17,$0,$8,$212,$9,$-1,$8,$2,$6,$6,$6,$14,$9,$29,29,$0.20,$0.19,$55,$133,$0,$362,$121,$0,$11,$17,$148,$511,$175,$0,$11,$11,$186,$0,$48,$-12,$324,$511,$22,$20,$5,$25,$-9,$-4,$8,$-4,$-10,$37,$-34,$0,$-8,$0,$0,$0,$0,$-43,$9,$0,$9,$-14,$-14,$0,$0,$-4,$-10,$3,$0
