,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,82.25,$54.00,1.52,$50.49,1.63,$3.50,23.49,$5.59,14.71,$1.06B,$0.57B,1.86,$1.40B,$3.23B,0.43,$2.96B,$0.81B,27.28%,$2.96B,$0.12B,4.16%,$2.96B,$0.12B,4.16%,$2.96B,$0.39B,13.12%,$2.96B,$0.09B,2.91%,$2.96B,$0.33B,11.29%,$0.33B,$3.23B,10.54%,$0.33B,$2.04B,16.78%,$0.33B,$5.85B,5.93%,$0.12B,$4.63B,2.74%,$705,$498,$206,$0,$81,$637,$68,$-11,$57,$15,$42,$42,$42,$135,$68,$60,60,$0.70,$0.70,$4,$453,$0,$1055,$3562,$0,$1189,$49,$4800,$5854,$568,$1399,$109,$2053,$2621,$7,$2748,$-40,$3233,$5854,$103,$201,$37,$238,$0,$0,$0,$-67,$-67,$272,$-232,$0,$-499,$0,$0,$0,$28,$-703,$499,$-88,$411,$13,$13,$0,$-10,$414,$-16,$0,$0
1,2018-06-30,83.6,$53.24,1.57,$48.57,1.72,$5.12,16.32,$5.41,15.45,$1.04B,$0.56B,1.86,$1.44B,$3.19B,0.45,$2.79B,$0.76B,27.34%,$2.79B,$0.11B,3.87%,$2.79B,$0.11B,3.87%,$2.79B,$0.37B,13.10%,$2.79B,$0.08B,2.76%,$2.79B,$0.32B,11.45%,$0.32B,$3.19B,10.39%,$0.32B,$1.99B,16.26%,$0.32B,$5.83B,5.85%,$0.11B,$4.63B,2.51%,$803,$589,$214,$0,$103,$747,$56,$-11,$45,$16,$29,$29,$28,$123,$56,$60,60,$0.48,$0.48,$4,$384,$0,$1035,$3549,$0,$1196,$49,$4794,$5829,$556,$1443,$111,$2085,$2642,$7,$2706,$-40,$3188,$5829,$61,$134,$23,$158,$0,$0,$0,$-63,$-63,$154,$-153,$0,$-499,$0,$0,$0,$25,$-627,$499,$-45,$454,$13,$13,$0,$-10,$457,$-16,$0,$0
2,2018-03-31,76.95,$52.65,1.46,$43.96,1.75,$7.00,11.0,$5.41,14.22,$1.06B,$0.53B,1.99,$1.42B,$3.14B,0.45,$2.46B,$0.70B,28.37%,$2.46B,$0.10B,4.02%,$2.46B,$0.10B,4.02%,$2.46B,$0.35B,14.08%,$2.46B,$0.08B,3.04%,$2.46B,$0.32B,12.91%,$0.32B,$3.14B,10.96%,$0.32B,$1.98B,16.39%,$0.32B,$5.72B,6.28%,$0.10B,$4.57B,2.53%,$742,$553,$188,$0,$85,$691,$51,$-8,$43,$10,$33,$33,$32,$118,$51,$59,59,$0.54,$0.54,$7,$372,$0,$1057,$3444,$0,$1164,$50,$4658,$5715,$531,$1423,$101,$2041,$2573,$7,$2678,$-39,$3142,$5715,$33,$67,$9,$76,$0,$0,$0,$-88,$-88,$19,$-41,$0,$-430,$0,$0,$0,$12,$-459,$499,$-64,$435,$0,$0,$0,$-8,$427,$-13,$0,$0
3,2017-12-31,66.8,$52.17,1.28,$40.66,1.64,$8.11,8.24,$5.38,12.42,$0.96B,$0.48B,1.99,$0.99B,$3.11B,0.32,$2.21B,$0.66B,29.72%,$2.21B,$0.09B,4.25%,$2.21B,$0.09B,4.25%,$2.21B,$0.33B,14.95%,$2.21B,$0.07B,3.30%,$2.21B,$0.31B,14.14%,$0.31B,$3.11B,11.49%,$0.31B,$1.95B,16.43%,$0.31B,$5.13B,6.66%,$0.09B,$4.11B,2.65%,$708,$509,$199,$0,$86,$760,$-52,$-7,$-59,$-290,$231,$231,$232,$12,$-52,$55,55,$4.11,$4.11,$20,$316,$0,$957,$2959,$0,$1168,$43,$4170,$5127,$480,$992,$72,$1533,$2013,$7,$2647,$-32,$3114,$5127,$314,$237,$-145,$91,$-60,$20,$21,$-17,$-52,$353,$-177,$0,$-470,$0,$0,$0,$54,$-593,$-14,$269,$255,$3,$3,$0,$-4,$254,$14,$0,$0
4,2017-09-30,65.95,$48.19,1.37,$36.01,1.83,$8.38,7.87,$2.11,31.26,$0.89B,$0.46B,1.93,$1.03B,$2.88B,0.36,$1.94B,$0.62B,31.72%,$1.94B,$0.20B,10.45%,$1.94B,$0.20B,10.45%,$1.94B,$0.44B,22.50%,$1.94B,$0.18B,9.47%,$1.94B,$0.11B,5.87%,$0.11B,$2.88B,4.47%,$0.11B,$1.96B,6.16%,$0.11B,$5.20B,2.54%,$0.20B,$3.91B,6.14%,$541,$379,$163,$0,$58,$488,$53,$-5,$48,$19,$29,$29,$28,$113,$53,$55,55,$0.52,$0.52,$5,$323,$0,$891,$3096,$0,$919,$294,$4310,$5200,$462,$1031,$75,$1862,$2324,$7,$2416,$-36,$2876,$5200,$82,$173,$33,$205,$0,$0,$0,$-29,$-29,$259,$-133,$0,$-451,$0,$0,$0,$30,$-555,$-1,$298,$297,$2,$2,$0,$-5,$295,$-1,$0,$0
5,2017-06-30,66.85,$45.87,1.46,$34.26,1.95,$9.23,7.24,$2.18,30.67,$0.60B,$0.34B,1.77,$0.59B,$2.48B,0.24,$1.84B,$0.61B,33.01%,$1.84B,$0.21B,11.22%,$1.84B,$0.21B,11.22%,$1.84B,$0.44B,23.91%,$1.84B,$0.19B,10.24%,$1.84B,$0.12B,6.43%,$0.12B,$2.48B,4.86%,$0.12B,$1.88B,6.52%,$0.12B,$4.23B,2.78%,$0.21B,$3.07B,6.63%,$473,$325,$149,$0,$53,$426,$47,$-4,$43,$17,$26,$26,$26,$104,$47,$54,54,$0.48,$0.48,$2,$181,$0,$604,$2889,$0,$598,$135,$3622,$4225,$342,$592,$73,$1406,$1748,$6,$2387,$-36,$2477,$4225,$54,$113,$19,$132,$0,$0,$0,$9,$9,$194,$-93,$0,$0,$0,$0,$0,$28,$-65,$0,$-132,$-132,$2,$2,$0,$-3,$-133,$-4,$0,$0
6,2017-03-31,70.55,$45.09,1.56,$33.69,2.09,$9.22,7.65,$2.42,29.15,$0.61B,$0.33B,1.83,$0.68B,$2.43B,0.28,$1.81B,$0.62B,34.46%,$1.81B,$0.23B,12.52%,$1.81B,$0.23B,12.52%,$1.81B,$0.46B,25.43%,$1.81B,$0.21B,11.47%,$1.81B,$0.13B,7.26%,$0.13B,$2.43B,5.47%,$0.13B,$1.84B,7.35%,$0.13B,$4.26B,3.08%,$0.23B,$3.11B,7.23%,$492,$345,$147,$0,$53,$446,$46,$-5,$41,$13,$28,$28,$27,$102,$46,$54,54,$0.51,$0.51,$3,$174,$0,$610,$2916,$0,$598,$134,$3648,$4257,$334,$675,$93,$1490,$1824,$6,$2361,$-50,$2434,$4257,$28,$56,$9,$65,$0,$0,$0,$-8,$-8,$85,$-46,$0,$0,$0,$0,$0,$8,$-38,$0,$-48,$-48,$1,$1,$0,$-3,$-50,$-3,$0,$0
7,2016-12-31,66.5,$44.80,1.48,$33.09,2.01,$9.66,6.88,$2.62,25.38,$0.63B,$0.36B,1.77,$0.72B,$2.41B,0.3,$1.77B,$0.65B,36.40%,$1.77B,$0.25B,13.83%,$1.77B,$0.25B,13.83%,$1.77B,$0.48B,26.98%,$1.77B,$0.23B,12.81%,$1.77B,$0.14B,8.01%,$0.14B,$2.41B,6.00%,$0.14B,$1.73B,8.09%,$0.14B,$4.29B,3.36%,$0.25B,$3.14B,7.89%,$436,$279,$157,$0,$47,$379,$57,$-4,$52,$20,$33,$33,$33,$118,$57,$53,54,$0.61,$0.60,$6,$185,$0,$633,$2921,$3,$685,$48,$3657,$4290,$358,$723,$90,$1519,$1877,$6,$2342,$-51,$2413,$4290,$143,$233,$50,$284,$-13,$3,$-2,$-31,$-11,$416,$-231,$0,$-137,$0,$0,$0,$19,$-350,$0,$-53,$-53,$-2,$-2,$0,$-12,$-67,$-0,$0,$0
8,2016-09-30,62.16,$44.32,1.4,$33.78,1.84,$9.47,6.56,$2.96,21.0,$0.58B,$0.32B,1.82,$0.73B,$2.39B,0.3,$1.82B,$0.67B,36.87%,$1.82B,$0.27B,14.95%,$1.82B,$0.27B,14.95%,$1.82B,$0.50B,27.58%,$1.82B,$0.26B,14.01%,$1.82B,$0.16B,8.79%,$0.16B,$2.39B,6.86%,$0.16B,$1.80B,9.16%,$0.16B,$4.22B,3.82%,$0.27B,$3.11B,8.81%,$435,$282,$153,$0,$46,$379,$56,$-5,$52,$19,$32,$32,$32,$115,$56,$53,54,$0.59,$0.59,$5,$179,$0,$579,$2919,$0,$588,$138,$3645,$4224,$318,$726,$79,$1520,$1837,$6,$2310,$-46,$2387,$4224,$110,$172,$46,$218,$0,$0,$0,$10,$10,$338,$-169,$0,$-126,$0,$0,$0,$15,$-280,$0,$-49,$-49,$-2,$-2,$0,$-8,$-59,$-1,$0,$0
9,2016-06-30,62.39,$43.65,1.43,$35.43,1.76,$8.37,7.45,$3.41,18.3,$0.62B,$0.34B,1.8,$0.80B,$2.35B,0.34,$1.92B,$0.72B,37.38%,$1.92B,$0.31B,16.21%,$1.92B,$0.31B,16.21%,$1.92B,$0.54B,28.26%,$1.92B,$0.29B,15.33%,$1.92B,$0.19B,9.65%,$0.19B,$2.35B,8.04%,$0.19B,$1.76B,10.80%,$0.19B,$4.27B,4.43%,$0.31B,$3.15B,10.12%,$442,$277,$165,$0,$48,$375,$67,$-4,$62,$23,$39,$39,$39,$124,$67,$53,54,$0.72,$0.72,$3,$188,$0,$621,$2917,$0,$588,$143,$3648,$4269,$344,$799,$77,$1574,$1918,$6,$2278,$-47,$2351,$4269,$78,$114,$30,$143,$0,$0,$0,$-9,$-9,$212,$-111,$0,$-121,$0,$0,$0,$3,$-229,$23,$0,$23,$-2,$-2,$0,$-8,$14,$-3,$0,$0
