,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.66,$5.94,1.46,$10.23,0.85,$-0.70,0.0,$-0.01,0.0,$0.15B,$0.09B,1.72,$0.27B,$0.30B,0.92,$0.51B,$0.13B,25.59%,$0.51B,$0.02B,2.95%,$0.51B,$0.02B,2.95%,$0.51B,$0.04B,7.28%,$0.51B,$-0.02B,-3.94%,$0.51B,$0.00B,0.20%,$0.00B,$0.30B,0.33%,$0.00B,$-0.21B,-0.49%,$0.00B,$0.68B,0.15%,$0.02B,$0.57B,2.60%,$127,$92,$35,$0,$0,$123,$4,$-6,$-3,$-1,$-2,$-2,$-2,$9,$4,$50,50,$-0.04,$-0.04,$31,$26,$0,$150,$27,$0,$503,$4,$533,$684,$87,$274,$11,$300,$387,$0,$-133,$0,$296,$684,$-17,$18,$18,$37,$16,$-2,$-12,$-19,$-20,$-0,$-2,$0,$0,$0,$0,$0,$0,$-2,$-127,$148,$21,$2,$2,$0,$-8,$15,$13,$4,$0
1,2018-06-30,8.74,$5.94,1.47,$10.14,0.86,$-0.69,0.0,$-0.05,0.0,$0.15B,$0.06B,2.35,$0.30B,$0.30B,1.02,$0.50B,$0.12B,24.65%,$0.50B,$0.01B,2.39%,$0.50B,$0.01B,2.39%,$0.50B,$0.04B,6.96%,$0.50B,$-0.02B,-4.17%,$0.50B,$-0.00B,-0.60%,$-0.00B,$0.30B,-0.99%,$-0.00B,$-0.21B,1.44%,$-0.00B,$0.69B,-0.44%,$0.01B,$0.60B,2.09%,$128,$96,$32,$0,$0,$124,$4,$-17,$-14,$-2,$-11,$-11,$-11,$10,$4,$50,50,$-0.23,$-0.23,$28,$26,$0,$151,$31,$0,$506,$3,$540,$691,$64,$303,$11,$330,$395,$0,$-131,$0,$296,$691,$-15,$13,$15,$28,$20,$-2,$-11,$-28,$-27,$-13,$-2,$0,$0,$0,$0,$0,$0,$-2,$-259,$290,$31,$0,$0,$0,$-6,$26,$10,$2,$0
2,2018-03-31,7.86,$6.18,1.27,$10.08,0.78,$-0.55,0.0,$-0.16,0.0,$0.14B,$0.09B,1.56,$0.26B,$0.31B,0.86,$0.50B,$0.12B,24.45%,$0.50B,$-0.00B,-0.60%,$0.50B,$-0.00B,-0.60%,$0.50B,$0.02B,4.21%,$0.50B,$-0.02B,-4.41%,$0.50B,$-0.01B,-2.00%,$-0.01B,$0.31B,-3.30%,$-0.01B,$-0.20B,4.73%,$-0.01B,$0.69B,-1.45%,$-0.00B,$0.57B,-0.53%,$126,$94,$32,$0,$0,$125,$1,$-5,$-4,$-1,$-3,$-3,$-3,$8,$1,$50,50,$-0.06,$-0.06,$3,$20,$0,$135,$42,$0,$508,$3,$553,$688,$86,$264,$11,$293,$380,$0,$-116,$0,$308,$688,$-3,$7,$3,$9,$13,$0,$2,$-34,$-22,$-16,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$2,$2,$0,$0,$0,$0,$2,$-15,$1,$0
3,2017-12-31,5.87,$6.17,0.95,$9.02,0.65,$-0.36,0.0,$-0.18,0.0,$0.13B,$0.09B,1.55,$0.26B,$0.31B,0.84,$0.44B,$0.11B,24.94%,$0.44B,$-0.01B,-1.13%,$0.44B,$-0.01B,-1.13%,$0.44B,$0.02B,3.40%,$0.44B,$-0.02B,-4.99%,$0.44B,$-0.01B,-2.49%,$-0.01B,$0.31B,-3.61%,$-0.01B,$-0.21B,7.01%,$-0.01B,$0.68B,-1.69%,$-0.01B,$0.57B,-0.94%,$127,$96,$31,$0,$0,$121,$6,$-5,$1,$-16,$17,$17,$17,$10,$6,$49,49,$0.35,$0.35,$18,$24,$0,$132,$36,$0,$512,$3,$551,$684,$86,$260,$11,$290,$376,$0,$-115,$0,$308,$684,$-11,$20,$0,$21,$-4,$-5,$12,$-2,$0,$10,$-10,$0,$-236,$0,$0,$0,$0,$-246,$0,$132,$132,$85,$85,$0,$-5,$212,$-24,$4,$0
4,2017-09-30,7.61,$5.95,1.28,$8.11,0.94,$0.15,49.74,$-0.58,0.0,$0.12B,$0.08B,1.48,$0.26B,$0.30B,0.88,$0.38B,$0.10B,26.11%,$0.38B,$-0.01B,-3.13%,$0.38B,$-0.01B,-3.13%,$0.38B,$0.01B,2.09%,$0.38B,$-0.03B,-6.79%,$0.38B,$-0.03B,-8.09%,$-0.03B,$0.30B,-10.85%,$-0.03B,$-0.22B,25.36%,$-0.03B,$0.69B,-5.26%,$-0.01B,$0.56B,-2.49%,$122,$93,$29,$0,$0,$122,$1,$-5,$-4,$2,$-6,$-6,$-6,$7,$1,$50,50,$-0.12,$-0.12,$17,$19,$0,$121,$44,$0,$517,$3,$564,$685,$82,$259,$12,$307,$389,$0,$-126,$0,$296,$685,$-29,$16,$13,$30,$5,$-6,$4,$-4,$2,$3,$-5,$0,$-236,$0,$0,$0,$0,$-241,$0,$133,$133,$85,$85,$0,$-4,$213,$-25,$3,$0
5,2017-06-30,9.35,$6.02,1.55,$7.40,1.26,$0.71,13.13,$-0.44,0.0,$0.13B,$0.10B,1.4,$0.26B,$0.30B,0.87,$0.33B,$0.10B,28.53%,$0.33B,$-0.01B,-2.70%,$0.33B,$-0.01B,-2.70%,$0.33B,$0.01B,2.40%,$0.33B,$-0.02B,-6.01%,$0.33B,$-0.02B,-6.91%,$-0.02B,$0.30B,-8.50%,$-0.02B,$-0.22B,27.63%,$-0.02B,$0.70B,-4.35%,$-0.01B,$0.56B,-2.07%,$124,$95,$30,$0,$0,$135,$-11,$-5,$-15,$3,$-18,$-18,$-18,$-4,$-11,$50,50,$-0.37,$-0.37,$22,$17,$0,$133,$44,$0,$519,$3,$566,$700,$96,$259,$12,$305,$401,$0,$-122,$0,$299,$700,$-23,$10,$9,$18,$-12,$-4,$6,$3,$-0,$-5,$-4,$0,$-236,$0,$0,$0,$0,$-240,$0,$145,$145,$85,$85,$0,$-5,$225,$-20,$2,$0
6,2017-03-31,9.44,$6.36,1.49,$6.71,1.41,$1.49,6.32,$-0.34,0.0,$0.19B,$0.04B,5.26,$0.13B,$0.32B,0.43,$0.28B,$0.09B,31.56%,$0.28B,$0.01B,2.48%,$0.28B,$0.01B,2.48%,$0.28B,$0.02B,6.74%,$0.28B,$-0.00B,-0.71%,$0.28B,$-0.02B,-5.32%,$-0.02B,$0.32B,-5.92%,$-0.02B,$0.02B,33.33%,$-0.02B,$0.53B,-3.24%,$0.01B,$0.45B,1.82%,$68,$48,$20,$0,$0,$70,$-1,$-3,$-4,$0,$-4,$-4,$-4,$2,$-1,$47,47,$-0.08,$-0.08,$120,$17,$0,$187,$42,$0,$297,$1,$341,$527,$35,$134,$13,$177,$212,$0,$-105,$0,$315,$527,$-4,$3,$3,$6,$-1,$-2,$-1,$-2,$-6,$-4,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$85,$85,$0,$0,$85,$78,$1,$0
7,2016-12-31,11.79,$5.68,2.07,$7.09,1.66,$1.90,6.19,$-0.65,0.0,$0.11B,$0.04B,2.84,$0.13B,$0.23B,0.57,$0.29B,$0.09B,31.94%,$0.29B,$0.01B,4.51%,$0.29B,$0.01B,4.51%,$0.29B,$0.04B,12.15%,$0.29B,$0.01B,1.74%,$0.29B,$-0.03B,-9.03%,$-0.03B,$0.23B,-11.11%,$-0.03B,$-0.07B,40.00%,$-0.03B,$0.45B,-5.88%,$0.01B,$0.37B,3.57%,$69,$48,$21,$0,$0,$69,$-1,$-3,$-3,$-0,$-3,$-3,$-3,$3,$-1,$41,41,$-0.07,$-0.06,$42,$15,$0,$105,$41,$0,$299,$1,$341,$445,$37,$132,$13,$176,$213,$0,$-101,$0,$233,$445,$-26,$21,$12,$33,$16,$-1,$-5,$-0,$16,$23,$-2,$0,$-3,$0,$0,$0,$0,$-5,$0,$0,$0,$2,$2,$0,$0,$2,$21,$3,$0
8,2016-09-30,11.04,$5.73,1.93,$7.35,1.5,$1.33,8.28,$-0.69,0.0,$0.11B,$0.04B,2.92,$0.13B,$0.24B,0.56,$0.29B,$0.09B,31.29%,$0.29B,$0.02B,6.12%,$0.29B,$0.02B,6.12%,$0.29B,$0.05B,15.31%,$0.29B,$0.01B,3.06%,$0.29B,$-0.04B,-12.24%,$-0.04B,$0.24B,-15.08%,$-0.04B,$-0.07B,57.60%,$-0.04B,$0.45B,-8.10%,$0.02B,$0.37B,4.90%,$72,$48,$24,$0,$0,$68,$4,$-3,$2,$-2,$4,$4,$2,$7,$4,$41,41,$0.06,$0.06,$43,$16,$3,$111,$32,$0,$300,$1,$334,$445,$38,$131,$11,$172,$210,$0,$-98,$0,$235,$445,$-23,$17,$9,$27,$11,$-1,$-3,$-1,$9,$14,$8,$0,$-3,$0,$0,$0,$0,$5,$0,$0,$0,$2,$2,$0,$0,$2,$21,$2,$0
9,2016-06-30,9.94,$5.67,1.75,$7.60,1.31,$0.85,11.66,$-0.95,0.0,$0.11B,$0.03B,3.22,$0.13B,$0.23B,0.56,$0.30B,$0.09B,30.67%,$0.30B,$0.02B,5.67%,$0.30B,$0.02B,5.67%,$0.30B,$0.05B,16.00%,$0.30B,$0.01B,2.67%,$0.30B,$-0.05B,-15.33%,$-0.05B,$0.23B,-18.66%,$-0.05B,$-0.07B,74.19%,$-0.05B,$0.44B,-10.19%,$0.02B,$0.36B,4.54%,$73,$49,$24,$0,$0,$68,$5,$-3,$3,$3,$-0,$-0,$-10,$7,$5,$40,40,$-0.24,$-0.24,$48,$16,$3,$109,$28,$0,$298,$2,$328,$437,$34,$129,$12,$172,$206,$0,$-100,$0,$231,$437,$-25,$14,$9,$23,$18,$-2,$-5,$-1,$14,$12,$12,$0,$0,$0,$0,$0,$0,$12,$0,$0,$0,$2,$2,$0,$0,$2,$27,$1,$0
10,2016-03-31,6.64,$5.94,1.12,$7.76,0.86,$0.23,28.53,$-1.63,0.0,$0.11B,$0.04B,3.02,$0.13B,$0.24B,0.54,$0.30B,$0.09B,30.36%,$0.30B,$0.02B,5.94%,$0.30B,$0.02B,5.94%,$0.30B,$0.05B,17.82%,$0.30B,$0.01B,2.97%,$0.30B,$-0.07B,-22.44%,$-0.07B,$0.24B,-26.59%,$-0.07B,$-0.06B,111.48%,$-0.07B,$0.44B,-14.81%,$0.02B,$0.37B,4.70%,$74,$51,$23,$0,$0,$69,$5,$-2,$3,$1,$2,$2,$-15,$18,$5,$40,40,$-0.39,$-0.39,$32,$16,$12,$113,$28,$0,$299,$1,$329,$442,$37,$128,$12,$167,$205,$0,$-91,$0,$237,$442,$-15,$13,$1,$13,$4,$-1,$-1,$-1,$3,$1,$9,$0,$0,$0,$0,$0,$0,$9,$0,$0,$0,$0,$0,$0,$0,$0,$11,$0,$0
