,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,6.2,$0.00,0.0,$2.56,2.42,$0.16,38.39,$0.33,18.79,$0.09B,$0.02B,4.86,$0.00B,$0.09B,0.01,$0.10B,$0.03B,32.35%,$0.10B,$0.01B,8.82%,$0.10B,$0.01B,8.82%,$0.10B,$0.01B,12.75%,$0.10B,$0.01B,10.78%,$0.10B,$0.01B,10.78%,$0.01B,$0.09B,11.92%,$0.01B,$0.09B,11.92%,$0.01B,$0.12B,9.13%,$0.01B,$0.10B,9.63%,$15,$12,$3,$2,$3,$17,$-3,$0,$-2,$0,$-2,$-2,$-2,$-2,$-3,$40,40,$-0.06,$-0.06,$45,$29,$0,$91,$24,$0,$0,$0,$25,$115,$19,$1,$0,$3,$21,$10,$-101,$0,$94,$115,$5,$3,$-0,$3,$15,$-8,$-8,$-3,$-4,$4,$-4,$0,$0,$0,$0,$0,$0,$-4,$-0,$0,$-0,$0,$0,$0,$0,$-0,$0,$1,$0
1,2018-06-30,5.2,$0.00,0.0,$3.16,1.65,$-0.38,0.0,$0.32,16.25,$0.10B,$0.03B,3.95,$0.00B,$0.10B,0.01,$0.11B,$0.04B,32.73%,$0.11B,$0.01B,10.91%,$0.11B,$0.01B,10.91%,$0.11B,$0.02B,14.55%,$0.11B,$0.01B,11.82%,$0.11B,$0.01B,11.82%,$0.01B,$0.10B,14.48%,$0.01B,$0.10B,14.48%,$0.01B,$0.12B,10.86%,$0.01B,$0.10B,13.19%,$34,$23,$11,$2,$3,$29,$5,$1,$6,$-0,$6,$6,$6,$6,$5,$41,41,$0.14,$0.14,$45,$27,$0,$99,$25,$0,$0,$0,$25,$124,$25,$1,$0,$3,$28,$10,$-98,$0,$96,$124,$7,$2,$-0,$2,$5,$-6,$-3,$-2,$-6,$3,$-1,$0,$0,$-2,$0,$-2,$0,$-3,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-0,$0,$0
2,2018-03-31,4.6,$0.00,0.0,$3.20,1.44,$-0.45,0.0,$0.31,14.84,$0.10B,$0.03B,3.47,$0.00B,$0.09B,0.01,$0.11B,$0.04B,33.94%,$0.11B,$0.01B,11.01%,$0.11B,$0.01B,11.01%,$0.11B,$0.02B,14.68%,$0.11B,$0.01B,11.01%,$0.11B,$0.01B,11.01%,$0.01B,$0.09B,14.50%,$0.01B,$0.09B,14.50%,$0.01B,$0.12B,10.55%,$0.01B,$0.09B,14.24%,$17,$10,$7,$3,$3,$16,$1,$0,$1,$0,$1,$1,$1,$2,$1,$42,42,$0.03,$0.03,$48,$28,$0,$95,$25,$0,$0,$0,$25,$121,$27,$1,$0,$3,$30,$10,$-104,$0,$90,$121,$1,$1,$0,$1,$14,$-7,$-3,$-1,$3,$5,$-0,$0,$0,$-0,$0,$-0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$5,$0,$0
3,2017-12-31,4.75,$0.00,0.0,$3.10,1.53,$-0.57,0.0,$0.17,27.94,$0.10B,$0.03B,3.3,$0.00B,$0.09B,0.02,$0.10B,$0.03B,30.77%,$0.10B,$0.01B,6.73%,$0.10B,$0.01B,6.73%,$0.10B,$0.01B,10.58%,$0.10B,$0.01B,6.73%,$0.10B,$0.01B,6.73%,$0.01B,$0.09B,9.21%,$0.01B,$0.09B,9.21%,$0.01B,$0.12B,6.56%,$0.01B,$0.09B,9.00%,$36,$24,$12,$2,$3,$29,$6,$-0,$6,$0,$6,$6,$6,$7,$6,$38,38,$0.17,$0.17,$43,$21,$0,$97,$25,$0,$0,$0,$25,$122,$29,$1,$0,$3,$33,$10,$-105,$0,$89,$122,$7,$4,$1,$5,$-10,$5,$-1,$-2,$-8,$4,$-4,$0,$0,$-12,$0,$-12,$0,$-16,$-0,$0,$-0,$16,$16,$0,$0,$15,$3,$0,$0
4,2017-09-30,4.8,$0.00,0.0,$2.83,1.7,$-0.58,0.0,$-0.04,0.0,$0.09B,$0.02B,3.71,$0.00B,$0.08B,0.02,$0.09B,$0.03B,27.17%,$0.09B,$-0.00B,-1.09%,$0.09B,$-0.00B,-1.09%,$0.09B,$0.00B,3.26%,$0.09B,$-0.00B,-1.09%,$0.09B,$-0.00B,-1.09%,$-0.00B,$0.08B,-1.42%,$-0.00B,$0.08B,-1.42%,$-0.00B,$0.11B,-0.99%,$-0.00B,$0.09B,-1.39%,$23,$16,$6,$3,$3,$23,$-0,$0,$-0,$0,$-0,$-0,$-0,$1,$-0,$24,24,$-0.01,$-0.01,$40,$23,$0,$88,$24,$0,$0,$0,$24,$112,$24,$2,$0,$5,$28,$10,$-111,$0,$84,$112,$1,$3,$1,$4,$-3,$2,$-3,$-1,$-5,$-0,$-12,$0,$0,$0,$0,$0,$0,$-12,$-0,$0,$-0,$16,$16,$0,$0,$15,$2,$1,$0
5,2017-06-30,6.0,$0.00,0.0,$2.42,2.48,$-0.12,0.0,$-0.06,0.0,$0.08B,$0.03B,2.85,$0.00B,$0.07B,0.02,$0.09B,$0.03B,28.41%,$0.09B,$-0.00B,-2.27%,$0.09B,$-0.00B,-2.27%,$0.09B,$0.00B,2.27%,$0.09B,$-0.00B,-2.27%,$0.09B,$-0.00B,-2.27%,$-0.00B,$0.07B,-3.00%,$-0.00B,$0.07B,-3.00%,$-0.00B,$0.10B,-2.06%,$-0.00B,$0.07B,-2.93%,$33,$21,$12,$3,$3,$28,$5,$-0,$5,$0,$5,$5,$5,$6,$5,$37,37,$0.13,$0.13,$27,$24,$0,$76,$24,$0,$0,$0,$24,$100,$27,$1,$0,$5,$32,$9,$-111,$0,$68,$100,$1,$2,$1,$3,$-4,$2,$-1,$1,$-2,$1,$-3,$0,$0,$3,$0,$3,$0,$0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$1,$0,$0
6,2017-03-31,6.8,$0.00,0.0,$2.03,3.35,$-0.09,0.0,$-0.23,0.0,$0.07B,$0.03B,2.82,$0.00B,$0.06B,0.02,$0.07B,$0.02B,25.68%,$0.07B,$-0.01B,-10.81%,$0.07B,$-0.01B,-10.81%,$0.07B,$-0.00B,-5.41%,$0.07B,$-0.01B,-9.46%,$0.07B,$-0.01B,-12.16%,$-0.01B,$0.06B,-13.43%,$-0.01B,$0.06B,-13.43%,$-0.01B,$0.09B,-9.30%,$-0.01B,$0.07B,-11.68%,$12,$9,$2,$3,$3,$15,$-4,$-0,$-4,$0,$-4,$-4,$-4,$-3,$-4,$36,36,$-0.11,$-0.11,$29,$28,$0,$70,$23,$0,$0,$0,$23,$93,$25,$1,$0,$5,$30,$9,$-115,$0,$63,$93,$-4,$1,$1,$1,$8,$-2,$-3,$-0,$3,$1,$-1,$0,$0,$1,$0,$1,$0,$0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$1,$0,$0
7,2016-12-31,5.45,$1.83,2.97,$2.09,2.61,$0.07,76.01,$-0.18,0.0,$0.08B,$0.03B,2.83,$0.00B,$0.07B,0.02,$0.08B,$0.02B,28.57%,$0.08B,$-0.01B,-7.79%,$0.08B,$-0.01B,-7.79%,$0.08B,$-0.00B,-2.60%,$0.08B,$-0.01B,-6.49%,$0.08B,$-0.01B,-9.09%,$-0.01B,$0.07B,-10.14%,$-0.01B,$0.07B,-10.14%,$-0.01B,$0.10B,-6.98%,$-0.01B,$0.07B,-8.54%,$24,$20,$5,$4,$2,$26,$-2,$0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$36,36,$-0.05,$-0.05,$29,$26,$0,$77,$23,$0,$0,$0,$23,$100,$27,$1,$0,$6,$33,$9,$-111,$0,$67,$100,$-7,$4,$2,$6,$4,$1,$-1,$1,$4,$2,$-3,$0,$0,$4,$0,$4,$0,$2,$1,$0,$1,$0,$0,$0,$0,$1,$5,$1,$0
8,2016-09-30,5.13,$0.00,0.0,$2.14,2.4,$-0.37,0.0,$-0.10,0.0,$0.07B,$0.02B,3.9,$0.00B,$0.07B,0.02,$0.08B,$0.03B,31.65%,$0.08B,$-0.00B,-3.80%,$0.08B,$-0.00B,-3.80%,$0.08B,$0.00B,1.27%,$0.08B,$-0.00B,-2.53%,$0.08B,$-0.00B,-5.06%,$-0.00B,$0.07B,-5.67%,$-0.00B,$0.07B,-5.67%,$-0.00B,$0.10B,-3.97%,$-0.00B,$0.07B,-4.20%,$19,$13,$6,$4,$3,$20,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$35,35,$-0.03,$-0.03,$27,$28,$0,$74,$21,$0,$0,$0,$21,$95,$19,$2,$0,$7,$26,$9,$-110,$0,$69,$95,$-5,$3,$2,$5,$8,$-2,$-8,$2,$0,$-1,$-2,$0,$0,$2,$0,$2,$0,$1,$2,$0,$2,$0,$0,$0,$0,$2,$1,$1,$0
9,2016-06-30,3.67,$0.00,0.0,$2.03,1.81,$-0.59,0.0,$-0.20,0.0,$0.08B,$0.02B,3.55,$0.00B,$0.07B,0.02,$0.08B,$0.02B,30.26%,$0.08B,$-0.01B,-7.89%,$0.08B,$-0.01B,-7.89%,$0.08B,$-0.00B,-2.63%,$0.08B,$-0.01B,-7.89%,$0.08B,$-0.01B,-10.53%,$-0.01B,$0.07B,-11.27%,$-0.01B,$0.07B,-11.27%,$-0.01B,$0.10B,-7.69%,$-0.01B,$0.07B,-8.36%,$19,$13,$6,$4,$3,$20,$-1,$0,$-0,$1,$-2,$-2,$-2,$0,$-1,$40,40,$-0.04,$-0.04,$30,$28,$0,$77,$21,$0,$0,$0,$21,$99,$22,$2,$0,$7,$29,$9,$-109,$0,$69,$99,$-4,$2,$2,$3,$7,$-2,$-6,$2,$1,$1,$-1,$0,$0,$1,$0,$1,$0,$-1,$2,$0,$2,$0,$0,$0,$0,$2,$2,$1,$0
