,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,21.64,$0.00,0.0,$7.83,2.76,$12.80,1.69,$2.90,7.46,$0.06B,$0.11B,0.52,$1.03B,$0.65B,1.58,$0.26B,$0.20B,78.68%,$0.26B,$0.12B,44.96%,$0.26B,$0.12B,44.96%,$0.26B,$0.20B,76.74%,$0.26B,$0.09B,36.05%,$0.26B,$0.09B,33.33%,$0.09B,$0.74B,11.97%,$0.09B,$0.74B,12.01%,$0.09B,$1.88B,4.73%,$0.12B,$1.77B,6.82%,$70,$14,$56,$0,$1,$38,$32,$-10,$22,$0,$22,$22,$20,$55,$32,$33,33,$0.60,$0.60,$45,$2,$6,$55,$1803,$0,$2,$22,$1828,$1883,$105,$1029,$6,$1036,$1141,$641,$0,$0,$742,$1883,$52,$44,$-15,$29,$-0,$0,$-5,$3,$-3,$78,$-0,$0,$-15,$0,$0,$0,$0,$-15,$-23,$0,$-23,$-0,$-0,$-40,$-1,$-64,$-1,$0,$-40
1,2018-03-31,18.86,$0.00,0.0,$7.53,2.5,$13.70,1.38,$2.81,6.71,$0.06B,$0.12B,0.47,$1.04B,$0.65B,1.59,$0.24B,$0.19B,79.34%,$0.24B,$0.11B,45.45%,$0.24B,$0.11B,45.45%,$0.24B,$0.19B,76.86%,$0.24B,$0.09B,36.36%,$0.24B,$0.08B,33.88%,$0.08B,$0.74B,11.75%,$0.08B,$0.74B,11.79%,$0.08B,$1.90B,4.69%,$0.11B,$1.78B,6.73%,$68,$13,$55,$0,$1,$36,$32,$-1,$31,$0,$31,$31,$31,$53,$32,$33,33,$0.94,$0.94,$44,$2,$8,$56,$1822,$0,$2,$20,$1845,$1901,$119,$1035,$7,$1042,$1161,$639,$0,$0,$740,$1901,$31,$22,$-10,$11,$-0,$0,$-1,$-8,$-10,$32,$0,$0,$-15,$0,$0,$0,$0,$-15,$2,$0,$2,$-0,$-0,$-20,$-1,$-19,$-2,$0,$-20
2,2017-12-31,19.27,$0.00,0.0,$6.98,2.76,$14.41,1.34,$2.26,8.53,$0.06B,$0.12B,0.46,$0.93B,$0.64B,1.46,$0.22B,$0.17B,78.54%,$0.22B,$0.10B,43.38%,$0.22B,$0.10B,43.38%,$0.22B,$0.17B,75.80%,$0.22B,$0.07B,31.05%,$0.22B,$0.06B,28.31%,$0.06B,$0.73B,9.28%,$0.06B,$0.73B,9.32%,$0.06B,$1.79B,3.79%,$0.10B,$1.66B,6.23%,$62,$15,$46,$0,$1,$37,$25,$-6,$19,$-0,$19,$19,$16,$45,$25,$30,33,$0.50,$0.50,$46,$2,$7,$56,$1723,$0,$2,$12,$1737,$1793,$123,$934,$7,$941,$1064,$628,$0,$0,$729,$1793,$68,$71,$-14,$56,$62,$-0,$-31,$-1,$30,$155,$-1,$0,$-94,$0,$0,$0,$0,$-95,$-180,$0,$-180,$121,$208,$-69,$-1,$-41,$18,$0,$-69
3,2017-09-30,21.35,$22.32,0.96,$6.98,3.06,$14.22,1.5,$2.39,8.93,$0.05B,$0.10B,0.48,$0.93B,$0.57B,1.63,$0.20B,$0.16B,80.69%,$0.20B,$0.09B,45.54%,$0.20B,$0.09B,45.54%,$0.20B,$0.16B,77.72%,$0.20B,$0.07B,33.66%,$0.20B,$0.06B,29.70%,$0.06B,$0.66B,9.74%,$0.06B,$0.66B,9.77%,$0.06B,$1.70B,3.98%,$0.09B,$1.60B,6.52%,$58,$12,$46,$0,$1,$31,$27,$-6,$21,$0,$21,$21,$19,$45,$27,$30,33,$0.64,$0.62,$38,$2,$6,$47,$1644,$0,$3,$9,$1655,$1702,$98,$933,$8,$942,$1040,$563,$0,$0,$663,$1702,$49,$51,$-8,$43,$62,$-0,$-0,$5,$66,$158,$-0,$0,$-93,$0,$0,$0,$0,$-94,$-145,$0,$-145,$55,$142,$-51,$-1,$-54,$10,$0,$-51
4,2017-06-30,20.39,$0.00,0.0,$6.84,2.98,$12.51,1.63,$2.39,8.53,$0.07B,$0.09B,0.79,$0.84B,$0.66B,1.28,$0.19B,$0.15B,81.38%,$0.19B,$0.09B,45.74%,$0.19B,$0.09B,45.74%,$0.19B,$0.15B,78.19%,$0.19B,$0.07B,35.11%,$0.19B,$0.06B,31.91%,$0.06B,$0.66B,10.35%,$0.06B,$0.66B,10.37%,$0.06B,$1.60B,4.35%,$0.09B,$1.50B,6.68%,$54,$9,$45,$0,$1,$28,$26,$-9,$17,$0,$17,$17,$16,$43,$26,$30,30,$0.53,$0.53,$65,$2,$6,$73,$1519,$0,$3,$6,$1528,$1601,$92,$841,$9,$850,$942,$560,$0,$0,$659,$1601,$28,$33,$-5,$28,$39,$-0,$5,$-2,$42,$98,$-0,$0,$-61,$0,$0,$0,$0,$-61,$-21,$0,$-21,$55,$55,$-33,$-1,$-0,$37,$0,$-33
5,2017-03-31,20.26,$0.00,0.0,$6.92,2.93,$11.52,1.76,$2.33,8.69,$0.04B,$0.09B,0.45,$0.72B,$0.62B,1.17,$0.18B,$0.14B,80.79%,$0.18B,$0.08B,45.20%,$0.18B,$0.08B,45.20%,$0.18B,$0.14B,77.97%,$0.18B,$0.06B,34.46%,$0.18B,$0.06B,31.64%,$0.06B,$0.62B,10.31%,$0.06B,$0.62B,10.32%,$0.06B,$1.44B,4.38%,$0.08B,$1.34B,6.72%,$45,$10,$35,$0,$1,$28,$17,$-6,$11,$0,$11,$11,$11,$33,$17,$29,29,$0.39,$0.39,$35,$2,$4,$40,$1391,$0,$1,$8,$1401,$1441,$89,$722,$9,$732,$821,$561,$0,$0,$620,$1441,$11,$15,$-5,$10,$21,$-0,$6,$-2,$29,$50,$-0,$0,$-32,$0,$0,$0,$0,$-33,$-97,$0,$-97,$55,$103,$-16,$0,$-10,$7,$0,$-16
6,2016-12-31,20.04,$19.18,1.04,$7.65,2.62,$11.36,1.76,$2.51,7.98,$0.03B,$0.08B,0.4,$0.68B,$0.52B,1.31,$0.17B,$0.14B,81.61%,$0.17B,$0.08B,47.13%,$0.17B,$0.08B,47.13%,$0.17B,$0.14B,79.31%,$0.17B,$0.06B,35.06%,$0.17B,$0.06B,32.18%,$0.06B,$0.52B,14.43%,$0.06B,$0.52B,14.43%,$0.06B,$1.29B,6.09%,$0.08B,$1.20B,9.60%,$45,$8,$37,$0,$1,$23,$22,$-2,$19,$-0,$20,$20,$14,$36,$22,$24,24,$0.51,$0.51,$28,$1,$2,$31,$1257,$0,$0,$4,$1261,$1292,$78,$683,$10,$693,$771,$511,$0,$0,$522,$1292,$61,$54,$-8,$46,$-0,$-0,$-0,$3,$1,$108,$-1,$0,$-13,$0,$0,$0,$0,$-14,$-30,$0,$-30,$0,$0,$-60,$-0,$-90,$4,$0,$-60
7,2016-09-30,17.28,$0.00,0.0,$8.31,2.08,$12.11,1.43,$2.73,6.33,$0.03B,$0.07B,0.46,$0.59B,$0.52B,1.13,$0.17B,$0.14B,81.40%,$0.17B,$0.08B,46.51%,$0.17B,$0.08B,46.51%,$0.17B,$0.14B,78.49%,$0.17B,$0.06B,34.88%,$0.17B,$0.05B,27.33%,$0.05B,$0.52B,12.12%,$0.05B,$0.52B,12.12%,$0.05B,$1.19B,5.22%,$0.08B,$1.10B,9.55%,$44,$8,$36,$0,$1,$22,$21,$-2,$19,$0,$19,$19,$19,$35,$21,$27,27,$0.70,$0.70,$27,$1,$3,$31,$1155,$0,$0,$1,$1156,$1187,$68,$586,$14,$601,$670,$507,$0,$0,$517,$1187,$42,$40,$-3,$37,$-0,$0,$-1,$5,$5,$83,$-1,$0,$0,$0,$0,$0,$0,$-1,$-33,$0,$-33,$0,$0,$-45,$-0,$-79,$4,$0,$-45
8,2016-06-30,14.94,$0.00,0.0,$8.80,1.7,$12.41,1.2,$2.49,6.0,$0.03B,$0.07B,0.39,$0.60B,$0.51B,1.16,$0.17B,$0.14B,82.04%,$0.17B,$0.08B,47.31%,$0.17B,$0.08B,47.31%,$0.17B,$0.13B,79.04%,$0.17B,$0.05B,29.94%,$0.17B,$0.04B,22.16%,$0.04B,$0.51B,9.52%,$0.04B,$0.51B,9.52%,$0.04B,$1.20B,4.13%,$0.08B,$1.11B,9.47%,$43,$8,$35,$0,$1,$23,$20,$-9,$12,$0,$12,$12,$12,$34,$20,$23,23,$0.51,$0.51,$26,$1,$2,$28,$1168,$0,$0,$1,$1169,$1197,$72,$595,$17,$612,$684,$503,$0,$0,$513,$1197,$22,$27,$1,$28,$-0,$0,$-0,$3,$2,$52,$-1,$0,$0,$0,$0,$0,$0,$-1,$-20,$0,$-20,$0,$0,$-30,$-0,$-50,$2,$0,$-30
9,2016-03-31,12.84,$0.00,0.0,$9.30,1.38,$12.94,0.99,$2.78,4.62,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.16B,$0.13B,81.99%,$0.16B,$0.07B,43.48%,$0.16B,$0.07B,43.48%,$0.16B,$0.13B,78.26%,$0.16B,$0.05B,27.95%,$0.16B,$0.03B,18.01%,$0.03B,$0.00B,7.39%,$0.03B,$0.00B,7.39%,$0.03B,$0.00B,3.25%,$0.07B,$0.00B,8.41%,$42,$8,$34,$0,$1,$23,$19,$-9,$11,$0,$11,$11,$11,$33,$19,$19,19,$0.57,$0.57,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$11,$13,$-0,$13,$-0,$-0,$0,$3,$5,$29,$-0,$0,$0,$0,$0,$0,$0,$-0,$-9,$0,$-9,$0,$0,$-15,$0,$-24,$5,$0,$-15
