,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,61.24,$32.95,1.86,$47.79,1.28,$5.47,11.19,$-4.79,0.0,$4.17B,$2.75B,1.52,$4.22B,$0.00B,0.0,$10.04B,$4.53B,45.06%,$10.04B,$-0.11B,-1.12%,$10.04B,$-0.11B,-1.12%,$10.04B,$-0.11B,-1.12%,$10.04B,$-0.49B,-4.87%,$10.04B,$-0.80B,-7.92%,$-0.80B,$6.92B,-11.42%,$-0.80B,$0.93B,-113.13%,$-0.80B,$14.72B,-5.43%,$-0.11B,$11.14B,-1.03%,$2331,$1263,$1069,$0,$0,$2026,$305,$-73,$232,$73,$159,$159,$172,$305,$305,$211,211,$0.82,$0.82,$975,$544,$472,$4165,$3080,$572,$5993,$910,$10556,$14721,$2746,$4216,$836,$5052,$7798,$0,$0,$0,$6923,$14721,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-06-30,56.43,$32.69,1.73,$49.94,1.13,$5.47,10.31,$-4.79,0.0,$2.94B,$2.56B,1.15,$4.20B,$0.00B,0.0,$10.49B,$4.69B,44.75%,$10.49B,$-0.11B,-1.03%,$10.49B,$-0.11B,-1.03%,$10.49B,$-0.11B,-1.03%,$10.49B,$-0.46B,-4.40%,$10.49B,$-0.79B,-7.53%,$-0.79B,$6.87B,-11.08%,$-0.79B,$0.54B,-124.12%,$-0.79B,$14.55B,-5.29%,$-0.11B,$11.07B,-0.98%,$2693,$1506,$1187,$0,$0,$2368,$325,$-73,$251,$86,$165,$165,$144,$325,$325,$211,211,$0.68,$0.68,$1213,$589,$431,$2944,$3749,$586,$6328,$945,$11607,$14552,$2561,$4201,$922,$5123,$7685,$0,$0,$0,$6867,$14552,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2018-03-31,65.49,$32.78,2.0,$50.12,1.31,$5.47,11.97,$-4.90,0.0,$2.95B,$3.19B,0.92,$3.60B,$0.00B,0.0,$10.49B,$4.74B,45.13%,$10.49B,$-0.08B,-0.79%,$10.49B,$-0.08B,-0.79%,$10.49B,$-0.08B,-0.79%,$10.49B,$-0.53B,-5.02%,$10.49B,$-0.81B,-7.76%,$-0.81B,$6.89B,-11.41%,$-0.81B,$0.50B,-132.30%,$-0.81B,$14.73B,-5.42%,$-0.08B,$10.49B,-0.74%,$2655,$1484,$1170,$0,$0,$2341,$314,$-115,$200,$64,$136,$136,$129,$314,$314,$210,210,$0.61,$0.61,$1044,$648,$554,$2948,$3804,$643,$6383,$948,$11778,$14726,$3189,$3603,$1049,$4651,$7840,$0,$0,$0,$6886,$14726,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,68.63,$34.11,2.01,$49.72,1.38,$5.47,12.54,$-4.11,0.0,$2.83B,$2.83B,1.0,$3.63B,$7.17B,0.51,$10.38B,$4.67B,44.98%,$10.38B,$-0.10B,-0.93%,$10.38B,$-0.10B,-0.93%,$10.38B,$-0.10B,-0.93%,$10.38B,$-0.37B,-3.53%,$10.38B,$-0.65B,-6.28%,$-0.65B,$7.17B,-9.27%,$-0.65B,$0.84B,-117.06%,$-0.65B,$14.55B,-4.39%,$-0.10B,$10.79B,-0.86%,$2364,$1265,$1099,$0,$0,$3420,$-1056,$-117,$-1172,$51,$-1223,$-1220,$-1240,$-1056,$-1056,$209,209,$-5.92,$-5.92,$994,$579,$366,$2834,$3861,$704,$6326,$413,$11712,$14546,$2831,$3625,$684,$4550,$7381,$105,$3146,$695,$7165,$14546,$-362,$594,$1819,$2413,$-180,$-25,$189,$-343,$-359,$1692,$-548,$-191,$206,$0,$-47,$-47,$25,$-555,$-32,$0,$-32,$208,$208,$-356,$-369,$-549,$422,$0,$-356
4,2017-09-30,75.06,$36.23,2.07,$47.76,1.57,$5.25,14.29,$2.83,26.52,$3.03B,$2.37B,1.28,$4.30B,$0.00B,0.0,$9.95B,$4.40B,44.19%,$9.95B,$1.02B,10.28%,$9.95B,$1.02B,10.28%,$9.95B,$1.02B,10.28%,$9.95B,$0.98B,9.89%,$9.95B,$0.70B,7.07%,$0.70B,$7.61B,10.32%,$0.70B,$0.67B,171.05%,$0.70B,$15.92B,4.82%,$1.02B,$11.91B,9.25%,$2774,$1537,$1237,$0,$0,$2465,$309,$-48,$260,$73,$188,$188,$177,$309,$309,$210,210,$0.84,$0.84,$1136,$632,$588,$3034,$4242,$635,$6947,$1058,$12881,$15915,$2371,$4300,$1632,$5932,$8303,$0,$0,$0,$7611,$15915,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-06-30,82.4,$33.21,2.48,$46.17,1.78,$5.25,15.69,$3.41,24.16,$2.97B,$2.10B,1.41,$4.61B,$0.00B,0.0,$9.59B,$4.24B,44.17%,$9.59B,$1.04B,10.80%,$9.59B,$1.04B,10.80%,$9.59B,$1.04B,10.80%,$9.59B,$0.89B,9.32%,$9.59B,$0.66B,6.83%,$0.66B,$6.89B,9.92%,$0.66B,$0.45B,130.61%,$0.66B,$14.83B,4.66%,$1.04B,$11.50B,9.62%,$2701,$1471,$1230,$0,$0,$2351,$350,$-165,$185,$46,$140,$140,$120,$350,$350,$208,208,$0.58,$0.58,$1302,$591,$514,$2970,$3850,$592,$6430,$991,$11863,$14833,$2100,$4611,$1237,$5848,$7948,$0,$0,$0,$6885,$14833,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2017-03-31,68.94,$31.29,2.2,$43.91,1.57,$5.25,13.12,$3.37,20.46,$2.41B,$2.34B,1.03,$3.90B,$0.00B,0.0,$9.10B,$4.03B,44.25%,$9.10B,$1.02B,11.19%,$9.10B,$1.02B,11.19%,$9.10B,$1.02B,11.19%,$9.10B,$0.87B,9.55%,$9.10B,$0.65B,7.10%,$0.65B,$6.49B,10.00%,$0.65B,$0.27B,110.14%,$0.65B,$14.11B,4.78%,$1.02B,$10.39B,9.77%,$2537,$1436,$1101,$0,$0,$2236,$301,$60,$361,$62,$299,$299,$291,$301,$301,$207,207,$1.40,$1.40,$644,$663,$530,$2406,$3928,$541,$6217,$1014,$11700,$14106,$2336,$3904,$1378,$5283,$7619,$0,$0,$0,$6487,$14106,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2016-12-31,61.1,$30.24,2.02,$41.57,1.47,$5.25,11.63,$2.61,23.41,$2.21B,$1.94B,1.14,$4.16B,$6.27B,0.66,$8.62B,$3.86B,44.83%,$8.62B,$0.99B,11.47%,$8.62B,$0.99B,11.47%,$8.62B,$0.99B,11.47%,$8.62B,$0.70B,8.06%,$8.62B,$0.49B,5.66%,$0.49B,$6.27B,7.73%,$0.49B,$0.26B,70.65%,$0.49B,$13.55B,3.75%,$0.99B,$10.43B,9.72%,$1938,$1109,$829,$0,$0,$1876,$63,$115,$178,$61,$116,$123,$115,$63,$63,$207,207,$0.60,$0.60,$581,$521,$375,$2205,$3167,$1314,$6013,$557,$11341,$13546,$1935,$4164,$1008,$5343,$7278,$99,$3957,$-121,$6268,$13546,$701,$421,$420,$841,$-132,$-104,$543,$-275,$32,$1574,$-485,$-116,$-640,$0,$-99,$-99,$35,$-1305,$150,$0,$150,$0,$0,$-340,$-282,$-472,$-268,$0,$-340
8,2016-09-30,71.32,$32.72,2.18,$43.28,1.65,$3.61,19.75,$2.63,27.12,$2.71B,$2.12B,1.28,$3.98B,$0.00B,0.0,$8.98B,$4.35B,48.48%,$8.98B,$1.63B,18.19%,$8.98B,$1.63B,18.19%,$8.98B,$1.63B,18.19%,$8.98B,$0.72B,7.98%,$8.98B,$0.55B,6.16%,$0.55B,$6.78B,8.74%,$0.55B,$1.03B,62.24%,$0.55B,$13.69B,4.36%,$1.63B,$10.76B,16.22%,$2414,$1338,$1076,$0,$0,$2092,$322,$-152,$170,$39,$130,$130,$129,$322,$322,$208,208,$0.62,$0.62,$1146,$540,$478,$2712,$3271,$1251,$5756,$698,$10977,$13689,$2124,$3979,$804,$4783,$6906,$0,$0,$0,$6783,$13689,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-06-30,78.89,$30.46,2.59,$42.74,1.85,$3.61,21.84,$2.63,30.0,$2.33B,$1.84B,1.27,$3.76B,$0.00B,0.0,$8.86B,$4.37B,49.29%,$8.86B,$1.64B,18.53%,$8.86B,$1.64B,18.53%,$8.86B,$1.64B,18.53%,$8.86B,$0.73B,8.25%,$8.86B,$0.55B,6.15%,$0.55B,$6.31B,8.77%,$0.55B,$0.79B,64.33%,$0.55B,$12.70B,4.36%,$1.64B,$10.08B,16.40%,$2209,$1189,$1020,$0,$0,$1877,$332,$-172,$160,$42,$118,$118,$111,$332,$332,$206,206,$0.54,$0.54,$865,$483,$496,$2332,$3039,$1178,$5519,$629,$10365,$12697,$1838,$3762,$785,$4546,$6384,$0,$0,$0,$6314,$12697,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
