,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.3,$0.21,10.72,$14.67,0.16,$-0.93,0.0,$-1.94,0.0,$0.01B,$0.02B,0.47,$0.03B,$0.00B,11.37,$0.16B,$0.12B,74.85%,$0.16B,$-0.02B,-11.04%,$0.16B,$-0.02B,-11.04%,$0.16B,$-0.00B,-2.45%,$0.16B,$-0.02B,-12.27%,$0.16B,$-0.02B,-12.27%,$-0.02B,$0.00B,-400.00%,$-0.02B,$0.00B,-400.00%,$-0.02B,$0.08B,-23.32%,$-0.02B,$0.04B,-46.75%,$37,$10,$28,$0,$16,$42,$-4,$-1,$-5,$0,$-5,$-5,$-5,$-1,$-4,$13,13,$-0.39,$-0.39,$4,$2,$0,$7,$71,$0,$0,$1,$72,$79,$15,$32,$0,$61,$76,$0,$-88,$0,$3,$79,$-9,$10,$1,$11,$1,$0,$0,$-1,$-4,$-1,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$-4,$-4,$6,$6,$0,$-0,$1,$-1,$0,$0
1,2018-06-30,2.35,$0.59,3.97,$16.24,0.14,$-1.51,0.0,$-1.88,0.0,$0.01B,$0.01B,0.67,$0.03B,$0.01B,4.15,$0.17B,$0.13B,74.12%,$0.17B,$-0.02B,-10.00%,$0.17B,$-0.02B,-10.00%,$0.17B,$-0.00B,-1.18%,$0.17B,$-0.02B,-10.59%,$0.17B,$-0.02B,-10.59%,$-0.02B,$0.01B,-205.71%,$-0.02B,$0.01B,-205.71%,$-0.02B,$0.09B,-19.57%,$-0.02B,$0.04B,-39.08%,$42,$11,$32,$0,$18,$43,$-0,$-1,$-1,$0,$-1,$-1,$-1,$3,$-0,$12,12,$-0.08,$-0.08,$5,$2,$0,$9,$75,$0,$0,$1,$76,$85,$13,$33,$0,$64,$77,$0,$-83,$0,$8,$85,$-3,$7,$0,$7,$1,$-0,$-1,$-1,$-4,$-0,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-4,$-4,$6,$6,$0,$-0,$1,$0,$0,$0
2,2018-03-31,1.9,$0.31,6.07,$17.40,0.11,$-2.19,0.0,$-2.23,0.0,$0.01B,$0.02B,0.39,$0.03B,$0.00B,10.38,$0.18B,$0.13B,73.14%,$0.18B,$-0.02B,-11.43%,$0.18B,$-0.02B,-11.43%,$0.18B,$-0.01B,-2.86%,$0.18B,$-0.02B,-12.00%,$0.18B,$-0.02B,-12.00%,$-0.02B,$0.00B,-175.00%,$-0.02B,$0.00B,-175.00%,$-0.02B,$0.09B,-21.54%,$-0.02B,$0.04B,-41.88%,$42,$11,$31,$0,$19,$44,$-2,$-1,$-2,$-0,$-2,$-2,$-2,$2,$-2,$10,10,$-0.24,$-0.24,$4,$2,$0,$7,$79,$0,$0,$1,$80,$87,$19,$33,$0,$65,$84,$0,$-82,$0,$3,$87,$-2,$3,$0,$4,$0,$-0,$-1,$-0,$-2,$-1,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-1,$0,$0
3,2017-12-31,1.75,$0.56,3.12,$17.69,0.1,$-2.48,0.0,$-2.32,0.0,$0.01B,$0.02B,0.55,$0.04B,$0.01B,6.52,$0.18B,$0.13B,73.03%,$0.18B,$-0.02B,-11.80%,$0.18B,$-0.02B,-11.80%,$0.18B,$-0.01B,-3.37%,$0.18B,$-0.02B,-12.36%,$0.18B,$-0.02B,-12.36%,$-0.02B,$0.01B,-125.71%,$-0.02B,$0.01B,-125.71%,$-0.02B,$0.09B,-21.57%,$-0.02B,$0.04B,-39.62%,$42,$11,$31,$0,$19,$54,$-12,$-1,$-12,$0,$-12,$-12,$-12,$-8,$-12,$10,10,$-1.23,$-1.23,$5,$2,$0,$9,$82,$0,$0,$1,$83,$92,$17,$37,$0,$70,$86,$0,$-80,$0,$6,$92,$-23,$15,$12,$27,$0,$0,$0,$2,$2,$6,$-12,$0,$0,$0,$0,$0,$0,$-12,$13,$-2,$11,$-3,$-3,$0,$-0,$7,$2,$1,$0
4,2017-09-30,3.8,$1.78,2.14,$17.53,0.22,$-3.84,0.0,$-2.67,0.0,$0.01B,$0.02B,0.54,$0.04B,$0.02B,2.07,$0.18B,$0.13B,72.78%,$0.18B,$-0.03B,-13.89%,$0.18B,$-0.03B,-13.89%,$0.18B,$-0.01B,-5.56%,$0.18B,$-0.03B,-15.00%,$0.18B,$-0.03B,-15.00%,$-0.03B,$0.02B,-112.50%,$-0.03B,$0.02B,-112.50%,$-0.03B,$0.10B,-25.47%,$-0.03B,$0.06B,-44.25%,$44,$12,$32,$0,$20,$47,$-3,$-1,$-3,$0,$-3,$-3,$-3,$1,$-3,$10,10,$-0.33,$-0.33,$4,$2,$0,$8,$94,$0,$0,$1,$95,$104,$15,$37,$0,$71,$86,$0,$-67,$0,$18,$104,$-11,$11,$3,$14,$-0,$0,$-0,$3,$1,$4,$-11,$0,$0,$0,$0,$0,$0,$-11,$13,$-2,$11,$-3,$-3,$0,$-0,$8,$0,$1,$0
5,2017-06-30,3.7,$2.08,1.78,$17.26,0.21,$-4.82,0.0,$-2.58,0.0,$0.01B,$0.02B,0.48,$0.04B,$0.02B,1.73,$0.18B,$0.13B,73.18%,$0.18B,$-0.02B,-13.41%,$0.18B,$-0.02B,-13.41%,$0.18B,$-0.01B,-5.59%,$0.18B,$-0.03B,-15.08%,$0.18B,$-0.03B,-15.08%,$-0.03B,$0.02B,-85.04%,$-0.03B,$0.02B,-85.04%,$-0.03B,$0.11B,-24.49%,$-0.02B,$0.06B,-39.18%,$47,$13,$34,$0,$20,$50,$-3,$-1,$-4,$0,$-4,$-4,$-4,$0,$-3,$10,10,$-0.43,$-0.43,$3,$2,$0,$8,$98,$0,$0,$1,$99,$107,$17,$36,$0,$69,$86,$0,$-64,$0,$21,$107,$-8,$7,$2,$10,$-1,$0,$0,$2,$-1,$1,$-9,$0,$0,$0,$0,$0,$-0,$-9,$12,$-2,$10,$-3,$-3,$0,$-0,$7,$-1,$0,$0
6,2017-03-31,6.3,$2.49,2.53,$16.57,0.38,$-5.31,0.0,$-2.23,0.0,$0.01B,$0.02B,0.37,$0.03B,$0.03B,1.27,$0.18B,$0.13B,73.71%,$0.18B,$-0.02B,-12.57%,$0.18B,$-0.02B,-12.57%,$0.18B,$-0.01B,-4.00%,$0.18B,$-0.02B,-13.71%,$0.18B,$-0.02B,-13.71%,$-0.02B,$0.03B,-61.15%,$-0.02B,$0.03B,-61.15%,$-0.02B,$0.11B,-21.62%,$-0.02B,$0.06B,-34.24%,$45,$13,$33,$0,$20,$48,$-3,$-0,$-3,$0,$-3,$-3,$-3,$1,$-3,$10,10,$-0.33,$-0.33,$2,$2,$0,$6,$98,$0,$0,$1,$99,$105,$16,$32,$0,$64,$80,$0,$-60,$0,$25,$105,$-3,$4,$0,$4,$1,$0,$0,$1,$-0,$1,$-4,$0,$0,$0,$0,$0,$0,$-4,$8,$-2,$6,$-3,$-3,$0,$-0,$3,$-1,$0,$0
7,2016-12-31,12.55,$2.99,4.2,$15.62,0.8,$-5.80,0.0,$-2.05,0.0,$0.01B,$0.02B,0.45,$0.03B,$0.03B,0.82,$0.17B,$0.13B,73.96%,$0.17B,$-0.02B,-12.43%,$0.17B,$-0.02B,-12.43%,$0.17B,$-0.01B,-3.55%,$0.17B,$-0.02B,-13.61%,$0.17B,$-0.02B,-13.61%,$-0.02B,$0.03B,-47.92%,$-0.02B,$0.03B,-47.92%,$-0.02B,$0.11B,-20.81%,$-0.02B,$0.06B,-31.70%,$44,$12,$32,$0,$20,$60,$-16,$-0,$-17,$0,$-17,$-17,$-17,$-12,$-16,$11,11,$-1.53,$-1.53,$4,$2,$0,$9,$98,$0,$0,$1,$100,$108,$19,$26,$0,$58,$77,$0,$-56,$0,$32,$108,$-22,$15,$14,$28,$-0,$-0,$1,$10,$14,$21,$-42,$0,$0,$0,$0,$0,$-0,$-42,$29,$-3,$27,$-11,$-11,$0,$-1,$16,$-6,$1,$0
8,2016-09-30,12.57,$4.64,2.71,$14.96,0.84,$-6.32,0.0,$-0.65,0.0,$0.01B,$0.02B,0.65,$0.03B,$0.05B,0.51,$0.16B,$0.12B,74.23%,$0.16B,$-0.01B,-4.29%,$0.16B,$-0.01B,-4.29%,$0.16B,$0.01B,4.29%,$0.16B,$-0.01B,-4.91%,$0.16B,$-0.01B,-4.91%,$-0.01B,$0.05B,-14.35%,$-0.01B,$0.05B,-14.35%,$-0.01B,$0.12B,-7.34%,$-0.01B,$0.07B,-10.33%,$43,$12,$32,$0,$19,$46,$-2,$-0,$-3,$0,$-3,$-3,$-3,$1,$-2,$11,11,$-0.24,$-0.24,$6,$2,$0,$12,$108,$0,$0,$1,$109,$121,$19,$25,$0,$54,$72,$0,$-40,$0,$49,$121,$-5,$10,$1,$11,$-1,$-0,$-0,$8,$8,$14,$-33,$0,$0,$0,$0,$0,$-0,$-33,$25,$0,$25,$-9,$-9,$0,$-0,$15,$-3,$1,$0
9,2016-06-30,10.72,$4.88,2.19,$14.01,0.76,$-6.47,0.0,$-0.54,0.0,$0.01B,$0.02B,0.53,$0.02B,$0.05B,0.35,$0.16B,$0.12B,73.72%,$0.16B,$-0.01B,-3.85%,$0.16B,$-0.01B,-3.85%,$0.16B,$0.01B,4.49%,$0.16B,$-0.01B,-3.85%,$0.16B,$-0.01B,-3.85%,$-0.01B,$0.05B,-10.04%,$-0.01B,$0.05B,-10.04%,$-0.01B,$0.11B,-5.76%,$-0.01B,$0.07B,-9.16%,$43,$11,$32,$0,$19,$44,$-1,$-0,$-1,$0,$-1,$-1,$-1,$3,$-1,$11,11,$-0.08,$-0.08,$4,$2,$0,$9,$101,$0,$0,$1,$102,$110,$16,$18,$0,$43,$59,$0,$-37,$0,$51,$110,$-2,$7,$1,$7,$-1,$-0,$0,$5,$4,$9,$-23,$0,$0,$0,$0,$0,$-0,$-23,$18,$0,$18,$-10,$-10,$0,$0,$8,$-5,$1,$0
