,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,71.69,$40.45,1.77,$7.35,9.75,$-11.70,0.0,$1.24,57.81,$0.37B,$0.36B,1.01,$2.87B,$4.08B,0.71,$0.74B,$0.53B,71.70%,$0.74B,$0.20B,26.94%,$0.74B,$0.20B,26.94%,$0.74B,$0.45B,60.54%,$0.74B,$0.14B,19.59%,$0.74B,$0.13B,17.28%,$0.13B,$4.08B,3.17%,$0.13B,$4.08B,3.17%,$0.13B,$7.56B,1.77%,$0.20B,$6.95B,2.98%,$187,$54,$132,$0,$21,$138,$49,$-11,$38,$0,$38,$38,$34,$112,$49,$101,101,$0.34,$0.33,$87,$0,$0,$365,$6918,$0,$0,$96,$7197,$7562,$361,$2874,$253,$3127,$3487,$1,$-162,$0,$4075,$7562,$111,$188,$-10,$178,$0,$0,$0,$28,$28,$317,$-842,$0,$0,$0,$0,$0,$36,$-805,$167,$360,$527,$114,$114,$-133,$-1,$508,$20,$0,$-133
1,2018-06-30,75.64,$40.41,1.87,$7.34,10.3,$-5.24,0.0,$1.58,47.87,$0.32B,$0.28B,1.16,$2.79B,$4.06B,0.69,$0.73B,$0.53B,72.05%,$0.73B,$0.20B,27.53%,$0.73B,$0.20B,27.53%,$0.73B,$0.45B,61.23%,$0.73B,$0.14B,19.73%,$0.73B,$0.16B,21.78%,$0.16B,$4.06B,4.01%,$0.16B,$4.06B,4.01%,$0.16B,$7.39B,2.27%,$0.20B,$6.85B,3.09%,$187,$52,$135,$0,$27,$143,$44,$-12,$32,$0,$32,$32,$28,$109,$44,$100,100,$0.27,$0.27,$51,$0,$0,$323,$6777,$0,$0,$99,$7062,$7385,$279,$2790,$253,$3042,$3321,$1,$-149,$0,$4064,$7385,$73,$125,$-5,$120,$0,$0,$0,$-4,$-4,$189,$-700,$0,$0,$0,$0,$0,$36,$-664,$118,$325,$443,$111,$111,$-86,$-8,$460,$-16,$0,$-86
2,2018-03-31,70.53,$39.94,1.77,$7.30,9.66,$-0.25,0.0,$1.61,43.81,$0.32B,$0.22B,1.44,$2.55B,$3.95B,0.65,$0.72B,$0.52B,71.82%,$0.72B,$0.21B,28.87%,$0.72B,$0.21B,28.87%,$0.72B,$0.45B,62.43%,$0.72B,$0.15B,20.30%,$0.72B,$0.16B,22.24%,$0.16B,$3.95B,4.08%,$0.16B,$3.95B,4.08%,$0.16B,$6.97B,2.33%,$0.21B,$6.49B,3.26%,$183,$50,$132,$0,$15,$128,$54,$-13,$41,$0,$41,$41,$36,$114,$54,$99,99,$0.36,$0.36,$53,$0,$0,$322,$6333,$0,$0,$129,$6644,$6966,$224,$2545,$249,$2794,$3018,$1,$-131,$0,$3947,$6966,$41,$60,$-6,$54,$0,$0,$0,$-1,$-1,$94,$-258,$0,$0,$0,$0,$0,$10,$-248,$119,$80,$199,$-14,$-14,$-43,$-3,$140,$-14,$0,$-43
3,2017-12-31,73.76,$40.16,1.84,$7.29,10.12,$1.59,46.27,$1.51,48.85,$0.33B,$0.25B,1.32,$2.35B,$3.96B,0.59,$0.72B,$0.52B,71.67%,$0.72B,$0.21B,28.61%,$0.72B,$0.21B,28.61%,$0.72B,$0.45B,62.36%,$0.72B,$0.14B,19.58%,$0.72B,$0.15B,20.97%,$0.15B,$3.96B,3.83%,$0.15B,$3.96B,3.83%,$0.15B,$6.80B,2.19%,$0.21B,$6.31B,3.21%,$178,$50,$128,$0,$17,$127,$51,$-18,$33,$0,$33,$33,$29,$110,$51,$98,99,$0.28,$0.28,$67,$0,$0,$330,$6154,$0,$0,$135,$6473,$6803,$250,$2347,$246,$2593,$2843,$1,$-123,$0,$3960,$6803,$181,$243,$-65,$178,$0,$0,$0,$-12,$-12,$347,$-323,$0,$0,$0,$0,$0,$-36,$-359,$25,$0,$25,$325,$125,$-348,$27,$-171,$-183,$0,$-341
4,2017-09-30,69.87,$39.60,1.76,$7.31,9.57,$-1.01,0.0,$1.52,45.97,$0.50B,$0.27B,1.85,$2.44B,$3.90B,0.63,$0.71B,$0.51B,71.87%,$0.71B,$0.20B,28.69%,$0.71B,$0.20B,28.69%,$0.71B,$0.45B,62.73%,$0.71B,$0.14B,20.11%,$0.71B,$0.15B,21.24%,$0.15B,$3.90B,3.88%,$0.15B,$3.90B,3.88%,$0.15B,$6.84B,2.19%,$0.20B,$6.33B,3.20%,$182,$51,$131,$0,$16,$129,$52,$-15,$38,$0,$38,$75,$66,$114,$52,$98,99,$0.67,$0.67,$244,$0,$0,$502,$6023,$0,$0,$128,$6336,$6838,$271,$2435,$236,$2671,$2942,$1,$-109,$0,$3896,$6838,$148,$183,$-63,$121,$0,$0,$0,$8,$8,$277,$-150,$0,$0,$0,$0,$0,$-30,$-181,$55,$60,$115,$308,$108,$-305,$-19,$-102,$-6,$0,$-298
5,2017-06-30,73.39,$40.29,1.82,$7.28,10.08,$-0.31,0.0,$1.39,52.8,$0.64B,$0.22B,2.93,$2.57B,$3.87B,0.66,$0.70B,$0.50B,72.17%,$0.70B,$0.21B,29.41%,$0.70B,$0.21B,29.41%,$0.70B,$0.44B,63.41%,$0.70B,$0.14B,20.52%,$0.70B,$0.14B,19.51%,$0.14B,$3.96B,3.55%,$0.14B,$3.96B,3.55%,$0.14B,$7.00B,2.01%,$0.21B,$6.53B,3.28%,$181,$51,$129,$0,$15,$128,$52,$-17,$35,$0,$35,$35,$30,$114,$52,$98,99,$0.30,$0.30,$396,$0,$0,$643,$6042,$0,$0,$115,$6352,$6995,$219,$2565,$249,$2813,$3033,$1,$-133,$0,$3962,$6995,$73,$122,$-16,$106,$0,$0,$0,$0,$0,$178,$-190,$0,$0,$0,$0,$0,$-26,$-216,$246,$0,$246,$309,$209,$-261,$-11,$183,$146,$0,$-255
6,2017-03-31,70.0,$40.36,1.73,$7.18,9.75,$0.86,81.31,$1.40,50.0,$0.73B,$0.22B,3.37,$2.57B,$3.87B,0.66,$0.68B,$0.49B,72.49%,$0.68B,$0.20B,29.73%,$0.68B,$0.20B,29.73%,$0.68B,$0.43B,63.76%,$0.68B,$0.14B,21.01%,$0.68B,$0.14B,20.12%,$0.14B,$3.97B,3.68%,$0.14B,$3.97B,3.68%,$0.14B,$6.99B,2.07%,$0.20B,$6.53B,3.30%,$179,$51,$128,$0,$16,$128,$51,$-16,$35,$0,$35,$37,$26,$111,$51,$97,98,$0.27,$0.26,$486,$0,$0,$725,$5973,$0,$0,$93,$6268,$6994,$215,$2566,$246,$2812,$3028,$1,$-120,$0,$3966,$6994,$37,$60,$-9,$51,$0,$0,$0,$8,$8,$96,$-78,$0,$0,$0,$0,$0,$-9,$-86,$247,$0,$247,$306,$206,$-222,$-6,$225,$235,$0,$-218
7,2016-12-31,70.74,$40.33,1.75,$6.92,10.22,$3.01,23.47,$2.98,23.74,$0.48B,$0.20B,2.38,$2.32B,$3.57B,0.65,$0.64B,$0.47B,73.21%,$0.64B,$0.19B,30.22%,$0.64B,$0.19B,30.22%,$0.64B,$0.42B,64.64%,$0.64B,$0.14B,21.65%,$0.64B,$0.28B,43.77%,$0.28B,$3.76B,7.89%,$0.28B,$3.76B,7.89%,$0.28B,$6.71B,4.40%,$0.19B,$6.08B,3.30%,$169,$45,$123,$0,$16,$119,$49,$-14,$35,$0,$35,$35,$29,$107,$49,$92,93,$0.29,$0.28,$250,$0,$0,$483,$5921,$0,$0,$95,$6224,$6707,$202,$2320,$425,$2745,$2947,$1,$-108,$0,$3759,$6707,$304,$221,$-194,$27,$0,$0,$0,$14,$14,$345,$-565,$0,$0,$0,$0,$0,$-14,$-579,$96,$0,$96,$34,$34,$-151,$448,$427,$193,$0,$-137
8,2016-09-30,64.9,$39.47,1.64,$6.74,9.63,$4.67,13.9,$2.96,21.93,$0.53B,$0.25B,2.1,$2.22B,$3.45B,0.64,$0.62B,$0.45B,73.23%,$0.62B,$0.19B,30.32%,$0.62B,$0.19B,30.32%,$0.62B,$0.40B,64.84%,$0.62B,$0.13B,21.45%,$0.62B,$0.28B,44.68%,$0.28B,$3.64B,8.07%,$0.28B,$3.64B,8.07%,$0.28B,$6.33B,4.47%,$0.19B,$5.86B,3.28%,$168,$45,$123,$0,$14,$116,$53,$-14,$38,$0,$38,$56,$51,$110,$53,$92,93,$0.54,$0.54,$308,$0,$0,$530,$5537,$0,$0,$84,$5802,$6332,$252,$2217,$221,$2438,$2690,$1,$78,$0,$3642,$6332,$268,$163,$-187,$-24,$0,$0,$0,$8,$8,$253,$-68,$0,$0,$0,$0,$0,$1,$-67,$-7,$0,$-7,$-5,$-5,$-111,$189,$66,$251,$0,$-102
9,2016-06-30,61.7,$37.14,1.66,$6.45,9.56,$2.77,22.26,$3.51,17.58,$0.51B,$0.21B,2.42,$2.44B,$3.23B,0.75,$0.59B,$0.43B,72.90%,$0.59B,$0.18B,29.80%,$0.59B,$0.18B,29.80%,$0.59B,$0.38B,64.31%,$0.59B,$0.12B,20.71%,$0.59B,$0.33B,55.05%,$0.33B,$3.43B,9.82%,$0.33B,$3.43B,9.82%,$0.33B,$6.30B,5.28%,$0.18B,$5.87B,3.09%,$160,$44,$116,$0,$14,$112,$48,$-14,$34,$0,$34,$34,$30,$103,$48,$92,93,$0.32,$0.31,$292,$0,$0,$510,$5499,$0,$0,$103,$5788,$6298,$211,$2439,$221,$2661,$2872,$1,$63,$0,$3427,$6298,$212,$106,$-164,$-58,$0,$0,$0,$-16,$-16,$138,$-40,$0,$0,$0,$0,$0,$1,$-39,$-5,$220,$215,$-5,$-5,$-73,$-1,$137,$235,$0,$-66
10,2016-03-31,57.26,$37.13,1.54,$6.38,8.98,$1.50,38.26,$3.81,15.03,$0.51B,$0.27B,1.92,$2.30B,$3.23B,0.71,$0.58B,$0.42B,72.93%,$0.58B,$0.17B,29.48%,$0.58B,$0.17B,29.48%,$0.58B,$0.37B,63.79%,$0.58B,$0.12B,20.00%,$0.58B,$0.35B,60.52%,$0.35B,$3.43B,10.96%,$0.35B,$3.43B,10.96%,$0.35B,$6.20B,5.81%,$0.17B,$5.72B,3.06%,$145,$38,$108,$0,$13,$102,$44,$-12,$32,$0,$32,$178,$171,$95,$44,$92,93,$1.85,$1.84,$300,$0,$0,$509,$5464,$0,$0,$45,$5695,$6204,$266,$2298,$215,$2514,$2779,$1,$68,$0,$3425,$6204,$178,$51,$-155,$-104,$0,$0,$0,$4,$4,$78,$139,$0,$0,$0,$0,$0,$-5,$134,$-2,$75,$73,$-5,$-5,$-36,$-0,$31,$243,$0,$-33
