,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,21.9,$0.00,0.0,$3.87,5.67,$0.56,39.09,$0.06,365.0,$0.11B,$0.03B,4.02,$0.00B,$0.00B,0.0,$0.14B,$0.07B,48.15%,$0.14B,$0.00B,2.96%,$0.14B,$0.00B,2.96%,$0.14B,$0.01B,6.67%,$0.14B,$0.01B,4.44%,$0.14B,$0.01B,4.44%,$0.01B,$0.17B,3.83%,$0.01B,$0.16B,4.00%,$0.01B,$0.19B,3.28%,$0.00B,$0.17B,2.55%,$38,$19,$19,$5,$11,$35,$3,$0,$3,$0,$3,$3,$3,$4,$3,$35,36,$0.09,$0.09,$46,$25,$0,$106,$14,$65,$6,$1,$87,$194,$26,$0,$2,$2,$28,$0,$0,$0,$165,$194,$5,$4,$8,$11,$-8,$9,$-0,$2,$1,$18,$-5,$0,$0,$-18,$0,$-18,$0,$-23,$0,$0,$0,$2,$2,$0,$-1,$1,$-5,$4,$0
1,2018-06-30,17.8,$4.62,3.85,$3.63,4.91,$-0.10,0.0,$0.06,296.67,$0.10B,$0.02B,4.05,$0.00B,$0.00B,0.0,$0.13B,$0.06B,48.80%,$0.13B,$0.00B,0.80%,$0.13B,$0.00B,0.80%,$0.13B,$0.01B,4.80%,$0.13B,$0.00B,2.40%,$0.13B,$0.00B,2.40%,$0.00B,$0.16B,1.96%,$0.00B,$0.15B,2.06%,$0.00B,$0.18B,1.67%,$0.00B,$0.16B,0.65%,$36,$18,$17,$5,$10,$34,$2,$0,$2,$0,$2,$2,$2,$3,$2,$34,35,$0.05,$0.05,$35,$25,$0,$97,$11,$67,$7,$1,$87,$184,$24,$0,$2,$2,$26,$0,$0,$0,$158,$184,$2,$2,$4,$7,$-10,$9,$-2,$1,$-2,$7,$-1,$0,$0,$-7,$0,$-7,$0,$-8,$0,$0,$0,$1,$1,$0,$-1,$0,$-1,$2,$0
2,2018-03-31,12.9,$0.00,0.0,$3.43,3.76,$-0.44,0.0,$0.02,645.0,$0.09B,$0.02B,4.18,$0.00B,$0.00B,0.0,$0.12B,$0.06B,48.31%,$0.12B,$-0.00B,-0.85%,$0.12B,$-0.00B,-0.85%,$0.12B,$0.00B,3.39%,$0.12B,$0.00B,0.85%,$0.12B,$0.00B,0.85%,$0.00B,$0.15B,0.67%,$0.00B,$0.15B,0.70%,$0.00B,$0.18B,0.56%,$-0.00B,$0.15B,-0.67%,$31,$16,$15,$5,$10,$31,$0,$1,$1,$0,$1,$1,$1,$1,$0,$34,35,$0.02,$0.02,$32,$29,$0,$90,$11,$66,$7,$1,$86,$176,$21,$0,$2,$2,$23,$0,$0,$0,$153,$176,$1,$1,$1,$2,$-2,$5,$-5,$1,$-1,$2,$-0,$0,$0,$-5,$0,$-5,$0,$-5,$0,$0,$0,$1,$1,$0,$-1,$-0,$-4,$1,$0
3,2017-12-31,16.15,$0.00,0.0,$3.36,4.81,$-0.43,0.0,$-0.05,0.0,$0.09B,$0.03B,3.5,$0.00B,$0.00B,0.0,$0.11B,$0.05B,47.37%,$0.11B,$-0.00B,-1.75%,$0.11B,$-0.00B,-1.75%,$0.11B,$0.00B,2.63%,$0.11B,$-0.00B,-1.75%,$0.11B,$-0.00B,-1.75%,$-0.00B,$0.15B,-1.36%,$-0.00B,$0.14B,-1.43%,$-0.00B,$0.18B,-1.13%,$-0.00B,$0.15B,-1.36%,$30,$15,$14,$6,$9,$30,$-1,$0,$-0,$-0,$-0,$-0,$-0,$1,$-1,$34,34,$-0.02,$-0.02,$29,$35,$0,$89,$11,$69,$7,$1,$89,$178,$26,$0,$2,$2,$28,$0,$0,$0,$151,$178,$-2,$5,$7,$12,$9,$-11,$-4,$2,$-4,$6,$-6,$0,$0,$-41,$0,$-41,$0,$-47,$0,$0,$0,$38,$38,$0,$-1,$36,$-4,$4,$0
4,2017-09-30,15.3,$0.00,0.0,$3.48,4.4,$-0.58,0.0,$-0.01,0.0,$0.09B,$0.03B,3.22,$0.00B,$0.00B,0.0,$0.12B,$0.05B,46.55%,$0.12B,0,0.00%,$0.12B,0,0.00%,$0.12B,$0.00B,3.45%,$0.12B,$-0.00B,-0.86%,$0.12B,$-0.00B,-0.86%,$-0.00B,$0.15B,-0.73%,$-0.00B,$0.14B,-0.78%,$-0.00B,$0.18B,-0.60%,$0.00B,$0.15B,0.00%,$28,$14,$15,$6,$9,$29,$-0,$0,$0,$0,$-0,$-0,$-0,$1,$-0,$35,35,$0.00,$0.00,$18,$36,$0,$91,$11,$68,$7,$1,$89,$180,$28,$0,$2,$2,$31,$0,$0,$0,$149,$180,$-2,$4,$6,$9,$-1,$-12,$-1,$-0,$-13,$-6,$-4,$0,$0,$-34,$0,$-34,$0,$-39,$0,$0,$0,$37,$37,$0,$-1,$36,$-8,$3,$0
5,2017-06-30,19.35,$0.00,0.0,$3.63,5.33,$-0.56,0.0,$-0.00,0.0,$0.09B,$0.03B,3.57,$0.00B,$0.00B,0.0,$0.12B,$0.05B,44.54%,$0.12B,$0.00B,0.84%,$0.12B,$0.00B,0.84%,$0.12B,$0.01B,4.20%,$0.12B,0,0.00%,$0.12B,$-0.00B,-0.84%,$-0.00B,$0.15B,-0.80%,$-0.00B,$0.14B,-0.85%,$-0.00B,$0.18B,-0.64%,$0.00B,$0.15B,0.80%,$29,$15,$13,$5,$9,$29,$-0,$0,$0,$0,$0,$0,$0,$1,$-0,$34,35,$0.01,$0.01,$28,$33,$0,$93,$11,$61,$8,$2,$82,$175,$26,$0,$2,$2,$28,$0,$0,$0,$147,$175,$-2,$2,$4,$6,$3,$-9,$-2,$-0,$-8,$-3,$-3,$0,$0,$-26,$0,$-26,$0,$-29,$0,$0,$0,$37,$37,$0,$-2,$35,$3,$2,$0
6,2017-03-31,19.1,$0.00,0.0,$3.60,5.31,$-0.64,0.0,$-0.01,0.0,$0.09B,$0.03B,2.93,$0.00B,$0.00B,0.0,$0.11B,$0.05B,45.61%,$0.11B,$0.00B,0.88%,$0.11B,$0.00B,0.88%,$0.11B,$0.01B,4.39%,$0.11B,0,0.00%,$0.11B,$-0.00B,-0.88%,$-0.00B,$0.14B,-0.88%,$-0.00B,$0.14B,-0.93%,$-0.00B,$0.18B,-0.70%,$0.00B,$0.14B,0.88%,$27,$15,$12,$5,$8,$28,$-1,$-0,$-2,$0,$-2,$-2,$-2,$-0,$-1,$33,33,$-0.05,$-0.05,$31,$30,$0,$90,$10,$66,$8,$2,$86,$176,$31,$0,$2,$2,$33,$0,$0,$0,$143,$176,$-2,$1,$2,$3,$7,$-6,$-0,$0,$1,$3,$-1,$0,$0,$-43,$0,$-43,$0,$-44,$0,$0,$0,$36,$36,$0,$-1,$35,$-7,$1,$0
7,2016-12-31,12.65,$3.46,3.66,$3.49,3.63,$-0.82,0.0,$0.03,421.67,$0.10B,$0.03B,3.28,$0.00B,$0.11B,0.0,$0.11B,$0.05B,45.87%,$0.11B,$0.00B,1.83%,$0.11B,$0.00B,1.83%,$0.11B,$0.01B,4.59%,$0.11B,$0.00B,1.83%,$0.11B,$0.00B,0.92%,$0.00B,$0.11B,0.97%,$0.00B,$0.10B,1.01%,$0.00B,$0.14B,0.77%,$0.00B,$0.11B,1.94%,$32,$18,$14,$5,$8,$31,$1,$-0,$1,$-0,$1,$1,$1,$2,$1,$31,32,$0.03,$0.03,$39,$24,$0,$99,$9,$22,$8,$1,$41,$140,$30,$0,$3,$3,$33,$0,$12,$-0,$107,$140,$1,$3,$6,$9,$-9,$-6,$3,$2,$-8,$1,$-5,$0,$0,$17,$0,$17,$-9,$2,$0,$0,$0,$1,$1,$0,$-0,$1,$4,$3,$0
8,2016-09-30,9.38,$0.00,0.0,$3.28,2.86,$-0.80,0.0,$0.07,134.0,$0.09B,$0.03B,3.31,$0.00B,$0.00B,0.0,$0.10B,$0.05B,47.06%,$0.10B,$0.00B,2.94%,$0.10B,$0.00B,2.94%,$0.10B,$0.01B,5.88%,$0.10B,$0.00B,2.94%,$0.10B,$0.00B,1.96%,$0.00B,$0.10B,1.97%,$0.00B,$0.10B,2.03%,$0.00B,$0.13B,1.60%,$0.00B,$0.10B,2.96%,$31,$17,$14,$4,$9,$30,$1,$-0,$1,$0,$0,$0,$0,$2,$1,$35,32,$0.01,$0.01,$31,$23,$0,$87,$8,$26,$9,$2,$45,$132,$26,$0,$3,$3,$29,$0,$0,$0,$103,$132,$0,$2,$2,$4,$-7,$-5,$1,$2,$-8,$-4,$-4,$0,$0,$17,$0,$17,$-9,$4,$0,$0,$0,$1,$1,$0,$0,$1,$0,$2,$0
9,2016-06-30,9.76,$0.00,0.0,$3.00,3.25,$-1.51,0.0,$0.13,75.08,$0.09B,$0.02B,4.37,$0.00B,$0.00B,0.0,$0.09B,$0.05B,48.39%,$0.09B,$0.00B,4.30%,$0.09B,$0.00B,4.30%,$0.09B,$0.01B,7.53%,$0.09B,$0.00B,4.30%,$0.09B,$0.00B,4.30%,$0.00B,$0.10B,4.00%,$0.00B,$0.10B,4.04%,$0.00B,$0.12B,3.30%,$0.00B,$0.10B,4.00%,$24,$12,$12,$4,$7,$24,$0,$-0,$0,$0,$-0,$-0,$-0,$1,$0,$30,30,$0.00,$0.00,$39,$20,$0,$89,$6,$27,$1,$2,$36,$124,$20,$0,$2,$2,$22,$0,$0,$0,$102,$124,$-0,$1,$1,$3,$-4,$-5,$-2,$0,$-9,$-7,$-2,$0,$0,$1,$0,$1,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$1,$0
