,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.25,$7.54,2.16,$15.24,1.07,$4.86,3.34,$1.69,9.62,$1.24B,$0.25B,4.96,$0.52B,$0.87B,0.6,$1.77B,$0.63B,35.81%,$1.77B,$0.39B,22.10%,$1.77B,$0.39B,22.10%,$1.77B,$0.44B,24.76%,$1.77B,$0.37B,20.96%,$1.77B,$0.23B,12.97%,$0.23B,$0.87B,27.77%,$0.23B,$0.87B,27.77%,$0.23B,$1.94B,12.01%,$0.39B,$1.40B,28.62%,$410,$291,$119,$0,$57,$352,$58,$-11,$47,$14,$33,$33,$33,$71,$58,$116,116,$0.28,$0.28,$433,$446,$0,$1238,$492,$84,$0,$5,$697,$1935,$250,$523,$22,$812,$1062,$1,$-141,$-386,$873,$1935,$181,$37,$41,$78,$-9,$-70,$0,$-6,$-60,$199,$-35,$0,$0,$0,$0,$0,$14,$-22,$-1,$0,$-1,$0,$0,$-59,$0,$-60,$110,$0,$-59
1,2018-06-30,22.53,$7.36,3.06,$15.70,1.43,$4.98,4.52,$2.33,9.67,$1.23B,$0.27B,4.64,$0.53B,$0.85B,0.62,$1.82B,$0.67B,36.70%,$1.82B,$0.43B,23.52%,$1.82B,$0.43B,23.52%,$1.82B,$0.47B,25.99%,$1.82B,$0.40B,22.14%,$1.82B,$0.27B,14.84%,$0.27B,$0.85B,34.43%,$0.27B,$0.85B,34.43%,$0.27B,$1.93B,14.59%,$0.43B,$1.38B,32.73%,$472,$300,$172,$0,$58,$352,$120,$-10,$110,$32,$78,$78,$78,$132,$120,$116,116,$0.67,$0.67,$433,$412,$0,$1231,$487,$89,$0,$5,$700,$1930,$265,$525,$22,$811,$1077,$1,$-153,$-393,$854,$1930,$148,$25,$30,$55,$-36,$-40,$0,$-1,$-33,$170,$-25,$0,$0,$0,$0,$0,$14,$-11,$-0,$0,$-0,$0,$0,$-39,$0,$-40,$110,$0,$-39
2,2018-03-31,22.45,$7.06,3.18,$15.44,1.45,$4.38,5.13,$3.36,6.68,$1.20B,$0.26B,4.58,$0.56B,$0.82B,0.68,$1.79B,$0.63B,35.10%,$1.79B,$0.38B,21.35%,$1.79B,$0.38B,21.35%,$1.79B,$0.43B,23.76%,$1.79B,$0.36B,20.01%,$1.79B,$0.39B,21.74%,$0.39B,$0.82B,53.58%,$0.39B,$0.82B,53.58%,$0.39B,$1.94B,22.40%,$0.38B,$1.38B,31.67%,$430,$256,$175,$0,$58,$323,$108,$-8,$100,$29,$71,$71,$71,$120,$108,$116,116,$0.61,$0.61,$366,$430,$0,$1196,$514,$90,$0,$7,$743,$1939,$261,$558,$23,$859,$1120,$1,$-211,$-371,$818,$1939,$71,$12,$17,$29,$-38,$-41,$0,$2,$-42,$58,$-15,$0,$0,$0,$0,$0,$14,$-2,$-0,$0,$-0,$0,$0,$-20,$0,$-20,$42,$0,$-20
3,2017-12-31,25.4,$6.51,3.9,$14.92,1.7,$4.26,5.96,$3.07,8.27,$1.06B,$0.23B,4.59,$0.54B,$0.75B,0.72,$1.73B,$0.56B,32.33%,$1.73B,$0.33B,19.09%,$1.73B,$0.33B,19.09%,$1.73B,$0.37B,21.52%,$1.73B,$0.31B,17.70%,$1.73B,$0.36B,20.53%,$0.36B,$0.75B,56.51%,$0.36B,$0.75B,56.51%,$0.36B,$1.82B,22.63%,$0.33B,$1.30B,31.16%,$453,$288,$166,$0,$60,$350,$104,$9,$113,$65,$47,$47,$47,$114,$104,$116,116,$0.40,$0.40,$324,$382,$0,$1063,$506,$97,$0,$6,$762,$1824,$232,$544,$22,$839,$1070,$1,$-267,$-379,$754,$1824,$355,$41,$-139,$-98,$-11,$-5,$0,$-4,$20,$276,$-64,$0,$0,$0,$0,$0,$-14,$-78,$137,$0,$137,$0,$0,$-70,$-9,$59,$271,$0,$-70
4,2017-09-30,22.38,$6.13,3.65,$13.89,1.61,$2.75,8.13,$2.86,7.83,$1.02B,$0.24B,4.26,$0.47B,$0.71B,0.66,$1.61B,$0.48B,29.75%,$1.61B,$0.27B,16.71%,$1.61B,$0.27B,16.71%,$1.61B,$0.31B,19.32%,$1.61B,$0.23B,14.35%,$1.61B,$0.33B,20.56%,$0.33B,$0.71B,61.47%,$0.33B,$0.71B,61.47%,$0.33B,$1.71B,23.51%,$0.27B,$1.18B,29.33%,$465,$310,$155,$0,$51,$368,$96,$-16,$80,$6,$74,$74,$74,$107,$96,$116,116,$0.64,$0.64,$318,$335,$0,$1021,$486,$79,$0,$4,$689,$1710,$240,$468,$22,$760,$1000,$1,$-297,$-392,$711,$1710,$307,$31,$-121,$-91,$-92,$40,$0,$-5,$2,$218,$-41,$0,$0,$0,$0,$0,$0,$-41,$137,$0,$137,$0,$0,$-52,$-8,$77,$266,$0,$-52
5,2017-06-30,17.74,$5.36,3.31,$12.95,1.37,$1.52,11.7,$2.41,7.36,$0.80B,$0.21B,3.79,$0.35B,$0.62B,0.57,$1.50B,$0.40B,26.65%,$1.50B,$0.20B,13.39%,$1.50B,$0.20B,13.39%,$1.50B,$0.24B,16.12%,$1.50B,$0.17B,11.59%,$1.50B,$0.28B,18.59%,$0.28B,$0.62B,58.80%,$0.28B,$0.62B,58.80%,$0.28B,$1.47B,21.61%,$0.20B,$0.97B,24.50%,$441,$309,$132,$0,$51,$367,$74,$-9,$65,$-131,$197,$197,$197,$84,$74,$116,116,$1.70,$1.70,$115,$342,$0,$800,$466,$76,$0,$3,$673,$1473,$211,$351,$29,$641,$852,$1,$-354,$-426,$621,$1473,$233,$20,$-130,$-110,$-73,$23,$0,$6,$-22,$102,$-27,$0,$0,$0,$0,$0,$0,$-27,$15,$0,$15,$0,$0,$-35,$-0,$-20,$63,$0,$-35
6,2017-03-31,15.86,$3.68,4.31,$12.21,1.3,$0.81,19.64,$0.72,22.03,$0.73B,$0.21B,3.57,$0.36B,$0.43B,0.85,$1.42B,$0.32B,22.88%,$1.42B,$0.14B,9.75%,$1.42B,$0.14B,9.75%,$1.42B,$0.18B,12.64%,$1.42B,$0.12B,8.12%,$1.42B,$0.08B,5.93%,$0.08B,$0.43B,19.60%,$0.08B,$0.43B,19.60%,$0.08B,$1.27B,6.82%,$0.14B,$0.79B,17.91%,$370,$264,$106,$0,$45,$313,$56,$-9,$48,$11,$37,$37,$37,$67,$56,$116,116,$0.32,$0.32,$91,$361,$0,$734,$439,$88,$0,$2,$535,$1269,$206,$361,$25,$637,$842,$1,$-533,$-440,$427,$1269,$37,$10,$4,$14,$-28,$-12,$0,$4,$-9,$42,$-12,$0,$0,$0,$0,$0,$0,$-12,$25,$0,$25,$0,$0,$-17,$-0,$8,$39,$0,$-17
7,2016-12-31,11.4,$3.41,3.35,$11.77,0.97,$0.30,38.54,$0.37,30.82,$0.65B,$0.18B,3.57,$0.34B,$0.40B,0.85,$1.36B,$0.26B,18.91%,$1.36B,$0.08B,6.01%,$1.36B,$0.08B,6.01%,$1.36B,$0.12B,8.94%,$1.36B,$0.06B,4.55%,$1.36B,$0.04B,3.15%,$0.04B,$0.40B,9.87%,$0.04B,$0.40B,9.87%,$0.04B,$1.18B,3.51%,$0.08B,$0.73B,10.60%,$334,$248,$86,$0,$43,$291,$43,$-5,$38,$15,$23,$23,$23,$53,$43,$116,116,$0.20,$0.20,$52,$344,$0,$650,$434,$85,$0,$2,$529,$1180,$182,$335,$22,$603,$785,$1,$-552,$-453,$395,$1180,$43,$41,$20,$61,$-43,$39,$0,$-1,$-14,$90,$-53,$0,$0,$0,$0,$0,$0,$-53,$-4,$0,$-4,$0,$0,$-70,$0,$-73,$-42,$0,$-70
8,2016-09-30,7.82,$3.92,1.99,$11.37,0.69,$0.02,336.99,$-0.01,0.0,$0.69B,$0.21B,3.34,$0.34B,$0.46B,0.74,$1.32B,$0.20B,14.96%,$1.32B,$0.02B,1.44%,$1.32B,$0.02B,1.44%,$1.32B,$0.06B,4.48%,$1.32B,$-0.00B,-0.08%,$1.32B,0,0.00%,$0.00B,$0.46B,0.00%,$0.00B,$0.46B,0.00%,$0.00B,$1.24B,0.00%,$0.02B,$0.79B,2.40%,$356,$281,$76,$0,$44,$328,$28,$-5,$23,$1,$22,$22,$22,$38,$28,$116,116,$0.19,$0.19,$93,$317,$0,$691,$447,$84,$0,$3,$551,$1242,$207,$336,$25,$580,$787,$1,$-558,$-387,$455,$1242,$20,$31,$5,$35,$-55,$81,$0,$-5,$13,$69,$-34,$0,$0,$0,$0,$0,$0,$-34,$16,$0,$16,$0,$0,$-52,$0,$-37,$-1,$0,$-52
9,2016-06-30,4.87,$3.77,1.29,$11.20,0.43,$-0.11,0.0,$-0.30,0.0,$0.70B,$0.22B,3.19,$0.34B,$0.44B,0.77,$1.30B,$0.16B,12.63%,$1.30B,$-0.01B,-0.92%,$1.30B,$-0.01B,-0.92%,$1.30B,$0.03B,2.16%,$1.30B,$-0.04B,-3.31%,$1.30B,$-0.03B,-2.62%,$-0.03B,$0.44B,-7.30%,$-0.03B,$0.44B,-7.30%,$-0.03B,$1.23B,-2.70%,$-0.01B,$0.77B,-1.49%,$356,$301,$56,$0,$45,$346,$11,$-5,$6,$4,$2,$2,$2,$21,$11,$116,116,$0.01,$0.01,$81,$338,$0,$697,$440,$79,$0,$3,$537,$1234,$219,$337,$25,$579,$798,$1,$-563,$-401,$437,$1234,$-2,$21,$8,$29,$-57,$58,$0,$3,$-10,$17,$-24,$0,$0,$0,$0,$0,$0,$-24,$28,$0,$28,$0,$0,$-35,$0,$-7,$-14,$0,$-35
