,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,81.66,$50.40,1.62,$465.13,0.18,$20.32,4.02,$11.91,6.86,$2.83B,$2.36B,1.2,$1.29B,$1.21B,1.07,$11.55B,$1.73B,14.98%,$11.55B,$0.45B,3.93%,$11.55B,$0.45B,3.93%,$11.55B,$0.52B,4.54%,$11.55B,$0.35B,3.04%,$11.55B,$0.30B,2.55%,$0.30B,$1.21B,25.79%,$0.30B,$0.59B,45.40%,$0.30B,$5.18B,5.87%,$0.45B,$2.49B,19.39%,$3092,$2626,$466,$0,$309,$2954,$138,$-29,$109,$16,$93,$93,$93,$157,$138,$24,24,$3.85,$3.84,$31,$2276,$48,$2826,$1249,$0,$613,$487,$2349,$5175,$2363,$1287,$124,$1606,$3969,$50,$1109,$0,$1205,$5175,$206,$55,$14,$69,$63,$-14,$4,$43,$104,$379,$-111,$0,$-403,$0,$0,$0,$0,$-515,$206,$0,$206,$-74,$-74,$-21,$-1,$109,$-26,$10,$-21
1,2018-06-30,94.25,$47.51,1.98,$444.55,0.21,$17.28,5.46,$10.14,9.29,$2.89B,$2.41B,1.2,$1.30B,$1.16B,1.12,$11.14B,$1.67B,14.97%,$11.14B,$0.42B,3.79%,$11.14B,$0.42B,3.79%,$11.14B,$0.49B,4.38%,$11.14B,$0.33B,2.95%,$11.14B,$0.25B,2.28%,$0.25B,$1.16B,23.08%,$0.25B,$0.68B,39.17%,$0.25B,$5.16B,5.26%,$0.42B,$2.46B,18.97%,$3097,$2636,$461,$0,$333,$2988,$109,$-28,$81,$20,$61,$61,$61,$127,$109,$25,25,$2.45,$2.44,$30,$2333,$46,$2893,$1232,$0,$478,$561,$2271,$5164,$2412,$1295,$125,$1591,$4003,$95,$1023,$0,$1161,$5164,$113,$36,$7,$43,$48,$-36,$3,$60,$80,$236,$-71,$0,$-381,$0,$0,$0,$0,$-451,$232,$0,$232,$-29,$-29,$-14,$-1,$188,$-27,$7,$-14
2,2018-03-31,99.88,$45.11,2.21,$418.37,0.24,$16.56,6.03,$9.82,10.17,$2.97B,$2.50B,1.19,$1.18B,$1.13B,1.05,$10.51B,$1.58B,15.05%,$10.51B,$0.42B,3.97%,$10.51B,$0.42B,3.97%,$10.51B,$0.48B,4.56%,$10.51B,$0.34B,3.20%,$10.51B,$0.25B,2.34%,$0.25B,$1.13B,23.27%,$0.25B,$0.68B,40.08%,$0.25B,$5.09B,5.43%,$0.42B,$2.31B,20.32%,$2660,$2252,$408,$0,$297,$2566,$94,$-24,$70,$18,$52,$52,$52,$111,$94,$25,25,$2.08,$2.07,$69,$2366,$57,$2971,$1221,$0,$443,$451,$2116,$5087,$2504,$1181,$108,$1456,$3960,$143,$969,$0,$1127,$5087,$52,$17,$6,$23,$43,$-99,$7,$37,$-26,$49,$-42,$0,$-332,$0,$0,$0,$0,$-374,$350,$0,$350,$-6,$-6,$-7,$-1,$336,$12,$4,$-7
3,2017-12-31,112.57,$43.38,2.59,$401.21,0.28,$20.68,5.44,$9.76,11.53,$2.78B,$2.30B,1.21,$1.03B,$1.08B,0.95,$10.09B,$1.52B,15.03%,$10.09B,$0.41B,4.06%,$10.09B,$0.41B,4.06%,$10.09B,$0.47B,4.63%,$10.09B,$0.35B,3.44%,$10.09B,$0.25B,2.43%,$0.25B,$1.08B,24.19%,$0.25B,$0.64B,43.04%,$0.25B,$4.68B,5.82%,$0.41B,$2.11B,21.76%,$2703,$2307,$396,$0,$267,$2590,$113,$-22,$91,$2,$89,$89,$89,$129,$113,$25,25,$3.58,$3.55,$57,$2133,$71,$2783,$1185,$0,$443,$272,$1900,$4683,$2301,$1028,$111,$1299,$3600,$149,$923,$0,$1083,$4683,$245,$58,$3,$61,$-57,$-193,$20,$36,$-157,$149,$-90,$0,$-448,$0,$0,$0,$0,$-538,$487,$0,$487,$-26,$-26,$-27,$-38,$396,$7,$11,$-27
4,2017-09-30,118.95,$41.31,2.88,$383.52,0.31,$18.04,6.59,$8.23,14.45,$2.51B,$2.08B,1.21,$0.99B,$1.03B,0.96,$9.68B,$1.46B,15.04%,$9.68B,$0.38B,3.91%,$9.68B,$0.38B,3.91%,$9.68B,$0.43B,4.48%,$9.68B,$0.32B,3.33%,$9.68B,$0.21B,2.14%,$0.21B,$1.03B,21.34%,$0.21B,$0.59B,39.35%,$0.21B,$4.37B,5.18%,$0.38B,$2.02B,21.34%,$2680,$2277,$403,$0,$282,$2574,$106,$-19,$87,$35,$52,$52,$52,$121,$106,$25,25,$2.07,$2.07,$39,$1966,$60,$2511,$1088,$0,$444,$328,$1860,$4372,$2075,$991,$109,$1265,$3340,$149,$840,$0,$1031,$4372,$156,$42,$15,$57,$-13,$-16,$12,$39,$48,$261,$-60,$0,$-405,$0,$0,$0,$0,$-465,$243,$0,$243,$-26,$-26,$-20,$-5,$193,$-12,$8,$-20
5,2017-06-30,92.93,$39.48,2.35,$366.39,0.25,$14.57,6.38,$8.30,11.2,$2.32B,$1.96B,1.19,$0.78B,$0.99B,0.79,$9.27B,$1.39B,14.99%,$9.27B,$0.37B,3.94%,$9.27B,$0.37B,3.94%,$9.27B,$0.42B,4.51%,$9.27B,$0.32B,3.40%,$9.27B,$0.21B,2.26%,$0.21B,$0.99B,22.50%,$0.21B,$0.54B,41.78%,$0.21B,$3.98B,5.51%,$0.37B,$1.77B,21.94%,$2467,$2092,$375,$0,$257,$2363,$104,$-16,$88,$35,$53,$53,$53,$118,$104,$25,25,$2.12,$2.12,$31,$1879,$55,$2324,$1067,$0,$444,$141,$1653,$3976,$1958,$778,$103,$1031,$2989,$159,$795,$0,$988,$3976,$104,$27,$5,$31,$71,$-36,$0,$12,$43,$179,$-29,$0,$-96,$0,$0,$0,$0,$-125,$-38,$0,$-38,$-21,$-21,$-13,$0,$-72,$-19,$5,$-13
6,2017-03-31,84.22,$37.78,2.23,$351.67,0.24,$9.72,8.67,$8.19,10.28,$2.23B,$1.94B,1.15,$0.67B,$0.95B,0.7,$8.93B,$1.34B,14.96%,$8.93B,$0.35B,3.94%,$8.93B,$0.35B,3.94%,$8.93B,$0.40B,4.51%,$8.93B,$0.30B,3.40%,$8.93B,$0.21B,2.32%,$0.21B,$0.95B,23.36%,$0.21B,$0.51B,43.62%,$0.21B,$3.80B,5.70%,$0.35B,$1.62B,22.23%,$2236,$1894,$342,$0,$243,$2150,$86,$-5,$81,$31,$51,$51,$51,$99,$86,$25,25,$2.01,$2.01,$31,$1812,$48,$2233,$1010,$0,$444,$114,$1568,$3802,$1940,$666,$100,$912,$2852,$164,$748,$0,$950,$3802,$51,$13,$2,$15,$76,$-42,$-8,$3,$61,$127,$-16,$0,$-7,$0,$0,$0,$0,$-23,$-109,$0,$-109,$-8,$-8,$-6,$0,$-123,$-19,$3,$-6
7,2016-12-31,94.96,$36.22,2.62,$339.46,0.28,$6.21,15.29,$7.73,12.28,$2.29B,$1.92B,1.19,$0.77B,$0.91B,0.85,$8.68B,$1.30B,14.99%,$8.68B,$0.34B,3.91%,$8.68B,$0.34B,3.91%,$8.68B,$0.39B,4.48%,$8.68B,$0.28B,3.26%,$8.68B,$0.20B,2.26%,$0.20B,$0.91B,23.00%,$0.20B,$0.47B,42.82%,$0.20B,$3.84B,5.60%,$0.34B,$1.68B,22.13%,$2292,$1957,$335,$0,$237,$2210,$82,$-15,$66,$15,$51,$51,$51,$95,$82,$25,26,$2.03,$2.02,$50,$1773,$47,$2287,$1006,$0,$444,$107,$1557,$3844,$1922,$770,$100,$1011,$2933,$166,$704,$0,$911,$3844,$197,$49,$30,$79,$-106,$-169,$16,$30,$-185,$91,$-99,$0,$-253,$0,$0,$0,$0,$-352,$396,$0,$396,$-106,$-106,$-24,$0,$266,$5,$11,$-24
8,2016-09-30,93.38,$34.41,2.71,$324.90,0.29,$6.38,14.63,$7.50,12.45,$2.03B,$1.74B,1.17,$0.73B,$0.87B,0.84,$8.38B,$1.26B,15.03%,$8.38B,$0.33B,3.97%,$8.38B,$0.33B,3.97%,$8.38B,$0.38B,4.55%,$8.38B,$0.28B,3.38%,$8.38B,$0.19B,2.30%,$0.19B,$0.87B,23.21%,$0.19B,$0.48B,42.39%,$0.19B,$3.56B,5.77%,$0.33B,$1.59B,22.65%,$2270,$1933,$337,$0,$228,$2177,$93,$-13,$80,$26,$54,$54,$54,$106,$93,$25,25,$2.15,$2.14,$24,$1658,$33,$2033,$992,$0,$382,$157,$1531,$3564,$1735,$727,$99,$962,$2698,$168,$659,$0,$866,$3564,$146,$36,$24,$60,$-6,$-86,$6,$41,$-11,$194,$-80,$0,$-210,$0,$0,$0,$0,$-289,$196,$0,$196,$-103,$-103,$-18,$0,$74,$-21,$9,$-18
9,2016-06-30,69.26,$32.47,2.13,$313.87,0.22,$3.55,19.52,$7.00,9.89,$1.94B,$1.66B,1.17,$0.63B,$0.82B,0.77,$8.19B,$1.23B,15.05%,$8.19B,$0.31B,3.82%,$8.19B,$0.31B,3.82%,$8.19B,$0.36B,4.37%,$8.19B,$0.27B,3.25%,$8.19B,$0.18B,2.22%,$0.18B,$0.82B,22.41%,$0.18B,$0.44B,41.39%,$0.18B,$3.32B,5.65%,$0.31B,$1.44B,22.10%,$2133,$1811,$322,$0,$216,$2043,$91,$-13,$77,$26,$51,$51,$51,$103,$91,$25,26,$2.02,$2.01,$15,$1582,$38,$1941,$898,$0,$377,$106,$1381,$3322,$1664,$627,$86,$841,$2505,$169,$611,$0,$817,$3322,$92,$24,$13,$37,$7,$-114,$7,$25,$-58,$71,$-43,$0,$-24,$0,$0,$0,$0,$-67,$79,$0,$79,$-102,$-102,$-12,$0,$-34,$-30,$6,$-12
