,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.8,$11.06,7.03,$16.17,4.81,$8.93,8.71,$3.00,25.93,$0.37B,$0.26B,1.43,$2.52B,$1.10B,2.3,$1.60B,$1.04B,65.06%,$1.60B,$0.45B,28.18%,$1.60B,$0.45B,28.18%,$1.60B,$0.68B,42.45%,$1.60B,$0.31B,19.10%,$1.60B,$0.30B,18.53%,$0.30B,$1.10B,27.45%,$0.30B,$-1.41B,-20.65%,$0.30B,$4.13B,7.14%,$0.45B,$3.62B,12.40%,$418,$141,$278,$0,$94,$290,$128,$-32,$97,$3,$94,$94,$94,$185,$128,$99,99,$0.95,$0.95,$11,$0,$52,$366,$1193,$0,$2511,$54,$3759,$4125,$256,$2519,$250,$2772,$3028,$0,$-699,$1,$1097,$4125,$210,$171,$53,$223,$-32,$0,$1,$-12,$-63,$370,$-76,$0,$-48,$0,$0,$0,$4,$-120,$-24,$0,$-24,$28,$28,$-351,$-7,$-354,$-105,$23,$-351
1,2018-06-30,68.31,$10.86,6.29,$16.01,4.27,$8.50,8.03,$3.03,22.54,$0.38B,$0.26B,1.48,$2.54B,$1.07B,2.37,$1.58B,$1.03B,64.96%,$1.58B,$0.45B,28.77%,$1.58B,$0.45B,28.77%,$1.58B,$0.68B,42.97%,$1.58B,$0.31B,19.52%,$1.58B,$0.30B,18.88%,$0.30B,$1.07B,27.67%,$0.30B,$-1.42B,-21.14%,$0.30B,$4.12B,7.25%,$0.45B,$3.61B,12.59%,$420,$141,$279,$0,$90,$284,$136,$-32,$104,$4,$100,$100,$100,$192,$136,$99,99,$1.02,$1.02,$20,$0,$58,$382,$1193,$0,$2491,$54,$3738,$4120,$258,$2541,$246,$2788,$3046,$0,$-703,$0,$1074,$4120,$115,$115,$41,$155,$-31,$0,$1,$-8,$-55,$216,$-49,$0,$-16,$0,$0,$0,$4,$-61,$-3,$0,$-3,$22,$22,$-261,$-7,$-250,$-96,$14,$-261
2,2018-03-31,62.86,$10.57,5.95,$15.80,3.98,$8.34,7.54,$2.95,21.31,$0.36B,$0.22B,1.59,$2.60B,$1.04B,2.5,$1.56B,$1.01B,64.82%,$1.56B,$0.45B,28.68%,$1.56B,$0.45B,28.68%,$1.56B,$0.67B,42.89%,$1.56B,$0.30B,19.29%,$1.56B,$0.29B,18.65%,$0.29B,$1.04B,26.95%,$0.29B,$-1.47B,-21.13%,$0.29B,$4.12B,7.13%,$0.45B,$3.64B,12.51%,$361,$138,$223,$0,$91,$295,$66,$-49,$17,$2,$15,$15,$15,$124,$66,$98,99,$0.15,$0.15,$10,$0,$59,$356,$1193,$0,$2508,$58,$3759,$4115,$224,$2604,$246,$2851,$3074,$0,$-714,$1,$1040,$4115,$15,$58,$34,$92,$-10,$0,$1,$-30,$-66,$41,$-23,$0,$-7,$0,$0,$0,$1,$-29,$61,$0,$61,$-0,$-0,$-171,$-6,$-117,$-105,$8,$-171
3,2017-12-31,72.3,$11.23,6.44,$15.67,4.61,$8.33,8.68,$3.22,22.45,$0.42B,$0.33B,1.29,$2.54B,$1.10B,2.3,$1.54B,$1.00B,64.94%,$1.54B,$0.46B,29.55%,$1.54B,$0.46B,29.55%,$1.54B,$0.67B,43.57%,$1.54B,$0.33B,21.23%,$1.54B,$0.32B,20.58%,$0.32B,$1.10B,29.36%,$0.32B,$-1.43B,-23.80%,$0.32B,$4.21B,7.88%,$0.46B,$3.64B,12.95%,$398,$139,$259,$0,$84,$278,$120,$-33,$87,$-0,$87,$87,$87,$177,$120,$98,98,$0.89,$0.89,$115,$0,$52,$421,$1214,$0,$2537,$43,$3794,$4214,$326,$2539,$245,$2785,$3111,$0,$-639,$1,$1103,$4214,$318,$216,$13,$229,$-18,$0,$0,$-13,$-39,$507,$-103,$0,$-297,$0,$0,$0,$1,$-400,$204,$0,$204,$18,$18,$-244,$-6,$-29,$80,$10,$-244
4,2017-09-30,66.02,$11.12,5.94,$15.58,4.24,$8.58,7.69,$3.15,20.96,$0.37B,$0.24B,1.55,$2.43B,$1.09B,2.23,$1.53B,$1.00B,65.08%,$1.53B,$0.45B,29.43%,$1.53B,$0.45B,29.43%,$1.53B,$0.66B,43.36%,$1.53B,$0.32B,21.19%,$1.53B,$0.31B,20.27%,$0.31B,$1.09B,28.93%,$0.31B,$-1.32B,-23.90%,$0.31B,$4.00B,7.86%,$0.45B,$3.52B,13.05%,$399,$135,$264,$0,$84,$268,$132,$-32,$100,$3,$96,$96,$96,$185,$132,$98,98,$0.98,$0.98,$29,$0,$45,$371,$1181,$0,$2409,$43,$3633,$4003,$239,$2432,$242,$2674,$2913,$0,$-645,$1,$1091,$4003,$231,$159,$9,$168,$-38,$0,$0,$-18,$-78,$321,$-71,$0,$-120,$0,$0,$0,$0,$-191,$101,$0,$101,$11,$11,$-244,$-5,$-137,$-6,$7,$-244
5,2017-06-30,69.97,$10.93,6.4,$15.48,4.52,$8.77,7.97,$3.04,23.02,$0.39B,$0.26B,1.48,$2.37B,$1.07B,2.22,$1.52B,$0.99B,65.02%,$1.52B,$0.44B,28.85%,$1.52B,$0.44B,28.85%,$1.52B,$0.65B,42.69%,$1.52B,$0.31B,20.62%,$1.52B,$0.30B,19.70%,$0.30B,$1.07B,28.13%,$0.30B,$-1.27B,-23.26%,$0.30B,$3.95B,7.63%,$0.44B,$3.45B,12.81%,$397,$135,$262,$0,$83,$269,$128,$-32,$96,$4,$92,$92,$92,$181,$128,$98,98,$0.94,$0.94,$43,$0,$49,$385,$1177,$0,$2342,$42,$3561,$3946,$261,$2374,$240,$2614,$2875,$0,$-659,$0,$1071,$3946,$134,$106,$7,$113,$-32,$0,$0,$-11,$-52,$195,$-45,$0,$-28,$0,$0,$0,$0,$-73,$45,$0,$45,$8,$8,$-163,$-5,$-115,$7,$5,$-163
6,2017-03-31,70.25,$10.76,6.53,$15.41,4.56,$8.96,7.84,$2.94,23.9,$0.35B,$0.25B,1.42,$2.39B,$1.05B,2.26,$1.51B,$0.98B,64.94%,$1.51B,$0.43B,28.30%,$1.51B,$0.43B,28.30%,$1.51B,$0.64B,42.21%,$1.51B,$0.30B,20.08%,$1.51B,$0.29B,19.15%,$0.29B,$1.05B,27.39%,$0.29B,$-1.30B,-22.41%,$0.29B,$3.93B,7.39%,$0.43B,$3.44B,12.52%,$346,$132,$215,$0,$89,$271,$75,$-31,$44,$2,$42,$42,$42,$128,$75,$98,98,$0.43,$0.42,$32,$0,$54,$350,$1175,$0,$2358,$42,$3574,$3925,$246,$2385,$239,$2625,$2871,$0,$-670,$-0,$1054,$3925,$42,$53,$3,$55,$-1,$0,$1,$-36,$-63,$34,$-18,$0,$-18,$0,$0,$0,$0,$-35,$74,$0,$74,$4,$4,$-81,$-0,$-3,$-4,$2,$-81
7,2016-12-31,62.52,$10.98,5.7,$15.36,4.07,$9.16,6.83,$3.05,20.5,$0.31B,$0.28B,1.13,$2.32B,$1.07B,2.17,$1.50B,$0.98B,64.91%,$1.50B,$0.44B,29.23%,$1.50B,$0.44B,29.23%,$1.50B,$0.65B,43.21%,$1.50B,$0.31B,20.84%,$1.50B,$0.30B,19.84%,$0.30B,$1.07B,28.47%,$0.30B,$-1.29B,-22.95%,$0.30B,$3.90B,7.64%,$0.44B,$3.39B,12.87%,$387,$132,$254,$0,$90,$271,$115,$-31,$84,$4,$81,$81,$80,$169,$115,$97,98,$0.83,$0.81,$36,$0,$40,$314,$1183,$0,$2364,$38,$3585,$3899,$277,$2315,$236,$2552,$2829,$0,$-631,$-1,$1070,$3899,$299,$210,$23,$233,$-23,$0,$-1,$3,$-10,$522,$-96,$0,$-585,$0,$0,$0,$0,$-681,$459,$0,$459,$17,$17,$-294,$-10,$172,$13,$29,$-294
8,2016-09-30,60.04,$10.85,5.53,$15.09,3.98,$8.72,6.89,$3.03,19.81,$0.36B,$0.26B,1.37,$2.35B,$1.06B,2.23,$1.47B,$0.95B,64.85%,$1.47B,$0.43B,29.16%,$1.47B,$0.43B,29.16%,$1.47B,$0.63B,43.03%,$1.47B,$0.31B,21.01%,$1.47B,$0.29B,19.99%,$0.29B,$1.06B,28.42%,$0.29B,$-1.27B,-24.35%,$0.29B,$3.90B,7.80%,$0.43B,$3.41B,13.05%,$388,$132,$256,$0,$87,$268,$120,$-31,$89,$4,$85,$85,$85,$170,$120,$97,98,$0.87,$0.87,$37,$0,$39,$355,$1180,$0,$2328,$39,$3547,$3903,$259,$2351,$234,$2587,$2846,$0,$-637,$-0,$1056,$3903,$218,$157,$16,$173,$-39,$0,$-1,$-8,$-53,$338,$-71,$0,$-526,$0,$0,$0,$0,$-597,$491,$0,$491,$12,$12,$-220,$-10,$273,$15,$20,$-220
9,2016-06-30,60.18,$10.69,5.63,$14.77,4.08,$8.49,7.09,$3.05,19.73,$0.36B,$0.27B,1.35,$2.37B,$1.04B,2.28,$1.43B,$0.93B,64.64%,$1.43B,$0.42B,29.36%,$1.43B,$0.42B,29.36%,$1.43B,$0.62B,43.38%,$1.43B,$0.31B,21.41%,$1.43B,$0.30B,20.57%,$0.30B,$1.04B,28.86%,$0.30B,$-1.29B,-26.27%,$0.30B,$3.91B,8.09%,$0.42B,$3.41B,13.26%,$388,$133,$255,$0,$87,$270,$117,$-31,$86,$4,$82,$82,$82,$170,$117,$97,98,$0.84,$0.84,$42,$0,$42,$364,$1181,$0,$2329,$39,$3549,$3913,$269,$2369,$233,$2604,$2873,$0,$-648,$0,$1040,$3913,$133,$106,$6,$112,$-37,$0,$0,$-1,$-35,$211,$-45,$0,$-506,$0,$0,$0,$0,$-551,$505,$0,$505,$9,$9,$-146,$-9,$358,$19,$11,$-146
10,2016-03-31,55.17,$10.52,5.24,$14.37,3.84,$8.21,6.72,$2.82,19.56,$0.33B,$0.22B,1.51,$2.42B,$1.02B,2.37,$1.39B,$0.90B,64.75%,$1.39B,$0.40B,28.99%,$1.39B,$0.40B,28.99%,$1.39B,$0.60B,43.24%,$1.39B,$0.30B,21.29%,$1.39B,$0.27B,19.57%,$0.27B,$1.02B,26.99%,$0.27B,$-1.34B,-26.44%,$0.27B,$3.90B,7.75%,$0.40B,$3.44B,13.22%,$339,$129,$210,$0,$83,$252,$87,$-33,$54,$2,$51,$51,$51,$140,$87,$97,97,$0.53,$0.53,$28,$0,$46,$327,$1167,$0,$2361,$39,$3567,$3895,$217,$2420,$235,$2657,$2874,$0,$-657,$0,$1021,$3895,$51,$53,$-3,$49,$-8,$0,$1,$-27,$-49,$52,$-15,$0,$-502,$0,$0,$0,$0,$-518,$551,$0,$551,$2,$2,$-73,$-9,$471,$6,$3,$-73
11,2015-12-31,53.13,$10.56,5.03,$14.05,3.78,$8.15,6.52,$2.71,19.61,$0.28B,$0.24B,1.19,$1.88B,$1.02B,1.84,$1.35B,$0.88B,64.97%,$1.35B,$0.38B,28.31%,$1.35B,$0.38B,28.31%,$1.35B,$0.58B,42.79%,$1.35B,$0.29B,21.06%,$1.35B,$0.26B,19.36%,$0.26B,$1.02B,26.26%,$0.26B,$-0.93B,-28.53%,$0.26B,$3.36B,7.76%,$0.38B,$2.90B,13.12%,$356,$123,$233,$0,$83,$251,$105,$-24,$80,$4,$77,$77,$76,$153,$105,$96,96,$0.80,$0.80,$22,$0,$39,$282,$1095,$0,$1949,$37,$3082,$3364,$237,$1875,$229,$2106,$2343,$0,$-636,$-1,$1021,$3364,$263,$196,$35,$231,$-9,$0,$-0,$-10,$-16,$478,$-100,$0,$-154,$0,$0,$0,$-0,$-254,$20,$0,$20,$22,$22,$-266,$-1,$-225,$-4,$26,$-266
12,2015-09-30,45.7,$10.41,4.39,$13.89,3.29,$7.90,5.79,$4.10,11.15,$0.32B,$0.23B,1.38,$1.95B,$1.01B,1.94,$1.33B,$0.87B,65.07%,$1.33B,$0.37B,27.44%,$1.33B,$0.37B,27.44%,$1.33B,$0.57B,42.80%,$1.33B,$0.27B,20.16%,$1.33B,$0.39B,29.54%,$0.39B,$1.01B,39.89%,$0.39B,$-0.94B,-43.26%,$0.39B,$3.42B,11.71%,$0.37B,$2.96B,12.57%,$351,$122,$229,$0,$76,$239,$112,$-25,$87,$1,$86,$86,$86,$159,$112,$97,97,$0.89,$0.89,$29,$0,$39,$321,$1089,$0,$1940,$37,$3096,$3416,$232,$1949,$229,$2178,$2411,$0,$-646,$-0,$1006,$3416,$186,$148,$25,$173,$-21,$0,$-1,$-16,$-45,$313,$-72,$0,$-123,$0,$0,$0,$-0,$-196,$69,$0,$69,$19,$19,$-199,$-1,$-113,$3,$18,$-199
