,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,2.14,$0.00,0.0,$4.33,0.49,$-0.79,0.0,$-0.34,0.0,$0.07B,$0.04B,1.65,$0.00B,$0.04B,0.0,$0.29B,$0.09B,29.93%,$0.29B,$-0.02B,-8.16%,$0.29B,$-0.02B,-8.16%,$0.29B,$-0.02B,-8.16%,$0.29B,$-0.02B,-8.16%,$0.29B,$-0.02B,-8.16%,$-0.02B,$0.04B,-48.73%,$-0.02B,$0.04B,-49.23%,$-0.02B,$0.08B,-24.43%,$-0.02B,$0.04B,-48.73%,$55,$41,$14,$0,$20,$65,$-10,$0,$-10,$-0,$-10,$-10,$-10,$-10,$-10,$67,67,$-0.14,$-0.14,$42,$12,$0,$70,$1,$6,$1,$0,$8,$78,$43,$0,$0,$0,$43,$0,$-177,$-0,$36,$78,$-17,$0,$2,$2,$1,$-1,$-10,$1,$-10,$-25,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-3,$-3,$0,$0,$-3,$-28,$1,$0
1,2018-03-31,2.23,$0.00,0.0,$4.64,0.48,$-0.53,0.0,$-0.23,0.0,$0.09B,$0.05B,1.71,$0.00B,$0.05B,0.0,$0.32B,$0.10B,32.18%,$0.32B,$-0.02B,-5.05%,$0.32B,$-0.02B,-5.05%,$0.32B,$-0.02B,-5.05%,$0.32B,$-0.02B,-5.05%,$0.32B,$-0.02B,-5.05%,$-0.02B,$0.05B,-28.70%,$-0.02B,$0.05B,-28.96%,$-0.02B,$0.10B,-14.99%,$-0.02B,$0.05B,-28.70%,$70,$50,$20,$0,$24,$78,$-8,$0,$-8,$0,$-8,$-8,$-8,$-8,$-8,$67,67,$-0.12,$-0.12,$55,$14,$0,$89,$1,$6,$1,$0,$8,$98,$52,$0,$0,$0,$52,$0,$-167,$0,$45,$98,$-8,$0,$1,$1,$0,$-2,$-3,$-1,$-6,$-12,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-3,$-3,$0,$0,$-3,$-15,$1,$0
2,2017-12-31,2.3,$0.00,0.0,$4.65,0.49,$-0.42,0.0,$-0.14,0.0,$0.10B,$0.05B,1.9,$0.00B,$0.06B,0.0,$0.32B,$0.11B,33.13%,$0.32B,$-0.01B,-3.44%,$0.32B,$-0.01B,-3.44%,$0.32B,$-0.01B,-3.13%,$0.32B,$-0.01B,-3.13%,$0.32B,$-0.01B,-3.13%,$-0.01B,$0.06B,-16.53%,$-0.01B,$0.06B,-16.74%,$-0.01B,$0.11B,-9.05%,$-0.01B,$0.06B,-18.18%,$92,$64,$27,$0,$26,$95,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$69,69,$-0.05,$-0.05,$70,$12,$0,$101,$1,$6,$1,$0,$8,$109,$53,$0,$0,$0,$53,$0,$-159,$-0,$55,$109,$-10,$1,$4,$5,$-1,$-3,$-0,$-5,$-10,$-15,$-1,$0,$0,$0,$-3,$-3,$-0,$-4,$0,$0,$0,$-3,$-3,$0,$0,$-3,$-21,$2,$0
3,2017-09-30,2.42,$0.00,0.0,$4.81,0.5,$-0.44,0.0,$-0.13,0.0,$0.10B,$0.05B,2.13,$0.00B,$0.06B,0.0,$0.32B,$0.11B,34.37%,$0.32B,$-0.01B,-2.79%,$0.32B,$-0.01B,-2.79%,$0.32B,$-0.01B,-2.48%,$0.32B,$-0.01B,-2.48%,$0.32B,$-0.01B,-2.48%,$-0.01B,$0.06B,-12.65%,$-0.01B,$0.06B,-12.85%,$-0.01B,$0.11B,-7.10%,$-0.01B,$0.06B,-14.23%,$77,$50,$27,$0,$24,$79,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$69,69,$-0.03,$-0.03,$71,$11,$0,$100,$1,$6,$1,$0,$7,$108,$47,$0,$0,$0,$47,$0,$-156,$-0,$61,$108,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2017-06-30,2.9,$0.00,0.0,$4.63,0.63,$-0.44,0.0,$-0.13,0.0,$0.11B,$0.05B,2.1,$0.00B,$0.06B,0.0,$0.31B,$0.11B,34.52%,$0.31B,$-0.01B,-2.90%,$0.31B,$-0.01B,-2.90%,$0.31B,$-0.01B,-2.58%,$0.31B,$-0.01B,-2.58%,$0.31B,$-0.01B,-2.58%,$-0.01B,$0.06B,-12.31%,$-0.01B,$0.06B,-12.45%,$-0.01B,$0.11B,-7.02%,$-0.01B,$0.06B,-13.85%,$78,$51,$28,$0,$25,$80,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$69,69,$-0.03,$-0.03,$80,$10,$0,$105,$1,$6,$1,$0,$7,$112,$50,$0,$0,$0,$50,$0,$-154,$-0,$62,$112,$-4,$0,$2,$2,$0,$-0,$-5,$1,$-6,$-8,$-0,$0,$0,$0,$-3,$-3,$0,$-3,$0,$0,$0,$-1,$-1,$0,$0,$-1,$-11,$1,$0
5,2017-03-31,2.81,$0.00,0.0,$4.44,0.63,$-0.49,0.0,$-0.13,0.0,$0.11B,$0.05B,2.21,$0.00B,$0.06B,0.0,$0.30B,$0.10B,34.56%,$0.30B,$-0.01B,-3.02%,$0.30B,$-0.01B,-3.02%,$0.30B,$-0.01B,-2.68%,$0.30B,$-0.01B,-2.68%,$0.30B,$-0.01B,-2.68%,$-0.01B,$0.06B,-11.94%,$-0.01B,$0.06B,-12.03%,$-0.01B,$0.11B,-6.96%,$-0.01B,$0.06B,-13.43%,$73,$48,$24,$0,$23,$75,$-3,$0,$-2,$0,$-2,$-2,$-2,$-2,$-3,$69,69,$-0.03,$-0.03,$85,$10,$0,$108,$1,$3,$1,$0,$4,$113,$49,$0,$0,$0,$49,$0,$-152,$-1,$64,$113,$-2,$0,$1,$1,$0,$1,$-5,$1,$-4,$-6,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-0,$-0,$0,$0,$-0,$-6,$0,$0
6,2016-12-31,2.97,$0.96,3.11,$4.80,0.62,$-0.50,0.0,$-0.14,0.0,$0.11B,$0.05B,2.17,$0.00B,$0.07B,0.0,$0.29B,$0.10B,35.62%,$0.29B,$-0.01B,-2.74%,$0.29B,$-0.01B,-2.74%,$0.29B,$-0.01B,-2.74%,$0.29B,$-0.01B,-2.74%,$0.29B,$-0.01B,-2.74%,$-0.01B,$0.07B,-11.59%,$-0.01B,$0.07B,-11.68%,$-0.01B,$0.12B,-6.79%,$-0.01B,$0.07B,-11.59%,$95,$63,$32,$0,$30,$98,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$64,64,$-0.04,$-0.04,$91,$11,$0,$114,$1,$2,$1,$0,$4,$118,$52,$0,$0,$0,$52,$0,$-150,$-1,$66,$118,$-9,$1,$6,$7,$-2,$-3,$-7,$-4,$-14,$-15,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-1,$-1,$0,$75,$75,$59,$2,$0
7,2016-09-30,2.85,$0.00,0.0,$5.16,0.55,$-1.08,0.0,$-0.17,0.0,$0.11B,$0.05B,2.43,$0.00B,$0.07B,0.0,$0.28B,$0.10B,36.27%,$0.28B,$-0.01B,-3.17%,$0.28B,$-0.01B,-3.17%,$0.28B,$-0.01B,-2.46%,$0.28B,$-0.01B,-3.52%,$0.28B,$-0.01B,-3.52%,$-0.01B,$0.07B,-19.23%,$-0.01B,$0.07B,-19.42%,$-0.01B,$0.11B,-9.80%,$-0.01B,$0.07B,-17.31%,$64,$42,$23,$0,$21,$67,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$69,69,$-0.03,$-0.03,$89,$9,$0,$108,$1,$3,$1,$0,$5,$113,$45,$0,$0,$0,$45,$0,$-147,$-0,$68,$113,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2016-06-30,3.4,$0.00,0.0,$5.71,0.6,$-1.08,0.0,$-0.32,0.0,$0.11B,$0.05B,2.44,$0.00B,$0.07B,0.0,$0.29B,$0.11B,36.55%,$0.29B,$-0.02B,-5.17%,$0.29B,$-0.02B,-5.17%,$0.29B,$-0.01B,-4.83%,$0.29B,$-0.02B,-5.86%,$0.29B,$-0.02B,-5.86%,$-0.02B,$0.07B,-48.23%,$-0.02B,$0.07B,-49.28%,$-0.02B,$0.12B,-19.21%,$-0.02B,$0.07B,-42.55%,$66,$41,$24,$0,$22,$68,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$69,69,$-0.03,$-0.03,$97,$7,$0,$111,$1,$3,$1,$0,$5,$116,$46,$0,$0,$0,$46,$0,$-145,$-0,$70,$116,$-4,$1,$3,$4,$-1,$2,$-15,$3,$-11,$-11,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$76,$76,$0,$-1,$76,$65,$1,$0
9,2016-03-31,2.4,$0.00,0.0,$6.40,0.37,$-1.29,0.0,$-0.41,0.0,$0.12B,$0.05B,2.28,$0.00B,$0.07B,0.0,$0.30B,$0.11B,36.75%,$0.30B,$-0.02B,-6.29%,$0.30B,$-0.02B,-6.29%,$0.30B,$-0.02B,-5.63%,$0.30B,$-0.02B,-6.95%,$0.30B,$-0.02B,-6.95%,$-0.02B,$0.07B,-103.70%,$-0.02B,$0.07B,-109.09%,$-0.02B,$0.12B,-26.42%,$-0.02B,$0.07B,-93.83%,$67,$43,$25,$0,$22,$70,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$48,48,$-0.04,$-0.04,$104,$8,$0,$119,$2,$3,$1,$0,$5,$124,$52,$0,$0,$0,$52,$0,$-143,$-0,$72,$124,$-2,$1,$2,$2,$-1,$2,$-9,$3,$-5,$-5,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$77,$77,$0,$0,$77,$72,$1,$0
