,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,212.62,$72.66,2.93,$126.27,1.68,$12.50,17.01,$10.88,19.54,$4.44B,$2.26B,1.96,$3.32B,$5.71B,0.58,$10.05B,$1.14B,11.36%,$10.05B,$1.10B,10.96%,$10.05B,$1.10B,10.96%,$10.05B,$1.41B,14.01%,$10.05B,$0.91B,9.01%,$10.05B,$1.07B,10.64%,$1.07B,$5.71B,19.71%,$1.07B,$-1.54B,-67.70%,$1.07B,$13.18B,8.17%,$1.10B,$9.03B,12.59%,$2519,$1842,$677,$0,$396,$2247,$272,$-46,$226,$18,$208,$208,$202,$342,$272,$79,79,$2.57,$2.54,$507,$911,$1707,$4435,$1156,$0,$7248,$345,$8749,$13184,$2260,$3320,$442,$5213,$7473,$6808,$7263,$-703,$5711,$13184,$795,$221,$-8,$213,$-166,$28,$57,$-621,$-666,$342,$-165,$0,$167,$0,$0,$0,$-28,$-26,$-67,$0,$-67,$-179,$-179,$-191,$-32,$-469,$-155,$47,$-191
1,2018-06-30,191.59,$70.45,2.72,$123.28,1.55,$16.50,11.61,$11.16,17.17,$5.11B,$2.80B,1.82,$3.32B,$5.51B,0.6,$9.82B,$1.08B,10.96%,$9.82B,$1.06B,10.80%,$9.82B,$1.06B,10.80%,$9.82B,$1.37B,13.91%,$9.82B,$0.87B,8.87%,$9.82B,$0.89B,9.05%,$0.89B,$5.51B,16.89%,$0.89B,$-1.43B,-53.39%,$0.89B,$13.53B,6.89%,$1.06B,$8.83B,12.35%,$2583,$1927,$656,$0,$383,$2262,$321,$-84,$237,$48,$189,$189,$375,$398,$321,$78,79,$4.78,$4.72,$1366,$934,$1611,$5106,$1137,$0,$6939,$348,$8424,$13530,$2803,$3319,$416,$5215,$8018,$6723,$7126,$-714,$5512,$13530,$587,$151,$-82,$69,$-137,$-10,$61,$-395,$-478,$178,$-107,$0,$466,$0,$0,$0,$-29,$330,$535,$0,$535,$-191,$-191,$-128,$-19,$197,$704,$34,$-128
2,2018-03-31,206.36,$67.87,3.04,$120.75,1.71,$19.18,10.76,$8.98,22.98,$4.48B,$2.34B,1.92,$3.33B,$5.32B,0.63,$9.62B,$1.07B,11.15%,$9.62B,$1.03B,10.75%,$9.62B,$1.03B,10.75%,$9.62B,$1.33B,13.83%,$9.62B,$0.89B,9.23%,$9.62B,$0.72B,7.44%,$0.72B,$5.32B,13.91%,$0.72B,$-1.60B,-39.66%,$0.72B,$12.87B,5.67%,$1.03B,$8.65B,12.20%,$2371,$1723,$648,$0,$397,$2120,$251,$-35,$216,$24,$192,$192,$203,$325,$251,$78,80,$2.60,$2.54,$374,$994,$2027,$4480,$1131,$0,$6916,$346,$8393,$12873,$2335,$3331,$397,$5218,$7553,$6607,$6814,$-645,$5320,$12873,$208,$74,$53,$127,$-73,$-65,$56,$-217,$-370,$-35,$-54,$0,$0,$0,$0,$0,$-29,$-83,$0,$0,$0,$-79,$-79,$-65,$-2,$-146,$-288,$20,$-65
3,2017-12-31,195.54,$66.14,2.96,$120.34,1.62,$20.87,9.37,$8.51,22.98,$4.45B,$2.38B,1.87,$3.33B,$5.15B,0.65,$9.57B,$1.02B,10.65%,$9.57B,$1.02B,10.65%,$9.57B,$1.02B,10.65%,$9.57B,$1.31B,13.68%,$9.57B,$0.87B,9.10%,$9.57B,$0.68B,7.07%,$0.68B,$5.15B,13.49%,$0.68B,$-1.76B,-34.96%,$0.68B,$12.73B,5.44%,$1.02B,$8.48B,12.22%,$2574,$3414,$-840,$0,$0,$2317,$257,$-31,$226,$-45,$271,$271,$289,$343,$257,$78,80,$3.70,$3.62,$662,$389,$135,$4448,$1110,$0,$6907,$264,$8281,$12729,$2379,$3330,$398,$5199,$7578,$6519,$6659,$-691,$5151,$12729,$693,$290,$205,$495,$-18,$-69,$99,$-160,$-127,$985,$-150,$0,$-298,$0,$0,$0,$-5,$-453,$0,$0,$0,$-120,$-120,$-236,$-10,$-366,$299,$53,$-236
4,2017-09-30,185.47,$64.92,2.86,$109.42,1.69,$20.95,8.85,$7.27,25.51,$4.10B,$2.28B,1.8,$3.33B,$5.07B,0.66,$8.69B,$2.10B,24.21%,$8.69B,$1.01B,11.58%,$8.69B,$1.01B,11.58%,$8.69B,$1.27B,14.60%,$8.69B,$0.85B,9.78%,$8.69B,$0.58B,6.63%,$0.58B,$5.07B,11.79%,$0.58B,$-1.88B,-28.92%,$0.58B,$12.47B,4.71%,$1.01B,$8.40B,12.25%,$2293,$1681,$612,$0,$380,$2061,$232,$-40,$192,$46,$146,$146,$22,$300,$232,$78,80,$0.28,$0.28,$439,$392,$219,$4099,$1145,$0,$6951,$273,$8369,$12468,$2283,$3329,$385,$5116,$7399,$6458,$6429,$-573,$5069,$12468,$400,$204,$228,$432,$3,$-46,$47,$-323,$-251,$581,$-84,$0,$-273,$0,$0,$0,$-7,$-364,$0,$0,$0,$-49,$-49,$-178,$-12,$-239,$76,$43,$-178
5,2017-06-30,163.78,$64.70,2.53,$112.48,1.46,$20.75,7.89,$8.87,18.46,$4.02B,$2.20B,1.83,$3.33B,$5.05B,0.66,$8.90B,$1.71B,19.17%,$8.90B,$0.99B,11.11%,$8.90B,$0.99B,11.11%,$8.90B,$1.25B,14.02%,$8.90B,$0.84B,9.42%,$8.90B,$0.70B,7.89%,$0.70B,$5.05B,14.69%,$0.70B,$-1.99B,-35.49%,$0.70B,$12.43B,5.82%,$0.99B,$8.37B,12.41%,$2385,$1732,$653,$0,$359,$2091,$294,$-40,$254,$59,$195,$195,$202,$363,$294,$78,80,$2.59,$2.54,$385,$355,$238,$4021,$1113,$0,$7035,$263,$8411,$12432,$2195,$3327,$375,$5190,$7385,$6396,$6466,$-636,$5047,$12432,$375,$136,$50,$186,$-88,$-12,$-99,$-165,$-246,$315,$-31,$0,$-175,$0,$0,$0,$-1,$-207,$0,$0,$0,$-3,$-3,$-119,$-8,$-130,$22,$28,$-119
6,2017-03-31,161.28,$61.65,2.62,$116.46,1.38,$21.16,7.62,$8.21,19.64,$3.87B,$2.23B,1.74,$3.33B,$4.80B,0.69,$9.18B,$1.30B,14.16%,$9.18B,$0.94B,10.26%,$9.18B,$0.94B,10.26%,$9.18B,$1.20B,13.06%,$9.18B,$0.79B,8.59%,$9.18B,$0.65B,7.05%,$0.65B,$4.80B,13.90%,$0.65B,$-2.12B,-32.93%,$0.65B,$12.16B,5.44%,$0.94B,$8.13B,12.22%,$2321,$1726,$595,$0,$358,$2084,$237,$-38,$199,$42,$157,$157,$164,$304,$237,$78,79,$2.11,$2.07,$230,$353,$233,$3872,$1123,$0,$6921,$248,$8292,$12164,$2229,$3326,$365,$5133,$7362,$6330,$6323,$-698,$4802,$12164,$168,$67,$57,$124,$-48,$-9,$91,$-207,$-206,$86,$-40,$0,$-123,$0,$0,$0,$5,$-158,$0,$0,$0,$2,$2,$-61,$-4,$-63,$-133,$14,$-61
7,2016-12-31,147.76,$59.87,2.47,$116.98,1.26,$21.64,6.83,$9.01,16.4,$3.91B,$2.19B,1.78,$3.33B,$4.62B,0.72,$9.21B,$0.96B,10.39%,$9.21B,$0.96B,10.39%,$9.21B,$0.96B,10.39%,$9.21B,$1.21B,13.15%,$9.21B,$0.80B,8.73%,$9.21B,$0.71B,7.71%,$0.71B,$4.62B,15.54%,$0.71B,$-1.98B,-36.45%,$0.71B,$11.87B,6.01%,$0.96B,$7.95B,12.64%,$1688,$1445,$243,$0,$0,$1445,$243,$-38,$205,$41,$164,$164,$188,$301,$243,$77,79,$2.44,$2.38,$363,$330,$175,$3907,$1107,$0,$6603,$248,$7958,$11865,$2194,$3325,$356,$5047,$7241,$6285,$6218,$-726,$4624,$11865,$724,$254,$99,$353,$1,$22,$-5,$-95,$-40,$1022,$-189,$0,$173,$0,$0,$0,$6,$-10,$-309,$0,$-309,$-310,$-310,$-220,$-17,$-856,$156,$49,$-220
8,2016-09-30,145.75,$59.98,2.43,$115.53,1.26,$21.36,6.82,$4.52,32.24,$4.01B,$2.75B,1.46,$2.78B,$4.64B,0.6,$9.16B,$0.94B,10.28%,$9.16B,$0.93B,10.13%,$9.16B,$0.93B,10.13%,$9.16B,$1.24B,13.51%,$9.16B,$0.78B,8.52%,$9.16B,$0.36B,3.89%,$0.36B,$4.64B,7.88%,$0.36B,$-1.83B,-18.11%,$0.36B,$11.81B,3.00%,$0.93B,$7.42B,12.42%,$2505,$2290,$215,$0,$0,$2290,$215,$-35,$180,$29,$151,$151,$148,$280,$215,$77,79,$1.91,$1.88,$411,$361,$160,$4009,$1083,$0,$6465,$250,$7802,$11811,$2750,$2782,$326,$4421,$7171,$6225,$6087,$-567,$4640,$11811,$532,$196,$126,$322,$-69,$-31,$130,$-309,$-268,$586,$-111,$0,$534,$0,$0,$0,$7,$430,$-305,$0,$-305,$-274,$-274,$-166,$-8,$-753,$204,$34,$-166
9,2016-06-30,141.18,$59.06,2.39,$115.32,1.22,$21.03,6.71,$-1.10,0.0,$3.86B,$2.68B,1.44,$2.78B,$4.56B,0.61,$9.22B,$1.00B,10.86%,$9.22B,$0.94B,10.24%,$9.22B,$0.94B,10.24%,$9.22B,$1.26B,13.65%,$9.22B,$0.79B,8.58%,$9.22B,$-0.09B,-0.99%,$-0.09B,$4.56B,-2.01%,$-0.09B,$-1.94B,4.16%,$-0.09B,$11.70B,-0.75%,$0.94B,$7.34B,12.15%,$2664,$2417,$247,$0,$0,$2417,$247,$-43,$204,$53,$151,$151,$147,$314,$247,$77,78,$1.90,$1.88,$352,$356,$182,$3860,$1075,$0,$6496,$265,$7840,$11700,$2679,$2780,$374,$4462,$7141,$6165,$5992,$-544,$4559,$11700,$381,$131,$59,$190,$-62,$-24,$118,$-210,$-178,$376,$-64,$0,$548,$0,$0,$0,$6,$490,$-305,$0,$-305,$-242,$-242,$-112,$-6,$-665,$145,$19,$-112
