,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,64.4,$60.31,1.07,$156.39,0.41,$7.44,8.66,0.0,0.0,$1.32B,$0.72B,1.85,$2.86B,$2.34B,1.22,$6.22B,$2.17B,34.86%,$6.22B,$0.30B,4.84%,$6.22B,$0.30B,4.84%,$6.22B,$0.63B,10.16%,$6.22B,$0.01B,0.18%,$6.22B,$0.04B,0.59%,$0.04B,$2.34B,1.61%,$0.04B,$0.53B,7.72%,$0.04B,$6.28B,0.59%,$0.30B,$5.20B,5.82%,$1557,$1016,$541,$0,$0,$1476,$81,$-77,$4,$-19,$23,$23,$22,$162,$81,$39,40,$0.57,$0.56,$160,$155,$122,$1321,$3007,$0,$1812,$137,$4956,$6277,$715,$2860,$227,$3225,$3940,$1,$1945,$-4,$2337,$6277,$73,$244,$173,$417,$7,$14,$0,$0,$-86,$398,$-243,$0,$10,$0,$0,$0,$-8,$-241,$-13,$0,$-13,$-41,$-41,$0,$-56,$-110,$48,$43,$0
1,2018-06-30,48.8,$59.12,0.83,$155.90,0.31,$4.22,11.58,0.0,0.0,$1.28B,$0.69B,1.85,$2.91B,$2.29B,1.27,$6.24B,$2.19B,35.13%,$6.24B,$0.31B,4.95%,$6.24B,$0.31B,4.95%,$6.24B,$0.65B,10.35%,$6.24B,$0.06B,0.99%,$6.24B,$0.04B,0.69%,$0.04B,$2.29B,1.88%,$0.04B,$0.48B,9.01%,$0.04B,$6.22B,0.68%,$0.31B,$5.20B,5.97%,$1570,$996,$574,$0,$0,$1464,$106,$-34,$72,$17,$55,$55,$52,$187,$106,$39,40,$1.35,$1.33,$144,$153,$101,$1277,$3004,$0,$1812,$123,$4939,$6216,$691,$2906,$227,$3236,$3927,$1,$1923,$-4,$2290,$6216,$50,$163,$66,$229,$7,$14,$0,$0,$-47,$235,$-138,$0,$2,$0,$0,$0,$-4,$-140,$31,$0,$31,$-41,$-41,$0,$-54,$-64,$32,$15,$0
2,2018-03-31,47.0,$57.92,0.81,$154.77,0.3,$2.82,16.67,0.0,0.0,$1.32B,$0.75B,1.76,$2.90B,$2.25B,1.29,$6.26B,$2.19B,34.93%,$6.26B,$0.31B,4.90%,$6.26B,$0.31B,4.90%,$6.26B,$0.65B,10.39%,$6.26B,$0.06B,0.96%,$6.26B,$0.03B,0.54%,$0.03B,$2.25B,1.48%,$0.03B,$0.44B,7.11%,$0.03B,$6.26B,0.54%,$0.31B,$5.15B,5.92%,$1603,$1029,$574,$0,$0,$1496,$107,$-110,$-3,$3,$-5,$-5,$-9,$189,$107,$39,39,$-0.22,$-0.22,$140,$152,$129,$1319,$3001,$0,$1811,$125,$4938,$6257,$751,$2895,$221,$3253,$4004,$1,$1871,$-4,$2253,$6257,$-5,$82,$56,$138,$-19,$-6,$0,$0,$-30,$101,$-56,$0,$2,$0,$0,$0,$-7,$-61,$21,$0,$21,$-32,$-32,$0,$-0,$-11,$28,$8,$0
3,2017-12-31,49.8,$58.08,0.86,$153.25,0.32,$2.24,22.19,0.0,0.0,$1.27B,$0.75B,1.7,$2.88B,$2.29B,1.26,$6.29B,$2.18B,34.64%,$6.29B,$0.31B,4.90%,$6.29B,$0.31B,4.90%,$6.29B,$0.66B,10.46%,$6.29B,$0.16B,2.53%,$6.29B,$0.10B,1.64%,$0.10B,$2.29B,4.46%,$0.10B,$0.47B,21.49%,$0.10B,$6.29B,1.62%,$0.31B,$5.16B,5.93%,$1490,$1011,$479,$0,$0,$1483,$7,$-69,$-62,$-35,$-27,$-27,$-28,$94,$7,$40,41,$-0.68,$-0.65,$112,$153,$111,$1265,$3090,$0,$1814,$117,$5021,$6286,$745,$2877,$221,$3256,$4001,$1,$1879,$-4,$2286,$6286,$113,$351,$-5,$345,$76,$-32,$0,$0,$22,$472,$-474,$0,$104,$0,$0,$0,$1,$-370,$-18,$0,$-18,$-60,$-60,$0,$-9,$-86,$16,$25,$0
4,2017-09-30,57.9,$58.80,0.98,$153.87,0.38,$3.13,18.47,0.0,0.0,$1.43B,$0.78B,1.85,$2.88B,$2.33B,1.24,$6.41B,$2.27B,35.36%,$6.41B,$0.40B,6.24%,$6.41B,$0.40B,6.24%,$6.41B,$0.74B,11.54%,$6.41B,$0.29B,4.59%,$6.41B,$0.18B,2.73%,$0.18B,$2.33B,7.62%,$0.18B,$0.52B,38.57%,$0.18B,$6.39B,2.76%,$0.40B,$5.21B,7.72%,$1576,$1011,$565,$0,$0,$1487,$89,$-34,$55,$25,$30,$30,$28,$176,$89,$40,41,$0.69,$0.67,$166,$153,$144,$1429,$3030,$0,$1812,$118,$4960,$6389,$775,$2882,$231,$3287,$4061,$1,$1907,$-3,$2328,$6389,$140,$264,$-39,$225,$2,$6,$0,$0,$-64,$293,$-266,$0,$110,$0,$0,$0,$-2,$-158,$-13,$0,$-13,$-46,$-46,$0,$-7,$-65,$70,$19,$0
5,2017-06-30,67.15,$57.97,1.16,$152.13,0.44,$4.94,13.6,0.0,0.0,$1.31B,$0.72B,1.82,$2.88B,$2.33B,1.24,$6.42B,$2.27B,35.36%,$6.42B,$0.41B,6.37%,$6.42B,$0.41B,6.37%,$6.42B,$0.75B,11.71%,$6.42B,$0.30B,4.74%,$6.42B,$0.19B,2.91%,$0.19B,$2.33B,8.21%,$0.19B,$0.48B,42.40%,$0.19B,$6.33B,2.95%,$0.41B,$5.21B,7.92%,$1595,$1025,$570,$0,$0,$1491,$104,$-33,$70,$24,$46,$46,$43,$192,$104,$40,41,$1.06,$1.03,$131,$156,$60,$1314,$3068,$0,$1846,$104,$5018,$6332,$722,$2882,$231,$3282,$4004,$1,$1879,$-3,$2329,$6332,$110,$177,$-50,$127,$12,$20,$0,$0,$-26,$202,$-158,$0,$15,$0,$0,$0,$-2,$-145,$-9,$0,$-9,$-11,$-11,$0,$-2,$-22,$35,$12,$0
6,2017-03-31,65.5,$56.89,1.15,$149.46,0.44,$4.59,14.29,0.0,0.0,$1.35B,$0.78B,1.74,$2.89B,$2.30B,1.26,$6.41B,$2.26B,35.27%,$6.41B,$0.39B,6.02%,$6.41B,$0.39B,6.02%,$6.41B,$0.73B,11.35%,$6.41B,$0.26B,4.12%,$6.41B,$0.16B,2.51%,$0.16B,$2.30B,7.09%,$0.16B,$0.45B,35.74%,$0.16B,$6.35B,2.54%,$0.39B,$5.18B,7.48%,$1630,$1065,$565,$0,$0,$1523,$108,$-12,$96,$32,$64,$64,$60,$196,$108,$40,41,$1.50,$1.46,$126,$155,$79,$1349,$3054,$0,$1851,$99,$5003,$6352,$776,$2887,$226,$3280,$4056,$1,$1837,$-3,$2297,$6352,$64,$88,$-49,$39,$-10,$0,$0,$0,$-4,$92,$-69,$0,$13,$0,$0,$0,$-3,$-59,$-4,$0,$-4,$4,$4,$0,$-2,$-3,$30,$7,$0
7,2016-12-31,56.8,$55.79,1.02,$145.42,0.39,$4.83,11.75,0.0,0.0,$1.32B,$0.79B,1.67,$2.89B,$2.23B,1.3,$6.36B,$2.25B,35.36%,$6.36B,$0.35B,5.45%,$6.36B,$0.35B,5.45%,$6.36B,$0.69B,10.86%,$6.36B,$0.21B,3.22%,$6.36B,$0.12B,1.93%,$0.12B,$2.23B,5.39%,$0.12B,$0.37B,25.89%,$0.12B,$6.32B,1.94%,$0.35B,$5.12B,6.77%,$1605,$1040,$566,$0,$0,$1506,$99,$-26,$73,$26,$47,$47,$44,$175,$99,$42,43,$1.07,$1.04,$96,$154,$80,$1315,$3067,$0,$1858,$79,$5004,$6319,$788,$2892,$247,$3302,$4091,$1,$1777,$-3,$2228,$6319,$132,$345,$49,$393,$-124,$-25,$0,$0,$-84,$435,$-400,$0,$-121,$0,$0,$0,$-0,$-521,$164,$0,$164,$-221,$-221,$0,$-45,$-102,$-188,$29,$0
8,2016-09-30,59.23,$55.03,1.08,$137.99,0.43,$11.65,5.08,0.0,0.0,$1.41B,$0.78B,1.8,$2.89B,$2.25B,1.28,$6.13B,$2.19B,35.64%,$6.13B,$0.35B,5.63%,$6.13B,$0.35B,5.63%,$6.13B,$0.67B,10.96%,$6.13B,$0.22B,3.57%,$6.13B,$0.13B,2.15%,$0.13B,$2.25B,5.74%,$0.13B,$0.47B,25.13%,$0.13B,$6.33B,2.11%,$0.35B,$5.14B,6.78%,$1586,$1017,$569,$0,$0,$1487,$98,$-34,$65,$24,$41,$41,$40,$188,$98,$42,43,$0.94,$0.92,$241,$154,$59,$1413,$3048,$0,$1788,$80,$4916,$6329,$784,$2889,$253,$3293,$4076,$1,$1733,$-3,$2253,$6329,$85,$269,$26,$295,$-105,$5,$0,$0,$-44,$333,$-226,$0,$-120,$0,$0,$0,$-1,$-347,$-1182,$1350,$168,$-157,$-157,$0,$-40,$-29,$-43,$23,$0
9,2016-06-30,65.37,$54.13,1.21,$129.48,0.5,$17.58,3.72,0.0,0.0,$1.48B,$0.76B,1.94,$2.89B,$2.31B,1.25,$5.85B,$2.09B,35.77%,$5.85B,$0.34B,5.83%,$5.85B,$0.34B,5.83%,$5.85B,$0.65B,11.15%,$5.85B,$0.23B,3.86%,$5.85B,$0.14B,2.32%,$0.14B,$2.31B,5.89%,$0.14B,$0.52B,24.98%,$0.14B,$6.36B,2.24%,$0.34B,$5.20B,6.94%,$1592,$1029,$563,$0,$0,$1512,$81,$-50,$30,$10,$20,$20,$17,$169,$81,$43,44,$0.39,$0.38,$274,$151,$61,$1477,$3017,$0,$1789,$79,$4885,$6362,$763,$2894,$248,$3289,$4052,$1,$1694,$-3,$2310,$6362,$44,$179,$17,$196,$-128,$-1,$0,$0,$-81,$155,$-123,$0,$-119,$0,$0,$0,$-1,$-242,$172,$0,$172,$-55,$-55,$0,$-40,$78,$-10,$17,$0
