,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,9.4,$5.91,1.59,$16.27,0.58,$3.10,3.03,$0.07,134.29,$3.05B,$5.65B,0.54,$0.00B,$3.58B,0.0,$9.87B,$2.00B,20.29%,$9.87B,$0.73B,7.42%,$9.87B,$0.73B,7.42%,$9.87B,$0.73B,7.42%,$9.87B,$0.21B,2.11%,$9.87B,$0.10B,1.01%,$0.10B,$3.58B,2.53%,$0.10B,$-0.04B,-360.36%,$0.10B,$17.20B,0.55%,$0.73B,$3.58B,18.50%,$2386,$1944,$442,$0,$129,$2199,$187,$-152,$35,$-20,$55,$55,$53,$187,$187,$606,606,$0.09,$0.09,$686,$268,$934,$3051,$9902,$0,$3624,$325,$14150,$17201,$5654,$0,$7047,$7962,$13617,$3146,$494,$0,$3584,$17201,$0,$0,$736,$736,$0,$0,$0,$0,$0,$736,$-502,$148,$0,$0,$-120,$-120,$48,$-427,$-552,$243,$-309,$0,$0,$-68,$-249,$-625,$-456,$0,$-68
1,2018-06-30,9.89,$6.03,1.64,$16.46,0.6,$3.88,2.55,$0.33,29.97,$3.15B,$5.63B,0.56,$0.00B,$3.66B,0.0,$9.98B,$2.20B,22.02%,$9.98B,$0.77B,7.73%,$9.98B,$0.77B,7.73%,$9.98B,$0.77B,7.73%,$9.98B,$0.38B,3.78%,$9.98B,$0.21B,2.08%,$0.21B,$3.66B,5.01%,$0.21B,$-0.09B,-569.86%,$0.21B,$17.39B,1.12%,$0.77B,$3.66B,18.56%,$2256,$1920,$336,$0,$180,$2219,$38,$-157,$-119,$-7,$-112,$-112,$-114,$38,$38,$606,606,$-0.19,$-0.19,$774,$248,$834,$3147,$9887,$0,$3741,$293,$14245,$17392,$5632,$0,$7103,$8104,$13737,$3146,$446,$0,$3656,$17392,$0,$0,$461,$461,$0,$0,$0,$0,$0,$461,$-277,$171,$0,$0,$6,$6,$12,$-48,$-578,$205,$-373,$0,$0,$-63,$-188,$-625,$-368,$0,$-63
2,2018-03-31,15.31,$7.12,2.15,$16.27,0.94,$4.04,3.79,$0.29,52.78,$3.65B,$5.94B,0.61,$0.00B,$4.32B,0.0,$9.87B,$2.26B,22.94%,$9.87B,$0.77B,7.76%,$9.87B,$0.77B,7.76%,$9.87B,$0.77B,7.76%,$9.87B,$0.40B,4.05%,$9.87B,$0.18B,1.86%,$0.18B,$4.32B,4.32%,$0.18B,$0.04B,-288.63%,$0.18B,$18.69B,0.97%,$0.77B,$4.32B,17.99%,$2614,$2020,$594,$0,$199,$2389,$225,$-71,$154,$47,$108,$108,$94,$225,$225,$606,606,$0.16,$0.16,$814,$267,$1187,$3645,$10055,$0,$4280,$308,$15043,$18688,$5939,$0,$7358,$8433,$14371,$3146,$531,$0,$4317,$18688,$0,$0,$326,$326,$0,$0,$0,$0,$0,$326,$-179,$87,$0,$0,$-180,$-180,$16,$-256,$-380,$80,$-300,$0,$0,$-10,$-63,$-373,$-328,$0,$-10
3,2017-12-31,13.83,$7.04,1.96,$15.85,0.87,$3.97,3.49,$0.25,55.3,$3.75B,$5.84B,0.64,$0.00B,$4.27B,0.0,$9.62B,$2.17B,22.59%,$9.62B,$0.71B,7.35%,$9.62B,$0.71B,7.35%,$9.62B,$0.71B,7.35%,$9.62B,$0.37B,3.89%,$9.62B,$0.16B,1.62%,$0.16B,$4.27B,3.66%,$0.16B,$-0.02B,-154.46%,$0.16B,$18.80B,0.82%,$0.71B,$4.27B,16.59%,$2612,$1982,$630,$0,$284,$2329,$282,$-145,$138,$66,$72,$72,$67,$282,$282,$606,606,$-0.35,$-0.35,$1142,$237,$1072,$3745,$10065,$0,$4290,$309,$15052,$18798,$5843,$0,$7637,$8688,$14531,$3146,$475,$0,$4267,$18798,$0,$0,$1667,$1667,$0,$0,$0,$0,$0,$1667,$-352,$-87,$0,$0,$142,$142,$10,$-287,$-869,$132,$-736,$0,$0,$-67,$-376,$-1179,$193,$0,$-67
4,2017-09-30,13.18,$7.22,1.83,$15.98,0.82,$2.46,5.35,$0.24,54.91,$3.76B,$5.80B,0.65,$0.00B,$4.38B,0.0,$9.42B,$2.15B,22.82%,$9.42B,$0.55B,5.84%,$9.42B,$0.55B,5.84%,$9.42B,$0.55B,5.84%,$9.42B,$0.27B,2.81%,$9.42B,$0.14B,1.52%,$0.14B,$4.38B,3.37%,$0.14B,$-0.07B,-110.85%,$0.14B,$19.13B,0.75%,$0.55B,$4.38B,12.97%,$2498,$1859,$638,$0,$242,$2272,$226,$-21,$204,$26,$178,$178,$161,$226,$226,$606,606,$0.27,$0.27,$940,$243,$1284,$3763,$10180,$0,$4451,$294,$15363,$19126,$5802,$0,$7897,$8947,$14749,$3146,$428,$0,$4377,$19126,$0,$0,$956,$956,$0,$0,$0,$0,$0,$956,$-247,$-36,$0,$0,$67,$67,$12,$-204,$-597,$132,$-465,$0,$0,$-53,$-253,$-772,$-9,$0,$-53
5,2017-06-30,11.01,$6.72,1.64,$16.20,0.68,$1.47,7.51,$-0.01,0.0,$3.91B,$5.77B,0.68,$0.00B,$4.08B,0.0,$9.29B,$2.05B,22.11%,$9.29B,$0.49B,5.23%,$9.29B,$0.49B,5.23%,$9.29B,$0.49B,5.23%,$9.29B,$0.13B,1.40%,$9.29B,$-0.01B,-0.14%,$-0.01B,$4.08B,-0.32%,$-0.01B,$-0.20B,4.22%,$-0.01B,$19.17B,-0.07%,$0.49B,$4.08B,12.05%,$2145,$1743,$402,$0,$208,$2112,$33,$-129,$-96,$28,$-124,$-124,$-138,$33,$33,$606,606,$0.23,$0.23,$1151,$234,$1218,$3905,$10284,$0,$4269,$297,$15262,$19167,$5774,$0,$8308,$9319,$15093,$3146,$294,$0,$4075,$19167,$0,$0,$470,$470,$0,$0,$0,$0,$0,$470,$-189,$-18,$0,$0,$31,$31,$9,$-162,$-38,$100,$62,$0,$0,$-43,$-110,$-91,$201,$0,$-43
6,2017-03-31,12.57,$0.00,0.0,$16.26,0.77,$1.06,11.87,$0.05,251.34,$3.51B,$6.07B,0.58,$0.00B,$4.33B,0.0,$9.11B,$1.95B,21.40%,$9.11B,$0.44B,4.81%,$9.11B,$0.44B,4.81%,$9.11B,$0.44B,4.81%,$9.11B,$0.20B,2.23%,$9.11B,$0.03B,0.36%,$0.03B,$4.33B,0.85%,$0.03B,$-0.11B,-7.17%,$0.03B,$19.11B,0.17%,$0.44B,$4.33B,11.23%,$2360,$1858,$502,$0,$205,$2194,$166,$-37,$128,$53,$75,$75,$66,$166,$166,$606,606,$0.11,$0.11,$853,$235,$1240,$3507,$10387,$0,$4443,$337,$15598,$19105,$6066,$0,$7663,$8709,$14774,$3150,$412,$0,$4331,$19105,$0,$0,$168,$168,$0,$0,$0,$0,$0,$168,$-67,$-17,$0,$0,$23,$23,$4,$-58,$-323,$100,$-223,$0,$0,$-12,$17,$-218,$-96,$0,$-12
7,2016-12-31,8.11,$6.90,1.18,$16.47,0.49,$0.50,16.26,$0.13,62.41,$3.63B,$6.22B,0.58,$0.00B,$4.19B,0.0,$8.99B,$2.02B,22.49%,$8.99B,$0.50B,5.51%,$8.99B,$0.50B,5.51%,$8.99B,$0.50B,5.51%,$8.99B,$0.27B,3.04%,$8.99B,$0.07B,0.77%,$0.07B,$4.19B,1.90%,$0.07B,$-0.14B,-11.55%,$0.07B,$19.20B,0.36%,$0.50B,$4.19B,13.62%,$2421,$1812,$609,$0,$315,$2297,$125,$-95,$29,$-34,$64,$64,$54,$125,$125,$547,547,$0.10,$0.10,$949,$241,$1262,$3627,$10498,$0,$4321,$339,$15571,$19198,$6222,$0,$7793,$8791,$15013,$3150,$366,$0,$4185,$19198,$0,$0,$981,$981,$0,$0,$0,$0,$0,$981,$-618,$-89,$0,$0,$263,$263,$12,$-432,$-616,$280,$-336,$608,$608,$-41,$-627,$-396,$196,$0,$-41
8,2016-09-30,8.05,$6.49,1.24,$16.27,0.49,$0.21,38.85,$-0.00,0.0,$2.95B,$6.05B,0.49,$0.00B,$3.54B,0.0,$8.88B,$1.96B,22.02%,$8.88B,$0.45B,5.09%,$8.88B,$0.45B,5.09%,$8.88B,$0.45B,5.09%,$8.88B,$0.18B,2.03%,$8.88B,$-0.00B,-0.01%,$-0.00B,$3.54B,-0.03%,$-0.00B,$-0.79B,0.14%,$-0.00B,$19.04B,-0.01%,$0.45B,$3.54B,13.60%,$2366,$1825,$541,$0,$231,$2204,$162,$-93,$69,$52,$16,$16,$5,$162,$162,$546,546,$0.01,$0.01,$708,$223,$1028,$2950,$10900,$0,$4330,$436,$16090,$19040,$6054,$0,$8409,$9445,$15499,$2541,$328,$0,$3541,$19040,$0,$0,$618,$618,$0,$0,$0,$0,$0,$618,$-522,$12,$0,$0,$124,$124,$-3,$-391,$-76,$230,$154,$0,$0,$-31,$-453,$-330,$-45,$0,$-31
9,2016-06-30,6.55,$6.49,1.01,$16.38,0.4,$0.71,9.21,$-0.22,0.0,$2.84B,$6.22B,0.46,$0.00B,$3.54B,0.0,$8.94B,$1.93B,21.62%,$8.94B,$0.42B,4.71%,$8.94B,$0.42B,4.71%,$8.94B,$0.42B,4.71%,$8.94B,$-0.08B,-0.84%,$8.94B,$-0.12B,-1.33%,$-0.12B,$3.54B,-3.75%,$-0.12B,$-0.81B,17.58%,$-0.12B,$19.05B,-0.65%,$0.42B,$3.54B,8.40%,$1967,$1669,$298,$0,$145,$1982,$-15,$-7,$-23,$63,$-85,$-85,$-92,$-15,$-15,$546,546,$-0.17,$-0.17,$637,$228,$1024,$2841,$10997,$0,$4344,$438,$16206,$19047,$6220,$0,$8285,$9288,$15507,$2546,$325,$0,$3539,$19047,$0,$0,$419,$419,$0,$0,$0,$0,$0,$419,$-389,$-28,$0,$0,$153,$153,$-2,$-267,$-202,$230,$28,$0,$0,$-20,$-367,$-359,$-116,$0,$-20
