,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.07,$1.58,2.58,$2.48,1.64,$0.02,246.67,$0.07,58.14,$0.03B,$0.01B,3.49,$0.00B,$0.04B,0.0,$0.05B,$0.03B,57.45%,$0.05B,$0.00B,2.13%,$0.05B,$0.00B,2.13%,$0.05B,$0.00B,2.13%,$0.05B,$0.00B,2.13%,$0.05B,$0.00B,2.13%,$0.00B,$0.04B,3.92%,$0.00B,$0.03B,6.35%,$0.00B,$0.05B,2.82%,$0.00B,$0.04B,3.92%,$12,$6,$7,$2,$4,$12,$-0,$-0,$-0,$0,$-0,$-0,$-0,$0,$-0,$19,19,$0.00,$0.00,$19,$8,$0,$34,$1,$0,$9,$0,$11,$45,$10,$0,$0,$0,$10,$0,$-189,$0,$35,$45,$-0,$0,$0,$1,$-0,$0,$0,$0,$-1,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$10,$10,$0,$-0,$10,$9,$0,$0
1,2018-06-30,2.84,$1.26,2.26,$2.43,1.17,$0.05,59.54,$0.03,94.67,$0.02B,$0.01B,2.39,$0.00B,$0.02B,0.0,$0.05B,$0.03B,56.52%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.00B,2.17%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$12,$5,$7,$2,$4,$11,$1,$-0,$1,$0,$1,$1,$1,$1,$1,$18,19,$0.05,$0.05,$10,$8,$0,$23,$1,$0,$9,$0,$11,$34,$10,$0,$0,$0,$10,$0,$-190,$0,$24,$34,$1,$0,$1,$2,$-1,$-1,$1,$-0,$-2,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$1,$1,$0,$-0,$1,$1,$1,$0
2,2018-03-31,2.06,$1.20,1.72,$2.44,0.84,$0.14,14.9,$-0.01,0.0,$0.02B,$0.01B,2.18,$0.00B,$0.02B,0.0,$0.05B,$0.03B,55.56%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$0.05B,0,0.00%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$-0.00B,$0.02B,-4.76%,$-0.00B,$0.01B,-8.70%,$-0.00B,$0.03B,-3.25%,$-0.00B,$0.02B,-4.76%,$12,$5,$7,$2,$4,$11,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$18,19,$0.02,$0.02,$9,$7,$0,$21,$1,$0,$9,$0,$11,$32,$10,$0,$0,$0,$10,$0,$-190,$0,$22,$32,$-0,$0,$1,$1,$-0,$-1,$1,$-0,$-1,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$1,$1,$0,$-0,$0,$1,$1,$0
3,2017-12-31,2.02,$1.17,1.73,$2.49,0.81,$0.18,10.94,$-0.04,0.0,$0.02B,$0.01B,2.15,$0.00B,$0.02B,0.0,$0.05B,$0.02B,53.33%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$0.05B,0,0.00%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$-0.00B,$0.02B,-4.88%,$-0.00B,$0.01B,-8.89%,$-0.00B,$0.03B,-3.31%,$-0.00B,$0.02B,-4.88%,$11,$5,$6,$2,$4,$11,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$18,19,$0.01,$0.01,$8,$7,$0,$20,$1,$0,$9,$0,$11,$31,$10,$0,$0,$0,$10,$0,$-191,$0,$21,$31,$-0,$0,$1,$1,$-1,$-0,$1,$-1,$-0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$0,$0,$1,$0
4,2017-09-30,2.43,$1.14,2.14,$2.52,0.97,$0.23,10.77,$-0.05,0.0,$0.02B,$0.01B,2.17,$0.00B,$0.02B,0.0,$0.05B,$0.02B,53.33%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$0.05B,0,0.00%,$0.05B,$-0.00B,-2.22%,$0.05B,$-0.00B,-2.22%,$-0.00B,$0.02B,-4.94%,$-0.00B,$0.01B,-9.09%,$-0.00B,$0.03B,-3.36%,$-0.00B,$0.02B,-4.94%,$11,$5,$6,$2,$4,$11,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$18,18,$-0.04,$-0.04,$8,$7,$0,$19,$1,$0,$9,$0,$11,$30,$9,$0,$0,$0,$9,$0,$-191,$0,$20,$30,$-1,$0,$0,$0,$1,$0,$1,$-0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$0,$0,$0,$0
5,2017-06-30,2.43,$1.16,2.09,$2.56,0.95,$0.23,10.52,$-0.02,0.0,$0.02B,$0.01B,2.16,$0.00B,$0.02B,0.0,$0.05B,$0.02B,53.33%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$11,$5,$6,$2,$4,$11,$-0,$-0,$-0,$0,$-0,$-0,$-0,$0,$-0,$17,17,$0.00,$0.00,$8,$7,$0,$19,$1,$0,$9,$0,$11,$30,$9,$0,$0,$0,$9,$0,$-190,$0,$21,$30,$-0,$1,$1,$2,$-0,$-0,$-0,$0,$1,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$1,$1,$0,$-0,$0,$2,$1,$0
6,2017-03-31,3.88,$1.15,3.36,$2.61,1.48,$0.10,37.89,$-0.04,0.0,$0.02B,$0.01B,2.13,$0.00B,$0.02B,0.0,$0.05B,$0.02B,51.11%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$12,$5,$6,$2,$4,$12,$-0,$-0,$-0,$0,$-0,$-0,$-0,$0,$-0,$18,18,$-0.01,$-0.01,$7,$8,$0,$19,$1,$0,$9,$0,$11,$30,$9,$0,$0,$0,$9,$0,$-190,$0,$20,$30,$-0,$0,$1,$1,$0,$-1,$-0,$1,$1,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$0,$1,$1,$0
7,2016-12-31,1.7,$1.15,1.48,$2.61,0.65,$-0.03,0.0,$-0.06,0.0,$0.02B,$0.01B,2.13,$0.00B,$0.02B,0.0,$0.04B,$0.02B,51.16%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$11,$5,$6,$2,$4,$11,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$17,18,$0.00,$0.00,$7,$8,$0,$18,$1,$0,$9,$0,$11,$29,$9,$0,$0,$0,$9,$0,$-190,$0,$20,$29,$-0,$0,$0,$1,$0,$-1,$-0,$0,$0,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$1,$0,$0
8,2016-09-30,1.4,$1.15,1.22,$2.61,0.54,$-0.10,0.0,$-0.12,0.0,$0.02B,$0.01B,2.13,$0.00B,$0.02B,0.01,$0.04B,$0.02B,50.00%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$-0.00B,$0.02B,-5.26%,$-0.00B,$0.01B,-11.11%,$-0.00B,$0.03B,-3.67%,$-0.00B,$0.02B,-5.26%,$11,$5,$6,$2,$4,$11,$-0,$-0,$-0,$0,$-0,$-0,$-0,$0,$-0,$17,17,$-0.01,$-0.01,$6,$7,$0,$17,$1,$0,$9,$0,$11,$28,$8,$0,$0,$0,$9,$0,$-190,$0,$20,$28,$-0,$0,$0,$0,$-0,$-1,$0,$1,$-0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$0,$0,$0
9,2016-06-30,0.97,$1.14,0.85,$2.67,0.36,$-0.13,0.0,$-0.13,0.0,$0.02B,$0.01B,2.19,$0.00B,$0.02B,0.01,$0.04B,$0.02B,47.62%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$0.04B,$-0.00B,-2.38%,$-0.00B,$0.02B,-5.33%,$-0.00B,$0.01B,-11.43%,$-0.00B,$0.03B,-3.64%,$-0.00B,$0.02B,-5.33%,$11,$6,$5,$2,$3,$11,$-0,$0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$15,15,$-0.02,$-0.02,$6,$7,$0,$17,$2,$0,$9,$0,$11,$28,$8,$0,$0,$0,$8,$0,$-190,$0,$20,$28,$-2,$1,$1,$2,$-1,$3,$-1,$-1,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-1,$-1,$2,$2,$0,$-0,$1,$1,$1,$0
