,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.67,$-0.28,-38.44,$0.75,14.28,$-4.29,0.0,$-1.26,0.0,$0.20B,$0.07B,2.9,$0.24B,$-0.03B,-8.29,$0.08B,$0.08B,97.47%,$0.08B,$-0.12B,-154.43%,$0.08B,$-0.12B,-154.43%,$0.08B,$-0.12B,-149.37%,$0.08B,$-0.14B,-173.42%,$0.08B,$-0.13B,-168.35%,$-0.13B,$-0.03B,-1209.09%,$-0.13B,$-0.13B,156.47%,$-0.13B,$0.31B,-36.26%,$-0.12B,$0.21B,-49.64%,$7,$1,$6,$14,$16,$30,$-23,$-4,$-28,$0,$-28,$-28,$-28,$-22,$-23,$106,106,$-0.26,$-0.26,$187,$5,$0,$198,$16,$0,$95,$0,$112,$310,$69,$244,$0,$271,$340,$0,$-1471,$-0,$-29,$310,$-104,$4,$9,$13,$2,$-3,$-5,$-24,$-30,$-121,$-0,$0,$0,$111,$0,$111,$0,$111,$-2,$0,$-2,$-0,$-0,$0,$0,$-2,$-13,$9,$0
1,2018-06-30,12.0,$-0.05,-250.52,$0.94,12.8,$-4.58,0.0,$-1.29,0.0,$0.22B,$0.08B,2.71,$0.23B,$-0.01B,-45.79,$0.10B,$0.10B,97.98%,$0.10B,$-0.13B,-130.30%,$0.10B,$-0.13B,-130.30%,$0.10B,$-0.12B,-125.25%,$0.10B,$-0.14B,-141.41%,$0.10B,$-0.14B,-137.37%,$-0.14B,$-0.01B,-360.26%,$-0.14B,$-0.10B,233.48%,$-0.14B,$0.33B,-36.61%,$-0.13B,$0.23B,-55.31%,$14,$1,$13,$27,$17,$44,$-30,$-4,$-35,$0,$-35,$-35,$-35,$-29,$-30,$106,106,$-0.33,$-0.33,$210,$2,$0,$220,$17,$0,$96,$0,$113,$333,$81,$232,$0,$257,$338,$0,$-1444,$-0,$-5,$333,$-77,$2,$6,$8,$0,$-0,$-7,$-25,$-31,$-99,$-0,$0,$0,$54,$0,$54,$0,$54,$-1,$0,$-1,$-1,$-1,$0,$0,$-2,$-47,$6,$0
2,2018-03-31,8.57,$0.25,34.61,$0.92,9.29,$-4.77,0.0,$-1.29,0.0,$0.27B,$0.10B,2.72,$0.23B,$0.03B,8.85,$0.10B,$0.10B,98.97%,$0.10B,$-0.13B,-137.11%,$0.10B,$-0.13B,-137.11%,$0.10B,$-0.13B,-131.96%,$0.10B,$-0.14B,-144.33%,$0.10B,$-0.14B,-140.21%,$-0.14B,$0.03B,-207.63%,$-0.14B,$-0.07B,442.28%,$-0.14B,$0.39B,-35.86%,$-0.13B,$0.26B,-59.24%,$25,$1,$25,$48,$15,$63,$-38,$-4,$-42,$0,$-42,$-42,$-42,$-37,$-38,$106,106,$-0.40,$-0.40,$262,$2,$0,$273,$17,$0,$96,$0,$114,$387,$100,$232,$0,$260,$361,$0,$-1409,$-0,$26,$387,$-42,$1,$3,$4,$0,$-0,$9,$-19,$-9,$-47,$-0,$0,$0,$7,$0,$7,$0,$7,$-1,$0,$-1,$-1,$-1,$0,$0,$-2,$-41,$3,$0
3,2017-12-31,9.88,$0.49,20.02,$0.86,11.5,$-5.14,0.0,$-1.22,0.0,$0.32B,$0.12B,2.59,$0.23B,$0.05B,4.45,$0.09B,$0.09B,98.89%,$0.09B,$-0.14B,-152.22%,$0.09B,$-0.14B,-152.22%,$0.09B,$-0.13B,-147.78%,$0.09B,$-0.14B,-157.78%,$0.09B,$-0.13B,-143.33%,$-0.13B,$0.05B,-139.08%,$-0.13B,$-0.04B,3225.00%,$-0.13B,$0.44B,-33.81%,$-0.14B,$0.28B,-63.72%,$33,$1,$33,$47,$16,$64,$-31,$-2,$-32,$-4,$-28,$-28,$-28,$-30,$-31,$105,105,$-0.28,$-0.28,$311,$2,$0,$322,$18,$0,$96,$0,$115,$437,$124,$232,$0,$260,$384,$0,$-1381,$-0,$52,$437,$-129,$4,$-1,$3,$0,$-2,$-7,$-50,$-59,$-185,$-0,$0,$0,$51,$0,$51,$0,$51,$144,$0,$144,$6,$6,$0,$0,$150,$15,$9,$0
4,2017-09-30,12.29,$0.74,16.56,$0.77,16.03,$-5.07,0.0,$-1.26,0.0,$0.21B,$0.13B,1.66,$0.09B,$0.08B,1.09,$0.08B,$0.08B,98.75%,$0.08B,$-0.14B,-171.25%,$0.08B,$-0.14B,-171.25%,$0.08B,$-0.13B,-167.50%,$0.08B,$-0.14B,-177.50%,$0.08B,$-0.13B,-166.25%,$-0.13B,$0.08B,-111.76%,$-0.13B,$-0.02B,-604.55%,$-0.13B,$0.33B,-33.99%,$-0.14B,$0.16B,-66.91%,$27,$1,$26,$39,$17,$56,$-30,$-1,$-31,$0,$-31,$-31,$-31,$-28,$-30,$106,106,$-0.29,$-0.29,$197,$2,$0,$214,$18,$0,$97,$0,$115,$329,$129,$86,$0,$122,$251,$0,$-1353,$-0,$78,$329,$-101,$3,$1,$4,$-3,$-2,$-12,$-38,$-55,$-152,$-0,$0,$0,$187,$0,$187,$0,$186,$-2,$0,$-2,$4,$4,$0,$0,$2,$37,$7,$0
5,2017-06-30,16.45,$1.01,16.36,$0.78,21.14,$-4.85,0.0,$-1.32,0.0,$0.25B,$0.13B,1.86,$0.09B,$0.11B,0.8,$0.08B,$0.08B,100.00%,$0.08B,$-0.14B,-175.31%,$0.08B,$-0.14B,-175.31%,$0.08B,$-0.14B,-172.84%,$0.08B,$-0.15B,-181.48%,$0.08B,$-0.14B,-170.37%,$-0.14B,$0.11B,-94.68%,$-0.14B,$0.01B,-286.01%,$-0.14B,$0.36B,-31.49%,$-0.14B,$0.19B,-61.41%,$12,$1,$12,$27,$18,$46,$-34,$-1,$-35,$0,$-35,$-35,$-35,$-33,$-34,$105,105,$-0.33,$-0.33,$231,$1,$0,$247,$19,$0,$97,$0,$116,$364,$133,$85,$0,$124,$257,$0,$-1322,$-0,$106,$364,$-70,$2,$-2,$-0,$2,$-1,$-22,$-27,$-48,$-118,$-0,$0,$0,$99,$0,$99,$0,$99,$-1,$0,$-1,$4,$4,$0,$0,$3,$-16,$5,$0
6,2017-03-31,14.34,$1.28,11.21,$0.86,16.73,$-4.62,0.0,$-1.36,0.0,$0.28B,$0.14B,2.04,$0.09B,$0.14B,0.63,$0.09B,$0.09B,100.00%,$0.09B,$-0.15B,-162.92%,$0.09B,$-0.15B,-162.92%,$0.09B,$-0.14B,-160.67%,$0.09B,$-0.15B,-168.54%,$0.09B,$-0.14B,-158.43%,$-0.14B,$0.14B,-81.27%,$-0.14B,$0.04B,-186.14%,$-0.14B,$0.40B,-28.97%,$-0.15B,$0.22B,-56.04%,$18,$0,$18,$44,$15,$61,$-42,$-1,$-44,$-9,$-35,$-35,$-35,$-42,$-42,$104,104,$-0.33,$-0.33,$260,$0,$0,$279,$19,$0,$98,$0,$117,$396,$137,$85,$1,$125,$262,$0,$-1287,$-0,$135,$396,$-35,$1,$-4,$-4,$-1,$-0,$-25,$-21,$-47,$-85,$-0,$0,$0,$43,$0,$43,$0,$42,$-1,$0,$-1,$-1,$-1,$0,$0,$-1,$-44,$2,$0
7,2016-12-31,13.83,$1.51,9.16,$0.80,17.23,$-4.22,0.0,$-1.37,0.0,$0.36B,$0.17B,2.17,$0.09B,$0.16B,0.54,$0.08B,$0.08B,100.00%,$0.08B,$-0.14B,-165.06%,$0.08B,$-0.14B,-165.06%,$0.08B,$-0.13B,-161.45%,$0.08B,$-0.14B,-169.88%,$0.08B,$-0.14B,-169.88%,$-0.14B,$0.16B,-69.46%,$-0.14B,$0.06B,-133.97%,$-0.14B,$0.48B,-26.09%,$-0.14B,$0.24B,-46.92%,$23,$0,$23,$40,$14,$54,$-31,$-1,$-32,$0,$-32,$-32,$-32,$-31,$-31,$104,104,$-0.30,$-0.30,$347,$0,$0,$358,$19,$0,$98,$0,$118,$476,$165,$85,$1,$154,$318,$0,$-1250,$-0,$157,$476,$-141,$3,$7,$9,$-4,$0,$28,$-67,$-44,$-176,$-0,$0,$0,$18,$0,$18,$0,$18,$-2,$0,$-2,$3,$3,$0,$0,$1,$-156,$7,$0
8,2016-09-30,18.07,$1.78,10.18,$1.81,9.99,$-0.75,0.0,$-0.30,0.0,$0.40B,$0.17B,2.34,$0.09B,$0.19B,0.46,$0.19B,$0.19B,100.00%,$0.19B,$-0.02B,-9.63%,$0.19B,$-0.02B,-9.63%,$0.19B,$-0.01B,-7.49%,$0.19B,$-0.02B,-11.76%,$0.19B,$-0.02B,-11.76%,$-0.02B,$0.19B,-9.35%,$-0.02B,$0.09B,-16.03%,$-0.02B,$0.52B,-3.76%,$-0.02B,$0.27B,-5.49%,$28,$0,$28,$53,$12,$63,$-35,$-1,$-36,$0,$-36,$-36,$-36,$-34,$-35,$104,104,$-0.35,$-0.35,$396,$0,$0,$399,$20,$0,$98,$0,$118,$517,$170,$85,$3,$162,$332,$0,$-1218,$0,$185,$517,$-109,$2,$5,$7,$0,$0,$19,$-44,$-25,$-127,$-0,$0,$0,$-38,$0,$-38,$0,$-38,$-1,$0,$-1,$2,$2,$0,$0,$1,$-164,$6,$0
9,2016-06-30,14.35,$2.09,6.86,$1.55,9.27,$-0.31,0.0,$-0.29,0.0,$0.44B,$0.13B,3.36,$0.09B,$0.22B,0.39,$0.16B,$0.16B,100.00%,$0.16B,$-0.02B,-10.63%,$0.16B,$-0.02B,-10.63%,$0.16B,$-0.01B,-8.13%,$0.16B,$-0.02B,-13.13%,$0.16B,$-0.02B,-13.13%,$-0.02B,$0.22B,-8.81%,$-0.02B,$0.12B,-14.95%,$-0.02B,$0.56B,-3.80%,$-0.02B,$0.30B,-5.12%,$20,$0,$20,$48,$8,$57,$-37,$-1,$-38,$0,$-38,$-38,$-38,$-36,$-37,$104,104,$-0.37,$-0.37,$429,$0,$0,$439,$20,$0,$98,$0,$119,$558,$131,$85,$14,$210,$341,$0,$-1182,$0,$217,$558,$-73,$1,$5,$7,$-0,$0,$6,$-31,$-25,$-92,$-0,$0,$0,$-72,$0,$-72,$0,$-72,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-165,$4,$0
