,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,9.78,$19.40,0.5,$13.57,0.72,$0.82,11.98,$-3.24,0.0,$0.16B,$0.12B,1.29,$0.40B,$0.36B,1.13,$0.37B,$-0.01B,-1.88%,$0.37B,$-0.04B,-11.29%,$0.37B,$-0.04B,-11.29%,$0.37B,$0.03B,8.60%,$0.37B,$-0.09B,-23.92%,$0.37B,$-0.09B,-23.92%,$-0.09B,$0.56B,-15.10%,$-0.09B,$0.55B,-15.37%,$-0.09B,$1.15B,-7.66%,$-0.04B,$0.96B,-4.24%,$80,$90,$-10,$0,$9,$96,$-17,$-12,$-29,$-2,$-26,$-26,$-33,$1,$-17,$28,28,$-1.22,$-1.22,$43,$18,$37,$158,$981,$0,$9,$0,$990,$1148,$122,$403,$11,$470,$592,$3,$174,$0,$555,$1148,$-59,$55,$12,$67,$6,$5,$5,$10,$31,$39,$-21,$0,$0,$0,$0,$0,$4,$-16,$8,$-8,$0,$0,$-3,$0,$-11,$-13,$9,$0,$0
1,2018-06-30,5.3,$20.27,0.26,$14.06,0.38,$0.77,6.92,$-2.93,0.0,$0.14B,$0.09B,1.63,$0.40B,$0.39B,1.04,$0.38B,$-0.00B,-1.04%,$0.38B,$-0.04B,-10.42%,$0.38B,$-0.04B,-10.42%,$0.38B,$0.03B,8.33%,$0.38B,$-0.08B,-21.88%,$0.38B,$-0.08B,-21.09%,$-0.08B,$0.58B,-14.42%,$-0.08B,$0.57B,-14.71%,$-0.08B,$1.14B,-6.91%,$-0.04B,$0.98B,-4.16%,$103,$100,$3,$0,$8,$109,$-6,$-17,$-23,$4,$-28,$-28,$-35,$14,$-6,$27,27,$-1.27,$-1.27,$47,$15,$37,$144,$987,$0,$10,$0,$996,$1140,$88,$403,$11,$472,$560,$3,$208,$0,$580,$1140,$-33,$38,$14,$52,$7,$7,$2,$4,$15,$33,$-15,$0,$0,$0,$0,$0,$4,$-10,$9,$-6,$3,$0,$-3,$0,$-10,$-9,$14,$0,$0
2,2018-03-31,6.13,$21.28,0.29,$14.81,0.41,$1.02,6.0,$-2.19,0.0,$0.16B,$0.10B,1.68,$0.40B,$0.42B,0.94,$0.40B,$0.00B,0.99%,$0.40B,$-0.03B,-8.42%,$0.40B,$-0.03B,-8.42%,$0.40B,$0.04B,8.66%,$0.40B,$-0.07B,-17.57%,$0.40B,$-0.06B,-15.10%,$-0.06B,$0.61B,-11.42%,$-0.06B,$0.60B,-11.66%,$-0.06B,$1.17B,-5.11%,$-0.03B,$1.01B,-3.64%,$100,$90,$10,$0,$8,$99,$2,$-8,$-7,$-1,$-6,$-6,$-14,$20,$2,$28,28,$-0.49,$-0.49,$29,$21,$38,$159,$998,$0,$11,$0,$1009,$1168,$95,$399,$11,$464,$559,$3,$243,$0,$609,$1168,$-6,$18,$-0,$18,$-7,$2,$-0,$2,$-11,$1,$-6,$0,$0,$0,$0,$0,$4,$-2,$-2,$-2,$-4,$0,$0,$0,$-0,$-4,$-5,$0,$0
3,2017-12-31,8.76,$21.42,0.41,$15.69,0.56,$0.98,8.93,$-2.18,0.0,$0.16B,$0.11B,1.5,$0.40B,$0.44B,0.92,$0.43B,$0.01B,1.41%,$0.43B,$-0.03B,-7.96%,$0.43B,$-0.03B,-7.96%,$0.43B,$0.04B,8.20%,$0.43B,$-0.07B,-16.63%,$0.43B,$-0.06B,-14.05%,$-0.06B,$0.61B,-11.95%,$-0.06B,$0.60B,-12.20%,$-0.06B,$1.19B,-4.92%,$-0.03B,$1.01B,-3.76%,$89,$99,$-10,$0,$8,$110,$-21,$-9,$-30,$-30,$-0,$-0,$-7,$-3,$-21,$27,27,$-0.26,$-0.26,$34,$22,$38,$164,$1014,$0,$11,$0,$1025,$1189,$109,$400,$12,$467,$576,$3,$256,$0,$613,$1189,$-29,$69,$-29,$40,$-6,$0,$1,$-3,$-9,$2,$-12,$0,$0,$0,$0,$0,$1,$-11,$-14,$-1,$-15,$0,$0,$0,$-1,$-16,$-26,$5,$0
4,2017-09-30,7.94,$15.67,0.51,$15.78,0.5,$-7.69,0.0,$-2.98,0.0,$0.16B,$0.09B,1.85,$0.40B,$0.44B,0.91,$0.42B,$0.01B,1.65%,$0.42B,$-0.03B,-7.33%,$0.42B,$-0.03B,-7.33%,$0.42B,$0.04B,9.46%,$0.42B,$-0.08B,-18.20%,$0.42B,$-0.08B,-19.15%,$-0.08B,$0.45B,-15.93%,$-0.08B,$0.43B,-16.27%,$-0.08B,$1.20B,-6.54%,$-0.03B,$0.85B,-3.40%,$92,$100,$-7,$0,$8,$108,$-15,$-8,$-24,$-7,$-17,$-17,$-25,$1,$-15,$27,27,$-0.91,$-0.91,$53,$22,$38,$162,$1021,$0,$12,$0,$1033,$1195,$88,$401,$12,$662,$750,$3,$263,$0,$445,$1195,$-30,$52,$-2,$49,$2,$3,$-4,$8,$0,$19,$-3,$0,$0,$0,$0,$0,$0,$-2,$-12,$-9,$-22,$0,$0,$0,$-0,$-22,$-7,$0,$0
5,2017-06-30,10.33,$16.50,0.63,$15.35,0.67,$-15.80,0.0,$2.07,4.99,$0.18B,$0.09B,1.92,$0.40B,$0.47B,0.86,$0.41B,$-0.02B,-5.35%,$0.41B,$-0.06B,-15.09%,$0.41B,$-0.06B,-15.09%,$0.41B,$0.01B,2.43%,$0.41B,$-0.12B,-27.98%,$0.41B,$0.06B,13.63%,$0.06B,$0.47B,10.62%,$0.06B,$0.46B,10.84%,$0.06B,$1.23B,4.35%,$-0.06B,$0.87B,-6.65%,$123,$112,$11,$0,$8,$123,$-0,$-9,$-10,$-3,$-7,$-7,$-15,$17,$-0,$27,27,$-0.53,$-0.53,$67,$17,$37,$180,$1037,$0,$9,$0,$1046,$1226,$94,$402,$13,$663,$757,$3,$288,$0,$469,$1226,$-13,$35,$2,$37,$-8,$8,$-2,$3,$-1,$23,$2,$0,$0,$0,$0,$0,$1,$3,$-11,$-7,$-17,$0,$0,$0,$-0,$-17,$7,$0,$0
6,2017-03-31,9.38,$16.95,0.55,$15.20,0.62,$-22.50,0.0,$2.80,3.35,$0.19B,$0.12B,1.51,$0.41B,$0.48B,0.85,$0.40B,$-0.03B,-7.79%,$0.40B,$-0.07B,-17.84%,$0.40B,$-0.07B,-17.84%,$0.40B,$-0.00B,-0.50%,$0.40B,$-0.12B,-29.15%,$0.40B,$0.08B,19.10%,$0.08B,$0.48B,13.56%,$0.08B,$0.47B,13.87%,$0.08B,$1.26B,5.76%,$-0.07B,$0.89B,-7.14%,$123,$112,$12,$0,$11,$121,$2,$-10,$-7,$-1,$-6,$-6,$-13,$20,$2,$27,27,$-0.48,$-0.48,$45,$21,$35,$186,$1069,$0,$10,$0,$1078,$1264,$123,$406,$10,$660,$783,$3,$302,$0,$482,$1264,$-6,$18,$-2,$16,$-7,$5,$7,$2,$-2,$8,$-14,$0,$0,$0,$0,$0,$1,$-13,$-4,$-4,$-8,$0,$0,$0,$-0,$-8,$-15,$0,$0
7,2016-12-31,8.42,$22.55,0.37,$15.00,0.56,$-26.32,0.0,$2.20,3.83,$0.18B,$0.12B,1.51,$0.41B,$0.49B,0.83,$0.37B,$-0.05B,-13.10%,$0.37B,$-0.09B,-24.06%,$0.37B,$-0.09B,-24.06%,$0.37B,$-0.03B,-7.75%,$0.37B,$-0.13B,-34.76%,$0.37B,$0.06B,17.11%,$0.06B,$0.64B,10.92%,$0.06B,$0.63B,11.22%,$0.06B,$1.27B,4.78%,$-0.09B,$1.04B,-8.60%,$85,$94,$-9,$0,$8,$103,$-18,$-18,$-36,$-11,$-25,$-25,$-28,$2,$-18,$25,25,$-0.72,$-0.72,$60,$23,$34,$181,$1079,$0,$10,$0,$1089,$1270,$120,$406,$12,$513,$633,$3,$314,$0,$638,$1270,$112,$61,$-223,$-162,$-0,$1,$17,$6,$28,$-22,$-207,$0,$0,$0,$0,$0,$361,$153,$-108,$-0,$-108,$0,$-72,$-8,$-6,$-194,$-67,$4,$0
8,2016-09-30,8.58,$18.63,0.46,$12.74,0.67,$-36.81,0.0,$2.78,3.09,$0.28B,$0.20B,1.44,$0.41B,$0.52B,0.79,$0.31B,$-0.06B,-19.75%,$0.31B,$-0.09B,-29.94%,$0.31B,$-0.09B,-29.94%,$0.31B,$-0.04B,-13.38%,$0.31B,$-0.12B,-37.26%,$0.31B,$0.08B,25.80%,$0.08B,$0.52B,14.05%,$0.08B,$0.51B,14.49%,$0.08B,$1.39B,5.94%,$-0.09B,$0.93B,-8.87%,$80,$117,$-36,$0,$10,$126,$-46,$-16,$-62,$-22,$-39,$-39,$112,$-29,$-46,$27,27,$4.14,$4.14,$183,$13,$34,$283,$1090,$0,$13,$0,$1103,$1386,$197,$409,$9,$669,$866,$3,$343,$0,$520,$1386,$134,$41,$-220,$-179,$9,$12,$16,$14,$44,$-1,$-202,$0,$0,$0,$0,$0,$246,$44,$-3,$-8,$-10,$-72,$-72,$-8,$0,$-91,$-51,$0,$0
9,2016-06-30,12.08,$21.52,0.56,$13.66,0.88,$-41.63,0.0,$-2.84,0.0,$0.25B,$0.21B,1.23,$0.51B,$0.40B,1.28,$0.32B,$-0.04B,-11.76%,$0.32B,$-0.11B,-34.06%,$0.32B,$-0.11B,-34.06%,$0.32B,$-0.07B,-20.12%,$0.32B,$-0.12B,-36.53%,$0.32B,$-0.07B,-20.12%,$-0.07B,$0.60B,-11.83%,$-0.07B,$0.59B,-12.33%,$-0.07B,$1.36B,-4.98%,$-0.11B,$1.12B,-10.49%,$110,$108,$2,$0,$11,$119,$-9,$-2,$-11,$-4,$-8,$-8,$5,$5,$-9,$25,25,$0.20,$0.20,$23,$19,$35,$253,$1094,$0,$16,$0,$1109,$1362,$206,$514,$9,$554,$760,$3,$229,$0,$602,$1362,$0,$25,$-31,$-6,$-4,$7,$18,$10,$30,$24,$-170,$0,$0,$0,$0,$0,$1,$-169,$7,$26,$33,$0,$-0,$0,$-1,$32,$-104,$0,$0
