,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,102.51,$28.59,3.59,$99.70,1.03,$22.34,4.59,$14.97,6.85,$11.38B,$6.24B,1.82,$7.47B,$11.07B,0.68,$39.26B,$6.93B,17.66%,$39.26B,$5.78B,14.72%,$39.26B,$5.78B,14.72%,$39.26B,$7.00B,17.82%,$39.26B,$5.86B,14.92%,$39.26B,$5.89B,15.01%,$5.89B,$11.07B,58.41%,$5.89B,$8.27B,68.96%,$5.89B,$28.70B,21.66%,$5.78B,$18.54B,31.93%,$10155,$8499,$1656,$30,$309,$8838,$1317,$30,$1347,$232,$1115,$1115,$1113,$1630,$1317,$389,390,$2.86,$2.85,$1476,$4596,$0,$11383,$12022,$2148,$2801,$342,$17313,$28696,$6242,$7471,$2017,$11385,$17627,$22,$6453,$-1309,$11069,$28696,$3998,$919,$91,$1010,$-128,$-202,$257,$0,$-73,$4174,$-1407,$0,$-1776,$360,$22,$382,$-100,$-2901,$-394,$140,$-254,$-801,$-801,$-1176,$-11,$-2242,$-996,$33,$-1176
1,2018-06-30,109.85,$27.16,4.04,$95.22,1.15,$21.77,5.05,$14.79,7.43,$12.35B,$5.45B,2.27,$7.49B,$10.60B,0.71,$37.62B,$6.86B,18.22%,$37.62B,$5.79B,15.40%,$37.62B,$5.79B,15.40%,$37.62B,$7.00B,18.60%,$37.62B,$5.95B,15.81%,$37.62B,$5.84B,15.51%,$5.84B,$10.60B,63.77%,$5.84B,$9.51B,72.53%,$5.84B,$27.02B,22.15%,$5.79B,$18.09B,33.24%,$10206,$8290,$1916,$29,$261,$8580,$1626,$8,$1634,$-21,$1655,$1655,$1654,$1929,$1626,$391,392,$4.23,$4.22,$3319,$4096,$0,$12349,$11310,$2050,$1090,$224,$14674,$27023,$5451,$7490,$1805,$10969,$16420,$31,$17939,$-1358,$10603,$27023,$2885,$606,$134,$740,$-324,$9,$215,$0,$-100,$2733,$-925,$0,$0,$360,$38,$398,$-62,$-589,$0,$0,$0,$-470,$-470,$-787,$-8,$-1265,$858,$24,$-787
2,2018-03-31,104.79,$24.73,4.24,$90.08,1.16,$20.67,5.07,$13.38,7.83,$12.07B,$4.60B,2.63,$8.53B,$9.73B,0.88,$35.82B,$6.74B,18.82%,$35.82B,$5.74B,16.04%,$35.82B,$5.74B,16.04%,$35.82B,$6.94B,19.36%,$35.82B,$5.91B,16.49%,$35.82B,$5.31B,14.83%,$5.31B,$9.73B,64.65%,$5.31B,$8.58B,74.61%,$5.31B,$26.90B,20.74%,$5.74B,$18.26B,34.30%,$9767,$8012,$1755,$28,$233,$8273,$1494,$40,$1534,$303,$1231,$1231,$1231,$1797,$1494,$394,395,$3.12,$3.11,$2882,$4257,$0,$12068,$11249,$2213,$1145,$221,$14828,$26896,$4598,$8531,$2350,$12569,$17167,$31,$16677,$-1301,$9729,$26896,$1231,$303,$-26,$277,$-196,$-55,$72,$0,$-179,$1006,$-429,$0,$0,$285,$0,$285,$-45,$-189,$0,$0,$0,$-119,$-119,$-395,$-6,$-520,$312,$9,$-395
3,2017-12-31,108.38,$22.69,4.78,$86.28,1.26,$19.84,5.46,$12.25,8.85,$11.74B,$4.78B,2.46,$8.55B,$8.95B,0.96,$34.48B,$6.43B,18.63%,$34.48B,$5.46B,15.83%,$34.48B,$5.46B,15.83%,$34.48B,$6.65B,19.28%,$34.48B,$5.49B,15.93%,$34.48B,$4.88B,14.15%,$4.88B,$8.95B,65.86%,$4.88B,$7.81B,77.02%,$4.88B,$26.21B,19.65%,$5.46B,$17.50B,34.33%,$9135,$7528,$1607,$29,$237,$7794,$1341,$1,$1342,$-556,$1898,$1898,$1894,$1642,$1341,$398,399,$4.76,$4.77,$2835,$4217,$0,$11738,$10997,$2072,$1138,$261,$14468,$26206,$4777,$8549,$2275,$12479,$17256,$31,$15746,$-1285,$8950,$26206,$4877,$1189,$-652,$537,$-521,$-237,$165,$0,$-593,$5206,$-1547,$0,$134,$-79,$-180,$-259,$-84,$-1756,$-10,$-493,$-503,$-866,$-866,$-1415,$-75,$-2859,$650,$55,$-1415
4,2017-09-30,96.47,$18.57,5.19,$81.83,1.18,$18.68,5.16,$9.33,10.34,$11.06B,$4.61B,2.4,$8.53B,$7.33B,1.16,$33.10B,$6.15B,18.57%,$33.10B,$5.17B,15.61%,$33.10B,$5.17B,15.61%,$33.10B,$6.33B,19.13%,$33.10B,$5.20B,15.72%,$33.10B,$3.75B,11.32%,$3.75B,$7.33B,56.03%,$3.75B,$6.28B,66.57%,$3.75B,$25.24B,15.52%,$5.17B,$15.86B,34.11%,$8516,$6939,$1577,$27,$218,$7184,$1332,$106,$1438,$380,$1058,$1058,$1057,$1630,$1332,$395,395,$2.67,$2.67,$2506,$4177,$0,$11062,$10737,$2091,$1050,$303,$14181,$25243,$4612,$8531,$2326,$13304,$17916,$31,$14207,$-1359,$7327,$25243,$2983,$888,$98,$986,$-278,$-219,$121,$0,$-376,$3724,$-1146,$0,$155,$-79,$-180,$-259,$-4,$-1254,$-10,$-178,$-188,$-866,$-866,$-1060,$-77,$-2191,$333,$39,$-1060
5,2017-06-30,81.38,$17.28,4.71,$78.06,1.04,$17.51,4.65,$8.96,9.08,$10.08B,$4.13B,2.44,$8.50B,$6.87B,1.24,$31.95B,$6.03B,18.88%,$31.95B,$5.08B,15.91%,$31.95B,$5.08B,15.91%,$31.95B,$6.21B,19.44%,$31.95B,$5.05B,15.80%,$31.95B,$3.64B,11.40%,$3.64B,$6.87B,57.07%,$3.64B,$5.81B,68.59%,$3.64B,$24.12B,15.38%,$5.08B,$15.36B,34.29%,$8403,$6601,$1802,$25,$200,$6826,$1577,$16,$1593,$459,$1134,$1134,$1131,$1867,$1577,$401,402,$2.82,$2.81,$2018,$4007,$0,$10075,$10551,$2036,$1058,$398,$14043,$24118,$4131,$8496,$2253,$13119,$17250,$31,$13506,$-1375,$6868,$24118,$1927,$590,$184,$774,$-138,$-95,$-229,$0,$-462,$2238,$-828,$0,$0,$-91,$-131,$-222,$-4,$-1054,$-10,$0,$-10,$-570,$-570,$-704,$-75,$-1359,$-138,$21,$-704
6,2017-03-31,86.97,$16.11,5.4,$74.40,1.17,$17.46,4.98,$8.71,9.99,$9.68B,$4.38B,2.21,$8.42B,$6.49B,1.3,$30.87B,$5.85B,18.96%,$30.87B,$4.91B,15.91%,$30.87B,$4.91B,15.91%,$30.87B,$6.02B,19.49%,$30.87B,$4.89B,15.84%,$30.87B,$3.60B,11.67%,$3.60B,$6.49B,57.71%,$3.60B,$5.44B,69.92%,$3.60B,$23.77B,15.32%,$4.91B,$14.91B,33.44%,$8430,$6991,$1439,$25,$204,$7220,$1210,$-90,$1120,$315,$805,$805,$797,$1510,$1210,$403,403,$1.98,$1.98,$1662,$3875,$0,$9681,$10361,$2101,$1048,$577,$14087,$23768,$4379,$8419,$2130,$12902,$17281,$31,$12736,$-1438,$6487,$23768,$797,$300,$-2,$298,$-432,$-44,$53,$0,$-423,$678,$-421,$0,$0,$-26,$-122,$-148,$28,$-541,$-10,$50,$40,$-160,$-160,$-343,$-74,$-537,$-392,$13,$-343
7,2016-12-31,81.06,$15.03,5.39,$69.01,1.17,$18.60,4.36,$9.10,8.91,$9.60B,$4.54B,2.11,$8.39B,$6.07B,1.38,$29.18B,$5.99B,20.53%,$29.18B,$5.06B,17.34%,$29.18B,$5.06B,17.34%,$29.18B,$6.14B,21.04%,$29.18B,$5.23B,17.93%,$29.18B,$3.84B,13.14%,$3.84B,$6.07B,61.73%,$3.84B,$5.00B,75.30%,$3.84B,$23.44B,16.35%,$5.06B,$14.46B,34.48%,$7747,$6420,$1327,$26,$253,$6699,$1048,$4,$1052,$282,$770,$770,$763,$1325,$1048,$419,420,$1.90,$1.90,$2025,$3809,$0,$9599,$10137,$2010,$1078,$618,$13843,$23442,$4540,$8385,$2113,$12829,$17369,$31,$12282,$-1511,$6073,$23442,$3837,$1080,$329,$1409,$-383,$152,$383,$0,$152,$5606,$-2243,$0,$144,$-14,$-126,$-140,$-62,$-2301,$812,$177,$989,$-2938,$-2938,$-1395,$-5,$-3349,$-53,$38,$-1395
8,2016-09-30,75.48,$14.93,5.06,$65.74,1.15,$20.04,3.77,$9.01,8.38,$9.55B,$4.31B,2.22,$8.46B,$6.11B,1.39,$28.51B,$5.94B,20.85%,$28.51B,$5.06B,17.76%,$28.51B,$5.06B,17.76%,$28.51B,$6.14B,21.52%,$28.51B,$5.24B,18.38%,$28.51B,$3.87B,13.57%,$3.87B,$6.11B,61.02%,$3.87B,$5.00B,74.46%,$3.87B,$23.42B,16.60%,$5.06B,$14.57B,34.64%,$7365,$5903,$1462,$25,$188,$6116,$1249,$32,$1281,$326,$955,$955,$952,$1509,$1249,$413,414,$2.30,$2.30,$1834,$4015,$0,$9553,$10057,$2097,$1105,$607,$13866,$23419,$4310,$8464,$2151,$13002,$17312,$31,$11865,$-1492,$6107,$23419,$3074,$803,$178,$981,$-323,$23,$74,$0,$-226,$3893,$-1676,$0,$144,$-18,$42,$24,$-22,$-1530,$812,$177,$989,$-2501,$-2501,$-1049,$-6,$-2567,$-187,$0,$-1049
9,2016-06-30,68.87,$15.04,4.58,$65.95,1.04,$22.73,3.03,$9.27,7.43,$9.98B,$4.35B,2.29,$8.49B,$6.31B,1.35,$29.48B,$6.35B,21.55%,$29.48B,$5.47B,18.54%,$29.48B,$5.47B,18.54%,$29.48B,$6.53B,22.15%,$29.48B,$5.64B,19.12%,$29.48B,$4.10B,13.91%,$4.10B,$6.31B,61.67%,$4.10B,$5.18B,74.76%,$4.10B,$23.44B,17.51%,$5.47B,$14.79B,37.05%,$7328,$5702,$1626,$24,$199,$5925,$1403,$35,$1438,$346,$1092,$1092,$1091,$1674,$1403,$424,425,$2.57,$2.56,$2087,$4009,$0,$9983,$9681,$2018,$1130,$623,$13452,$23435,$4351,$8485,$2143,$12777,$17128,$31,$11264,$-1472,$6307,$23435,$2121,$543,$67,$610,$-281,$26,$161,$0,$-94,$2561,$-1090,$0,$137,$50,$-125,$-75,$-43,$-1071,$812,$200,$1012,$-1682,$-1682,$-698,$-4,$-1372,$133,$0,$-698
