,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.47,$7.40,7.36,$52.69,1.03,$7.78,7.0,$-0.42,0.0,$3.88B,$3.61B,1.08,$2.73B,$1.55B,1.76,$11.16B,$2.85B,25.53%,$11.16B,$0.16B,1.44%,$11.16B,$0.16B,1.44%,$11.16B,$0.66B,5.93%,$11.16B,$0.03B,0.25%,$11.16B,$-0.08B,-0.68%,$-0.08B,$1.55B,-5.29%,$-0.08B,$-1.32B,5.23%,$-0.08B,$8.51B,-0.89%,$0.16B,$4.28B,4.04%,$3835,$2924,$911,$0,$525,$3601,$234,$-34,$200,$17,$183,$183,$152,$368,$234,$208,217,$0.73,$0.70,$1910,$0,$50,$3881,$913,$0,$2874,$843,$4631,$8512,$3609,$2732,$181,$3352,$6961,$2,$-871,$-135,$1551,$8512,$226,$348,$83,$431,$-546,$0,$0,$-333,$-395,$256,$-164,$-33,$-98,$0,$-43,$-43,$-41,$-379,$466,$0,$466,$16,$16,$0,$-214,$268,$81,$34,$0
1,2018-06-30,48.57,$6.72,7.22,$50.42,0.96,$8.41,5.78,$-0.59,0.0,$4.26B,$4.21B,1.01,$2.74B,$1.41B,1.95,$10.76B,$2.74B,25.49%,$10.76B,$0.13B,1.19%,$10.76B,$0.13B,1.19%,$10.76B,$0.62B,5.72%,$10.76B,$0.00B,0.02%,$10.76B,$-0.11B,-1.05%,$-0.11B,$1.41B,-7.78%,$-0.11B,$-1.52B,7.84%,$-0.11B,$8.95B,-1.35%,$0.13B,$4.15B,3.30%,$2868,$2135,$733,$0,$476,$2734,$135,$-40,$95,$12,$83,$83,$52,$241,$135,$207,215,$0.25,$0.24,$2300,$0,$60,$4263,$890,$0,$2930,$869,$4689,$8953,$4207,$2743,$169,$3341,$7547,$2,$-1044,$-126,$1406,$8953,$42,$214,$23,$237,$-229,$0,$0,$343,$226,$520,$-101,$-28,$-93,$0,$-38,$-38,$-55,$-314,$484,$0,$484,$11,$11,$0,$-181,$315,$471,$23,$0
2,2018-03-31,42.14,$6.57,6.42,$49.63,0.85,$9.62,4.38,$-0.54,0.0,$4.65B,$4.44B,1.05,$2.75B,$1.37B,2.0,$10.58B,$2.67B,25.25%,$10.58B,$0.11B,1.00%,$10.58B,$0.11B,1.00%,$10.58B,$0.58B,5.51%,$10.58B,$-0.00B,-0.02%,$10.58B,$-0.10B,-0.96%,$-0.10B,$1.37B,-6.96%,$-0.10B,$-1.53B,7.15%,$-0.10B,$9.12B,-1.25%,$0.11B,$4.12B,2.82%,$1482,$932,$550,$0,$435,$1488,$-6,$-28,$-34,$7,$-41,$-41,$-50,$102,$-6,$207,207,$-0.24,$-0.24,$2949,$0,$44,$4645,$887,$0,$2901,$685,$4473,$9118,$4439,$2747,$156,$3307,$7745,$2,$-1113,$-92,$1372,$9118,$-41,$108,$11,$119,$-53,$0,$0,$692,$692,$775,$-45,$-26,$-20,$0,$-3,$-3,$6,$-89,$535,$0,$535,$8,$8,$0,$-139,$404,$1120,$11,$0
3,2017-12-31,42.57,$6.80,6.26,$48.56,0.88,$9.54,4.46,$-0.52,0.0,$3.15B,$3.58B,0.88,$1.95B,$1.42B,1.38,$10.34B,$2.59B,25.04%,$10.34B,$0.09B,0.88%,$10.34B,$0.09B,0.88%,$10.34B,$0.56B,5.42%,$10.34B,$-0.01B,-0.09%,$10.34B,$-0.10B,-0.95%,$-0.10B,$1.42B,-6.72%,$-0.10B,$-1.44B,6.82%,$-0.10B,$7.50B,-1.25%,$0.09B,$3.37B,2.50%,$2971,$2317,$654,$0,$614,$3173,$-202,$-31,$-233,$-59,$-174,$-174,$-230,$-49,$-202,$205,205,$-1.13,$-1.08,$1829,$0,$52,$3153,$886,$0,$2853,$613,$4352,$7504,$3577,$1952,$174,$2509,$6086,$2,$-1079,$-109,$1418,$7504,$8,$469,$17,$486,$-133,$0,$0,$-212,$129,$623,$-238,$-11,$-48,$0,$-25,$-25,$-5,$-328,$-50,$0,$-50,$51,$51,$0,$-128,$-127,$299,$43,$0
4,2017-09-30,43.55,$7.81,5.58,$42.96,1.01,$9.76,4.46,$0.02,2177.5,$3.56B,$3.21B,1.11,$2.24B,$1.62B,1.39,$9.17B,$2.47B,26.93%,$9.17B,$0.26B,2.79%,$9.17B,$0.26B,2.79%,$9.17B,$0.69B,7.47%,$9.17B,$0.13B,1.45%,$9.17B,$0.00B,0.01%,$0.00B,$1.62B,0.07%,$0.00B,$-1.28B,-0.07%,$0.00B,$7.81B,0.01%,$0.26B,$3.86B,6.93%,$3440,$2634,$806,$0,$476,$3239,$201,$-27,$174,$26,$149,$149,$115,$321,$201,$205,223,$0.56,$0.53,$1801,$0,$57,$3564,$845,$0,$2890,$512,$4247,$7811,$3213,$2240,$170,$2983,$6196,$2,$-889,$-118,$1615,$7811,$182,$316,$48,$364,$-395,$0,$0,$-263,$-121,$418,$-184,$-5,$-19,$0,$-22,$-22,$-5,$-235,$-25,$0,$-25,$45,$45,$0,$-45,$-26,$275,$24,$0
5,2017-06-30,34.85,$7.07,4.93,$42.11,0.83,$8.71,4.0,$-0.02,0.0,$3.98B,$3.84B,1.04,$2.25B,$1.46B,1.54,$8.90B,$2.40B,27.03%,$8.90B,$0.25B,2.77%,$8.90B,$0.25B,2.77%,$8.90B,$0.66B,7.45%,$8.90B,$0.11B,1.19%,$8.90B,$-0.01B,-0.12%,$-0.01B,$1.46B,-0.78%,$-0.01B,$-1.47B,0.75%,$-0.01B,$8.25B,-0.15%,$0.25B,$3.71B,6.82%,$2684,$2022,$661,$0,$434,$2570,$113,$-23,$91,$10,$81,$81,$63,$209,$113,$205,214,$0.31,$0.29,$2217,$0,$52,$3984,$817,$0,$2922,$528,$4267,$8251,$3837,$2249,$156,$2958,$6794,$2,$-1025,$-136,$1457,$8251,$33,$196,$16,$213,$-282,$0,$0,$454,$550,$805,$-129,$-2,$-17,$0,$-18,$-18,$-6,$-172,$-19,$0,$-19,$33,$33,$0,$-38,$-24,$691,$16,$0
6,2017-03-31,30.37,$6.52,4.66,$40.01,0.76,$7.62,3.99,$-0.18,0.0,$3.60B,$3.54B,1.02,$2.26B,$1.34B,1.69,$8.39B,$2.32B,27.62%,$8.39B,$0.21B,2.47%,$8.39B,$0.21B,2.47%,$8.39B,$0.63B,7.46%,$8.39B,$0.06B,0.68%,$8.39B,$-0.05B,-0.57%,$-0.05B,$1.34B,-3.41%,$-0.05B,$-1.57B,3.27%,$-0.05B,$7.82B,-0.68%,$0.21B,$3.60B,5.87%,$1243,$775,$468,$0,$383,$1264,$-21,$-20,$-41,$7,$-48,$-48,$-46,$79,$-21,$204,204,$-0.22,$-0.22,$2228,$0,$49,$3601,$782,$0,$2914,$526,$4222,$7824,$3539,$2259,$143,$2944,$6483,$2,$-1106,$-165,$1341,$7824,$-48,$101,$8,$109,$-7,$0,$0,$649,$699,$762,$-59,$-1,$-5,$0,$-11,$-11,$-0,$-75,$-11,$0,$-11,$22,$22,$0,$-16,$-5,$702,$8,$0
7,2016-12-31,26.6,$6.61,4.02,$39.89,0.67,$6.58,4.04,$-0.25,0.0,$2.67B,$2.46B,1.09,$2.26B,$1.35B,1.67,$8.36B,$2.27B,27.21%,$8.36B,$0.20B,2.33%,$8.36B,$0.20B,2.33%,$8.36B,$0.61B,7.31%,$8.36B,$0.05B,0.59%,$8.36B,$-0.05B,-0.56%,$-0.05B,$1.35B,-3.30%,$-0.05B,$-1.58B,3.32%,$-0.05B,$6.76B,-0.69%,$0.20B,$3.61B,5.61%,$1798,$1265,$533,$0,$422,$1835,$-37,$-54,$-91,$2,$-93,$-93,$-131,$76,$-37,$202,202,$-0.58,$-0.56,$1527,$0,$50,$2674,$752,$0,$2928,$411,$4091,$6764,$2460,$2260,$150,$2954,$5415,$2,$-1073,$-177,$1350,$6764,$20,$416,$82,$499,$-146,$0,$0,$35,$82,$597,$-174,$-6,$-212,$0,$-29,$-29,$-6,$-426,$238,$0,$238,$20,$20,$0,$-159,$99,$223,$33,$0
8,2016-09-30,27.48,$7.47,3.68,$39.64,0.69,$5.31,5.18,$-0.14,0.0,$2.41B,$2.28B,1.06,$1.99B,$1.52B,1.31,$8.29B,$2.26B,27.19%,$8.29B,$0.19B,2.31%,$8.29B,$0.19B,2.31%,$8.29B,$0.62B,7.51%,$8.29B,$0.07B,0.83%,$8.29B,$-0.01B,-0.17%,$-0.01B,$1.52B,-0.97%,$-0.01B,$-1.28B,1.04%,$-0.01B,$6.42B,-0.21%,$0.19B,$3.50B,5.58%,$3170,$2428,$742,$0,$414,$2979,$191,$-45,$147,$14,$133,$133,$103,$299,$191,$202,218,$0.51,$0.49,$1040,$0,$49,$2407,$721,$0,$2800,$489,$4010,$6417,$2281,$1985,$125,$2617,$4898,$2,$-972,$-144,$1519,$6417,$113,$303,$44,$347,$-345,$0,$0,$-290,$-340,$120,$-120,$0,$-113,$0,$-19,$-19,$-9,$-260,$-22,$0,$-22,$6,$6,$0,$-93,$-110,$-263,$25,$0
9,2016-06-30,23.5,$6.97,3.37,$37.64,0.62,$4.77,4.93,$-0.19,0.0,$2.97B,$3.02B,0.98,$1.99B,$1.42B,1.4,$7.75B,$2.16B,27.91%,$7.75B,$0.16B,2.00%,$7.75B,$0.16B,2.00%,$7.75B,$0.58B,7.47%,$7.75B,$0.04B,0.52%,$7.75B,$-0.04B,-0.49%,$-0.04B,$1.42B,-2.61%,$-0.04B,$-1.43B,2.85%,$-0.04B,$7.04B,-0.58%,$0.16B,$3.40B,4.50%,$2179,$1606,$574,$0,$375,$2105,$74,$-32,$42,$5,$36,$36,$26,$172,$74,$202,209,$0.13,$0.13,$1512,$0,$44,$2970,$713,$0,$2850,$511,$4073,$7043,$3023,$1985,$128,$2604,$5628,$2,$-1083,$-136,$1416,$7043,$-19,$196,$14,$210,$-172,$0,$0,$305,$320,$511,$-79,$0,$-122,$0,$-14,$-14,$-5,$-219,$-14,$0,$-14,$1,$1,$0,$-56,$-69,$209,$17,$0
