,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,30.5,$13.42,2.27,$33.69,0.91,$4.18,7.3,$1.83,16.67,$0.53B,$0.19B,2.76,$0.00B,$0.63B,0.0,$1.61B,$0.63B,39.21%,$1.61B,$0.14B,8.44%,$1.61B,$0.14B,8.44%,$1.61B,$0.17B,10.42%,$1.61B,$0.14B,8.44%,$1.61B,$0.09B,5.40%,$0.09B,$0.63B,14.15%,$0.09B,$0.53B,16.67%,$0.09B,$0.91B,9.73%,$0.14B,$0.63B,22.11%,$385,$236,$149,$0,$125,$362,$23,$1,$25,$6,$19,$19,$18,$31,$23,$47,47,$0.39,$0.39,$137,$195,$55,$526,$188,$0,$92,$79,$381,$907,$191,$0,$89,$89,$280,$47,$296,$-30,$627,$907,$19,$8,$2,$10,$14,$-11,$2,$-2,$4,$32,$-16,$0,$0,$0,$1,$1,$0,$-15,$-0,$0,$-0,$-10,$-10,$-6,$0,$-16,$-0,$2,$-6
1,2018-04-30,28.69,$13.36,2.15,$32.84,0.87,$4.05,7.08,$1.68,17.08,$0.52B,$0.18B,2.86,$0.00B,$0.63B,0.0,$1.58B,$0.62B,39.27%,$1.58B,$0.13B,8.14%,$1.58B,$0.13B,8.14%,$1.58B,$0.16B,10.16%,$1.58B,$0.13B,8.14%,$1.58B,$0.08B,5.11%,$0.08B,$0.63B,13.31%,$0.08B,$0.53B,15.71%,$0.08B,$0.89B,9.16%,$0.13B,$0.63B,21.18%,$420,$254,$166,$0,$120,$374,$46,$-1,$45,$10,$34,$34,$34,$54,$46,$48,48,$0.72,$0.71,$137,$185,$42,$518,$181,$0,$93,$79,$375,$893,$181,$0,$86,$86,$268,$47,$292,$-25,$625,$893,$82,$32,$20,$52,$-3,$-8,$7,$-13,$-18,$116,$-35,$0,$-14,$0,$-6,$-6,$0,$-55,$-0,$0,$-0,$-54,$-54,$-22,$-0,$-76,$-14,$9,$-22
2,2018-01-31,29.92,$12.81,2.34,$32.46,0.92,$4.97,6.02,$1.53,19.55,$0.51B,$0.20B,2.59,$0.00B,$0.60B,0.0,$1.58B,$0.63B,39.63%,$1.58B,$0.13B,7.99%,$1.58B,$0.13B,7.99%,$1.58B,$0.16B,10.02%,$1.58B,$0.13B,7.99%,$1.58B,$0.08B,4.76%,$0.08B,$0.60B,12.44%,$0.08B,$0.51B,14.71%,$0.08B,$0.89B,8.49%,$0.13B,$0.60B,20.90%,$414,$251,$162,$0,$129,$381,$33,$-1,$32,$20,$12,$12,$12,$41,$33,$47,48,$0.26,$0.25,$138,$186,$43,$514,$175,$0,$94,$82,$380,$894,$198,$0,$92,$93,$291,$47,$272,$-27,$603,$894,$47,$24,$13,$36,$5,$-9,$13,$-1,$8,$91,$-24,$0,$-15,$0,$-7,$-7,$0,$-45,$-0,$0,$-0,$-45,$-45,$-16,$-0,$-61,$-13,$8,$-16
3,2017-10-31,26.64,$12.71,2.1,$31.69,0.84,$5.13,5.2,$1.75,15.22,$0.50B,$0.19B,2.65,$0.00B,$0.60B,0.0,$1.55B,$0.62B,39.92%,$1.55B,$0.13B,8.18%,$1.55B,$0.13B,8.18%,$1.55B,$0.16B,10.17%,$1.55B,$0.13B,8.18%,$1.55B,$0.09B,5.54%,$0.09B,$0.60B,14.36%,$0.09B,$0.51B,17.00%,$0.09B,$0.88B,9.81%,$0.13B,$0.61B,21.20%,$393,$238,$155,$0,$121,$359,$34,$-1,$34,$10,$23,$23,$23,$42,$34,$48,48,$0.47,$0.47,$125,$180,$46,$496,$172,$0,$93,$81,$385,$882,$187,$0,$90,$90,$277,$48,$279,$-31,$604,$882,$35,$16,$-0,$16,$6,$-4,$2,$-4,$0,$51,$-16,$0,$-14,$0,$-7,$-7,$0,$-37,$-0,$0,$-0,$-30,$-30,$-11,$0,$-41,$-26,$6,$-11
4,2017-07-31,33.27,$12.49,2.66,$31.16,1.07,$5.28,6.3,$1.70,19.57,$0.49B,$0.18B,2.8,$0.00B,$0.60B,0.0,$1.54B,$0.61B,39.95%,$1.54B,$0.13B,8.26%,$1.54B,$0.13B,8.26%,$1.54B,$0.16B,10.21%,$1.54B,$0.13B,8.20%,$1.54B,$0.08B,5.47%,$0.08B,$0.60B,14.22%,$0.08B,$0.51B,16.59%,$0.08B,$0.87B,9.75%,$0.13B,$0.60B,21.49%,$357,$218,$139,$0,$123,$341,$16,$2,$18,$6,$12,$12,$12,$24,$16,$48,49,$0.24,$0.24,$126,$179,$50,$489,$171,$0,$93,$77,$380,$869,$175,$0,$91,$91,$266,$48,$280,$-30,$603,$869,$12,$8,$5,$13,$16,$-2,$-4,$-14,$-5,$20,$-9,$0,$-15,$0,$-5,$-5,$0,$-29,$-0,$0,$-0,$-11,$-11,$-5,$0,$-17,$-25,$4,$-5
5,2017-04-30,27.35,$12.40,2.21,$30.72,0.89,$5.68,4.82,$1.74,15.72,$0.52B,$0.20B,2.6,$0.00B,$0.60B,0.0,$1.52B,$0.61B,40.04%,$1.52B,$0.13B,8.74%,$1.52B,$0.13B,8.74%,$1.52B,$0.16B,10.65%,$1.52B,$0.13B,8.55%,$1.52B,$0.09B,5.65%,$0.09B,$0.60B,14.84%,$0.09B,$0.51B,17.00%,$0.09B,$0.89B,10.19%,$0.13B,$0.60B,22.93%,$413,$244,$169,$0,$125,$369,$43,$-1,$42,$14,$28,$28,$28,$51,$43,$49,49,$0.58,$0.56,$151,$175,$41,$517,$169,$0,$93,$69,$371,$889,$199,$0,$89,$89,$288,$48,$285,$-33,$601,$889,$87,$29,$6,$35,$-8,$13,$5,$17,$26,$148,$-20,$0,$-36,$0,$-10,$-10,$0,$-65,$-0,$0,$-0,$-34,$-34,$-21,$2,$-53,$30,$9,$-21
6,2017-01-31,27.92,$12.01,2.32,$30.59,0.91,$4.91,5.69,$1.62,17.24,$0.50B,$0.19B,2.62,$0.00B,$0.59B,0.0,$1.53B,$0.61B,39.80%,$1.53B,$0.13B,8.33%,$1.53B,$0.13B,8.33%,$1.53B,$0.16B,10.16%,$1.53B,$0.12B,8.00%,$1.53B,$0.08B,5.31%,$0.08B,$0.59B,14.25%,$0.08B,$0.49B,15.99%,$0.08B,$0.87B,9.86%,$0.13B,$0.59B,22.31%,$390,$233,$157,$0,$123,$356,$34,$-0,$33,$10,$24,$24,$23,$41,$34,$49,49,$0.47,$0.47,$119,$194,$42,$498,$169,$0,$93,$67,$366,$865,$190,$0,$87,$88,$278,$49,$273,$-34,$587,$865,$59,$21,$8,$30,$-1,$-6,$6,$5,$5,$93,$-15,$0,$-36,$0,$-7,$-7,$0,$-58,$-0,$0,$-0,$-23,$-23,$-15,$2,$-37,$-2,$8,$-15
7,2016-10-31,22.77,$11.67,1.95,$30.29,0.75,$4.37,5.21,$1.58,14.41,$0.49B,$0.16B,2.97,$0.00B,$0.57B,0.0,$1.52B,$0.60B,39.37%,$1.52B,$0.13B,8.43%,$1.52B,$0.13B,8.43%,$1.52B,$0.16B,10.20%,$1.52B,$0.12B,8.16%,$1.52B,$0.08B,5.27%,$0.08B,$0.57B,14.30%,$0.08B,$0.51B,15.67%,$0.08B,$0.82B,9.98%,$0.13B,$0.57B,22.84%,$377,$227,$149,$0,$116,$343,$34,$-1,$33,$12,$21,$21,$21,$41,$34,$49,50,$0.42,$0.42,$115,$187,$40,$486,$171,$0,$59,$68,$337,$823,$164,$0,$87,$87,$251,$49,$259,$-33,$572,$823,$35,$14,$5,$19,$1,$-4,$2,$2,$0,$54,$-10,$0,$-16,$0,$-8,$-8,$0,$-34,$-0,$0,$-0,$-18,$-18,$-10,$2,$-27,$-7,$6,$-10
8,2016-07-31,29.29,$11.35,2.58,$30.19,0.97,$3.68,7.95,$1.57,18.66,$0.47B,$0.15B,3.1,$0.00B,$0.56B,0.0,$1.53B,$0.60B,39.02%,$1.53B,$0.13B,8.33%,$1.53B,$0.13B,8.33%,$1.53B,$0.15B,10.10%,$1.53B,$0.13B,8.20%,$1.53B,$0.08B,5.25%,$0.08B,$0.56B,14.49%,$0.08B,$0.51B,15.76%,$0.08B,$0.80B,10.09%,$0.13B,$0.56B,22.96%,$341,$207,$134,$0,$112,$318,$22,$-1,$22,$8,$14,$14,$14,$29,$22,$49,50,$0.28,$0.28,$126,$176,$39,$470,$171,$0,$50,$64,$328,$798,$152,$0,$88,$88,$240,$49,$249,$-34,$558,$798,$14,$7,$2,$9,$18,$1,$0,$-6,$13,$36,$-5,$0,$-5,$0,$-4,$-4,$0,$-14,$-0,$0,$-0,$-13,$-13,$-5,$1,$-17,$5,$3,$-5
9,2016-04-30,24.97,$11.30,2.21,$30.00,0.83,$2.98,8.39,$1.56,16.01,$0.48B,$0.16B,3.06,$0.00B,$0.56B,0.0,$1.53B,$0.59B,38.36%,$1.53B,$0.13B,8.20%,$1.53B,$0.13B,8.20%,$1.53B,$0.15B,9.90%,$1.53B,$0.13B,8.20%,$1.53B,$0.08B,5.25%,$0.08B,$0.56B,14.65%,$0.08B,$0.51B,15.72%,$0.08B,$0.80B,10.21%,$0.13B,$0.56B,22.86%,$417,$250,$167,$0,$130,$380,$37,$-3,$34,$11,$23,$23,$23,$44,$37,$50,51,$0.45,$0.44,$121,$176,$39,$482,$172,$0,$46,$59,$318,$800,$157,$1,$85,$85,$243,$49,$252,$-34,$557,$800,$81,$27,$5,$32,$11,$-15,$-1,$7,$2,$115,$-22,$0,$-23,$0,$8,$8,$0,$-37,$-1,$0,$-1,$-46,$-46,$-18,$1,$-63,$13,$8,$-18
