,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.6,$2.14,25.56,$8.30,6.58,$5.45,10.03,$1.54,35.45,$0.20B,$0.14B,1.49,$0.00B,$0.14B,0.0,$0.56B,$0.32B,57.60%,$0.56B,$0.14B,25.76%,$0.56B,$0.14B,25.76%,$0.56B,$0.15B,27.19%,$0.56B,$0.15B,26.30%,$0.56B,$0.10B,18.60%,$0.10B,$0.14B,70.27%,$0.10B,$0.08B,121.28%,$0.10B,$0.29B,34.52%,$0.14B,$0.14B,97.30%,$142,$61,$81,$18,$24,$106,$36,$2,$38,$9,$28,$28,$28,$38,$36,$66,66,$0.43,$0.43,$94,$0,$0,$203,$15,$0,$62,$10,$88,$291,$137,$0,$15,$15,$151,$1,$157,$-18,$140,$291,$79,$7,$13,$20,$-2,$0,$0,$3,$5,$103,$-6,$0,$0,$0,$-5,$-5,$0,$-11,$0,$0,$0,$-125,$-125,$0,$0,$-125,$-36,$15,$0
1,2018-06-30,47.01,$1.97,23.92,$8.35,5.63,$5.59,8.41,$1.58,29.75,$0.21B,$0.15B,1.38,$0.00B,$0.13B,0.0,$0.57B,$0.33B,58.07%,$0.57B,$0.16B,27.89%,$0.57B,$0.16B,27.89%,$0.57B,$0.17B,29.30%,$0.57B,$0.16B,28.07%,$0.57B,$0.11B,19.12%,$0.11B,$0.13B,67.49%,$0.11B,$0.07B,109.55%,$0.11B,$0.29B,35.16%,$0.16B,$0.13B,98.45%,$142,$59,$83,$18,$27,$106,$36,$1,$37,$9,$28,$28,$28,$38,$36,$66,67,$0.42,$0.42,$83,$0,$0,$205,$15,$0,$62,$10,$88,$292,$148,$0,$15,$15,$163,$1,$144,$-15,$129,$292,$50,$4,$9,$13,$-8,$0,$0,$11,$5,$68,$-4,$0,$0,$0,$-5,$-5,$0,$-9,$0,$0,$0,$-104,$-104,$0,$0,$-104,$-46,$9,$0
2,2018-03-31,41.88,$2.21,18.91,$8.43,4.97,$5.64,7.43,$1.61,26.01,$0.22B,$0.14B,1.53,$0.00B,$0.15B,0.0,$0.58B,$0.34B,58.42%,$0.58B,$0.17B,29.55%,$0.58B,$0.17B,29.55%,$0.58B,$0.18B,31.10%,$0.58B,$0.17B,29.55%,$0.58B,$0.11B,19.24%,$0.11B,$0.15B,66.37%,$0.11B,$0.09B,105.16%,$0.11B,$0.31B,36.33%,$0.17B,$0.15B,101.93%,$131,$58,$73,$17,$26,$103,$28,$1,$29,$6,$23,$23,$23,$30,$28,$68,68,$0.34,$0.33,$119,$0,$0,$219,$16,$0,$62,$10,$88,$307,$143,$0,$16,$16,$159,$1,$159,$-12,$148,$307,$23,$2,$6,$8,$8,$0,$0,$6,$21,$51,$-2,$0,$0,$0,$-13,$-13,$0,$-15,$0,$0,$0,$-56,$-56,$0,$0,$-56,$-19,$4,$0
3,2017-12-31,49.54,$2.58,19.19,$8.55,5.79,$5.77,8.58,$1.68,29.49,$0.23B,$0.12B,1.84,$0.00B,$0.18B,0.0,$0.59B,$0.35B,58.75%,$0.59B,$0.19B,31.31%,$0.59B,$0.19B,31.31%,$0.59B,$0.20B,32.83%,$0.59B,$0.18B,30.98%,$0.59B,$0.12B,19.70%,$0.12B,$0.18B,69.33%,$0.12B,$0.11B,109.86%,$0.12B,$0.32B,38.58%,$0.19B,$0.18B,110.22%,$144,$59,$85,$15,$25,$101,$44,$-1,$43,$18,$25,$25,$25,$46,$44,$69,69,$0.36,$0.36,$126,$0,$0,$228,$15,$0,$62,$7,$87,$315,$124,$0,$16,$16,$140,$1,$186,$-12,$175,$315,$116,$9,$18,$27,$10,$0,$0,$14,$20,$164,$-6,$0,$0,$-13,$13,$0,$0,$-6,$0,$0,$0,$-132,$-132,$0,$0,$-132,$30,$16,$0
4,2017-09-30,41.57,$2.82,14.74,$8.52,4.88,$5.34,7.79,$1.74,23.89,$0.24B,$0.12B,1.95,$0.00B,$0.19B,0.0,$0.60B,$0.35B,58.70%,$0.60B,$0.19B,31.27%,$0.60B,$0.19B,31.27%,$0.60B,$0.20B,32.94%,$0.60B,$0.19B,31.27%,$0.60B,$0.12B,20.40%,$0.12B,$0.19B,72.94%,$0.12B,$0.13B,116.19%,$0.12B,$0.33B,40.84%,$0.19B,$0.19B,111.81%,$153,$63,$90,$15,$22,$102,$51,$0,$51,$19,$33,$33,$33,$53,$51,$69,69,$0.47,$0.47,$130,$0,$0,$238,$15,$0,$62,$8,$88,$326,$122,$0,$9,$9,$132,$1,$203,$-13,$194,$326,$92,$7,$12,$19,$5,$0,$0,$5,$6,$117,$-4,$0,$0,$0,$-4,$-4,$0,$-8,$0,$0,$0,$-82,$-82,$0,$0,$-82,$29,$11,$0
5,2017-06-30,48.06,$2.29,21.01,$8.43,5.7,$5.05,9.53,$1.74,27.62,$0.20B,$0.12B,1.67,$0.00B,$0.16B,0.0,$0.60B,$0.35B,58.96%,$0.60B,$0.19B,31.83%,$0.60B,$0.19B,31.83%,$0.60B,$0.20B,33.50%,$0.60B,$0.19B,31.83%,$0.60B,$0.12B,20.44%,$0.12B,$0.16B,73.72%,$0.12B,$0.10B,118.16%,$0.12B,$0.29B,41.18%,$0.19B,$0.16B,114.80%,$154,$62,$92,$14,$23,$105,$49,$-0,$49,$18,$31,$31,$31,$52,$49,$69,69,$0.45,$0.45,$87,$0,$0,$197,$16,$0,$62,$8,$88,$285,$118,$0,$9,$9,$127,$1,$170,$-13,$158,$285,$59,$5,$9,$14,$5,$0,$0,$6,$-1,$73,$-3,$0,$0,$0,$-9,$-9,$0,$-12,$0,$0,$0,$-82,$-82,$0,$0,$-82,$-19,$7,$0
6,2017-03-31,52.05,$2.13,24.44,$8.36,6.23,$4.81,10.83,$1.75,29.74,$0.20B,$0.13B,1.54,$0.00B,$0.15B,0.0,$0.60B,$0.35B,58.86%,$0.60B,$0.19B,32.27%,$0.60B,$0.19B,32.27%,$0.60B,$0.20B,33.95%,$0.60B,$0.19B,32.44%,$0.60B,$0.12B,20.74%,$0.12B,$0.15B,73.05%,$0.12B,$0.09B,115.08%,$0.12B,$0.29B,41.54%,$0.19B,$0.15B,113.70%,$143,$62,$82,$14,$24,$102,$42,$-0,$41,$13,$28,$28,$28,$44,$42,$70,70,$0.40,$0.40,$101,$0,$0,$200,$17,$0,$62,$8,$87,$287,$130,$0,$10,$10,$139,$1,$161,$-14,$148,$287,$28,$2,$7,$9,$17,$0,$0,$3,$24,$61,$-1,$0,$0,$0,$-12,$-12,$0,$-12,$0,$0,$0,$-57,$-57,$0,$0,$-57,$-6,$4,$0
7,2016-12-31,53.03,$2.41,21.99,$8.37,6.34,$4.47,11.86,$1.73,30.65,$0.21B,$0.12B,1.76,$0.00B,$0.17B,0.0,$0.61B,$0.36B,58.68%,$0.61B,$0.19B,32.07%,$0.61B,$0.19B,32.07%,$0.61B,$0.20B,33.72%,$0.61B,$0.20B,32.56%,$0.61B,$0.12B,20.33%,$0.12B,$0.17B,69.69%,$0.12B,$0.11B,107.42%,$0.12B,$0.30B,40.66%,$0.19B,$0.17B,109.92%,$148,$61,$87,$13,$26,$102,$45,$0,$46,$16,$30,$30,$30,$48,$45,$72,72,$0.42,$0.41,$96,$0,$1,$207,$17,$0,$62,$8,$90,$297,$118,$0,$7,$10,$128,$1,$185,$-16,$169,$297,$124,$9,$17,$26,$-4,$0,$0,$-4,$-11,$139,$-7,$0,$0,$0,$10,$10,$0,$3,$0,$0,$0,$-168,$-168,$0,$5,$-163,$-23,$16,$0
8,2016-09-30,57.62,$2.63,21.93,$8.23,7.0,$4.10,14.05,$1.67,34.5,$0.22B,$0.12B,1.86,$0.00B,$0.19B,0.0,$0.60B,$0.35B,58.36%,$0.60B,$0.19B,31.61%,$0.60B,$0.19B,31.61%,$0.60B,$0.20B,33.11%,$0.60B,$0.19B,31.94%,$0.60B,$0.12B,19.90%,$0.12B,$0.19B,65.03%,$0.12B,$0.13B,98.35%,$0.12B,$0.32B,38.23%,$0.19B,$0.19B,103.28%,$152,$62,$91,$13,$21,$99,$54,$0,$54,$20,$33,$33,$33,$56,$54,$71,72,$0.47,$0.47,$111,$0,$0,$222,$20,$0,$62,$7,$94,$316,$119,$0,$10,$10,$129,$1,$200,$-14,$187,$316,$94,$7,$11,$18,$-2,$0,$0,$-1,$-11,$101,$-5,$0,$0,$0,$10,$10,$0,$5,$0,$0,$0,$-118,$-118,$0,$5,$-113,$-8,$12,$0
9,2016-06-30,64.13,$2.44,26.24,$8.04,7.98,$3.77,17.01,$1.58,40.59,$0.20B,$0.11B,1.82,$0.00B,$0.18B,0.0,$0.59B,$0.34B,58.16%,$0.59B,$0.18B,30.44%,$0.59B,$0.18B,30.44%,$0.59B,$0.19B,31.97%,$0.59B,$0.18B,30.78%,$0.59B,$0.11B,19.39%,$0.11B,$0.18B,62.04%,$0.11B,$0.11B,93.63%,$0.11B,$0.29B,36.42%,$0.18B,$0.18B,97.41%,$155,$63,$92,$13,$24,$103,$52,$1,$53,$20,$33,$33,$33,$55,$52,$72,72,$0.46,$0.46,$95,$0,$0,$200,$21,$0,$62,$7,$94,$294,$110,$0,$9,$9,$119,$1,$188,$-14,$175,$294,$61,$4,$9,$13,$4,$0,$0,$-6,$-15,$60,$-4,$0,$0,$0,$8,$8,$0,$4,$0,$0,$0,$-93,$-93,$0,$5,$-88,$-25,$8,$0
