,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,124.54,$17.22,7.23,$15.24,8.17,$6.49,19.18,$2.64,47.17,$0.74B,$0.14B,5.12,$0.00B,$0.91B,0.0,$0.85B,$0.58B,67.96%,$0.85B,$0.21B,25.00%,$0.85B,$0.21B,25.00%,$0.85B,$0.23B,27.46%,$0.85B,$0.22B,25.59%,$0.85B,$0.15B,17.14%,$0.15B,$0.91B,18.09%,$0.15B,$0.86B,19.27%,$0.15B,$1.10B,14.75%,$0.21B,$0.91B,26.39%,$211,$70,$141,$19,$73,$162,$49,$1,$50,$-7,$57,$57,$57,$54,$49,$52,56,$1.09,$1.02,$493,$93,$48,$736,$165,$0,$52,$4,$360,$1096,$144,$0,$40,$40,$183,$0,$884,$-6,$912,$1096,$147,$16,$13,$29,$17,$-1,$4,$-28,$1,$176,$-12,$-5,$0,$0,$-4,$-4,$0,$-21,$0,$0,$0,$24,$24,$0,$-0,$24,$178,$20,$0
1,2018-06-30,97.65,$15.82,6.17,$14.94,6.54,$3.03,32.19,$2.32,42.09,$0.65B,$0.13B,5.05,$0.00B,$0.83B,0.0,$0.83B,$0.56B,67.39%,$0.83B,$0.21B,24.82%,$0.83B,$0.21B,24.82%,$0.83B,$0.23B,27.34%,$0.83B,$0.21B,25.30%,$0.83B,$0.13B,14.99%,$0.13B,$0.83B,16.49%,$0.13B,$0.78B,17.61%,$0.13B,$1.01B,13.27%,$0.21B,$0.83B,27.30%,$212,$69,$142,$19,$71,$160,$52,$1,$53,$9,$44,$44,$44,$57,$52,$52,56,$0.84,$0.79,$430,$91,$35,$654,$164,$0,$48,$4,$353,$1007,$129,$0,$53,$53,$182,$0,$827,$-6,$825,$1007,$89,$11,$12,$23,$20,$1,$2,$-6,$16,$128,$-9,$-4,$0,$0,$0,$0,$0,$-13,$0,$0,$0,$1,$1,$0,$-0,$1,$114,$12,$0
2,2018-03-31,87.95,$14.80,5.94,$14.57,6.04,$0.49,181.3,$2.36,37.27,$0.60B,$0.13B,4.55,$0.00B,$0.77B,0.0,$0.81B,$0.55B,67.20%,$0.81B,$0.20B,24.45%,$0.81B,$0.20B,24.45%,$0.81B,$0.22B,27.03%,$0.81B,$0.20B,24.82%,$0.81B,$0.13B,15.48%,$0.13B,$0.77B,17.28%,$0.13B,$0.72B,18.51%,$0.13B,$0.95B,13.78%,$0.20B,$0.77B,27.29%,$213,$69,$144,$19,$71,$159,$54,$2,$56,$10,$46,$46,$46,$59,$54,$52,55,$0.88,$0.82,$369,$91,$35,$596,$164,$0,$50,$4,$353,$950,$131,$0,$52,$52,$183,$0,$783,$-3,$767,$950,$46,$5,$5,$11,$18,$1,$2,$-3,$16,$72,$-4,$-4,$0,$0,$0,$0,$0,$-7,$0,$0,$0,$-10,$-10,$0,$-0,$-10,$54,$5,$0
3,2017-12-31,84.8,$14.02,6.05,$14.27,5.94,$-0.57,0.0,$2.36,35.93,$0.56B,$0.13B,4.32,$0.00B,$0.72B,0.0,$0.80B,$0.54B,67.04%,$0.80B,$0.20B,24.69%,$0.80B,$0.20B,24.69%,$0.80B,$0.22B,27.32%,$0.80B,$0.20B,24.94%,$0.80B,$0.13B,16.54%,$0.13B,$0.72B,18.97%,$0.13B,$0.68B,20.38%,$0.13B,$0.91B,14.73%,$0.20B,$0.72B,28.30%,$216,$64,$152,$16,$77,$157,$58,$1,$59,$60,$-1,$-1,$-1,$64,$58,$52,56,$-0.03,$-0.01,$315,$92,$34,$560,$164,$0,$48,$5,$346,$905,$130,$0,$52,$52,$181,$0,$738,$-3,$724,$905,$132,$20,$52,$73,$-20,$-23,$-4,$-36,$-148,$56,$-44,$-3,$0,$0,$-1,$-1,$0,$-48,$-0,$0,$-0,$-4,$-4,$0,$0,$-4,$7,$17,$0
4,2017-09-30,86.56,$13.88,6.24,$13.85,6.25,$6.71,12.89,$6.32,13.7,$0.55B,$0.17B,3.17,$0.00B,$0.72B,0.0,$0.77B,$0.51B,66.27%,$0.77B,$0.45B,58.69%,$0.77B,$0.45B,58.69%,$0.77B,$0.47B,61.31%,$0.77B,$0.45B,58.56%,$0.77B,$0.35B,45.49%,$0.35B,$0.72B,53.13%,$0.35B,$0.67B,57.38%,$0.35B,$0.91B,39.76%,$0.45B,$0.72B,68.55%,$193,$69,$124,$15,$66,$150,$43,$0,$43,$7,$36,$36,$36,$48,$43,$52,56,$0.69,$0.64,$290,$99,$47,$546,$165,$0,$48,$11,$360,$906,$172,$0,$16,$16,$189,$0,$720,$-3,$717,$906,$133,$14,$12,$26,$-17,$-26,$4,$-31,$-151,$7,$-38,$-2,$0,$0,$-1,$-1,$0,$-41,$-0,$0,$-0,$13,$13,$0,$0,$13,$-18,$11,$0
5,2017-06-30,91.18,$13.66,6.68,$13.54,6.74,$8.64,10.55,$6.14,14.85,$0.57B,$0.15B,3.89,$0.00B,$0.71B,0.0,$0.74B,$0.49B,66.62%,$0.74B,$0.44B,59.86%,$0.74B,$0.44B,59.86%,$0.74B,$0.46B,62.43%,$0.74B,$0.44B,59.59%,$0.74B,$0.34B,45.95%,$0.34B,$0.71B,60.82%,$0.34B,$0.66B,66.67%,$0.34B,$0.90B,42.05%,$0.44B,$0.71B,74.17%,$192,$65,$127,$16,$67,$148,$44,$0,$44,$-1,$45,$45,$45,$49,$44,$52,56,$0.87,$0.80,$331,$88,$42,$566,$138,$0,$48,$11,$330,$896,$145,$0,$16,$41,$186,$0,$681,$-4,$709,$896,$97,$9,$6,$16,$-2,$-16,$3,$-34,$-128,$-15,$-9,$-2,$0,$0,$0,$0,$0,$-10,$-0,$0,$-0,$48,$48,$0,$0,$48,$25,$6,$0
6,2017-03-31,93.26,$12.40,7.52,$13.39,6.96,$9.94,9.38,$5.88,15.86,$0.56B,$0.20B,2.75,$0.00B,$0.63B,0.0,$0.72B,$0.48B,66.71%,$0.72B,$0.44B,60.33%,$0.72B,$0.44B,60.33%,$0.72B,$0.45B,62.97%,$0.72B,$0.43B,60.19%,$0.72B,$0.33B,45.08%,$0.33B,$0.63B,71.35%,$0.33B,$0.59B,79.95%,$0.33B,$0.88B,44.20%,$0.44B,$0.63B,80.93%,$197,$64,$132,$14,$66,$144,$52,$1,$53,$1,$52,$52,$52,$57,$52,$51,56,$1.02,$0.93,$344,$80,$28,$556,$136,$0,$49,$9,$321,$878,$203,$0,$16,$41,$244,$0,$635,$-6,$634,$878,$52,$5,$3,$8,$-3,$-7,$1,$-13,$-45,$14,$-4,$-1,$0,$0,$0,$0,$0,$-5,$-0,$0,$-0,$27,$27,$0,$0,$27,$36,$3,$0
7,2016-12-31,67.4,$11.16,6.04,$13.14,5.13,$10.03,6.72,$5.59,12.06,$0.51B,$0.22B,2.3,$0.00B,$0.56B,0.0,$0.70B,$0.46B,66.62%,$0.70B,$0.42B,60.43%,$0.70B,$0.42B,60.43%,$0.70B,$0.44B,63.02%,$0.70B,$0.42B,60.29%,$0.70B,$0.30B,43.31%,$0.30B,$0.56B,82.69%,$0.30B,$0.51B,95.63%,$0.30B,$0.82B,44.86%,$0.42B,$0.56B,83.62%,$183,$59,$124,$15,$69,$-127,$310,$-3,$308,$92,$215,$215,$215,$315,$310,$50,53,$4.34,$4.03,$306,$73,$26,$507,$136,$0,$49,$9,$313,$821,$220,$0,$15,$40,$260,$0,$589,$-7,$560,$821,$301,$17,$19,$35,$-21,$-11,$11,$37,$83,$419,$-20,$-5,$0,$0,$-0,$-0,$-1,$-25,$-0,$-185,$-185,$-31,$-31,$0,$-1,$-217,$176,$13,$0
8,2016-09-30,59.49,$6.71,8.87,$12.81,4.64,$3.76,15.81,$2.08,28.6,$0.33B,$0.14B,2.25,$0.15B,$0.33B,0.46,$0.68B,$0.44B,64.95%,$0.68B,$0.15B,21.65%,$0.68B,$0.15B,21.65%,$0.68B,$0.16B,24.15%,$0.68B,$0.15B,21.50%,$0.68B,$0.11B,16.20%,$0.11B,$0.33B,37.54%,$0.11B,$0.28B,45.08%,$0.11B,$0.64B,17.85%,$0.15B,$0.49B,30.79%,$168,$57,$110,$16,$58,$131,$37,$-1,$36,$8,$28,$28,$28,$41,$37,$49,54,$0.56,$0.52,$126,$67,$37,$325,$133,$0,$50,$9,$315,$639,$144,$153,$9,$162,$306,$0,$374,$-5,$333,$639,$85,$12,$15,$27,$-13,$-5,$9,$-14,$-25,$88,$-14,$-4,$0,$0,$-0,$-0,$-1,$-19,$-0,$-33,$-33,$-42,$-42,$0,$-1,$-75,$-6,$10,$0
9,2016-06-30,52.52,$5.98,8.78,$12.53,4.19,$2.66,19.75,$1.92,27.35,$0.30B,$0.12B,2.46,$0.18B,$0.30B,0.59,$0.66B,$0.43B,65.21%,$0.66B,$0.14B,20.78%,$0.66B,$0.14B,20.78%,$0.66B,$0.16B,23.34%,$0.66B,$0.14B,20.63%,$0.66B,$0.10B,15.21%,$0.10B,$0.30B,36.50%,$0.10B,$0.25B,44.25%,$0.10B,$0.60B,16.81%,$0.14B,$0.47B,29.33%,$173,$58,$115,$15,$64,$136,$36,$0,$37,$7,$30,$30,$30,$41,$36,$49,53,$0.61,$0.57,$116,$62,$23,$296,$133,$0,$49,$12,$307,$603,$120,$175,$12,$187,$308,$0,$346,$-5,$295,$603,$58,$8,$11,$19,$-4,$-0,$8,$-6,$-20,$57,$-11,$-1,$0,$0,$0,$0,$-1,$-13,$-0,$-10,$-10,$-49,$-49,$0,$-1,$-60,$-16,$6,$0
