,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,39.64,$17.42,2.28,$50.50,0.78,$-5.05,0.0,$5.96,6.65,$0.30B,$0.33B,0.92,$0.87B,$0.74B,1.16,$2.17B,$0.34B,15.65%,$2.17B,$0.16B,7.41%,$2.17B,$0.16B,7.41%,$2.17B,$0.26B,11.87%,$2.17B,$0.14B,6.49%,$2.17B,$0.26B,11.78%,$0.26B,$0.74B,36.52%,$0.26B,$0.20B,164.10%,$0.26B,$2.42B,10.96%,$0.16B,$1.61B,10.29%,$589,$486,$104,$0,$55,$531,$59,$-4,$55,$13,$42,$42,$42,$82,$59,$43,43,$0.97,$0.97,$12,$0,$0,$301,$1347,$79,$541,$76,$2120,$2421,$326,$866,$174,$1352,$1678,$32,$450,$-32,$744,$2421,$88,$71,$46,$117,$-46,$0,$0,$19,$-2,$203,$-236,$0,$0,$0,$0,$0,$5,$-231,$-17,$68,$51,$1,$1,$-26,$-5,$21,$-8,$8,$-26
1,2018-06-30,38.16,$16.38,2.33,$49.41,0.77,$-5.87,0.0,$5.78,6.6,$0.28B,$0.32B,0.9,$0.90B,$0.70B,1.28,$2.13B,$0.34B,15.98%,$2.13B,$0.16B,7.52%,$2.13B,$0.16B,7.52%,$2.13B,$0.26B,12.17%,$2.13B,$0.14B,6.67%,$2.13B,$0.25B,11.65%,$0.25B,$0.70B,38.46%,$0.25B,$0.16B,255.67%,$0.25B,$2.38B,10.92%,$0.16B,$1.60B,10.70%,$557,$466,$91,$0,$54,$511,$46,$-5,$41,$9,$33,$33,$33,$70,$46,$43,43,$0.76,$0.76,$13,$0,$0,$284,$1307,$94,$543,$79,$2098,$2382,$316,$896,$171,$1367,$1682,$32,$408,$-32,$700,$2382,$47,$48,$17,$65,$-27,$0,$0,$16,$7,$119,$-181,$0,$0,$0,$0,$0,$1,$-180,$-15,$90,$75,$1,$1,$-17,$-4,$54,$-7,$6,$-17
2,2018-03-31,28.3,$16.00,1.77,$48.29,0.59,$-4.89,0.0,$5.57,5.08,$0.27B,$0.28B,0.98,$0.87B,$0.68B,1.27,$2.08B,$0.34B,16.27%,$2.08B,$0.16B,7.73%,$2.08B,$0.16B,7.73%,$2.08B,$0.26B,12.52%,$2.08B,$0.14B,6.77%,$2.08B,$0.24B,11.47%,$0.24B,$0.68B,40.59%,$0.24B,$0.14B,624.84%,$0.24B,$2.29B,10.94%,$0.16B,$1.55B,11.54%,$511,$439,$72,$0,$54,$483,$29,$-4,$25,$10,$14,$14,$14,$52,$29,$43,43,$0.33,$0.33,$14,$0,$0,$269,$1215,$97,$546,$81,$2019,$2288,$276,$867,$171,$1330,$1606,$32,$393,$-31,$682,$2288,$14,$24,$5,$29,$-15,$0,$0,$13,$-13,$30,$-70,$0,$0,$0,$0,$0,$0,$-70,$-3,$49,$47,$0,$0,$-9,$-4,$34,$-6,$3,$-9
3,2017-12-31,29.32,$15.96,1.84,$47.30,0.62,$-4.43,0.0,$5.40,5.43,$0.27B,$0.29B,0.93,$0.83B,$0.68B,1.22,$2.05B,$0.33B,16.12%,$2.05B,$0.15B,7.28%,$2.05B,$0.15B,7.28%,$2.05B,$0.25B,12.26%,$2.05B,$0.13B,6.16%,$2.05B,$0.23B,11.33%,$0.23B,$0.68B,43.38%,$0.23B,$0.13B,-1254.05%,$0.23B,$2.25B,10.93%,$0.15B,$1.51B,11.36%,$516,$443,$73,$0,$55,$489,$27,$-7,$20,$-147,$167,$167,$167,$54,$27,$43,43,$3.90,$3.87,$20,$0,$0,$266,$1166,$93,$549,$85,$1982,$2248,$286,$826,$172,$1283,$1569,$32,$382,$-25,$678,$2248,$232,$101,$-126,$-24,$-5,$0,$0,$2,$17,$225,$-307,$0,$0,$0,$0,$0,$30,$-277,$-32,$150,$118,$-17,$-17,$-34,$-9,$58,$6,$11,$-34
4,2017-09-30,27.49,$12.22,2.25,$47.30,0.58,$-2.96,0.0,$1.94,14.17,$0.30B,$0.29B,1.07,$0.81B,$0.52B,1.56,$2.05B,$0.34B,16.39%,$2.05B,$0.16B,7.76%,$2.05B,$0.16B,7.76%,$2.05B,$0.26B,12.68%,$2.05B,$0.14B,6.68%,$2.05B,$0.09B,4.15%,$0.09B,$0.52B,17.38%,$0.09B,$-0.03B,-126.87%,$0.09B,$2.17B,4.12%,$0.16B,$1.33B,12.86%,$544,$440,$104,$0,$53,$486,$58,$-3,$56,$22,$34,$34,$34,$83,$58,$43,43,$0.79,$0.79,$25,$0,$0,$303,$1099,$88,$552,$30,$1864,$2167,$285,$810,$109,$1364,$1648,$32,$223,$-22,$519,$2167,$65,$74,$27,$101,$-24,$0,$0,$-10,$-19,$147,$-216,$0,$0,$0,$0,$0,$31,$-185,$-20,$120,$101,$-18,$-18,$-25,$-9,$48,$11,$8,$-25
5,2017-06-30,29.11,$11.04,2.64,$46.29,0.63,$-1.76,0.0,$1.73,16.83,$0.28B,$0.28B,1.02,$0.72B,$0.48B,1.52,$2.01B,$0.32B,16.05%,$2.01B,$0.15B,7.38%,$2.01B,$0.15B,7.38%,$2.01B,$0.25B,12.36%,$2.01B,$0.12B,6.08%,$2.01B,$0.08B,3.79%,$0.08B,$0.48B,16.03%,$0.08B,$-0.08B,-89.68%,$0.08B,$2.04B,3.72%,$0.15B,$1.20B,12.18%,$513,$422,$90,$0,$50,$466,$47,$-7,$40,$16,$24,$24,$24,$72,$47,$43,43,$0.56,$0.55,$15,$0,$0,$282,$989,$87,$555,$31,$1757,$2039,$276,$723,$146,$1287,$1563,$32,$201,$-44,$476,$2039,$31,$50,$12,$62,$-9,$0,$0,$-11,$-30,$63,$-84,$0,$0,$0,$0,$0,$31,$-52,$-15,$30,$15,$-1,$-1,$-17,$-7,$-10,$1,$5,$-17
6,2017-03-31,30.6,$10.81,2.83,$45.23,0.68,$-0.95,0.0,$1.59,19.24,$0.29B,$0.26B,1.1,$0.75B,$0.47B,1.61,$1.96B,$0.31B,15.81%,$1.96B,$0.14B,6.99%,$1.96B,$0.14B,6.99%,$1.96B,$0.24B,12.03%,$1.96B,$0.11B,5.71%,$1.96B,$0.07B,3.57%,$0.07B,$0.47B,15.10%,$0.07B,$-0.09B,-135.92%,$0.07B,$2.03B,3.58%,$0.14B,$1.22B,12.08%,$474,$412,$63,$0,$50,$457,$17,$-7,$10,$3,$7,$7,$7,$42,$17,$43,43,$0.16,$0.16,$20,$0,$0,$288,$951,$87,$557,$61,$1747,$2034,$261,$749,$146,$1307,$1568,$32,$194,$-45,$466,$2034,$7,$25,$-2,$23,$-8,$0,$0,$-4,$-26,$4,$-24,$0,$0,$0,$0,$0,$0,$-24,$-3,$44,$41,$-0,$-0,$-8,$-7,$26,$6,$3,$-8
7,2016-12-31,33.91,$11.54,2.94,$44.67,0.76,$-0.72,0.0,$1.84,18.43,$0.27B,$0.28B,0.99,$0.71B,$0.50B,1.43,$1.94B,$0.33B,16.74%,$1.94B,$0.16B,7.99%,$1.94B,$0.16B,7.99%,$1.94B,$0.25B,12.98%,$1.94B,$0.13B,6.80%,$1.94B,$0.08B,4.17%,$0.08B,$0.50B,17.72%,$0.08B,$-0.07B,-600.00%,$0.08B,$2.02B,4.35%,$0.16B,$1.20B,14.69%,$519,$441,$79,$0,$48,$482,$37,$-7,$31,$11,$20,$20,$20,$63,$37,$43,44,$0.46,$0.45,$14,$0,$0,$274,$949,$82,$560,$60,$1741,$2016,$278,$707,$172,$1243,$1521,$32,$197,$-24,$495,$2016,$81,$97,$23,$120,$14,$0,$0,$-60,$-44,$158,$-177,$0,$0,$0,$-113,$-113,$-31,$-321,$171,$55,$226,$-37,$-37,$-32,$-6,$151,$-12,$11,$-32
8,2016-09-30,38.01,$10.72,3.55,$43.98,0.86,$3.87,9.81,$2.00,19.0,$0.31B,$0.29B,1.07,$0.79B,$0.46B,1.71,$1.92B,$0.34B,17.63%,$1.92B,$0.16B,8.56%,$1.92B,$0.16B,8.56%,$1.92B,$0.26B,13.51%,$1.92B,$0.14B,7.41%,$1.92B,$0.09B,4.59%,$0.09B,$0.46B,19.73%,$0.09B,$-0.10B,434.57%,$0.09B,$2.07B,4.95%,$0.16B,$1.25B,16.92%,$500,$411,$90,$0,$46,$454,$47,$-6,$41,$15,$25,$25,$25,$71,$47,$43,43,$0.59,$0.59,$16,$0,$0,$310,$908,$76,$563,$139,$1763,$2073,$290,$786,$142,$1324,$1614,$32,$185,$-44,$459,$2073,$61,$72,$27,$99,$-5,$0,$0,$-41,$-73,$88,$-104,$0,$0,$0,$-113,$-113,$-111,$-328,$104,$195,$299,$-37,$-37,$-24,$-7,$231,$-9,$9,$-24
9,2016-06-30,30.62,$10.11,3.03,$44.76,0.68,$7.29,4.2,$2.36,12.97,$0.25B,$0.29B,0.88,$0.44B,$0.43B,1.02,$1.96B,$0.37B,18.77%,$1.96B,$0.19B,9.64%,$1.96B,$0.19B,9.64%,$1.96B,$0.28B,14.43%,$1.96B,$0.17B,8.57%,$1.96B,$0.11B,5.35%,$0.11B,$0.43B,23.92%,$0.11B,$0.05B,185.02%,$0.11B,$1.69B,6.20%,$0.19B,$0.88B,21.46%,$468,$390,$78,$0,$45,$432,$36,$-7,$30,$12,$18,$18,$18,$60,$36,$43,43,$0.42,$0.42,$19,$0,$0,$254,$873,$72,$381,$29,$1434,$1688,$290,$441,$145,$964,$1254,$32,$164,$-45,$434,$1688,$36,$48,$9,$57,$7,$0,$0,$1,$-14,$79,$-64,$0,$0,$0,$0,$0,$0,$-64,$-11,$44,$33,$-32,$-32,$-16,$-6,$-21,$-6,$6,$-16
