,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,46.11,$35.21,1.31,$12.68,3.64,$13.90,3.32,$3.37,13.68,$14.26B,$16.17B,0.88,$0.59B,$2.77B,0.21,$1.08B,$0.98B,90.45%,$1.08B,$0.24B,22.34%,$1.08B,0,0.00%,$1.08B,0,0.00%,$1.08B,$0.24B,21.78%,$1.08B,$0.29B,26.60%,$0.29B,$2.97B,9.68%,$0.29B,$1.62B,17.71%,$0.29B,$19.72B,1.44%,$0.24B,$3.55B,6.37%,$272,$30,$242,$0,$185,$217,$55,$-3,$52,$9,$43,$43,$40,$0,$0,$84,85,$0.47,$0.47,$431,$0,$0,$14262,$274,$3182,$1345,$657,$5458,$19720,$16169,$586,$0,$586,$16755,$1,$1147,$-17,$2965,$19720,$138,$105,$66,$171,$402,$0,$0,$-17,$385,$694,$-93,$-0,$0,$0,$-321,$-321,$91,$-323,$119,$-218,$-99,$2,$-98,$-72,$-250,$-519,$-149,$14,$-61
1,2018-06-30,46.7,$35.02,1.33,$12.71,3.67,$9.01,5.18,$3.59,13.01,$14.57B,$16.09B,0.91,$0.93B,$2.75B,0.34,$1.08B,$0.99B,91.39%,$1.08B,$0.27B,25.37%,$1.08B,0,0.00%,$1.08B,0,0.00%,$1.08B,$0.27B,24.81%,$1.08B,$0.31B,28.33%,$0.31B,$2.95B,10.57%,$0.31B,$1.60B,19.63%,$0.31B,$19.97B,1.52%,$0.27B,$3.87B,7.36%,$275,$28,$247,$0,$193,$223,$52,$-4,$48,$10,$39,$39,$36,$0,$0,$84,85,$0.42,$0.42,$493,$0,$0,$14574,$281,$3130,$1348,$633,$5393,$19967,$16093,$925,$0,$925,$17018,$1,$1128,$-10,$2949,$19967,$95,$71,$29,$100,$111,$0,$0,$-42,$69,$264,$-70,$-0,$0,$0,$-240,$-240,$148,$-162,$390,$-395,$-5,$1,$-99,$-49,$-36,$-188,$-86,$9,$-41
2,2018-03-31,40.29,$34.91,1.15,$12.51,3.22,$8.06,5.0,$3.67,10.98,$14.72B,$16.19B,0.91,$1.05B,$2.74B,0.38,$1.06B,$0.98B,92.37%,$1.06B,$0.29B,27.62%,$1.06B,0,0.00%,$1.06B,0,0.00%,$1.06B,$0.28B,26.77%,$1.06B,$0.31B,29.41%,$0.31B,$2.93B,11.06%,$0.31B,$1.59B,20.89%,$0.31B,$20.17B,1.55%,$0.29B,$3.98B,8.25%,$270,$24,$246,$0,$173,$199,$71,$0,$71,$14,$57,$57,$69,$0,$0,$84,85,$0.82,$0.81,$383,$0,$0,$14718,$282,$3151,$1348,$669,$5450,$20168,$16188,$1046,$0,$1046,$17233,$1,$1112,$-4,$2934,$20168,$57,$33,$23,$56,$-19,$0,$0,$-93,$-112,$1,$-22,$-0,$0,$0,$-277,$-277,$34,$-265,$325,$-143,$182,$-1,$-101,$-26,$12,$68,$-196,$4,$-21
3,2017-12-31,44.06,$35.87,1.23,$12.26,3.59,$11.49,3.83,$3.48,12.66,$14.94B,$16.36B,0.91,$0.72B,$2.70B,0.27,$1.04B,$0.97B,93.26%,$1.04B,$0.30B,28.59%,$1.04B,0,0.00%,$1.04B,0,0.00%,$1.04B,$0.29B,27.72%,$1.04B,$0.30B,28.49%,$0.30B,$3.01B,10.80%,$0.30B,$1.68B,20.80%,$0.30B,$20.09B,1.49%,$0.30B,$3.73B,8.89%,$262,$22,$241,$0,$175,$199,$63,$0,$64,$-80,$144,$144,$142,$0,$0,$84,85,$1.69,$1.68,$579,$0,$0,$14936,$287,$2891,$1335,$639,$5151,$20087,$16360,$717,$0,$717,$17077,$1,$1065,$4,$3010,$20087,$304,$116,$-46,$70,$197,$0,$0,$4,$200,$574,$-163,$-1,$-4,$0,$384,$384,$-1124,$-908,$418,$-933,$-515,$-1,$194,$-77,$848,$450,$116,$17,$-69
4,2017-09-30,44.34,$32.09,1.38,$12.37,3.59,$7.51,5.91,$2.34,18.95,$14.89B,$16.81B,0.89,$0.62B,$2.58B,0.24,$1.03B,$0.97B,94.06%,$1.03B,$0.30B,29.60%,$1.03B,0,0.00%,$1.03B,0,0.00%,$1.03B,$0.29B,28.63%,$1.03B,$0.20B,19.38%,$0.20B,$2.69B,7.56%,$0.20B,$1.37B,15.03%,$0.20B,$20.12B,1.01%,$0.30B,$3.31B,9.54%,$273,$20,$253,$0,$163,$184,$88,$-3,$85,$25,$61,$61,$59,$0,$0,$84,85,$0.70,$0.69,$444,$0,$0,$14893,$286,$3016,$1318,$604,$5224,$20117,$16807,$617,$0,$617,$17424,$1,$941,$10,$2692,$20117,$160,$84,$34,$119,$26,$0,$0,$-14,$12,$291,$-109,$-1,$0,$0,$244,$244,$-1080,$-946,$244,$146,$390,$-2,$-2,$-58,$305,$636,$-20,$13,$-52
5,2017-06-30,43.16,$31.58,1.37,$12.32,3.5,$4.22,10.22,$2.19,19.71,$14.64B,$16.78B,0.87,$0.54B,$2.53B,0.21,$1.00B,$0.95B,94.92%,$1.00B,$0.28B,27.42%,$1.00B,0,0.00%,$1.00B,0,0.00%,$1.00B,$0.27B,27.02%,$1.00B,$0.18B,18.15%,$0.18B,$2.65B,7.00%,$0.18B,$1.34B,13.81%,$0.18B,$19.97B,0.94%,$0.28B,$3.19B,8.79%,$256,$16,$240,$0,$167,$185,$71,$-7,$64,$20,$44,$44,$42,$0,$0,$84,85,$0.51,$0.50,$464,$0,$0,$14643,$288,$3096,$1308,$629,$5322,$19965,$16776,$541,$0,$541,$17317,$1,$900,$11,$2648,$19965,$99,$56,$23,$79,$20,$0,$0,$-21,$-1,$177,$-65,$-1,$0,$0,$149,$149,$-815,$-731,$168,$274,$442,$-1,$-1,$-38,$151,$555,$1,$9,$-34
6,2017-03-31,41.77,$31.21,1.34,$12.31,3.39,$3.05,13.7,$2.25,18.56,$13.78B,$16.00B,0.86,$0.53B,$2.50B,0.21,$0.97B,$0.93B,95.47%,$0.97B,$0.27B,27.60%,$0.97B,0,0.00%,$0.97B,0,0.00%,$0.97B,$0.27B,27.91%,$0.97B,$0.18B,18.64%,$0.18B,$2.62B,7.30%,$0.18B,$1.30B,13.96%,$0.18B,$19.15B,0.98%,$0.27B,$3.14B,8.79%,$248,$13,$235,$0,$159,$174,$75,$1,$75,$21,$55,$55,$53,$0,$0,$84,85,$0.63,$0.62,$470,$0,$0,$13778,$291,$3174,$1312,$591,$5368,$19146,$16003,$526,$0,$526,$16530,$1,$875,$8,$2616,$19146,$55,$27,$10,$37,$228,$0,$0,$-28,$200,$292,$-22,$-0,$0,$0,$51,$51,$-168,$-139,$79,$-94,$-15,$-2,$-2,$-18,$-111,$-146,$7,$4,$-16
7,2016-12-31,45.87,$30.81,1.49,$12.22,3.75,$1.84,24.91,$2.13,21.54,$13.81B,$16.20B,0.85,$0.52B,$2.46B,0.21,$0.93B,$0.89B,95.71%,$0.93B,$0.25B,26.90%,$0.93B,0,0.00%,$0.93B,0,0.00%,$0.93B,$0.25B,27.22%,$0.93B,$0.17B,17.68%,$0.17B,$2.58B,7.00%,$0.17B,$1.28B,12.97%,$0.17B,$19.30B,0.94%,$0.25B,$3.10B,8.51%,$250,$12,$238,$0,$166,$180,$70,$0,$70,$22,$47,$47,$45,$0,$0,$77,78,$0.54,$0.53,$463,$0,$0,$13810,$294,$3221,$1302,$676,$5493,$19302,$16201,$522,$0,$522,$16723,$1,$839,$5,$2579,$19302,$174,$100,$9,$109,$28,$0,$0,$-60,$-32,$252,$-185,$-5,$-9,$0,$476,$476,$-1005,$-728,$196,$215,$411,$-2,$-2,$-66,$216,$558,$82,$17,$-58
8,2016-09-30,36.8,$30.68,1.2,$11.76,3.13,$2.32,15.84,$2.16,17.04,$13.78B,$16.26B,0.85,$0.52B,$2.45B,0.21,$0.89B,$0.85B,95.95%,$0.89B,$0.25B,27.59%,$0.89B,0,0.00%,$0.89B,0,0.00%,$0.89B,$0.25B,27.82%,$0.89B,$0.16B,18.24%,$0.16B,$2.56B,7.26%,$0.16B,$1.35B,13.06%,$0.16B,$19.34B,0.97%,$0.25B,$3.08B,8.62%,$249,$10,$239,$0,$178,$190,$59,$3,$62,$18,$44,$44,$42,$0,$0,$78,79,$0.55,$0.54,$476,$0,$0,$13777,$283,$3398,$1214,$670,$5565,$19342,$16258,$521,$0,$521,$16778,$1,$810,$24,$2563,$19342,$127,$70,$51,$121,$-135,$0,$0,$-83,$-218,$30,$-120,$-3,$-9,$0,$298,$298,$-771,$-606,$45,$292,$338,$-3,$-3,$-49,$385,$671,$95,$13,$-43
9,2016-06-30,34.92,$29.25,1.19,$11.33,3.08,$4.78,7.3,$2.13,16.39,$11.33B,$13.14B,0.86,$0.70B,$2.04B,0.35,$0.85B,$0.81B,95.98%,$0.85B,$0.25B,28.99%,$0.85B,0,0.00%,$0.85B,0,0.00%,$0.85B,$0.24B,28.88%,$0.85B,$0.16B,18.70%,$0.16B,$2.16B,7.50%,$0.16B,$1.26B,13.22%,$0.16B,$16.00B,1.02%,$0.25B,$2.86B,9.22%,$224,$9,$215,$0,$149,$160,$64,$-0,$64,$20,$43,$43,$41,$0,$0,$73,74,$0.56,$0.56,$426,$0,$0,$11332,$243,$2992,$902,$527,$4664,$15996,$13135,$704,$0,$704,$13839,$1,$783,$29,$2157,$15996,$83,$47,$41,$88,$-81,$0,$0,$-17,$-98,$72,$-61,$-3,$0,$0,$170,$170,$-392,$-286,$118,$241,$360,$-2,$-2,$-31,$-69,$258,$45,$8,$-27
