,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,11.71,$5.41,2.16,$2.45,4.78,$1.91,6.13,$0.63,18.59,$1.52B,$1.62B,0.93,$0.11B,$0.18B,0.61,$0.08B,$0.08B,90.36%,$0.08B,$0.03B,36.14%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.03B,36.14%,$0.08B,$0.02B,26.51%,$0.02B,$0.18B,12.36%,$0.02B,$0.18B,12.36%,$0.02B,$1.92B,1.17%,$0.03B,$0.30B,10.13%,$22,$3,$20,$0,$11,$14,$8,$0,$8,$2,$7,$7,$7,$0,$0,$34,34,$0.20,$0.20,$183,$0,$0,$1517,$46,$302,$0,$51,$403,$1919,$1624,$111,$0,$111,$1735,$218,$-29,$-4,$184,$1919,$19,$2,$1,$3,$-0,$0,$0,$-1,$-0,$22,$-1,$0,$0,$0,$12,$12,$-22,$-11,$-22,$0,$-22,$0,$0,$-6,$39,$11,$22,$0,$-6
1,2018-06-30,12.08,$5.28,2.29,$2.35,5.13,$1.88,6.41,$0.57,21.19,$1.46B,$1.59B,0.92,$0.11B,$0.18B,0.6,$0.08B,$0.07B,90.00%,$0.08B,$0.03B,36.25%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.03B,36.25%,$0.08B,$0.02B,25.00%,$0.02B,$0.18B,11.41%,$0.02B,$0.18B,11.41%,$0.02B,$1.87B,1.08%,$0.03B,$0.29B,9.86%,$21,$2,$19,$0,$11,$13,$8,$0,$8,$1,$7,$7,$7,$0,$0,$34,34,$0.20,$0.20,$145,$0,$0,$1461,$46,$310,$0,$52,$412,$1873,$1586,$107,$0,$107,$1693,$218,$-34,$-4,$180,$1873,$12,$1,$1,$2,$-1,$0,$0,$-0,$-1,$14,$-1,$0,$0,$0,$4,$4,$-5,$-2,$-26,$0,$-26,$0,$0,$-4,$1,$-29,$-17,$0,$-4
2,2018-03-31,10.16,$5.16,1.97,$2.27,4.47,$1.80,5.66,$0.51,19.93,$1.45B,$1.57B,0.92,$0.12B,$0.18B,0.7,$0.08B,$0.07B,89.74%,$0.08B,$0.03B,35.90%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.03B,35.90%,$0.08B,$0.02B,23.08%,$0.02B,$0.18B,10.42%,$0.02B,$0.18B,10.42%,$0.02B,$1.86B,0.98%,$0.03B,$0.30B,9.46%,$20,$2,$18,$0,$11,$13,$7,$0,$7,$1,$6,$6,$6,$0,$0,$34,34,$0.17,$0.17,$131,$0,$0,$1445,$46,$316,$0,$52,$419,$1864,$1566,$122,$0,$122,$1688,$218,$-39,$-3,$175,$1864,$6,$1,$1,$1,$0,$0,$0,$-0,$1,$8,$-0,$0,$0,$0,$-2,$-2,$-5,$-7,$-11,$0,$-11,$0,$0,$-2,$-18,$-31,$-31,$0,$-2
3,2017-12-31,9.84,$5.09,1.93,$2.21,4.45,$1.72,5.71,$0.47,20.93,$1.47B,$1.58B,0.93,$0.13B,$0.17B,0.77,$0.08B,$0.07B,90.79%,$0.08B,$0.03B,35.53%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.03B,35.53%,$0.08B,$0.02B,21.05%,$0.02B,$0.17B,9.38%,$0.02B,$0.17B,9.38%,$0.02B,$1.89B,0.89%,$0.03B,$0.31B,9.02%,$20,$2,$18,$0,$11,$13,$7,$0,$7,$4,$2,$2,$2,$0,$0,$34,34,$0.07,$0.07,$161,$0,$0,$1471,$47,$318,$0,$51,$419,$1890,$1584,$133,$0,$133,$1717,$217,$-43,$-2,$173,$1890,$16,$2,$4,$6,$1,$0,$0,$-1,$0,$23,$1,$0,$0,$0,$-52,$-52,$-32,$-83,$8,$0,$8,$-0,$-0,$-6,$130,$132,$72,$0,$-6
4,2017-09-30,10.04,$5.11,1.96,$2.18,4.61,$1.50,6.69,$0.53,18.95,$1.41B,$1.52B,0.93,$0.11B,$0.17B,0.65,$0.07B,$0.07B,91.89%,$0.07B,$0.03B,35.14%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.03B,35.14%,$0.07B,$0.02B,24.32%,$0.02B,$0.17B,10.73%,$0.02B,$0.17B,10.73%,$0.02B,$1.80B,1.02%,$0.03B,$0.29B,8.82%,$19,$1,$17,$0,$10,$12,$7,$0,$7,$2,$5,$5,$5,$0,$0,$34,34,$0.14,$0.14,$160,$0,$0,$1410,$47,$288,$0,$52,$393,$1803,$1516,$113,$0,$113,$1630,$217,$-43,$-0,$173,$1803,$14,$1,$1,$2,$-1,$0,$0,$-1,$2,$19,$1,$0,$0,$0,$-19,$-19,$28,$10,$-12,$0,$-12,$0,$0,$-4,$57,$41,$70,$0,$-4
5,2017-06-30,9.29,$5.01,1.85,$2.16,4.31,$1.30,7.17,$0.53,17.52,$1.39B,$1.47B,0.95,$0.12B,$0.17B,0.73,$0.07B,$0.07B,93.15%,$0.07B,$0.03B,34.25%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.03B,34.25%,$0.07B,$0.02B,24.66%,$0.02B,$0.17B,10.91%,$0.02B,$0.17B,10.91%,$0.02B,$1.76B,1.04%,$0.03B,$0.29B,8.47%,$19,$1,$17,$0,$10,$12,$7,$0,$7,$2,$5,$5,$5,$0,$0,$34,34,$0.14,$0.14,$145,$0,$0,$1387,$49,$265,$0,$52,$372,$1759,$1465,$124,$0,$124,$1589,$217,$-46,$-0,$170,$1759,$9,$1,$1,$2,$-1,$0,$0,$-0,$-1,$10,$0,$0,$0,$0,$2,$2,$36,$38,$-1,$0,$-1,$0,$0,$-3,$11,$7,$55,$0,$-3
6,2017-03-31,9.58,$4.89,1.96,$2.12,4.51,$1.27,7.54,$0.50,19.16,$1.37B,$1.44B,0.95,$0.14B,$0.17B,0.87,$0.07B,$0.07B,94.37%,$0.07B,$0.02B,32.39%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,32.39%,$0.07B,$0.02B,23.94%,$0.02B,$0.17B,10.49%,$0.02B,$0.17B,10.49%,$0.02B,$1.75B,1.00%,$0.02B,$0.31B,7.72%,$18,$1,$17,$0,$10,$12,$6,$0,$6,$2,$4,$4,$4,$0,$0,$34,34,$0.13,$0.13,$114,$0,$0,$1370,$50,$265,$0,$56,$379,$1749,$1439,$144,$0,$144,$1583,$217,$-50,$-1,$166,$1749,$4,$1,$-0,$0,$0,$0,$0,$-0,$1,$5,$-0,$0,$0,$0,$2,$2,$15,$17,$19,$0,$19,$0,$0,$-1,$-16,$2,$24,$0,$-1
7,2016-12-31,10.05,$4.78,2.1,$2.11,4.76,$1.27,7.91,$0.47,21.38,$1.36B,$1.45B,0.94,$0.13B,$0.16B,0.77,$0.07B,$0.07B,92.96%,$0.07B,$0.02B,30.99%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,30.99%,$0.07B,$0.02B,22.54%,$0.02B,$0.16B,10.05%,$0.02B,$0.16B,10.05%,$0.02B,$1.74B,0.95%,$0.02B,$0.29B,7.51%,$18,$1,$17,$0,$11,$12,$6,$0,$6,$2,$4,$4,$4,$0,$0,$34,34,$0.12,$0.12,$90,$0,$0,$1360,$50,$265,$0,$57,$381,$1741,$1453,$125,$0,$125,$1579,$217,$-53,$-1,$162,$1741,$16,$3,$0,$3,$-1,$0,$0,$-1,$-2,$17,$-1,$0,$0,$20,$-38,$-18,$-86,$-105,$-12,$0,$-12,$-0,$-0,$-4,$13,$-3,$-92,$1,$-4
8,2016-09-30,7.69,$4.78,1.61,$2.08,3.7,$1.19,6.48,$0.45,17.08,$1.28B,$1.37B,0.94,$0.13B,$0.16B,0.77,$0.07B,$0.07B,92.86%,$0.07B,$0.02B,30.00%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,30.00%,$0.07B,$0.02B,22.86%,$0.02B,$0.16B,10.21%,$0.02B,$0.16B,10.21%,$0.02B,$1.65B,0.96%,$0.02B,$0.29B,7.16%,$18,$1,$17,$0,$11,$12,$6,$0,$6,$1,$5,$5,$5,$0,$0,$34,34,$0.14,$0.14,$58,$0,$0,$1283,$50,$255,$0,$57,$371,$1654,$1366,$125,$0,$125,$1491,$217,$-56,$1,$162,$1654,$12,$2,$-1,$2,$-0,$0,$0,$-1,$0,$14,$-1,$0,$0,$20,$-22,$-2,$-43,$-45,$-12,$0,$-12,$-0,$-0,$-3,$-77,$-92,$-124,$0,$-3
9,2016-06-30,7.11,$4.67,1.52,$2.04,3.49,$1.01,7.04,$0.40,17.78,$1.33B,$1.36B,0.97,$0.15B,$0.16B,0.92,$0.07B,$0.06B,92.75%,$0.07B,$0.02B,28.99%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,28.99%,$0.07B,$0.01B,20.29%,$0.01B,$0.16B,9.11%,$0.01B,$0.16B,9.11%,$0.01B,$1.67B,0.84%,$0.02B,$0.31B,6.83%,$17,$1,$16,$0,$11,$12,$5,$0,$5,$2,$4,$4,$4,$0,$0,$34,34,$0.11,$0.11,$125,$0,$0,$1325,$51,$235,$0,$48,$342,$1667,$1362,$146,$0,$146,$1508,$217,$-60,$1,$158,$1667,$7,$1,$-0,$1,$0,$0,$0,$-1,$2,$10,$-1,$0,$0,$20,$-3,$17,$-9,$7,$9,$0,$9,$-0,$-0,$-2,$-80,$-74,$-57,$0,$-2
