,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.75,$17.37,1.14,$4.60,4.29,$0.49,40.28,$0.45,43.89,$0.28B,$0.24B,1.17,$0.04B,$0.05B,0.8,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,25.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,25.00%,$0.01B,0,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.32B,0.00%,$0.00B,$0.08B,3.73%,$3,$1,$2,$0,$1,$2,$1,$0,$1,$0,$0,$0,$0,$0,$0,$2,2,$0.19,$0.18,$19,$0,$0,$282,$3,$31,$0,$7,$40,$322,$241,$36,$1,$37,$277,$0,$24,$-0,$45,$322,$1,$0,$0,$0,$0,$0,$0,$0,$0,$2,$-1,$0,$0,$0,$-2,$-2,$-11,$-14,$7,$0,$7,$-0,$-0,$-1,$8,$14,$1,$0,$-1
1,2018-06-30,19.65,$17.21,1.14,$4.57,4.3,$0.30,65.65,$0.72,27.29,$0.28B,$0.24B,1.19,$0.04B,$0.05B,0.87,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,25.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,25.00%,$0.01B,$0.00B,8.33%,$0.00B,$0.05B,2.23%,$0.00B,$0.05B,2.23%,$0.00B,$0.32B,0.32%,$0.00B,$0.08B,3.85%,$3,$1,$2,$0,$2,$2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,2,$0.16,$0.16,$17,$0,$0,$280,$3,$30,$0,$6,$40,$320,$236,$39,$0,$39,$275,$0,$24,$-0,$45,$320,$1,$0,$0,$0,$0,$0,$0,$-0,$-0,$1,$-1,$0,$0,$0,$-1,$-1,$-11,$-13,$10,$0,$10,$-0,$-0,$-1,$3,$12,$-0,$0,$-1
2,2018-03-31,20.5,$17.08,1.2,$4.49,4.56,$0.24,85.17,$0.74,27.7,$0.27B,$0.23B,1.2,$0.04B,$0.04B,0.88,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,33.33%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,33.33%,$0.01B,$0.00B,8.33%,$0.00B,$0.04B,2.25%,$0.00B,$0.04B,2.25%,$0.00B,$0.31B,0.33%,$0.00B,$0.08B,5.37%,$3,$1,$2,$0,$1,$2,$1,$0,$1,$0,$0,$0,$0,$0,$0,$2,2,$0.20,$0.20,$19,$0,$0,$272,$3,$30,$0,$6,$40,$311,$227,$39,$1,$40,$267,$0,$23,$-0,$44,$311,$0,$0,$-0,$0,$0,$0,$0,$-0,$0,$1,$-1,$0,$0,$0,$-1,$-1,$-0,$-2,$10,$0,$10,$0,$0,$-1,$-6,$3,$2,$0,$-1
3,2017-12-31,19.66,$17.30,1.14,$4.46,4.41,$0.39,50.14,$0.76,25.87,$0.27B,$0.23B,1.16,$0.03B,$0.05B,0.65,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,33.33%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,33.33%,$0.01B,$0.00B,16.67%,$0.00B,$0.05B,4.49%,$0.00B,$0.05B,4.49%,$0.00B,$0.31B,0.68%,$0.00B,$0.07B,5.88%,$3,$1,$2,$0,$1,$2,$1,$0,$1,$0,$0,$0,$0,$0,$0,$2,2,$0.09,$0.09,$18,$0,$0,$270,$2,$29,$0,$6,$38,$308,$233,$29,$1,$30,$263,$0,$24,$0,$45,$308,$2,$0,$-1,$-1,$0,$0,$0,$-0,$0,$1,$-1,$0,$0,$0,$5,$5,$-38,$-34,$19,$0,$19,$0,$0,$0,$18,$37,$4,$0,$0
4,2017-09-30,19.55,$17.23,1.13,$4.40,4.45,$0.55,35.73,$0.91,21.49,$0.26B,$0.23B,1.14,$0.03B,$0.05B,0.58,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,33.33%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,33.33%,$0.01B,$0.00B,25.00%,$0.00B,$0.05B,6.82%,$0.00B,$0.05B,6.82%,$0.00B,$0.30B,1.05%,$0.00B,$0.07B,6.37%,$3,$1,$2,$0,$1,$2,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.27,$0.27,$23,$0,$0,$259,$1,$32,$0,$6,$40,$299,$227,$26,$1,$27,$254,$0,$23,$0,$45,$299,$2,$0,$-1,$-1,$0,$0,$0,$0,$0,$1,$-0,$0,$0,$0,$2,$2,$-22,$-20,$16,$0,$16,$0,$0,$0,$12,$28,$9,$0,$0
5,2017-06-30,17.6,$17.02,1.03,$4.15,4.24,$0.49,35.93,$0.80,22.0,$0.25B,$0.22B,1.13,$0.03B,$0.04B,0.59,$0.01B,$0.01B,72.73%,$0.01B,$0.00B,36.36%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,36.36%,$0.01B,$0.00B,18.18%,$0.00B,$0.04B,4.60%,$0.00B,$0.04B,4.60%,$0.00B,$0.29B,0.72%,$0.00B,$0.07B,7.02%,$3,$0,$2,$0,$1,$2,$1,$0,$1,$0,$0,$0,$0,$0,$0,$2,2,$0.18,$0.18,$19,$0,$0,$252,$1,$34,$0,$6,$42,$294,$223,$26,$1,$27,$250,$0,$23,$1,$44,$294,$1,$0,$-1,$-1,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$-19,$-19,$16,$0,$16,$-0,$-0,$0,$9,$24,$6,$0,$0
6,2017-03-31,16.56,$16.85,0.98,$3.93,4.22,$0.55,30.03,$0.73,22.69,$0.24B,$0.22B,1.08,$0.01B,$0.04B,0.3,$0.01B,$0.01B,80.00%,$0.01B,$0.00B,30.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,30.00%,$0.01B,$0.00B,20.00%,$0.00B,$0.04B,4.62%,$0.00B,$0.04B,4.62%,$0.00B,$0.28B,0.75%,$0.00B,$0.06B,5.97%,$3,$0,$2,$0,$1,$2,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.22,$0.22,$16,$0,$0,$236,$1,$33,$0,$6,$40,$276,$219,$13,$1,$14,$232,$0,$22,$1,$44,$276,$1,$0,$-0,$-0,$0,$0,$0,$-0,$0,$0,$-0,$0,$0,$0,$1,$1,$-6,$-5,$3,$0,$3,$0,$0,$0,$4,$7,$2,$0,$0
7,2016-12-31,17.65,$16.64,1.06,$3.54,4.98,$0.44,40.3,$0.59,29.91,$0.23B,$0.22B,1.06,$0.01B,$0.04B,0.23,$0.01B,$0.01B,77.78%,$0.01B,$0.00B,22.22%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,22.22%,$0.01B,$0.00B,11.11%,$0.00B,$0.04B,2.30%,$0.00B,$0.04B,2.30%,$0.00B,$0.27B,0.39%,$0.00B,$0.05B,4.23%,$3,$0,$2,$0,$1,$2,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.24,$0.24,$14,$0,$0,$228,$1,$34,$0,$6,$41,$269,$215,$10,$1,$11,$225,$0,$22,$1,$43,$269,$1,$0,$-1,$-1,$0,$0,$0,$-0,$0,$1,$-0,$0,$0,$0,$13,$13,$-53,$-40,$10,$0,$10,$-4,$-4,$0,$30,$37,$-3,$0,$0
8,2016-09-30,14.66,$16.61,0.88,$3.13,4.69,$0.43,33.76,$0.41,35.75,$0.23B,$0.22B,1.04,$0.01B,$0.04B,0.12,$0.01B,$0.01B,75.00%,$0.01B,$0.00B,12.50%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,12.50%,$0.01B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.27B,0.00%,$0.00B,$0.05B,2.20%,$2,$0,$2,$0,$1,$2,$1,$0,$1,$0,$0,$0,$0,$0,$0,$2,2,$0.16,$0.16,$20,$0,$0,$226,$1,$34,$0,$6,$40,$267,$218,$5,$0,$6,$223,$0,$21,$1,$43,$267,$1,$0,$-0,$-0,$-0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$13,$13,$-45,$-32,$5,$0,$5,$-3,$-3,$0,$33,$35,$3,$0,$0
9,2016-06-30,15.26,$16.48,0.93,$2.80,5.45,$0.46,32.96,$0.33,46.23,$0.21B,$0.21B,1.0,$0.00B,$0.04B,0.0,$0.01B,$0.01B,62.50%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.26B,0.00%,$0.00B,$0.04B,0.00%,$2,$0,$2,$0,$1,$2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,2,$0.11,$0.11,$26,$0,$0,$214,$1,$36,$0,$6,$43,$257,$213,$0,$0,$1,$214,$0,$21,$1,$43,$257,$0,$0,$-0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$11,$11,$-28,$-17,$0,$0,$0,$-3,$-3,$0,$29,$25,$9,$0,$0
