,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.88,$17.54,1.02,$18.20,0.98,$17.31,1.03,$0.35,51.09,$38.41B,$0.00B,0.0,$3.46B,$31.89B,0.11,$36.56B,$16.13B,44.13%,$36.56B,$3.69B,10.08%,$36.56B,$3.69B,10.08%,$36.56B,$5.50B,15.05%,$36.56B,$2.41B,6.59%,$36.56B,$1.96B,5.36%,$1.96B,$34.82B,5.71%,$1.96B,$27.18B,7.37%,$1.96B,$572.40B,0.34%,$3.69B,$38.28B,9.70%,$6156,$5000,$1156,$0,$3039,$8039,$-1883,$3346,$1463,$5,$1458,$1458,$1172,$-950,$-1883,$1984,1989,$0.59,$0.59,$11972,$0,$0,$38412,$0,$253576,$7633,$269491,$533983,$572395,$0,$3463,$526195,$537579,$537579,$17639,$9845,$3050,$34816,$572395,$3499,$1612,$6733,$8345,$0,$0,$0,$0,$0,$11062,$0,$0,$0,$0,$-12546,$-12546,$739,$-11806,$-306,$402,$96,$43,$230,$-1093,$1007,$240,$-313,$5,$-1093
1,2018-06-30,17.76,$17.70,1.0,$19.89,0.89,$16.83,1.06,$0.79,22.48,$38.58B,$0.00B,0.0,$3.57B,$32.16B,0.11,$39.92B,$19.67B,49.26%,$39.92B,$7.26B,18.19%,$39.92B,$7.26B,18.19%,$39.92B,$8.37B,20.96%,$39.92B,$1.96B,4.91%,$39.92B,$1.64B,4.11%,$1.64B,$35.12B,4.77%,$1.64B,$27.32B,6.17%,$1.64B,$582.97B,0.29%,$7.26B,$38.69B,19.01%,$10593,$5562,$5031,$0,$3164,$8727,$1867,$184,$1190,$191,$999,$999,$978,$2408,$1867,$2069,2069,$0.47,$0.47,$13353,$0,$0,$38581,$0,$258856,$7800,$274037,$544393,$582974,$0,$3567,$536268,$547853,$547853,$17849,$9120,$4068,$35121,$582974,$2066,$679,$4461,$5140,$0,$0,$0,$0,$0,$6827,$0,$0,$0,$0,$-6552,$-6552,$73,$-6479,$0,$786,$786,$33,$222,$-735,$-7,$266,$990,$3,$-735
2,2018-03-31,18.2,$17.59,1.03,$20.99,0.87,$16.55,1.1,$0.77,23.64,$39.05B,$0.00B,0.0,$3.88B,$31.86B,0.12,$41.67B,$22.12B,53.09%,$41.67B,$10.08B,24.19%,$41.67B,$10.08B,24.19%,$41.67B,$11.10B,26.64%,$41.67B,$1.97B,4.73%,$41.67B,$1.57B,3.76%,$1.57B,$34.88B,4.63%,$1.57B,$26.99B,6.00%,$1.57B,$585.35B,0.28%,$10.08B,$38.77B,26.68%,$6920,$5259,$1661,$0,$3051,$8310,$-1390,$2746,$1356,$267,$1089,$1089,$1055,$-1252,$-1390,$1983,1983,$0.53,$0.53,$13466,$0,$0,$39051,$0,$259262,$7896,$275343,$546297,$585348,$0,$3882,$538890,$550465,$550465,$18206,$8693,$3829,$34883,$585348,$1089,$138,$1823,$1961,$0,$0,$0,$0,$0,$3045,$0,$0,$0,$0,$-2942,$-2942,$-17,$-2958,$0,$108,$108,$17,$210,$-370,$507,$456,$815,$1,$-370
3,2017-12-31,20.25,$16.41,1.23,$22.69,0.89,$16.23,1.25,$0.74,27.37,$36.62B,$0.00B,0.0,$3.69B,$29.77B,0.12,$44.99B,$25.71B,57.15%,$44.99B,$13.84B,30.77%,$44.99B,$13.84B,30.77%,$44.99B,$16.20B,36.02%,$44.99B,$1.93B,4.29%,$44.99B,$1.50B,3.33%,$1.50B,$32.53B,4.49%,$1.50B,$24.93B,5.82%,$1.50B,$562.76B,0.27%,$13.84B,$36.22B,36.94%,$12890,$4604,$8286,$0,$3194,$7798,$5092,$-6691,$-1599,$-314,$-1286,$-1286,$-1244,$5295,$5092,$1978,1986,$-0.64,$-0.63,$12315,$0,$0,$36620,$0,$247187,$7591,$267840,$526142,$562762,$0,$3691,$519088,$530237,$530237,$17734,$7778,$3153,$32525,$562762,$1745,$2360,$9791,$12150,$0,$0,$0,$0,$0,$13724,$0,$0,$-8,$0,$-12731,$-12731,$175,$-12564,$-468,$549,$81,$96,$96,$-1373,$1207,$11,$663,$12,$-1373
4,2017-09-30,19.55,$17.65,1.11,$14.85,1.32,$15.83,1.23,$1.40,13.96,$37.26B,$0.00B,0.0,$4.28B,$32.06B,0.13,$29.45B,$10.02B,34.03%,$29.45B,$-1.62B,-5.50%,$29.45B,$-1.62B,-5.50%,$29.45B,$0.60B,2.05%,$29.45B,$3.31B,11.25%,$29.45B,$2.69B,9.14%,$2.69B,$34.91B,8.07%,$2.69B,$27.10B,10.47%,$2.69B,$569.20B,0.49%,$-1.62B,$39.19B,-4.31%,$9521,$4834,$4687,$0,$2992,$7827,$1695,$-682,$1013,$10,$1002,$1002,$851,$1919,$1695,$1978,1986,$0.43,$0.43,$12169,$0,$0,$37255,$0,$248931,$7810,$271493,$531948,$569203,$0,$4278,$522205,$534291,$534291,$18296,$9683,$2867,$34912,$569203,$3160,$2157,$5300,$7456,$0,$0,$0,$0,$0,$10097,$0,$0,$-8,$0,$-9955,$-9955,$155,$-9809,$-6,$714,$709,$52,$52,$-1064,$805,$501,$217,$10,$-1064
5,2017-06-30,17.93,$16.64,1.08,$15.67,1.14,$15.48,1.16,$1.38,12.99,$35.81B,$0.00B,0.0,$4.12B,$30.23B,0.14,$31.02B,$11.73B,37.82%,$31.02B,$0.16B,0.53%,$31.02B,$0.16B,0.53%,$31.02B,$1.95B,6.28%,$31.02B,$3.31B,10.67%,$31.02B,$2.70B,8.70%,$2.70B,$32.89B,8.19%,$2.70B,$25.46B,10.62%,$2.70B,$539.74B,0.49%,$0.16B,$37.01B,0.44%,$12340,$4853,$7488,$0,$2802,$7655,$4685,$-3482,$1203,$226,$977,$977,$904,$5139,$4685,$1977,1984,$0.46,$0.45,$11800,$0,$0,$35813,$0,$234695,$7436,$258407,$503924,$539737,$0,$4121,$495571,$506847,$506847,$17034,$8534,$3641,$32890,$539737,$2012,$1932,$2596,$4528,$0,$0,$0,$0,$0,$5991,$0,$0,$-7,$0,$-5506,$-5506,$123,$-5390,$0,$329,$329,$29,$29,$-661,$619,$315,$686,$7,$-661
6,2017-03-31,16.8,$16.79,1.0,$17.19,0.98,$15.08,1.11,$1.18,14.24,$37.54B,$0.00B,0.0,$4.28B,$30.49B,0.14,$34.69B,$15.51B,44.72%,$34.69B,$3.96B,11.41%,$34.69B,$3.96B,11.41%,$34.69B,$5.27B,15.18%,$34.69B,$2.84B,8.19%,$34.69B,$2.34B,6.74%,$2.34B,$33.19B,7.11%,$2.34B,$25.57B,9.23%,$2.34B,$550.34B,0.42%,$3.96B,$37.47B,10.66%,$10238,$4989,$5249,$0,$2877,$7867,$2372,$-1059,$1312,$261,$1051,$1051,$989,$3850,$2372,$1976,1976,$0.50,$0.50,$12098,$0,$0,$37540,$0,$237608,$7620,$264214,$512799,$550339,$0,$4277,$505333,$517145,$517145,$17296,$8058,$4141,$33194,$550339,$1051,$1478,$660,$2138,$0,$0,$0,$0,$0,$2407,$0,$0,$0,$0,$-2735,$-2735,$101,$-2634,$0,$260,$260,$20,$20,$-335,$1035,$979,$733,$6,$-335
7,2016-12-31,16.74,$16.37,1.02,$20.02,0.84,$14.85,1.13,$1.05,15.94,$38.48B,$0.00B,0.0,$4.30B,$29.64B,0.15,$40.28B,$21.36B,53.02%,$40.28B,$10.13B,25.15%,$40.28B,$10.13B,25.15%,$40.28B,$10.08B,25.02%,$40.28B,$2.51B,6.24%,$40.28B,$2.11B,5.24%,$2.11B,$32.34B,6.57%,$2.11B,$24.71B,8.54%,$2.11B,$544.26B,0.39%,$10.13B,$36.64B,28.12%,$-2651,$4752,$-7403,$0,$2968,$7720,$-10371,$10158,$-215,$-338,$123,$131,$-53,$-10305,$-10371,$1973,1977,$0.01,$0.01,$11442,$0,$0,$38476,$0,$233340,$7633,$261457,$505782,$544258,$0,$4302,$501168,$511918,$511918,$17268,$7370,$4038,$32340,$544258,$2366,$-54,$11323,$11270,$0,$0,$0,$0,$0,$12866,$0,$0,$-374,$0,$-16658,$-16658,$-140,$-17172,$2825,$622,$3447,$50,$717,$-1203,$-480,$2482,$-2087,$14,$-1203
8,2016-09-30,13.15,$16.84,0.78,$25.30,0.52,$12.45,1.06,$1.12,11.74,$40.80B,$0.00B,0.0,$4.13B,$30.84B,0.13,$50.72B,$29.70B,58.56%,$50.72B,$18.66B,36.78%,$50.72B,$18.66B,36.78%,$50.72B,$19.76B,38.96%,$50.72B,$2.81B,5.55%,$50.72B,$2.35B,4.63%,$2.35B,$33.23B,7.28%,$2.35B,$25.81B,9.42%,$2.35B,$569.42B,0.43%,$18.66B,$37.36B,52.62%,$11090,$4693,$6397,$0,$2920,$7613,$3477,$-2469,$1008,$90,$918,$918,$857,$3264,$3477,$1973,1976,$0.42,$0.42,$13945,$0,$0,$40804,$0,$239868,$7417,$278111,$528614,$569418,$0,$4131,$524298,$536191,$536191,$17504,$7745,$4683,$33227,$569418,$2277,$-120,$7543,$7423,$0,$0,$0,$0,$0,$9366,$0,$0,$-79,$0,$-12402,$-12402,$24,$-12457,$2708,$1143,$3851,$15,$335,$-915,$515,$3786,$393,$12,$-915
9,2016-06-30,12.6,$16.67,0.76,$22.31,0.56,$10.02,1.26,$0.92,13.7,$42.72B,$0.00B,0.0,$4.15B,$30.47B,0.14,$45.06B,$24.35B,54.03%,$45.06B,$13.68B,30.36%,$45.06B,$13.68B,30.36%,$45.06B,$15.39B,34.15%,$45.06B,$2.56B,5.69%,$45.06B,$1.97B,4.37%,$1.97B,$32.89B,6.19%,$1.97B,$25.30B,8.01%,$1.97B,$563.48B,0.37%,$13.68B,$37.04B,39.91%,$16011,$4742,$11268,$0,$2789,$7532,$8479,$-7744,$735,$179,$556,$556,$546,$8457,$8479,$2071,2071,$0.26,$0.26,$16218,$0,$0,$42724,$0,$236286,$7583,$273894,$520754,$563478,$0,$4150,$518660,$530593,$530593,$17702,$7276,$4638,$32885,$563478,$1374,$93,$4671,$4764,$0,$0,$0,$0,$0,$5406,$0,$0,$-69,$0,$-6712,$-6712,$116,$-6665,$2739,$931,$3670,$12,$336,$-617,$759,$4148,$2492,$10,$-617
