,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.47,$22.94,2.37,$19.92,2.74,$4.15,13.14,$7.07,7.7,$0.15B,$0.45B,0.34,$0.00B,$0.56B,0.0,$0.49B,$0.22B,45.79%,$0.49B,$0.11B,22.38%,$0.49B,$0.11B,22.38%,$0.49B,$0.19B,39.01%,$0.49B,$0.10B,19.92%,$0.49B,$0.17B,35.52%,$0.17B,$0.56B,32.25%,$0.17B,$0.52B,34.51%,$0.17B,$1.20B,14.79%,$0.11B,$0.56B,20.32%,$143,$79,$64,$0,$28,$107,$36,$-3,$33,$8,$25,$25,$25,$56,$36,$24,25,$1.03,$1.01,$4,$0,$0,$152,$1014,$0,$35,$0,$1050,$1202,$450,$0,$0,$198,$647,$103,$452,$0,$555,$1202,$55,$61,$-8,$53,$-10,$0,$0,$-10,$-11,$97,$-67,$0,$-8,$0,$0,$0,$0,$-75,$-20,$26,$6,$0,$0,$-23,$-3,$-20,$2,$3,$-23
1,2018-06-30,62.92,$22.23,2.83,$19.68,3.2,$3.91,16.09,$6.75,9.32,$0.15B,$0.45B,0.33,$0.00B,$0.54B,0.0,$0.48B,$0.22B,45.51%,$0.48B,$0.10B,21.50%,$0.48B,$0.10B,21.50%,$0.48B,$0.18B,38.41%,$0.48B,$0.09B,19.00%,$0.48B,$0.17B,34.45%,$0.17B,$0.54B,32.93%,$0.17B,$0.50B,35.43%,$0.17B,$1.18B,14.25%,$0.10B,$0.54B,20.56%,$117,$63,$54,$0,$29,$93,$24,$-3,$21,$5,$16,$16,$16,$45,$24,$24,25,$0.66,$0.65,$4,$0,$0,$147,$998,$0,$35,$0,$1033,$1180,$448,$0,$0,$195,$643,$102,$435,$-0,$537,$1180,$30,$40,$-7,$33,$1,$0,$0,$-10,$-10,$54,$-46,$0,$0,$0,$0,$0,$0,$-46,$-20,$31,$11,$0,$0,$-15,$-3,$-6,$2,$2,$-15
2,2018-03-31,53.07,$22.00,2.41,$19.47,2.73,$3.99,13.29,$6.58,8.06,$0.10B,$0.42B,0.24,$0.00B,$0.53B,0.0,$0.47B,$0.21B,45.13%,$0.47B,$0.10B,21.40%,$0.47B,$0.10B,21.40%,$0.47B,$0.18B,38.14%,$0.47B,$0.09B,18.86%,$0.47B,$0.16B,33.90%,$0.16B,$0.53B,34.24%,$0.16B,$0.50B,37.06%,$0.16B,$1.15B,13.90%,$0.10B,$0.53B,21.62%,$105,$55,$50,$0,$28,$83,$22,$-3,$19,$5,$14,$14,$14,$42,$22,$24,24,$0.60,$0.59,$4,$0,$0,$103,$985,$0,$35,$26,$1046,$1149,$424,$0,$0,$195,$619,$103,$428,$-0,$530,$1149,$14,$20,$-3,$17,$8,$0,$0,$-4,$-1,$31,$-19,$0,$0,$0,$0,$0,$0,$-19,$0,$-3,$-3,$0,$0,$-6,$-1,$-10,$2,$1,$-6
3,2017-12-31,46.19,$21.79,2.12,$19.09,2.42,$3.90,11.85,$6.32,7.31,$0.13B,$0.43B,0.31,$0.00B,$0.52B,0.0,$0.46B,$0.21B,44.81%,$0.46B,$0.10B,20.56%,$0.46B,$0.10B,20.56%,$0.46B,$0.17B,37.45%,$0.46B,$0.08B,17.97%,$0.46B,$0.15B,33.33%,$0.15B,$0.52B,35.48%,$0.15B,$0.49B,38.69%,$0.15B,$1.15B,13.44%,$0.10B,$0.52B,21.89%,$122,$68,$55,$0,$28,$95,$27,$-3,$24,$-94,$118,$118,$118,$47,$27,$24,24,$4.90,$4.84,$3,$0,$0,$131,$981,$0,$36,$0,$1017,$1148,$429,$0,$0,$195,$624,$103,$421,$-0,$524,$1148,$154,$78,$-108,$-30,$-10,$0,$0,$5,$-2,$122,$-71,$0,$0,$0,$0,$0,$0,$-71,$-20,$-3,$-23,$0,$0,$-25,$-2,$-50,$2,$3,$-25
4,2017-09-30,42.77,$17.18,2.49,$18.44,2.32,$5.13,8.33,$1.90,22.51,$0.14B,$0.45B,0.3,$0.00B,$0.41B,0.0,$0.45B,$0.20B,45.17%,$0.45B,$0.09B,20.45%,$0.45B,$0.09B,20.45%,$0.45B,$0.17B,37.75%,$0.45B,$0.08B,17.75%,$0.45B,$0.05B,10.34%,$0.05B,$0.41B,11.46%,$0.05B,$0.38B,12.59%,$0.05B,$1.16B,4.03%,$0.09B,$0.41B,22.67%,$135,$77,$59,$0,$28,$105,$30,$-3,$27,$11,$17,$17,$17,$50,$30,$24,24,$0.70,$0.69,$1,$0,$0,$136,$985,$0,$36,$0,$1021,$1156,$447,$0,$0,$297,$744,$103,$310,$-0,$413,$1156,$36,$58,$-5,$53,$-12,$0,$0,$-1,$-8,$81,$-57,$0,$0,$0,$0,$0,$0,$-57,$-20,$17,$-3,$0,$0,$-19,$-1,$-23,$1,$2,$-19
5,2017-06-30,33.6,$16.77,2.0,$17.93,1.87,$6.44,5.22,$1.75,19.2,$0.13B,$0.46B,0.29,$0.00B,$0.40B,0.0,$0.43B,$0.19B,44.44%,$0.43B,$0.09B,19.68%,$0.43B,$0.09B,19.68%,$0.43B,$0.16B,37.50%,$0.43B,$0.07B,16.90%,$0.43B,$0.04B,9.72%,$0.04B,$0.40B,10.61%,$0.04B,$0.37B,11.68%,$0.04B,$1.15B,3.69%,$0.09B,$0.40B,21.46%,$110,$60,$49,$0,$27,$88,$22,$-3,$19,$7,$11,$11,$11,$41,$22,$24,24,$0.48,$0.48,$2,$0,$0,$133,$981,$0,$36,$0,$1017,$1150,$455,$0,$0,$293,$748,$103,$299,$-0,$402,$1150,$19,$39,$-5,$33,$-0,$0,$0,$-4,$-3,$49,$-40,$0,$0,$0,$0,$0,$0,$-40,$-20,$24,$4,$0,$0,$-12,$-0,$-9,$1,$2,$-12
6,2017-03-31,32.32,$16.56,1.95,$17.68,1.83,$7.33,4.41,$1.65,19.59,$0.09B,$0.44B,0.21,$0.00B,$0.40B,0.0,$0.43B,$0.19B,44.00%,$0.43B,$0.08B,19.06%,$0.43B,$0.08B,19.06%,$0.43B,$0.16B,37.65%,$0.43B,$0.07B,16.24%,$0.43B,$0.04B,9.41%,$0.04B,$0.40B,10.22%,$0.04B,$0.36B,11.28%,$0.04B,$1.13B,3.51%,$0.08B,$0.40B,20.70%,$95,$51,$44,$0,$28,$79,$16,$-3,$13,$5,$8,$8,$8,$35,$16,$24,24,$0.33,$0.33,$2,$0,$0,$94,$973,$0,$36,$27,$1037,$1131,$443,$0,$0,$292,$734,$102,$294,$-0,$397,$1131,$8,$19,$-3,$17,$4,$0,$0,$1,$1,$26,$-16,$0,$0,$0,$0,$0,$0,$-16,$0,$-2,$-2,$0,$0,$-6,$-0,$-9,$1,$1,$-6
7,2016-12-31,37.48,$16.46,2.28,$17.69,2.12,$7.86,4.77,$1.59,23.57,$0.12B,$0.44B,0.28,$0.00B,$0.39B,0.0,$0.42B,$0.18B,43.40%,$0.42B,$0.08B,18.63%,$0.42B,$0.08B,18.63%,$0.42B,$0.16B,37.74%,$0.42B,$0.07B,15.80%,$0.42B,$0.04B,9.20%,$0.04B,$0.39B,10.07%,$0.04B,$0.36B,11.13%,$0.04B,$1.13B,3.43%,$0.08B,$0.39B,20.40%,$105,$56,$49,$0,$27,$83,$23,$-3,$20,$10,$10,$10,$10,$42,$23,$24,24,$0.40,$0.41,$1,$0,$0,$123,$969,$0,$36,$0,$1005,$1128,$442,$0,$0,$292,$734,$102,$293,$-0,$394,$1128,$38,$81,$-1,$80,$-4,$0,$0,$4,$22,$141,$-60,$0,$0,$0,$0,$0,$0,$-60,$-20,$-35,$-55,$0,$0,$-24,$-1,$-81,$-0,$3,$-24
8,2016-09-30,30.07,$16.33,1.84,$17.43,1.72,$5.68,5.29,$1.67,18.01,$0.13B,$0.46B,0.29,$0.00B,$0.39B,0.0,$0.42B,$0.18B,42.92%,$0.42B,$0.08B,18.16%,$0.42B,$0.08B,18.16%,$0.42B,$0.16B,37.74%,$0.42B,$0.07B,15.57%,$0.42B,$0.04B,9.67%,$0.04B,$0.39B,10.68%,$0.04B,$0.35B,11.84%,$0.04B,$1.15B,3.58%,$0.08B,$0.39B,20.07%,$122,$72,$50,$0,$26,$98,$24,$-3,$21,$8,$13,$13,$13,$44,$24,$24,24,$0.54,$0.54,$1,$0,$0,$132,$976,$0,$37,$0,$1013,$1145,$459,$0,$0,$295,$754,$102,$289,$-0,$391,$1145,$29,$62,$5,$66,$-10,$0,$0,$7,$11,$105,$-50,$0,$0,$0,$0,$0,$0,$-50,$-20,$-16,$-36,$0,$0,$-18,$-1,$-55,$-0,$2,$-18
9,2016-06-30,28.78,$16.03,1.79,$16.81,1.71,$3.69,7.81,$1.67,17.23,$0.13B,$0.48B,0.27,$0.00B,$0.38B,0.0,$0.42B,$0.18B,43.86%,$0.42B,$0.08B,18.80%,$0.42B,$0.08B,18.80%,$0.42B,$0.16B,39.04%,$0.42B,$0.07B,16.39%,$0.42B,$0.04B,10.12%,$0.04B,$0.38B,10.96%,$0.04B,$0.35B,12.15%,$0.04B,$1.15B,3.67%,$0.08B,$0.38B,20.35%,$103,$59,$44,$0,$26,$85,$18,$-3,$15,$6,$9,$9,$9,$39,$18,$24,24,$0.38,$0.38,$1,$0,$0,$129,$983,$0,$37,$0,$1020,$1148,$475,$0,$0,$289,$765,$101,$282,$-0,$383,$1148,$16,$41,$2,$44,$-2,$0,$0,$-1,$13,$72,$-41,$0,$0,$0,$0,$0,$0,$-41,$-20,$2,$-18,$0,$0,$-12,$-0,$-31,$0,$2,$-12
