,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.11,$0.53,2.11,$2.33,0.48,$-1.63,0.0,$0.28,3.96,$0.01B,$0.01B,1.46,$0.00B,$0.01B,0.43,$0.02B,$0.01B,31.58%,$0.02B,$-0.01B,-36.84%,$0.02B,$-0.01B,-36.84%,$0.02B,$-0.00B,-21.05%,$0.02B,$-0.01B,-36.84%,$0.02B,$-0.01B,-26.32%,$-0.01B,$0.01B,-80.00%,$-0.01B,$0.00B,-133.33%,$-0.01B,$0.02B,-21.51%,$-0.01B,$0.01B,-82.35%,$2,$2,$0,$0,$3,$6,$-4,$-0,$-4,$1,$-4,$-4,$-3,$-3,$-4,$9,9,$-0.28,$-0.28,$3,$4,$0,$10,$1,$0,$2,$1,$4,$15,$7,$2,$1,$3,$10,$0,$-10,$-0,$5,$15,$0,$1,$-5,$-4,$2,$1,$-2,$-2,$-1,$-5,$-0,$0,$4,$0,$0,$0,$0,$4,$6,$-5,$1,$1,$1,$0,$-0,$1,$0,$1,$0
1,2018-06-30,1.14,$0.91,1.25,$2.85,0.4,$-1.13,0.0,$0.10,11.4,$0.01B,$0.01B,2.09,$0.00B,$0.01B,0.32,$0.02B,$0.01B,36.36%,$0.02B,$-0.00B,-18.18%,$0.02B,$-0.00B,-18.18%,$0.02B,$-0.00B,-4.55%,$0.02B,$-0.00B,-18.18%,$0.02B,$-0.00B,-13.64%,$-0.00B,$0.01B,-41.38%,$-0.00B,$0.01B,-70.59%,$-0.00B,$0.02B,-10.81%,$-0.00B,$0.01B,-43.24%,$5,$3,$2,$1,$2,$6,$-1,$-0,$-1,$0,$-1,$-1,$3,$-1,$-1,$9,9,$0.38,$0.38,$4,$5,$0,$14,$1,$0,$3,$1,$4,$18,$7,$3,$1,$3,$10,$0,$-8,$-1,$8,$18,$4,$1,$-6,$-6,$1,$0,$-1,$-1,$-1,$-2,$-0,$0,$4,$0,$0,$0,$0,$4,$5,$-5,$0,$1,$1,$0,$-0,$0,$2,$0,$0
2,2018-03-31,1.32,$0.62,2.12,$2.90,0.46,$-0.99,0.0,$-0.48,0.0,$0.03B,$0.02B,1.26,$0.00B,$0.01B,0.65,$0.02B,$0.01B,33.33%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.00B,-4.76%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.01B,-33.33%,$-0.01B,$0.01B,-90.32%,$-0.01B,$0.00B,-164.71%,$-0.01B,$0.03B,-22.22%,$-0.00B,$0.01B,-42.11%,$6,$4,$2,$1,$2,$7,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$9,9,$-0.10,$-0.10,$4,$5,$12,$26,$1,$0,$3,$0,$4,$30,$21,$4,$0,$4,$25,$0,$-11,$0,$6,$30,$-1,$0,$1,$1,$0,$-0,$-1,$-1,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$5,$-2,$3,$1,$1,$0,$-0,$3,$1,$0,$0
3,2017-12-31,1.12,$0.69,1.62,$2.64,0.42,$-1.08,0.0,$-0.63,0.0,$0.03B,$0.02B,1.14,$0.00B,$0.01B,0.23,$0.02B,$0.01B,27.78%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.00B,-11.11%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-44.44%,$-0.01B,$0.01B,-88.89%,$-0.01B,$0.00B,-152.38%,$-0.01B,$0.03B,-25.00%,$-0.01B,$0.01B,-47.62%,$6,$5,$2,$1,$2,$7,$-1,$-0,$-1,$-0,$-1,$-1,$-4,$-0,$-1,$7,7,$-0.75,$-0.75,$2,$5,$12,$25,$1,$0,$3,$0,$4,$30,$22,$1,$0,$2,$24,$0,$-10,$-0,$6,$30,$-5,$1,$0,$1,$-2,$-1,$2,$1,$-0,$-4,$-0,$0,$0,$3,$0,$3,$0,$3,$-2,$0,$-2,$5,$5,$0,$0,$2,$2,$0,$0
4,2017-09-30,0.89,$1.21,0.74,$0.86,1.04,$-1.28,0.0,$-1.12,0.0,$0.03B,$0.02B,1.22,$0.00B,$0.01B,0.12,$0.01B,$0.00B,14.29%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-71.43%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-100.00%,$-0.01B,$0.01B,-68.29%,$-0.01B,$0.01B,-112.00%,$-0.01B,$0.03B,-21.54%,$-0.01B,$0.01B,-59.57%,$5,$4,$2,$1,$2,$6,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$7,7,$-0.18,$-0.18,$9,$6,$0,$27,$2,$0,$5,$0,$6,$33,$22,$1,$0,$2,$24,$0,$-6,$-0,$9,$33,$-4,$1,$1,$2,$-0,$-0,$2,$0,$1,$-1,$-0,$0,$0,$3,$0,$3,$0,$3,$0,$-3,$-3,$1,$1,$2,$0,$1,$4,$0,$2
5,2017-06-30,1.08,$1.46,0.74,$1.01,1.07,$-1.80,0.0,$-1.16,0.0,$0.03B,$0.02B,1.31,$0.00B,$0.01B,0.2,$0.01B,0,0.00%,$0.01B,$-0.01B,-114.29%,$0.01B,$-0.01B,-114.29%,$0.01B,$-0.01B,-85.71%,$0.01B,$-0.01B,-114.29%,$0.01B,$-0.01B,-100.00%,$-0.01B,$0.01B,-59.57%,$-0.01B,$0.01B,-90.32%,$-0.01B,$0.03B,-20.90%,$-0.01B,$0.01B,-60.38%,$4,$3,$1,$1,$1,$5,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$-1,$-1,$7,7,$-0.20,$-0.20,$8,$6,$0,$27,$2,$0,$4,$0,$6,$33,$20,$2,$0,$2,$23,$0,$-5,$-0,$10,$33,$-3,$1,$1,$2,$0,$0,$1,$-1,$1,$-1,$-0,$0,$0,$3,$0,$3,$0,$3,$-0,$0,$-0,$0,$0,$0,$0,$0,$2,$0,$0
6,2017-03-31,1.17,$1.76,0.67,$1.59,0.74,$-2.16,0.0,$-1.17,0.0,$0.03B,$0.02B,1.35,$0.00B,$0.01B,0.1,$0.01B,$0.00B,10.00%,$0.01B,$-0.01B,-80.00%,$0.01B,$-0.01B,-80.00%,$0.01B,$-0.01B,-60.00%,$0.01B,$-0.01B,-80.00%,$0.01B,$-0.01B,-70.00%,$-0.01B,$0.01B,-52.83%,$-0.01B,$0.01B,-77.78%,$-0.01B,$0.03B,-20.00%,$-0.01B,$0.01B,-54.24%,$3,$2,$0,$0,$2,$4,$-2,$0,$-2,$-0,$-2,$-2,$-2,$-1,$-2,$6,6,$-0.25,$-0.25,$7,$6,$0,$26,$2,$0,$4,$0,$6,$32,$19,$1,$0,$1,$20,$0,$-4,$-0,$11,$32,$-2,$0,$0,$1,$-0,$0,$-0,$-0,$-0,$-2,$-0,$0,$0,$3,$0,$3,$0,$3,$0,$-2,$-2,$3,$3,$0,$0,$0,$2,$0,$0
7,2016-12-31,1.33,$1.72,0.77,$2.27,0.59,$-2.23,0.0,$-0.98,0.0,$0.03B,$0.02B,1.36,$0.00B,$0.01B,0.12,$0.01B,$0.00B,23.08%,$0.01B,$-0.01B,-46.15%,$0.01B,$-0.01B,-46.15%,$0.01B,$-0.01B,-38.46%,$0.01B,$-0.01B,-46.15%,$0.01B,$-0.01B,-38.46%,$-0.01B,$0.01B,-33.90%,$-0.01B,$0.01B,-47.62%,$-0.01B,$0.03B,-13.51%,$-0.01B,$0.01B,-36.92%,$-5,$-3,$-2,$-0,$1,$-2,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$6,6,$-0.48,$-0.48,$4,$4,$15,$27,$1,$0,$4,$0,$5,$32,$20,$1,$0,$1,$21,$0,$-2,$0,$11,$32,$-6,$1,$1,$2,$0,$1,$-2,$0,$-1,$-5,$-0,$0,$0,$3,$0,$3,$0,$3,$-0,$0,$-0,$1,$1,$0,$0,$0,$-2,$0,$0
8,2016-09-30,1.67,$2.41,0.69,$4.28,0.39,$-1.89,0.0,$-0.47,0.0,$0.03B,$0.02B,1.49,$0.00B,$0.02B,0.09,$0.03B,$0.01B,32.00%,$0.03B,$-0.00B,-12.00%,$0.03B,$-0.00B,-12.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-12.00%,$0.03B,$-0.00B,-8.00%,$-0.00B,$0.02B,-12.31%,$-0.00B,$0.01B,-16.67%,$-0.00B,$0.04B,-5.13%,$-0.00B,$0.02B,-16.44%,$5,$4,$1,$0,$2,$7,$-2,$-0,$-2,$-0,$-2,$-2,$-1,$-1,$-2,$6,6,$-0.22,$-0.22,$10,$6,$0,$31,$2,$0,$4,$0,$6,$37,$21,$1,$0,$1,$22,$0,$1,$0,$15,$37,$-3,$1,$0,$2,$-1,$1,$-1,$-0,$-2,$-4,$-0,$0,$0,$2,$0,$2,$-0,$1,$-0,$2,$1,$0,$0,$0,$0,$2,$-0,$0,$0
9,2016-06-30,2.24,$2.68,0.83,$4.32,0.52,$-1.85,0.0,$-0.47,0.0,$0.03B,$0.02B,1.56,$0.00B,$0.02B,0.12,$0.03B,$0.01B,30.77%,$0.03B,$-0.00B,-7.69%,$0.03B,$-0.00B,-7.69%,$0.03B,$-0.00B,-3.85%,$0.03B,$-0.00B,-7.69%,$0.03B,$-0.00B,-7.69%,$-0.00B,$0.02B,-11.94%,$-0.00B,$0.01B,-16.33%,$-0.00B,$0.04B,-5.13%,$-0.00B,$0.02B,-10.39%,$7,$5,$2,$1,$2,$8,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$-1,$-1,$6,6,$-0.21,$-0.21,$11,$6,$0,$33,$2,$0,$4,$0,$6,$39,$21,$2,$0,$2,$23,$0,$2,$0,$16,$39,$-2,$1,$0,$1,$-1,$1,$-2,$0,$-2,$-3,$-0,$0,$0,$1,$0,$1,$-0,$0,$-0,$3,$2,$0,$0,$0,$0,$2,$-0,$0,$0
