,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.44,$5.29,2.73,$6.11,2.36,$0.34,42.33,$0.64,22.56,$0.06B,$0.03B,1.81,$0.00B,$0.12B,0.0,$0.14B,$0.09B,66.20%,$0.14B,$0.02B,14.79%,$0.14B,$0.02B,14.79%,$0.14B,$0.02B,14.79%,$0.14B,$0.02B,14.79%,$0.14B,$0.02B,10.56%,$0.02B,$0.12B,12.88%,$0.02B,$0.05B,30.77%,$0.02B,$0.16B,9.62%,$0.02B,$0.12B,18.03%,$35,$11,$24,$0,$18,$29,$6,$0,$6,$2,$4,$4,$4,$6,$6,$23,24,$0.17,$0.16,$27,$5,$1,$58,$33,$0,$66,$4,$105,$164,$32,$0,$3,$12,$44,$61,$55,$0,$120,$164,$0,$0,$0,$0,$0,$0,$0,$0,$0,$14,$-12,$0,$0,$0,$0,$0,$-0,$-12,$0,$-0,$-0,$1,$1,$-2,$0,$-2,$2,$0,$-2
1,2018-06-30,17.72,$5.25,3.38,$5.90,3.0,$0.04,408.29,$0.56,31.64,$0.06B,$0.03B,1.81,$0.00B,$0.12B,0.0,$0.14B,$0.09B,65.44%,$0.14B,$0.02B,13.24%,$0.14B,$0.02B,13.24%,$0.14B,$0.02B,13.24%,$0.14B,$0.02B,13.24%,$0.14B,$0.01B,9.56%,$0.01B,$0.12B,11.43%,$0.01B,$0.05B,28.26%,$0.01B,$0.16B,8.58%,$0.02B,$0.12B,15.82%,$33,$11,$22,$0,$17,$28,$5,$0,$5,$4,$1,$1,$1,$5,$5,$23,23,$0.05,$0.04,$20,$5,$1,$56,$32,$0,$67,$0,$105,$161,$31,$0,$3,$12,$43,$62,$54,$0,$119,$161,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,$-6,$0,$0,$0,$0,$0,$-0,$-6,$-0,$0,$-0,$0,$0,$-1,$0,$-1,$-5,$0,$-1
2,2018-03-31,15.5,$4.75,3.26,$5.78,2.68,$0.01,1302.77,$0.63,24.61,$0.05B,$0.03B,1.84,$0.00B,$0.11B,0.0,$0.13B,$0.09B,65.41%,$0.13B,$0.02B,12.03%,$0.13B,$0.02B,12.03%,$0.13B,$0.02B,12.03%,$0.13B,$0.02B,12.03%,$0.13B,$0.01B,10.53%,$0.01B,$0.11B,12.56%,$0.01B,$0.04B,32.00%,$0.01B,$0.14B,9.49%,$0.02B,$0.11B,14.35%,$38,$13,$25,$0,$19,$32,$6,$0,$6,$1,$5,$5,$5,$6,$6,$22,23,$0.22,$0.22,$23,$4,$1,$51,$24,$0,$64,$0,$90,$141,$28,$0,$0,$6,$34,$60,$51,$0,$107,$141,$17,$17,$5,$22,$-4,$-3,$1,$-0,$-6,$27,$-18,$-8,$0,$0,$0,$0,$-1,$-26,$0,$0,$0,$-1,$-1,$-4,$-0,$-5,$-5,$1,$-4
3,2017-12-31,12.67,$5.32,2.38,$4.97,2.55,$0.02,732.43,$0.50,25.34,$0.05B,$0.03B,1.75,$0.00B,$0.12B,0.0,$0.12B,$0.08B,65.52%,$0.12B,$0.01B,10.34%,$0.12B,$0.01B,10.34%,$0.12B,$0.01B,10.34%,$0.12B,$0.01B,10.34%,$0.12B,$0.01B,9.48%,$0.01B,$0.12B,9.65%,$0.01B,$0.05B,25.00%,$0.01B,$0.16B,7.30%,$0.01B,$0.12B,10.53%,$36,$12,$23,$0,$19,$31,$4,$-0,$4,$-1,$5,$5,$5,$4,$4,$22,23,$0.21,$0.21,$23,$4,$0,$53,$29,$0,$73,$0,$105,$158,$30,$0,$0,$8,$38,$68,$54,$0,$120,$158,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2017-09-30,9.81,$4.88,2.01,$4.86,2.02,$0.02,567.18,$0.40,24.53,$0.05B,$0.03B,1.8,$0.00B,$0.11B,0.0,$0.11B,$0.08B,66.96%,$0.11B,$0.01B,10.71%,$0.11B,$0.01B,10.71%,$0.11B,$0.01B,10.71%,$0.11B,$0.01B,10.71%,$0.11B,$0.01B,8.04%,$0.01B,$0.11B,8.18%,$0.01B,$0.04B,21.18%,$0.01B,$0.15B,6.19%,$0.01B,$0.11B,10.91%,$29,$10,$19,$0,$16,$26,$3,$0,$3,$2,$2,$2,$2,$3,$3,$22,23,$0.08,$0.08,$22,$4,$0,$50,$26,$0,$67,$0,$96,$146,$28,$0,$0,$8,$36,$62,$46,$0,$109,$146,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9,$-13,$0,$0,$0,$0,$0,$-0,$-13,$0,$0,$0,$-1,$-1,$-2,$0,$-3,$-7,$0,$-2
5,2017-06-30,7.76,$4.93,1.57,$4.64,1.67,$0.06,136.54,$0.39,19.89,$0.05B,$0.03B,1.87,$0.00B,$0.11B,0.0,$0.11B,$0.08B,68.18%,$0.11B,$0.01B,10.00%,$0.11B,$0.01B,10.00%,$0.11B,$0.01B,10.00%,$0.11B,$0.01B,9.09%,$0.11B,$0.01B,8.18%,$0.01B,$0.11B,8.29%,$0.01B,$0.04B,21.18%,$0.01B,$0.15B,6.30%,$0.01B,$0.11B,10.14%,$30,$10,$20,$0,$17,$26,$3,$-0,$3,$0,$2,$2,$2,$3,$3,$23,23,$0.11,$0.11,$23,$3,$0,$51,$24,$0,$68,$0,$94,$145,$27,$0,$0,$8,$35,$64,$47,$0,$110,$145,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$-6,$0,$0,$0,$0,$0,$-0,$-6,$0,$0,$0,$-1,$-1,$-1,$0,$-2,$-7,$0,$-1
6,2017-03-31,6.17,$5.18,1.19,$4.29,1.44,$0.18,35.24,$0.35,17.62,$0.06B,$0.03B,1.94,$0.00B,$0.12B,0.0,$0.11B,$0.08B,68.81%,$0.11B,$0.01B,9.17%,$0.11B,$0.01B,9.17%,$0.11B,$0.01B,9.17%,$0.11B,$0.01B,10.09%,$0.11B,$0.01B,8.26%,$0.01B,$0.12B,7.93%,$0.01B,$0.05B,17.91%,$0.01B,$0.15B,6.13%,$0.01B,$0.12B,8.81%,$21,$7,$14,$0,$12,$19,$2,$-0,$2,$0,$2,$2,$2,$2,$2,$25,25,$0.06,$0.06,$31,$2,$0,$57,$24,$0,$71,$0,$97,$154,$29,$0,$0,$8,$37,$69,$48,$0,$117,$154,$0,$0,$0,$0,$0,$0,$0,$0,$0,$23,$-13,$-8,$0,$0,$0,$0,$0,$-21,$0,$0,$0,$-33,$-33,$-4,$0,$-37,$-36,$0,$-4
7,2016-12-31,6.03,$4.63,1.3,$4.44,1.36,$-0.03,0.0,$0.28,21.53,$0.05B,$0.02B,2.11,$0.00B,$0.10B,0.0,$0.12B,$0.08B,70.59%,$0.12B,$0.01B,10.08%,$0.12B,$0.01B,10.08%,$0.12B,$0.01B,10.08%,$0.12B,$0.01B,9.24%,$0.12B,$0.01B,6.72%,$0.01B,$0.10B,6.74%,$0.01B,$0.04B,13.73%,$0.01B,$0.14B,5.29%,$0.01B,$0.10B,10.11%,$32,$11,$22,$0,$18,$29,$4,$-0,$4,$1,$3,$3,$3,$4,$4,$23,23,$0.13,$0.13,$27,$3,$0,$51,$20,$0,$63,$0,$86,$137,$24,$0,$0,$8,$32,$62,$42,$0,$104,$137,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2016-09-30,6.18,$4.26,1.45,$3.90,1.59,$-0.03,0.0,$0.29,21.33,$0.05B,$0.02B,2.14,$0.00B,$0.10B,0.0,$0.12B,$0.08B,70.43%,$0.12B,$0.01B,8.70%,$0.12B,$0.01B,8.70%,$0.12B,$0.01B,8.70%,$0.12B,$0.02B,13.04%,$0.12B,$0.01B,7.83%,$0.01B,$0.10B,7.05%,$0.01B,$0.04B,13.33%,$0.01B,$0.14B,5.62%,$0.01B,$0.10B,7.83%,$27,$8,$19,$0,$17,$25,$2,$-0,$1,$-0,$2,$2,$2,$2,$2,$25,25,$0.07,$0.07,$26,$3,$0,$51,$20,$0,$61,$0,$84,$135,$24,$0,$0,$8,$32,$61,$40,$0,$103,$135,$0,$0,$0,$0,$0,$0,$0,$0,$0,$7,$-11,$0,$0,$0,$0,$0,$0,$-11,$0,$0,$0,$-35,$-35,$-2,$0,$-37,$-41,$0,$-2
9,2016-06-30,4.5,$4.06,1.11,$3.64,1.24,$0.13,33.94,$0.40,11.25,$0.08B,$0.02B,3.86,$0.00B,$0.13B,0.0,$0.11B,$0.08B,69.30%,$0.11B,$0.01B,8.77%,$0.11B,$0.01B,8.77%,$0.11B,$0.01B,8.77%,$0.11B,$0.02B,20.18%,$0.11B,$0.01B,11.40%,$0.01B,$0.13B,9.59%,$0.01B,$0.07B,17.16%,$0.01B,$0.16B,7.74%,$0.01B,$0.13B,7.38%,$29,$9,$20,$0,$18,$27,$2,$2,$4,$1,$2,$2,$2,$2,$2,$30,31,$0.08,$0.08,$59,$5,$0,$84,$17,$0,$57,$0,$77,$161,$22,$0,$0,$9,$31,$90,$37,$0,$130,$161,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,$-5,$0,$0,$0,$0,$0,$-0,$-5,$0,$0,$0,$0,$0,$-1,$0,$-1,$-2,$0,$-1
