,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1188.49,$704.42,1.69,$534.35,2.22,$125.79,9.45,$74.61,15.93,$9.42B,$19.19B,0.49,$2.99B,$9.78B,0.31,$7.46B,$3.12B,41.82%,$7.46B,$1.15B,15.47%,$7.46B,$1.15B,15.47%,$7.46B,$1.15B,15.47%,$7.46B,$1.07B,14.30%,$7.46B,$1.06B,14.18%,$1.06B,$9.78B,11.11%,$1.06B,$6.76B,16.43%,$1.06B,$33.96B,3.18%,$1.15B,$12.77B,9.19%,$2236,$1179,$1057,$0,$0,$1680,$556,$-37,$519,$110,$409,$409,$409,$556,$556,$14,14,$28.56,$28.50,$2627,$0,$0,$9418,$0,$18421,$3025,$2576,$24540,$33958,$19187,$2993,$1840,$4992,$24178,$3392,$6577,$-185,$9780,$33958,$623,$0,$140,$140,$0,$0,$0,$0,$0,$763,$-79,$0,$-11,$257,$-588,$-331,$-32,$-453,$-100,$0,$-100,$-31,$-31,$0,$-41,$-172,$126,$0,$0
1,2018-06-30,1084.35,$682.52,1.59,$481.64,2.25,$115.93,9.35,$27.29,39.73,$9.02B,$18.78B,0.48,$3.02B,$9.48B,0.32,$6.73B,$2.10B,31.16%,$6.73B,$0.27B,3.98%,$6.73B,$0.27B,3.98%,$6.73B,$0.27B,3.98%,$6.73B,$0.19B,2.79%,$6.73B,$0.39B,5.79%,$0.39B,$9.48B,4.19%,$0.39B,$6.42B,6.12%,$0.39B,$33.25B,1.22%,$0.27B,$12.50B,2.19%,$1987,$1051,$936,$0,$0,$1676,$311,$49,$361,$81,$280,$280,$278,$311,$311,$14,14,$20.01,$19.97,$2244,$0,$0,$9019,$0,$18151,$3054,$2515,$24228,$33247,$18780,$3024,$1809,$4990,$23770,$3387,$6184,$-91,$9477,$33247,$214,$0,$94,$94,$0,$0,$0,$0,$0,$308,$-52,$0,$-8,$220,$-576,$-356,$-30,$-446,$-71,$0,$-71,$-24,$-24,$0,$-16,$-111,$-256,$0,$0
2,2018-03-31,1170.25,$670.83,1.74,$444.88,2.63,$112.07,10.44,$17.63,66.38,$8.95B,$18.69B,0.48,$3.05B,$9.32B,0.33,$6.22B,$1.72B,27.60%,$6.22B,$0.20B,3.17%,$6.22B,$0.20B,3.17%,$6.22B,$0.20B,3.17%,$6.22B,$0.04B,0.59%,$6.22B,$0.26B,4.21%,$0.26B,$9.32B,2.86%,$0.26B,$6.21B,4.03%,$0.26B,$32.87B,0.86%,$0.20B,$12.37B,1.65%,$1575,$1040,$536,$0,$0,$1470,$105,$-62,$43,$108,$-66,$-66,$-64,$105,$105,$14,14,$-4.25,$-4.25,$2442,$0,$0,$8950,$0,$17845,$3107,$2450,$23916,$32866,$18692,$3048,$1649,$4853,$23545,$3384,$5928,$13,$9321,$32866,$-66,$0,$123,$123,$0,$0,$0,$0,$0,$58,$-23,$0,$-8,$129,$-165,$-36,$-1,$-68,$-50,$0,$-50,$-12,$-12,$0,$-13,$-75,$-59,$0,$0
3,2017-12-31,1139.13,$683.37,1.67,$432.53,2.63,$109.34,10.42,$25.78,44.19,$8.81B,$18.29B,0.48,$3.10B,$9.50B,0.33,$6.06B,$1.61B,26.55%,$6.06B,$0.22B,3.61%,$6.06B,$0.22B,3.61%,$6.06B,$0.22B,3.61%,$6.06B,$0.09B,1.45%,$6.06B,$0.40B,6.53%,$0.40B,$9.50B,4.40%,$0.40B,$6.37B,5.96%,$0.40B,$32.81B,1.38%,$0.22B,$12.60B,1.88%,$1662,$1072,$591,$0,$0,$1480,$182,$-38,$144,$-296,$439,$439,$435,$182,$182,$14,14,$30.46,$30.42,$2501,$0,$0,$8814,$0,$18069,$3133,$2323,$23991,$32805,$18289,$3099,$1748,$5014,$23303,$3382,$3777,$2346,$9502,$32805,$401,$204,$-374,$-171,$-38,$0,$198,$484,$607,$859,$-75,$0,$-1432,$235,$522,$756,$6,$-744,$405,$0,$405,$-110,$-110,$0,$-38,$256,$416,$0,$0
4,2017-09-30,1067.98,$641.06,1.67,$415.32,2.57,$86.82,12.3,$4.50,237.33,$6.48B,$15.53B,0.42,$2.47B,$8.91B,0.28,$5.83B,$1.58B,27.02%,$5.83B,$0.25B,4.27%,$5.83B,$0.25B,4.27%,$5.83B,$0.25B,4.27%,$5.83B,$0.12B,2.13%,$5.83B,$0.09B,1.61%,$0.09B,$8.91B,1.07%,$0.09B,$6.49B,1.40%,$0.09B,$28.52B,0.35%,$0.25B,$11.38B,2.21%,$1506,$1472,$34,$0,$0,$1836,$-330,$-30,$-360,$-99,$-261,$-261,$-259,$-330,$-330,$14,14,$-18.82,$-18.82,$2356,$0,$0,$6483,$0,$17625,$2416,$1489,$22036,$28519,$15532,$2471,$1455,$4080,$19613,$3379,$3379,$2151,$8907,$28519,$-39,$0,$637,$637,$0,$0,$0,$0,$0,$599,$-50,$0,$-592,$406,$147,$553,$-5,$-94,$-182,$0,$-182,$-84,$-84,$0,$-33,$-299,$271,$0,$0
5,2017-06-30,975.86,$643.23,1.52,$409.28,2.38,$67.12,14.54,$28.92,33.74,$6.24B,$14.35B,0.44,$2.49B,$8.95B,0.28,$5.75B,$2.02B,35.11%,$5.75B,$0.73B,12.72%,$5.75B,$0.73B,12.72%,$5.75B,$0.73B,12.72%,$5.75B,$0.60B,10.48%,$5.75B,$0.44B,7.60%,$0.44B,$8.95B,5.05%,$0.44B,$6.93B,6.48%,$0.44B,$27.20B,1.65%,$0.73B,$11.44B,6.53%,$1481,$924,$557,$0,$0,$1241,$240,$-31,$210,$58,$151,$151,$150,$240,$240,$14,14,$10.34,$10.31,$2586,$0,$0,$6236,$0,$17099,$2023,$1355,$20967,$27203,$14346,$2486,$1332,$3904,$18251,$3376,$3666,$1912,$8953,$27203,$222,$0,$15,$15,$0,$0,$0,$0,$0,$238,$-36,$0,$-202,$678,$-1,$677,$-3,$437,$-110,$0,$-110,$-59,$-59,$0,$-30,$-199,$501,$0,$0
6,2017-03-31,975.86,$620.16,1.57,$401.27,2.43,$55.21,17.68,$24.02,40.63,$5.55B,$14.00B,0.4,$2.58B,$8.65B,0.3,$5.65B,$1.95B,34.56%,$5.65B,$0.69B,12.15%,$5.65B,$0.69B,12.15%,$5.65B,$0.69B,12.15%,$5.65B,$0.51B,9.01%,$5.65B,$0.37B,6.48%,$0.37B,$8.65B,4.29%,$0.37B,$6.80B,5.51%,$0.37B,$26.40B,1.39%,$0.69B,$11.23B,6.17%,$1412,$985,$427,$0,$0,$1284,$127,$-33,$94,$23,$71,$71,$70,$127,$127,$14,14,$3.91,$3.90,$2115,$0,$0,$5554,$0,$17223,$1855,$1298,$20847,$26401,$13997,$2582,$1083,$3752,$17749,$3376,$3558,$1719,$8651,$26401,$71,$0,$-59,$-59,$0,$0,$0,$0,$0,$12,$-16,$0,$-4,$162,$-102,$61,$-3,$38,$9,$0,$9,$-24,$-24,$0,$-12,$-27,$30,$0,$0
7,2016-12-31,904.5,$606.77,1.49,$398.55,2.27,$47.00,19.24,$31.27,28.93,$5.44B,$13.66B,0.4,$2.58B,$8.47B,0.3,$5.61B,$2.06B,36.76%,$5.61B,$0.80B,14.33%,$5.61B,$0.80B,14.33%,$5.61B,$0.80B,14.33%,$5.61B,$0.63B,11.21%,$5.61B,$0.46B,8.13%,$0.46B,$8.47B,5.41%,$0.46B,$6.60B,7.00%,$0.46B,$25.88B,1.75%,$0.80B,$11.04B,7.35%,$1429,$872,$557,$0,$0,$1216,$212,$-32,$180,$48,$133,$133,$133,$212,$212,$14,14,$9.14,$9.11,$2085,$0,$0,$5440,$0,$16974,$1865,$1205,$20435,$25875,$13660,$2575,$1099,$3747,$17408,$3369,$3526,$1566,$8467,$25875,$460,$194,$-12,$182,$-163,$0,$135,$-62,$-107,$535,$-64,$0,$-8,$-689,$-877,$-1566,$-1,$-1638,$281,$0,$281,$-47,$-47,$0,$-82,$152,$-985,$0,$0
8,2016-09-30,928.77,$609.98,1.52,$398.09,2.33,$54.18,17.14,$36.30,25.59,$5.96B,$14.15B,0.42,$2.59B,$8.53B,0.3,$5.60B,$2.09B,37.25%,$5.60B,$0.87B,15.55%,$5.60B,$0.87B,15.55%,$5.60B,$0.87B,15.55%,$5.60B,$0.70B,12.48%,$5.60B,$0.52B,9.30%,$0.52B,$8.53B,6.30%,$0.52B,$6.64B,8.22%,$0.52B,$26.40B,2.02%,$0.87B,$11.12B,8.14%,$1431,$952,$479,$0,$0,$1279,$153,$-33,$119,$36,$83,$83,$84,$153,$153,$14,14,$5.62,$5.60,$2540,$0,$0,$5957,$0,$16818,$1899,$1320,$20446,$26404,$14145,$2589,$1064,$3724,$17869,$3366,$3434,$1728,$8534,$26404,$328,$0,$-3,$-3,$0,$0,$0,$0,$0,$324,$-50,$0,$-6,$-341,$-655,$-996,$-5,$-1056,$293,$0,$293,$-11,$-11,$0,$-79,$203,$-530,$0,$0
9,2016-06-30,952.78,$603.64,1.58,$391.96,2.43,$69.40,13.73,$38.09,25.01,$5.89B,$14.14B,0.42,$2.60B,$8.45B,0.31,$5.52B,$2.10B,38.08%,$5.52B,$0.90B,16.34%,$5.52B,$0.90B,16.34%,$5.52B,$0.90B,16.34%,$5.52B,$0.73B,13.29%,$5.52B,$0.54B,9.79%,$0.54B,$8.45B,6.70%,$0.54B,$6.53B,8.74%,$0.54B,$26.34B,2.11%,$0.90B,$11.05B,8.66%,$1376,$887,$489,$0,$0,$1182,$194,$-78,$116,$35,$81,$81,$79,$194,$194,$14,14,$5.44,$5.41,$2362,$0,$0,$5886,$0,$16791,$1921,$1323,$20450,$26336,$14143,$2602,$1079,$3747,$17890,$3361,$3355,$1722,$8446,$26336,$244,$0,$-174,$-174,$0,$0,$0,$0,$0,$70,$-35,$0,$-6,$-348,$-620,$-968,$-2,$-1010,$304,$0,$304,$-11,$-11,$0,$-63,$230,$-708,$0,$0
