,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,185.62,$27.75,6.69,$25.81,7.19,$14.20,13.07,$-0.54,0.0,$0.03B,$0.02B,1.72,$0.03B,$0.11B,0.29,$0.10B,$0.06B,58.42%,$0.10B,$0.00B,2.97%,$0.10B,$0.00B,2.97%,$0.10B,$0.01B,11.88%,$0.10B,$0.00B,0.00%,$0.10B,$-0.00B,-1.98%,$-0.00B,$0.11B,-1.98%,$-0.00B,$0.00B,40.00%,$-0.00B,$0.16B,-1.23%,$0.00B,$0.14B,2.09%,$25,$10,$15,$1,$9,$24,$1,$0,$1,$0,$1,$1,$1,$4,$1,$4,4,$0.26,$0.25,$6,$8,$0,$34,$23,$0,$103,$0,$127,$160,$20,$31,$0,$34,$53,$35,$72,$-1,$107,$160,$5,$5,$1,$6,$1,$1,$-0,$-1,$-1,$10,$1,$0,$0,$0,$0,$0,$0,$1,$-13,$0,$-13,$3,$3,$-1,$0,$-11,$0,$2,$-1
1,2018-06-30,211.08,$27.40,7.7,$25.50,8.28,$12.99,16.25,$-0.19,0.0,$0.03B,$0.02B,2.1,$0.04B,$0.11B,0.36,$0.10B,$0.06B,57.58%,$0.10B,$0.01B,6.06%,$0.10B,$0.01B,6.06%,$0.10B,$0.01B,14.14%,$0.10B,$0.00B,2.02%,$0.10B,$-0.00B,-1.01%,$-0.00B,$0.11B,-0.99%,$-0.00B,$0.00B,14.29%,$-0.00B,$0.16B,-0.60%,$0.01B,$0.14B,4.05%,$25,$10,$15,$1,$9,$20,$5,$-0,$4,$0,$4,$4,$4,$7,$5,$4,4,$1.11,$1.06,$7,$9,$2,$33,$23,$0,$105,$0,$129,$161,$16,$38,$0,$40,$56,$34,$72,$-1,$105,$161,$4,$2,$-0,$2,$2,$1,$0,$-1,$-0,$7,$-0,$0,$0,$0,$0,$0,$0,$-0,$-7,$0,$-7,$3,$3,$-1,$0,$-4,$2,$1,$-1
2,2018-03-31,148.29,$26.14,5.67,$25.00,5.93,$11.73,12.64,$-0.86,0.0,$0.03B,$0.02B,1.85,$0.05B,$0.10B,0.45,$0.10B,$0.06B,56.70%,$0.10B,$0.00B,3.09%,$0.10B,$0.00B,3.09%,$0.10B,$0.01B,11.34%,$0.10B,$-0.00B,-1.03%,$0.10B,$-0.00B,-3.09%,$-0.00B,$0.10B,-3.01%,$-0.00B,$-0.01B,33.33%,$-0.00B,$0.16B,-1.78%,$0.00B,$0.14B,2.00%,$27,$11,$16,$1,$9,$20,$7,$-0,$6,$2,$4,$4,$4,$9,$7,$4,4,$1.10,$1.15,$5,$9,$2,$32,$24,$0,$108,$0,$132,$164,$17,$45,$0,$47,$65,$31,$68,$1,$99,$164,$-3,$10,$12,$21,$1,$5,$0,$1,$7,$25,$-2,$0,$-16,$0,$0,$0,$0,$-17,$-9,$0,$-9,$3,$3,$-2,$0,$-8,$-0,$2,$-2
3,2017-12-31,124.03,$24.97,4.97,$24.19,5.13,$4.59,27.04,$-1.00,0.0,$0.03B,$0.01B,2.37,$0.06B,$0.09B,0.58,$0.09B,$0.05B,56.38%,$0.09B,$0.00B,1.06%,$0.09B,$0.00B,1.06%,$0.09B,$0.01B,9.57%,$0.09B,$-0.00B,-2.13%,$0.09B,$-0.00B,-3.19%,$-0.00B,$0.09B,-3.02%,$-0.00B,$-0.02B,30.77%,$-0.00B,$0.17B,-1.76%,$0.00B,$0.15B,0.66%,$24,$11,$13,$1,$8,$34,$-10,$-0,$-11,$1,$-11,$-11,$-11,$-8,$-10,$4,4,$-2.93,$-2.93,$6,$10,$2,$34,$24,$0,$110,$0,$134,$168,$14,$55,$0,$59,$73,$30,$65,$0,$94,$168,$-7,$7,$15,$22,$3,$1,$-0,$-2,$0,$15,$-1,$0,$-15,$0,$0,$0,$0,$-17,$1,$0,$1,$2,$2,$-2,$0,$2,$0,$1,$-2
4,2017-09-30,148.82,$27.84,5.35,$24.10,6.18,$0.27,541.55,$2.77,53.72,$0.04B,$0.01B,2.86,$0.05B,$0.11B,0.48,$0.09B,$0.05B,57.45%,$0.09B,$0.02B,15.96%,$0.09B,$0.02B,15.96%,$0.09B,$0.02B,25.53%,$0.09B,$0.01B,13.83%,$0.09B,$0.01B,11.70%,$0.01B,$0.11B,11.06%,$0.01B,$-0.00B,-107.32%,$0.01B,$0.17B,6.42%,$0.02B,$0.16B,9.98%,$23,$10,$13,$1,$9,$19,$4,$-1,$3,$1,$2,$2,$2,$6,$4,$4,4,$0.63,$0.60,$10,$13,$2,$41,$24,$0,$109,$0,$133,$174,$14,$50,$0,$54,$69,$29,$76,$-0,$105,$174,$4,$5,$0,$5,$2,$1,$-0,$-3,$-1,$7,$-1,$0,$-0,$0,$0,$0,$0,$-1,$-3,$0,$-3,$2,$2,$-1,$0,$-2,$4,$1,$-1
5,2017-06-30,142.66,$26.87,5.31,$24.64,5.79,$-2.77,0.0,$2.79,51.13,$0.03B,$0.02B,2.26,$0.05B,$0.10B,0.49,$0.10B,$0.06B,57.89%,$0.10B,$0.02B,15.79%,$0.10B,$0.02B,15.79%,$0.10B,$0.02B,25.26%,$0.10B,$0.01B,13.68%,$0.10B,$0.01B,11.58%,$0.01B,$0.10B,11.49%,$0.01B,$-0.01B,-77.19%,$0.01B,$0.17B,6.50%,$0.02B,$0.15B,10.26%,$23,$10,$13,$1,$10,$21,$2,$-1,$1,$-0,$2,$2,$2,$4,$2,$4,4,$0.41,$0.39,$3,$13,$1,$34,$26,$0,$109,$0,$135,$169,$15,$49,$0,$53,$68,$27,$75,$-1,$101,$169,$2,$2,$0,$3,$1,$0,$0,$-2,$-1,$3,$-2,$0,$-0,$0,$0,$0,$0,$-2,$-4,$0,$-4,$1,$1,$-1,$0,$-4,$-3,$1,$-1
6,2017-03-31,122.01,$26.20,4.66,$24.41,5.0,$-3.02,0.0,$2.91,41.93,$0.04B,$0.02B,2.16,$0.05B,$0.10B,0.55,$0.09B,$0.05B,58.06%,$0.09B,$0.02B,17.20%,$0.09B,$0.02B,17.20%,$0.09B,$0.03B,26.88%,$0.09B,$0.01B,15.05%,$0.09B,$0.01B,11.83%,$0.01B,$0.10B,11.89%,$0.01B,$-0.01B,-61.97%,$0.01B,$0.17B,6.57%,$0.02B,$0.15B,11.31%,$24,$10,$14,$1,$7,$19,$5,$-0,$5,$1,$4,$4,$4,$7,$5,$4,4,$0.99,$0.94,$6,$14,$0,$36,$26,$0,$110,$0,$136,$172,$17,$54,$0,$57,$74,$26,$74,$-2,$98,$172,$11,$9,$-9,$0,$1,$0,$-1,$-1,$-3,$8,$-12,$0,$-7,$0,$0,$0,$0,$-18,$10,$0,$10,$4,$4,$-2,$0,$11,$0,$1,$-2
7,2016-12-31,121.91,$25.34,4.81,$24.69,4.94,$0.42,288.13,$3.03,40.23,$0.04B,$0.02B,1.59,$0.05B,$0.09B,0.53,$0.09B,$0.06B,58.51%,$0.09B,$0.02B,18.09%,$0.09B,$0.02B,18.09%,$0.09B,$0.03B,27.66%,$0.09B,$0.02B,15.96%,$0.09B,$0.01B,11.70%,$0.01B,$0.09B,12.32%,$0.01B,$-0.02B,-54.32%,$0.01B,$0.17B,6.68%,$0.02B,$0.14B,12.55%,$24,$10,$14,$1,$8,$19,$4,$-1,$4,$1,$3,$3,$3,$7,$4,$4,4,$0.88,$0.84,$5,$15,$0,$35,$24,$0,$111,$0,$135,$170,$22,$50,$0,$55,$77,$25,$71,$-2,$94,$170,$8,$7,$-4,$3,$2,$0,$0,$-2,$-3,$7,$-9,$0,$-7,$0,$0,$0,$0,$-16,$8,$0,$8,$3,$3,$-2,$0,$9,$-0,$1,$-2
8,2016-09-30,113.43,$24.54,4.62,$23.79,4.77,$2.06,55.03,$2.82,40.23,$0.03B,$0.02B,1.58,$0.05B,$0.09B,0.55,$0.09B,$0.05B,58.89%,$0.09B,$0.02B,18.89%,$0.09B,$0.02B,18.89%,$0.09B,$0.03B,27.78%,$0.09B,$0.01B,15.56%,$0.09B,$0.01B,12.22%,$0.01B,$0.09B,12.79%,$0.01B,$-0.02B,-49.44%,$0.01B,$0.17B,6.83%,$0.02B,$0.14B,13.00%,$24,$11,$14,$1,$9,$20,$4,$-1,$3,$1,$2,$2,$2,$6,$4,$4,4,$0.64,$0.62,$5,$14,$0,$34,$22,$0,$110,$0,$132,$166,$22,$50,$0,$54,$76,$24,$68,$-1,$90,$166,$4,$4,$-4,$1,$2,$-0,$1,$-1,$-4,$1,$-7,$0,$-3,$0,$0,$0,$0,$-10,$8,$0,$8,$2,$2,$-1,$0,$8,$-1,$1,$-1
9,2016-06-30,121.83,$23.92,5.09,$23.19,5.25,$4.50,27.1,$2.67,45.63,$0.03B,$0.02B,1.44,$0.04B,$0.09B,0.49,$0.09B,$0.05B,59.09%,$0.09B,$0.02B,18.18%,$0.09B,$0.02B,18.18%,$0.09B,$0.02B,27.27%,$0.09B,$0.01B,15.91%,$0.09B,$0.01B,12.50%,$0.01B,$0.09B,13.21%,$0.01B,$-0.02B,-45.83%,$0.01B,$0.16B,6.94%,$0.02B,$0.13B,12.65%,$21,$9,$12,$1,$8,$19,$3,$-0,$2,$0,$2,$2,$2,$5,$3,$4,4,$0.53,$0.51,$5,$14,$0,$33,$20,$0,$110,$0,$130,$162,$23,$43,$5,$52,$74,$23,$66,$-1,$88,$162,$2,$2,$1,$3,$3,$-0,$-0,$-0,$-1,$4,$-3,$0,$-3,$0,$0,$0,$0,$-6,$1,$0,$1,$1,$1,$-1,$0,$1,$-1,$0,$-1
