,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,61.45,$18.17,3.38,$16.05,3.83,$0.68,90.89,$0.74,83.04,$0.39B,$0.14B,2.77,$0.19B,$0.92B,0.2,$0.84B,$0.38B,44.71%,$0.84B,$0.06B,6.90%,$0.84B,$0.06B,6.90%,$0.84B,$0.12B,14.74%,$0.84B,$0.05B,5.71%,$0.84B,$0.04B,4.76%,$0.04B,$0.92B,5.36%,$0.04B,$0.39B,18.10%,$0.04B,$1.31B,3.23%,$0.06B,$1.11B,5.54%,$222,$120,$102,$15,$66,$201,$21,$-2,$19,$3,$17,$17,$17,$39,$21,$53,55,$0.31,$0.30,$52,$181,$0,$388,$320,$0,$538,$62,$922,$1310,$140,$187,$22,$247,$387,$568,$354,$1,$923,$1310,$33,$51,$6,$57,$-25,$-19,$16,$-4,$-27,$63,$-47,$-2,$-123,$0,$0,$0,$-11,$-183,$-70,$0,$-70,$213,$213,$0,$-3,$140,$20,$4,$0
1,2018-06-30,51.2,$13.81,3.71,$15.51,3.3,$0.66,77.86,$0.37,138.38,$0.37B,$0.14B,2.66,$0.39B,$0.70B,0.56,$0.80B,$0.36B,44.49%,$0.80B,$0.04B,4.76%,$0.80B,$0.04B,4.76%,$0.80B,$0.10B,12.53%,$0.80B,$0.03B,3.38%,$0.80B,$0.02B,2.38%,$0.02B,$0.70B,2.78%,$0.02B,$0.15B,10.81%,$0.02B,$1.29B,1.61%,$0.04B,$1.09B,3.79%,$225,$125,$100,$15,$69,$210,$15,$-4,$12,$1,$11,$11,$11,$33,$15,$50,52,$0.22,$0.21,$44,$169,$0,$371,$312,$0,$548,$58,$920,$1291,$140,$392,$24,$452,$592,$360,$338,$2,$699,$1291,$16,$33,$4,$37,$-27,$-7,$16,$-4,$-18,$35,$-32,$-2,$-119,$0,$0,$0,$-11,$-162,$135,$0,$135,$3,$3,$0,$-0,$138,$11,$3,$0
2,2018-03-31,45.35,$13.68,3.32,$14.84,3.06,$0.92,49.37,$0.35,129.57,$0.34B,$0.12B,2.76,$0.37B,$0.69B,0.53,$0.76B,$0.34B,44.61%,$0.76B,$0.04B,4.74%,$0.76B,$0.04B,4.74%,$0.76B,$0.09B,12.24%,$0.76B,$0.03B,3.42%,$0.76B,$0.02B,2.24%,$0.02B,$0.69B,2.52%,$0.02B,$0.14B,8.72%,$0.02B,$1.24B,1.51%,$0.04B,$1.05B,3.78%,$203,$115,$88,$14,$65,$194,$9,$-2,$6,$1,$5,$5,$5,$24,$9,$50,52,$0.10,$0.10,$34,$167,$0,$344,$304,$0,$552,$37,$895,$1239,$124,$366,$24,$426,$551,$356,$327,$6,$689,$1239,$5,$15,$2,$17,$-12,$-5,$8,$-2,$-14,$8,$-16,$-1,$-100,$0,$0,$0,$0,$-117,$108,$0,$108,$2,$2,$0,$-0,$109,$2,$1,$0
3,2017-12-31,43.2,$13.46,3.21,$14.66,2.95,$1.19,36.38,$0.57,75.79,$0.32B,$0.12B,2.73,$0.26B,$0.68B,0.38,$0.73B,$0.33B,44.92%,$0.73B,$0.03B,4.53%,$0.73B,$0.03B,4.53%,$0.73B,$0.09B,11.95%,$0.73B,$0.04B,4.81%,$0.73B,$0.03B,3.71%,$0.03B,$0.68B,4.06%,$0.03B,$0.21B,12.46%,$0.03B,$1.11B,2.53%,$0.03B,$0.94B,3.64%,$191,$105,$86,$13,$59,$178,$13,$-2,$11,$4,$7,$7,$7,$28,$13,$49,50,$0.11,$0.11,$32,$155,$0,$316,$293,$0,$465,$35,$796,$1112,$116,$259,$24,$320,$435,$353,$321,$2,$676,$1112,$28,$54,$5,$59,$-16,$-18,$0,$-1,$-24,$63,$-39,$-3,$-106,$0,$0,$0,$0,$-147,$-46,$0,$-46,$144,$144,$0,$-1,$97,$13,$4,$0
4,2017-09-30,42.35,$13.28,3.19,$14.37,2.95,$1.17,36.22,$0.61,69.43,$0.30B,$0.11B,2.78,$0.26B,$0.67B,0.39,$0.70B,$0.31B,44.75%,$0.70B,$0.03B,4.75%,$0.70B,$0.03B,4.75%,$0.70B,$0.08B,12.09%,$0.70B,$0.03B,4.89%,$0.70B,$0.03B,4.03%,$0.03B,$0.67B,4.51%,$0.03B,$0.20B,14.74%,$0.03B,$1.09B,2.73%,$0.03B,$0.93B,3.77%,$179,$99,$81,$13,$55,$178,$1,$-3,$-2,$1,$-4,$-4,$-4,$15,$1,$50,52,$-0.07,$-0.07,$23,$146,$0,$300,$290,$0,$463,$32,$787,$1087,$108,$261,$15,$313,$420,$351,$315,$1,$667,$1087,$21,$40,$4,$44,$-11,$-10,$-1,$-4,$-21,$43,$-30,$-2,$-104,$0,$0,$0,$0,$-135,$-47,$0,$-47,$143,$143,$0,$-1,$96,$4,$3,$0
5,2017-06-30,38.15,$13.31,2.87,$14.38,2.65,$1.12,34.09,$0.70,54.5,$0.30B,$0.12B,2.57,$0.23B,$0.67B,0.34,$0.67B,$0.30B,44.28%,$0.67B,$0.04B,5.20%,$0.67B,$0.04B,5.20%,$0.67B,$0.08B,12.48%,$0.67B,$0.04B,5.35%,$0.67B,$0.03B,4.90%,$0.03B,$0.67B,5.73%,$0.03B,$0.23B,20.53%,$0.03B,$1.05B,3.35%,$0.04B,$0.89B,4.14%,$187,$102,$84,$13,$57,$173,$13,$-2,$11,$2,$9,$9,$9,$26,$13,$50,51,$0.19,$0.19,$38,$137,$0,$296,$285,$0,$438,$31,$756,$1052,$115,$225,$10,$270,$385,$348,$318,$0,$666,$1052,$24,$26,$-10,$16,$-13,$-2,$4,$-1,$-6,$35,$-18,$-1,$-55,$0,$0,$0,$0,$-74,$-83,$0,$-83,$141,$141,$0,$-1,$58,$19,$2,$0
6,2017-03-31,28.9,$13.08,2.21,$14.12,2.05,$0.89,32.63,$0.67,43.13,$0.27B,$0.11B,2.59,$0.22B,$0.65B,0.34,$0.64B,$0.28B,44.11%,$0.64B,$0.03B,5.34%,$0.64B,$0.03B,5.34%,$0.64B,$0.08B,12.56%,$0.64B,$0.04B,5.49%,$0.64B,$0.03B,4.87%,$0.03B,$0.65B,5.86%,$0.03B,$0.22B,20.98%,$0.03B,$1.02B,3.35%,$0.03B,$0.87B,4.26%,$171,$95,$76,$13,$58,$165,$6,$10,$15,$1,$15,$15,$15,$18,$6,$45,46,$0.33,$0.32,$26,$134,$0,$272,$283,$0,$429,$29,$743,$1015,$105,$220,$5,$258,$363,$344,$309,$-1,$652,$1015,$15,$13,$-12,$1,$-5,$1,$1,$-0,$-1,$15,$-10,$-1,$-47,$0,$0,$0,$0,$-58,$-87,$0,$-87,$139,$139,$0,$-1,$51,$7,$1,$0
7,2016-12-31,26.5,$11.16,2.37,$13.48,1.97,$0.79,33.55,$0.45,58.89,$0.24B,$0.09B,2.76,$0.31B,$0.50B,0.63,$0.60B,$0.27B,43.87%,$0.60B,$0.04B,5.96%,$0.60B,$0.04B,5.96%,$0.60B,$0.08B,13.25%,$0.60B,$0.03B,4.30%,$0.60B,$0.02B,3.31%,$0.02B,$0.50B,4.13%,$0.02B,$0.10B,15.04%,$0.02B,$0.94B,2.29%,$0.04B,$0.81B,4.78%,$158,$87,$70,$12,$46,$145,$13,$-3,$10,$2,$8,$8,$8,$25,$13,$44,45,$0.17,$0.17,$19,$121,$0,$243,$277,$0,$395,$28,$699,$943,$88,$314,$4,$356,$445,$206,$294,$-2,$498,$943,$20,$45,$3,$47,$-6,$-4,$-7,$-3,$-14,$54,$-33,$-2,$-125,$0,$1,$1,$0,$-159,$117,$0,$117,$5,$5,$0,$-2,$121,$15,$3,$0
8,2016-09-30,24.29,$10.90,2.23,$13.07,1.86,$0.77,31.54,$0.42,57.83,$0.23B,$0.09B,2.71,$0.32B,$0.49B,0.65,$0.58B,$0.26B,43.66%,$0.58B,$0.03B,5.31%,$0.58B,$0.03B,5.31%,$0.58B,$0.07B,12.50%,$0.58B,$0.02B,3.94%,$0.58B,$0.02B,3.08%,$0.02B,$0.49B,3.78%,$0.02B,$0.09B,12.00%,$0.02B,$0.93B,2.16%,$0.03B,$0.80B,4.33%,$157,$89,$68,$11,$53,$154,$3,$-3,$-0,$-1,$1,$1,$1,$15,$3,$44,45,$0.02,$0.02,$17,$117,$0,$234,$279,$0,$399,$16,$694,$929,$86,$318,$5,$356,$443,$205,$286,$-5,$486,$929,$13,$32,$2,$35,$-2,$0,$-9,$-2,$-11,$36,$-26,$-2,$-120,$0,$1,$1,$0,$-147,$121,$0,$121,$4,$4,$0,$-2,$124,$13,$2,$0
9,2016-06-30,19.83,$10.83,1.83,$12.63,1.57,$0.94,21.02,$0.51,38.88,$0.22B,$0.09B,2.59,$0.22B,$0.48B,0.46,$0.56B,$0.25B,43.69%,$0.56B,$0.04B,6.57%,$0.56B,$0.04B,6.57%,$0.56B,$0.08B,13.50%,$0.56B,$0.03B,5.33%,$0.56B,$0.02B,3.91%,$0.02B,$0.48B,4.69%,$0.02B,$0.18B,13.04%,$0.02B,$0.82B,2.78%,$0.04B,$0.70B,5.45%,$151,$84,$67,$11,$44,$139,$12,$-2,$10,$3,$7,$7,$7,$22,$12,$44,45,$0.16,$0.16,$10,$110,$0,$220,$276,$0,$304,$15,$595,$815,$85,$222,$5,$250,$335,$200,$285,$-5,$480,$815,$12,$20,$2,$22,$-4,$-1,$-5,$-3,$-8,$25,$-21,$-1,$-23,$0,$1,$1,$0,$-44,$24,$0,$24,$1,$1,$0,$-0,$25,$6,$1,$0
