,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,125.9,$21.74,5.79,$23.26,5.41,$11.02,11.42,$4.18,30.12,$0.58B,$0.32B,1.82,$0.09B,$0.93B,0.1,$1.00B,$0.60B,59.50%,$1.00B,$0.21B,21.00%,$1.00B,$0.21B,21.00%,$1.00B,$0.31B,30.60%,$1.00B,$0.23B,22.70%,$1.00B,$0.18B,18.00%,$0.18B,$0.93B,20.80%,$0.18B,$0.29B,83.62%,$0.18B,$1.44B,12.61%,$0.21B,$1.02B,20.96%,$261,$100,$161,$0,$71,$196,$65,$7,$73,$16,$57,$57,$57,$90,$65,$43,43,$1.33,$1.32,$367,$0,$23,$584,$145,$58,$639,$4,$856,$1440,$321,$90,$31,$191,$512,$0,$1095,$-67,$928,$1440,$141,$71,$15,$86,$-29,$0,$0,$51,$-18,$210,$-55,$0,$11,$7,$-1,$6,$-0,$-39,$-90,$0,$-90,$-11,$-11,$-32,$-13,$-145,$15,$24,$-32
1,2018-06-30,128.0,$20.44,6.26,$22.57,5.67,$10.21,12.54,$3.65,35.07,$0.57B,$0.33B,1.71,$0.13B,$0.87B,0.14,$0.97B,$0.57B,59.13%,$0.97B,$0.20B,20.43%,$0.97B,$0.20B,20.43%,$0.97B,$0.29B,30.03%,$0.97B,$0.21B,21.16%,$0.97B,$0.16B,16.20%,$0.16B,$0.87B,18.96%,$0.16B,$0.23B,91.68%,$0.16B,$1.43B,11.11%,$0.20B,$1.00B,19.93%,$252,$100,$153,$0,$75,$199,$54,$1,$55,$13,$42,$42,$42,$77,$54,$43,43,$0.98,$0.97,$352,$0,$28,$566,$146,$57,$645,$5,$861,$1427,$331,$125,$32,$225,$556,$0,$1038,$-61,$871,$1427,$84,$47,$14,$60,$-18,$0,$0,$62,$-14,$130,$-36,$0,$11,$-0,$-1,$-1,$0,$-26,$-55,$0,$-55,$-11,$-11,$-21,$-10,$-97,$-1,$17,$-21
2,2018-03-31,95.09,$20.18,4.71,$22.02,4.32,$9.62,9.89,$3.75,25.36,$0.55B,$0.33B,1.68,$0.15B,$0.86B,0.18,$0.95B,$0.55B,58.56%,$0.95B,$0.19B,20.08%,$0.95B,$0.19B,20.08%,$0.95B,$0.28B,29.81%,$0.95B,$0.21B,22.30%,$0.95B,$0.16B,17.02%,$0.16B,$0.86B,20.25%,$0.16B,$0.20B,121.28%,$0.16B,$1.44B,11.49%,$0.19B,$1.01B,19.26%,$244,$102,$141,$0,$71,$196,$48,$9,$57,$13,$43,$42,$42,$70,$48,$43,43,$0.99,$0.98,$355,$0,$19,$550,$147,$61,$658,$11,$887,$1437,$327,$150,$33,$251,$578,$0,$1007,$-40,$858,$1437,$42,$23,$5,$28,$-10,$0,$0,$57,$-10,$60,$-18,$0,$11,$-0,$-0,$-0,$0,$-7,$-30,$0,$-30,$-9,$-9,$-11,$-5,$-54,$3,$7,$-11
3,2017-12-31,96.29,$18.92,5.09,$21.19,4.54,$9.38,10.27,$3.19,30.18,$0.53B,$0.32B,1.64,$0.18B,$0.81B,0.22,$0.91B,$0.53B,57.68%,$0.91B,$0.17B,18.64%,$0.91B,$0.17B,18.64%,$0.91B,$0.26B,28.73%,$0.91B,$0.18B,19.85%,$0.91B,$0.14B,15.02%,$0.14B,$0.81B,18.01%,$0.14B,$0.15B,145.74%,$0.14B,$1.41B,9.92%,$0.17B,$0.99B,17.47%,$243,$103,$140,$0,$71,$201,$43,$-1,$42,$3,$39,$39,$39,$69,$43,$43,43,$0.92,$0.90,$353,$0,$28,$530,$147,$62,$660,$6,$876,$1406,$323,$180,$33,$278,$601,$0,$959,$-47,$805,$1406,$137,$91,$-1,$90,$-1,$0,$0,$-6,$23,$250,$-67,$0,$23,$-25,$7,$-18,$1,$-61,$-70,$0,$-70,$-42,$-42,$-39,$-6,$-158,$49,$24,$-39
4,2017-09-30,84.16,$18.32,4.59,$20.44,4.12,$8.59,9.79,$3.91,21.53,$0.50B,$0.30B,1.69,$0.21B,$0.78B,0.26,$0.88B,$0.51B,57.89%,$0.88B,$0.18B,20.09%,$0.88B,$0.18B,20.09%,$0.88B,$0.26B,29.74%,$0.88B,$0.23B,25.77%,$0.88B,$0.17B,19.07%,$0.17B,$0.78B,22.90%,$0.17B,$0.11B,268.80%,$0.17B,$1.38B,12.29%,$0.18B,$0.98B,18.37%,$230,$91,$139,$0,$64,$177,$53,$-2,$51,$17,$34,$34,$34,$75,$53,$43,43,$0.80,$0.79,$324,$0,$26,$498,$151,$62,$666,$7,$886,$1384,$295,$205,$41,$310,$605,$0,$940,$-49,$779,$1384,$98,$65,$5,$70,$-0,$0,$0,$-1,$-3,$165,$-46,$0,$23,$-24,$-2,$-26,$1,$-50,$-45,$0,$-45,$-41,$-41,$-30,$-4,$-120,$11,$17,$-30
5,2017-06-30,77.35,$17.33,4.46,$19.60,3.95,$8.04,9.62,$3.82,20.25,$0.51B,$0.30B,1.68,$0.23B,$0.74B,0.31,$0.85B,$0.48B,56.91%,$0.85B,$0.17B,19.83%,$0.85B,$0.17B,19.83%,$0.85B,$0.25B,29.40%,$0.85B,$0.22B,26.21%,$0.85B,$0.16B,19.36%,$0.16B,$0.74B,23.29%,$0.16B,$0.07B,180.72%,$0.16B,$1.38B,12.76%,$0.17B,$0.97B,19.03%,$229,$95,$134,$0,$66,$183,$46,$15,$61,$15,$46,$46,$46,$68,$46,$43,43,$1.07,$1.07,$340,$0,$24,$507,$154,$37,$667,$10,$869,$1376,$302,$230,$43,$335,$637,$0,$906,$-60,$739,$1376,$64,$43,$-3,$40,$3,$0,$0,$10,$-2,$102,$-33,$0,$23,$-0,$-4,$-4,$0,$-15,$-20,$0,$-20,$-28,$-28,$-20,$-4,$-72,$27,$11,$-20
6,2017-03-31,77.37,$16.74,4.62,$18.86,4.1,$7.67,10.08,$3.48,22.23,$0.49B,$0.30B,1.62,$0.24B,$0.72B,0.33,$0.82B,$0.46B,56.37%,$0.82B,$0.17B,20.34%,$0.82B,$0.17B,20.34%,$0.82B,$0.24B,29.78%,$0.82B,$0.21B,25.49%,$0.82B,$0.15B,18.38%,$0.15B,$0.72B,22.08%,$0.15B,$0.05B,122.70%,$0.15B,$1.36B,12.45%,$0.17B,$0.95B,20.74%,$210,$97,$113,$0,$63,$181,$28,$-1,$27,$8,$19,$18,$18,$50,$28,$43,43,$0.42,$0.42,$318,$0,$26,$486,$150,$39,$673,$8,$870,$1356,$300,$235,$42,$337,$637,$0,$870,$-73,$719,$1356,$18,$22,$5,$26,$4,$0,$0,$15,$2,$47,$-14,$0,$0,$-0,$-4,$-4,$1,$-18,$-15,$0,$-15,$-1,$-1,$-10,$-0,$-26,$7,$5,$-10
7,2016-12-31,72.19,$16.23,4.45,$18.46,3.91,$6.88,10.49,$3.73,19.35,$0.47B,$0.30B,1.6,$0.25B,$0.70B,0.36,$0.80B,$0.45B,56.89%,$0.80B,$0.18B,22.56%,$0.80B,$0.18B,22.56%,$0.80B,$0.25B,31.58%,$0.80B,$0.22B,28.07%,$0.80B,$0.16B,20.18%,$0.16B,$0.70B,24.50%,$0.16B,$0.02B,101.42%,$0.16B,$1.35B,14.32%,$0.18B,$0.95B,25.01%,$212,$88,$124,$0,$56,$162,$50,$39,$88,$17,$71,$70,$70,$69,$50,$43,43,$1.63,$1.62,$304,$0,$22,$472,$152,$40,$678,$9,$879,$1351,$295,$250,$46,$359,$654,$0,$862,$-82,$697,$1351,$161,$71,$-23,$48,$-0,$0,$0,$10,$5,$214,$-63,$0,$-192,$-17,$-3,$-20,$0,$-274,$190,$25,$215,$-48,$-48,$-38,$-5,$124,$52,$15,$-38
8,2016-09-30,77.57,$15.37,5.05,$18.11,4.28,$7.55,10.27,$2.95,26.3,$0.41B,$0.31B,1.32,$0.00B,$0.66B,0.0,$0.79B,$0.45B,56.73%,$0.79B,$0.18B,22.84%,$0.79B,$0.18B,22.84%,$0.79B,$0.25B,31.73%,$0.79B,$0.19B,23.86%,$0.79B,$0.13B,16.24%,$0.13B,$0.66B,19.90%,$0.13B,$0.23B,62.59%,$0.13B,$1.06B,12.27%,$0.18B,$0.66B,27.98%,$196,$85,$111,$0,$49,$152,$44,$2,$46,$17,$30,$30,$30,$62,$44,$43,43,$0.70,$0.70,$265,$0,$24,$413,$150,$51,$436,$9,$646,$1060,$314,$0,$43,$83,$398,$0,$802,$-63,$662,$1060,$91,$52,$3,$55,$13,$0,$0,$3,$-2,$143,$-48,$0,$-16,$-16,$-3,$-19,$0,$-83,$0,$25,$25,$-38,$-38,$-29,$-4,$-46,$12,$11,$-29
9,2016-06-30,79.81,$14.85,5.37,$17.99,4.44,$8.70,9.17,$3.01,26.52,$0.41B,$0.33B,1.25,$0.00B,$0.64B,0.0,$0.79B,$0.45B,56.93%,$0.79B,$0.18B,23.13%,$0.79B,$0.18B,23.13%,$0.79B,$0.25B,31.89%,$0.79B,$0.19B,24.14%,$0.79B,$0.13B,16.77%,$0.13B,$0.64B,20.38%,$0.13B,$0.20B,63.23%,$0.13B,$1.05B,12.76%,$0.18B,$0.64B,28.10%,$198,$86,$112,$0,$50,$154,$44,$3,$47,$15,$32,$32,$32,$62,$44,$43,43,$0.74,$0.73,$246,$0,$26,$409,$141,$51,$442,$10,$643,$1052,$329,$0,$40,$84,$413,$0,$781,$-62,$639,$1052,$61,$34,$4,$38,$1,$0,$0,$10,$-16,$83,$-29,$0,$-16,$-16,$-2,$-19,$0,$-64,$0,$40,$40,$-38,$-38,$-19,$-4,$-22,$-5,$8,$-19
