,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,29.15,$26.23,1.11,$10.75,2.71,$1.17,24.94,$0.74,39.39,$1.63B,$1.77B,0.92,$0.05B,$0.22B,0.21,$0.07B,$0.06B,84.62%,$0.07B,$0.02B,23.08%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.01B,15.38%,$0.07B,$0.01B,10.77%,$0.01B,$0.22B,4.84%,$0.01B,$0.15B,6.26%,$0.01B,$2.04B,0.47%,$0.02B,$0.27B,8.43%,$22,$4,$18,$0,$12,$16,$6,$-3,$3,$1,$2,$2,$2,$0,$0,$8,8,$0.28,$0.28,$62,$0,$0,$1632,$25,$285,$70,$27,$412,$2044,$1766,$45,$11,$56,$1822,$8,$36,$-4,$222,$2044,$6,$3,$4,$7,$-2,$0,$1,$-5,$-6,$6,$-8,$0,$73,$0,$89,$89,$-75,$79,$-67,$0,$-67,$0,$0,$-3,$24,$-46,$39,$0,$-3
1,2018-06-30,34.73,$23.15,1.5,$10.93,3.18,$3.13,11.1,$1.27,27.35,$1.07B,$1.24B,0.87,$0.03B,$0.14B,0.21,$0.06B,$0.05B,85.71%,$0.06B,$0.01B,21.43%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,17.86%,$0.06B,$0.01B,12.50%,$0.01B,$0.14B,6.45%,$0.01B,$0.11B,7.59%,$0.01B,$1.42B,0.55%,$0.01B,$0.17B,8.84%,$15,$2,$13,$0,$9,$12,$3,$-0,$3,$0,$3,$3,$3,$0,$0,$6,6,$0.45,$0.45,$39,$0,$0,$1074,$24,$268,$28,$19,$341,$1416,$1238,$30,$7,$36,$1274,$6,$35,$-3,$142,$1416,$4,$2,$2,$4,$0,$0,$1,$-3,$-3,$5,$-7,$0,$65,$0,$42,$42,$-56,$45,$-0,$-35,$-35,$0,$0,$-2,$3,$-34,$16,$0,$-2
2,2018-03-31,31.67,$22.72,1.39,$11.32,2.8,$4.83,6.55,$1.37,23.11,$1.07B,$1.21B,0.88,$0.03B,$0.14B,0.21,$0.05B,$0.05B,86.79%,$0.05B,$0.01B,22.64%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,18.87%,$0.05B,$0.01B,11.32%,$0.01B,$0.14B,6.52%,$0.01B,$0.11B,7.36%,$0.01B,$1.39B,0.50%,$0.01B,$0.17B,10.23%,$15,$2,$13,$0,$9,$12,$3,$-2,$1,$0,$1,$1,$1,$0,$0,$6,6,$0.17,$0.17,$59,$0,$0,$1065,$20,$256,$28,$18,$326,$1391,$1213,$30,$9,$39,$1252,$6,$34,$-4,$139,$1391,$1,$1,$-1,$0,$0,$0,$0,$1,$2,$3,$-3,$0,$65,$0,$54,$54,$-27,$90,$-0,$-35,$-35,$0,$0,$-1,$-21,$-57,$36,$0,$-1
3,2017-12-31,32.8,$17.83,1.84,$11.71,2.8,$5.89,5.57,$1.67,19.64,$0.93B,$1.06B,0.88,$0.03B,$0.08B,0.39,$0.05B,$0.04B,88.00%,$0.05B,$0.01B,24.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,24.00%,$0.05B,$0.01B,14.00%,$0.01B,$0.08B,9.30%,$0.01B,$0.07B,9.89%,$0.01B,$1.17B,0.62%,$0.01B,$0.11B,12.21%,$13,$2,$11,$0,$8,$10,$3,$-0,$3,$2,$1,$1,$1,$0,$0,$4,4,$0.12,$0.12,$24,$0,$0,$932,$16,$199,$4,$17,$238,$1170,$1059,$30,$6,$36,$1095,$4,$33,$-2,$76,$1170,$7,$3,$2,$5,$0,$0,$0,$-1,$-0,$12,$-5,$0,$0,$0,$-63,$-63,$-97,$-164,$9,$35,$43,$0,$0,$-2,$88,$129,$-22,$0,$-2
4,2017-09-30,28.79,$18.25,1.58,$11.66,2.47,$9.37,3.07,$2.04,14.11,$0.93B,$1.05B,0.89,$0.02B,$0.08B,0.27,$0.05B,$0.04B,89.80%,$0.05B,$0.01B,24.49%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,24.49%,$0.05B,$0.01B,16.33%,$0.01B,$0.08B,10.85%,$0.01B,$0.07B,11.51%,$0.01B,$1.15B,0.73%,$0.01B,$0.10B,12.66%,$13,$2,$11,$0,$8,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.53,$0.53,$56,$0,$0,$932,$14,$183,$4,$18,$221,$1153,$1048,$21,$8,$28,$1076,$4,$33,$-1,$77,$1153,$7,$0,$1,$2,$-0,$0,$0,$1,$1,$9,$-2,$0,$0,$0,$-43,$-43,$-63,$-109,$20,$0,$20,$0,$0,$-2,$91,$110,$10,$0,$-2
5,2017-06-30,26.31,$17.86,1.47,$11.39,2.31,$12.37,2.13,$1.96,13.42,$0.89B,$1.01B,0.88,$0.02B,$0.08B,0.28,$0.05B,$0.04B,89.58%,$0.05B,$0.01B,22.92%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,22.92%,$0.05B,$0.01B,16.67%,$0.01B,$0.08B,10.92%,$0.01B,$0.07B,11.59%,$0.01B,$1.11B,0.75%,$0.01B,$0.10B,11.67%,$12,$1,$11,$0,$8,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.55,$0.55,$29,$0,$0,$890,$11,$186,$4,$16,$222,$1112,$1010,$21,$6,$27,$1036,$4,$32,$-1,$76,$1112,$4,$0,$0,$0,$-0,$0,$0,$0,$-0,$5,$1,$0,$0,$0,$-47,$-47,$-48,$-94,$-0,$21,$21,$0,$0,$-1,$52,$72,$-17,$0,$-1
6,2017-03-31,26.43,$17.08,1.55,$11.16,2.37,$15.54,1.7,$1.89,13.98,$0.87B,$0.97B,0.89,$0.02B,$0.07B,0.29,$0.05B,$0.04B,89.36%,$0.05B,$0.01B,23.40%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,23.40%,$0.05B,$0.01B,17.02%,$0.01B,$0.07B,11.00%,$0.01B,$0.07B,11.64%,$0.01B,$1.07B,0.77%,$0.01B,$0.09B,11.22%,$12,$1,$11,$0,$8,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.47,$0.47,$36,$0,$0,$868,$11,$169,$4,$16,$205,$1073,$973,$21,$7,$28,$1001,$4,$30,$-2,$72,$1073,$2,$-1,$0,$-1,$-0,$0,$0,$2,$2,$3,$1,$0,$0,$0,$-33,$-33,$-20,$-52,$-0,$0,$-0,$0,$0,$-1,$37,$36,$-13,$0,$-1
7,2016-12-31,22.99,$16.65,1.38,$10.91,2.11,$16.18,1.42,$1.85,12.43,$0.86B,$0.94B,0.92,$0.02B,$0.07B,0.3,$0.05B,$0.04B,89.13%,$0.05B,$0.01B,21.74%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,21.74%,$0.05B,$0.01B,17.39%,$0.01B,$0.07B,11.03%,$0.01B,$0.07B,11.68%,$0.01B,$1.03B,0.79%,$0.01B,$0.09B,9.57%,$12,$1,$11,$0,$8,$10,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.49,$0.49,$46,$0,$0,$859,$13,$136,$4,$16,$174,$1033,$936,$21,$5,$26,$962,$4,$28,$-3,$70,$1033,$8,$13,$1,$14,$-0,$0,$0,$-0,$-0,$22,$0,$0,$0,$0,$-14,$-14,$-73,$-87,$-27,$-32,$-58,$0,$0,$-2,$158,$98,$33,$0,$-2
8,2016-09-30,18.61,$17.74,1.05,$10.49,1.77,$13.91,1.34,$1.71,10.88,$0.83B,$0.94B,0.89,$0.02B,$0.08B,0.28,$0.04B,$0.04B,88.64%,$0.04B,$0.01B,20.45%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.45%,$0.04B,$0.01B,15.91%,$0.01B,$0.08B,9.66%,$0.01B,$0.07B,10.26%,$0.01B,$1.04B,0.71%,$0.01B,$0.10B,8.09%,$12,$1,$10,$0,$8,$9,$2,$-0,$2,$1,$2,$2,$2,$0,$0,$4,4,$0.45,$0.45,$44,$0,$0,$832,$13,$176,$4,$16,$211,$1043,$939,$21,$8,$29,$968,$4,$27,$3,$75,$1043,$6,$10,$1,$11,$-0,$0,$0,$3,$3,$20,$0,$0,$0,$0,$-42,$-42,$-48,$-90,$-58,$0,$-58,$0,$0,$-2,$161,$101,$30,$0,$-2
9,2016-06-30,15.08,$17.61,0.86,$10.23,1.47,$11.48,1.31,$1.69,8.93,$0.81B,$0.89B,0.9,$0.04B,$0.07B,0.51,$0.04B,$0.04B,90.48%,$0.04B,$0.01B,21.43%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,21.43%,$0.04B,$0.01B,16.67%,$0.01B,$0.07B,9.62%,$0.01B,$0.07B,10.26%,$0.01B,$1.01B,0.73%,$0.01B,$0.11B,7.56%,$11,$1,$10,$0,$7,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.48,$0.48,$42,$0,$0,$808,$13,$170,$5,$16,$205,$1013,$894,$38,$7,$44,$938,$4,$26,$4,$74,$1013,$4,$12,$1,$13,$-0,$0,$0,$2,$2,$19,$0,$0,$0,$0,$-38,$-38,$-27,$-64,$-10,$-32,$-42,$0,$0,$-1,$116,$73,$28,$0,$-1
