,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,106.44,$17.15,6.21,$34.55,3.08,$11.65,9.13,$1.67,63.74,$0.67B,$0.31B,2.19,$0.37B,$0.66B,0.56,$1.34B,$0.61B,45.08%,$1.34B,$0.10B,7.60%,$1.34B,$0.10B,7.60%,$1.34B,$0.14B,10.51%,$1.34B,$0.09B,6.48%,$1.34B,$0.07B,4.92%,$0.07B,$0.66B,10.38%,$0.07B,$0.07B,184.62%,$0.07B,$1.65B,3.95%,$0.10B,$1.03B,9.70%,$331,$183,$148,$13,$78,$291,$40,$-2,$38,$4,$34,$34,$34,$49,$40,$38,39,$0.88,$0.86,$175,$184,$0,$673,$151,$0,$590,$0,$977,$1651,$308,$370,$136,$683,$991,$207,$925,$-183,$660,$1651,$100,$29,$86,$115,$1,$-36,$0,$-8,$-28,$186,$-15,$0,$0,$-57,$0,$-57,$0,$-72,$-81,$-0,$-81,$2,$2,$-43,$-3,$-124,$-19,$10,$-43
1,2018-06-30,95.98,$16.63,5.77,$33.72,2.85,$11.86,8.09,$1.64,58.52,$0.61B,$0.28B,2.15,$0.40B,$0.64B,0.64,$1.31B,$0.59B,45.07%,$1.31B,$0.10B,7.80%,$1.31B,$0.10B,7.80%,$1.31B,$0.14B,10.86%,$1.31B,$0.09B,6.66%,$1.31B,$0.06B,4.90%,$0.06B,$0.64B,10.22%,$0.06B,$0.04B,281.32%,$0.06B,$1.65B,3.86%,$0.10B,$1.04B,9.62%,$339,$185,$154,$14,$82,$293,$47,$-3,$43,$10,$33,$33,$33,$56,$47,$38,39,$0.86,$0.85,$117,$177,$0,$610,$149,$0,$595,$0,$1041,$1651,$283,$404,$148,$728,$1011,$204,$906,$-182,$639,$1651,$66,$19,$20,$40,$-2,$-29,$0,$5,$-40,$65,$-6,$0,$0,$0,$0,$0,$0,$-6,$-43,$0,$-42,$1,$1,$-28,$0,$-70,$-18,$8,$-28
2,2018-03-31,82.58,$16.74,4.93,$32.45,2.55,$13.96,5.91,$1.11,74.4,$0.63B,$0.27B,2.31,$0.44B,$0.64B,0.69,$1.26B,$0.57B,45.19%,$1.26B,$0.07B,5.41%,$1.26B,$0.07B,5.41%,$1.26B,$0.11B,8.59%,$1.26B,$0.06B,4.46%,$1.26B,$0.04B,3.50%,$0.04B,$0.64B,7.13%,$0.04B,$0.03B,76.19%,$0.04B,$1.70B,2.78%,$0.07B,$1.08B,6.73%,$326,$179,$147,$13,$80,$281,$44,$-2,$42,$10,$32,$32,$32,$54,$44,$38,39,$0.85,$0.83,$125,$171,$0,$632,$155,$0,$609,$0,$1063,$1696,$273,$441,$156,$781,$1055,$200,$888,$-156,$641,$1696,$32,$10,$10,$20,$-7,$-15,$0,$16,$-35,$17,$-3,$0,$0,$0,$0,$0,$0,$-3,$-10,$0,$-9,$-2,$-2,$-13,$0,$-25,$-9,$6,$-13
3,2017-12-31,76.55,$15.76,4.86,$30.93,2.47,$16.06,4.77,$0.65,117.77,$0.62B,$0.29B,2.15,$0.45B,$0.60B,0.75,$1.20B,$0.54B,45.20%,$1.20B,$0.04B,3.59%,$1.20B,$0.04B,3.59%,$1.20B,$0.08B,6.77%,$1.20B,$0.03B,2.51%,$1.20B,$0.03B,2.17%,$0.03B,$0.60B,4.33%,$0.03B,$-0.00B,28.42%,$0.03B,$1.69B,1.76%,$0.04B,$1.05B,4.52%,$346,$191,$156,$15,$74,$375,$-29,$-7,$-36,$-3,$-33,$-33,$-33,$-18,$-29,$38,39,$-0.87,$-0.85,$134,$154,$0,$622,$157,$0,$605,$0,$1063,$1685,$289,$448,$165,$793,$1082,$195,$869,$-172,$603,$1685,$27,$38,$127,$165,$-6,$-30,$0,$81,$39,$230,$-23,$0,$-216,$0,$0,$0,$0,$-239,$77,$0,$77,$1,$1,$-53,$-3,$23,$20,$12,$-53
4,2017-09-30,78.17,$16.34,4.78,$29.78,2.62,$14.06,5.56,$2.17,36.02,$0.58B,$0.27B,2.11,$0.45B,$0.62B,0.72,$1.15B,$0.52B,45.60%,$1.15B,$0.12B,10.46%,$1.15B,$0.12B,10.46%,$1.15B,$0.16B,13.51%,$1.15B,$0.11B,9.59%,$1.15B,$0.08B,7.32%,$0.08B,$0.62B,14.23%,$0.08B,$0.02B,64.62%,$0.08B,$1.60B,6.03%,$0.12B,$1.07B,13.03%,$296,$164,$132,$12,$73,$256,$40,$-2,$38,$5,$32,$32,$32,$50,$40,$38,39,$0.84,$0.83,$112,$160,$0,$577,$152,$0,$603,$0,$1019,$1595,$273,$446,$45,$701,$974,$189,$915,$-192,$621,$1595,$60,$28,$138,$166,$10,$-37,$0,$-10,$-36,$189,$-11,$0,$-214,$0,$0,$0,$0,$-225,$76,$0,$76,$-4,$-4,$-39,$-1,$32,$-2,$10,$-39
5,2017-06-30,79.39,$15.76,5.04,$29.43,2.7,$10.33,7.69,$1.97,40.3,$0.53B,$0.26B,2.02,$0.24B,$0.60B,0.41,$1.13B,$0.52B,46.06%,$1.13B,$0.12B,10.63%,$1.13B,$0.12B,10.63%,$1.13B,$0.15B,13.64%,$1.13B,$0.11B,9.74%,$1.13B,$0.08B,6.73%,$0.08B,$0.60B,13.17%,$0.08B,$0.18B,46.99%,$0.08B,$1.36B,5.63%,$0.12B,$0.84B,13.16%,$289,$156,$133,$12,$74,$275,$13,$-2,$12,$-1,$13,$13,$13,$22,$13,$38,39,$0.33,$0.32,$115,$131,$0,$532,$144,$0,$418,$0,$830,$1362,$263,$243,$52,$497,$760,$187,$897,$-200,$602,$1362,$27,$18,$43,$60,$-4,$-22,$0,$70,$59,$146,$-5,$0,$0,$0,$0,$0,$0,$-5,$-125,$0,$-125,$8,$8,$-26,$0,$-143,$1,$8,$-26
6,2017-03-31,68.83,$15.24,4.52,$29.80,2.31,$7.19,9.57,$2.42,28.44,$0.50B,$0.20B,2.45,$0.27B,$0.58B,0.47,$1.14B,$0.52B,46.04%,$1.14B,$0.16B,13.64%,$1.14B,$0.16B,13.64%,$1.14B,$0.19B,16.55%,$1.14B,$0.14B,12.50%,$1.14B,$0.09B,8.27%,$0.09B,$0.58B,16.65%,$0.09B,$0.17B,62.35%,$0.09B,$1.26B,6.89%,$0.16B,$0.85B,16.30%,$266,$146,$120,$11,$77,$247,$19,$-2,$16,$2,$15,$15,$14,$27,$19,$38,39,$0.38,$0.37,$104,$118,$0,$495,$144,$0,$411,$0,$763,$1258,$202,$269,$16,$478,$680,$182,$897,$-217,$578,$1258,$15,$9,$19,$28,$4,$-13,$0,$83,$54,$96,$-1,$0,$0,$0,$0,$0,$0,$-1,$-97,$0,$-96,$2,$2,$-12,$0,$-106,$-10,$6,$-12
7,2016-12-31,67.18,$14.87,4.52,$30.31,2.22,$4.70,14.29,$2.36,28.47,$0.47B,$0.22B,2.14,$0.36B,$0.56B,0.65,$1.15B,$0.52B,45.60%,$1.15B,$0.17B,14.36%,$1.15B,$0.17B,14.36%,$1.15B,$0.20B,17.32%,$1.15B,$0.15B,13.23%,$1.15B,$0.09B,8.01%,$0.09B,$0.56B,16.57%,$0.09B,$0.15B,66.91%,$0.09B,$1.35B,6.52%,$0.17B,$0.93B,16.63%,$296,$158,$138,$12,$78,$248,$48,$-3,$44,$19,$25,$25,$25,$56,$48,$37,38,$0.67,$0.66,$114,$103,$0,$473,$149,$0,$410,$0,$881,$1354,$221,$364,$15,$571,$793,$173,$901,$-230,$561,$1354,$94,$35,$25,$61,$13,$14,$0,$13,$-20,$135,$-7,$0,$-18,$0,$0,$0,$0,$-26,$-61,$0,$-61,$11,$11,$-49,$1,$-98,$8,$9,$-49
8,2016-09-30,55.93,$15.10,3.7,$30.81,1.82,$2.06,27.18,$2.26,24.75,$0.53B,$0.19B,2.75,$0.47B,$0.56B,0.83,$1.17B,$0.52B,44.51%,$1.17B,$0.15B,12.69%,$1.17B,$0.15B,12.69%,$1.17B,$0.18B,15.69%,$1.17B,$0.14B,11.58%,$1.17B,$0.09B,7.55%,$0.09B,$0.57B,16.17%,$0.09B,$0.15B,72.43%,$0.09B,$1.43B,6.16%,$0.15B,$1.03B,14.73%,$278,$149,$129,$13,$73,$238,$40,$-2,$38,$11,$26,$26,$24,$49,$40,$37,38,$0.64,$0.63,$106,$133,$0,$531,$150,$0,$422,$0,$897,$1428,$193,$465,$15,$668,$861,$166,$889,$-203,$567,$1428,$69,$27,$10,$36,$16,$-10,$0,$4,$-74,$31,$2,$0,$-18,$0,$0,$0,$0,$-16,$16,$0,$16,$4,$4,$-37,$-0,$-16,$0,$8,$-37
9,2016-06-30,50.32,$14.73,3.42,$30.77,1.64,$0.99,50.75,$2.05,24.54,$0.50B,$0.22B,2.31,$0.45B,$0.55B,0.82,$1.16B,$0.51B,43.89%,$1.16B,$0.13B,11.53%,$1.16B,$0.13B,11.53%,$1.16B,$0.17B,14.37%,$1.16B,$0.12B,10.41%,$1.16B,$0.08B,6.88%,$0.08B,$0.55B,14.99%,$0.08B,$0.14B,54.24%,$0.08B,$1.42B,5.65%,$0.13B,$1.00B,13.75%,$296,$160,$136,$11,$76,$248,$48,$-3,$44,$15,$29,$29,$31,$56,$48,$37,38,$0.83,$0.82,$103,$130,$0,$497,$152,$0,$413,$263,$919,$1416,$215,$447,$15,$649,$864,$164,$877,$-202,$552,$1416,$44,$18,$5,$23,$10,$-12,$0,$-13,$-54,$13,$6,$0,$0,$0,$0,$0,$0,$6,$-4,$0,$-3,$3,$3,$-24,$0,$-24,$-3,$7,$-24
