,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,15.4,$14.51,1.06,$6.21,2.48,$5.85,2.63,$-0.81,0.0,$1.25B,$1.57B,0.79,$0.00B,$0.20B,0.0,$0.10B,$0.09B,92.93%,$0.10B,$-0.02B,-19.19%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$-0.02B,-18.18%,$0.10B,$-0.02B,-18.18%,$-0.02B,$0.24B,-7.24%,$-0.02B,$0.20B,-8.85%,$-0.02B,$1.83B,-0.97%,$-0.02B,$0.24B,-7.49%,$24,$2,$22,$0,$28,$30,$-6,$0,$-6,$-1,$-5,$-5,$-6,$0,$0,$17,17,$-0.34,$-0.34,$303,$0,$0,$1248,$56,$434,$45,$44,$578,$1826,$1572,$0,$12,$12,$1585,$2,$38,$-7,$241,$1826,$-5,$6,$4,$11,$17,$0,$-0,$3,$20,$26,$-0,$0,$0,$0,$-40,$-40,$213,$173,$-76,$0,$-76,$1,$1,$-3,$29,$-49,$150,$0,$-0
1,2018-06-30,13.25,$14.96,0.89,$6.36,2.08,$5.47,2.42,$-0.76,0.0,$1.32B,$1.59B,0.83,$0.01B,$0.21B,0.05,$0.10B,$0.09B,93.07%,$0.10B,$-0.01B,-10.89%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$-0.01B,-9.90%,$0.10B,$-0.01B,-10.89%,$-0.01B,$0.25B,-4.31%,$-0.01B,$0.20B,-5.24%,$-0.01B,$1.86B,-0.58%,$-0.01B,$0.26B,-4.12%,$24,$2,$22,$0,$23,$25,$-1,$0,$-1,$-0,$-1,$-1,$-1,$0,$0,$17,17,$-0.09,$-0.09,$279,$0,$0,$1320,$57,$392,$45,$45,$539,$1859,$1588,$10,$13,$23,$1610,$2,$43,$-5,$249,$1859,$-0,$4,$2,$6,$17,$0,$-0,$1,$17,$23,$-0,$0,$0,$0,$5,$5,$121,$126,$-65,$0,$-65,$1,$1,$-2,$43,$-23,$126,$-0,$-0
2,2018-03-31,12.64,$15.09,0.84,$6.98,1.81,$5.09,2.49,$-1.18,0.0,$1.33B,$1.59B,0.84,$0.01B,$0.21B,0.05,$0.10B,$0.10B,93.14%,$0.10B,$-0.02B,-18.63%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$-0.02B,-17.65%,$0.10B,$-0.02B,-15.69%,$-0.02B,$0.25B,-6.18%,$-0.02B,$0.21B,-7.53%,$-0.02B,$1.86B,-0.84%,$-0.02B,$0.26B,-6.94%,$24,$2,$22,$0,$22,$24,$0,$0,$0,$-0,$0,$0,$-0,$0,$0,$16,17,$-0.03,$-0.03,$211,$0,$0,$1332,$58,$380,$45,$42,$525,$1858,$1587,$10,$10,$20,$1607,$2,$45,$-5,$251,$1858,$0,$2,$2,$4,$16,$0,$-0,$-0,$16,$20,$-0,$0,$0,$0,$18,$18,$44,$62,$-47,$0,$-47,$0,$0,$-1,$24,$-23,$59,$-0,$-0
3,2017-12-31,13.23,$15.35,0.86,$7.71,1.72,$4.56,2.9,$-1.00,0.0,$1.33B,$1.62B,0.82,$0.00B,$0.21B,0.0,$0.10B,$0.10B,93.20%,$0.10B,$-0.02B,-15.53%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$-0.02B,-14.56%,$0.10B,$-0.01B,-13.59%,$-0.01B,$0.25B,-5.60%,$-0.01B,$0.21B,-6.87%,$-0.01B,$1.88B,-0.73%,$-0.02B,$0.25B,-5.95%,$27,$1,$26,$0,$38,$39,$-12,$0,$-11,$-1,$-11,$-11,$-11,$0,$0,$14,14,$-0.75,$-0.75,$153,$0,$0,$1334,$59,$402,$46,$40,$548,$1881,$1619,$0,$8,$8,$1627,$2,$46,$-2,$254,$1881,$-12,$8,$38,$46,$-1,$0,$-0,$-8,$-8,$26,$-2,$0,$0,$0,$47,$47,$51,$96,$-2,$0,$-2,$58,$58,$-7,$-100,$-52,$71,$0,$-4
4,2017-09-30,12.02,$16.17,0.74,$8.00,1.5,$4.73,2.54,$-0.19,0.0,$1.38B,$1.65B,0.84,$0.03B,$0.23B,0.11,$0.10B,$0.09B,92.08%,$0.10B,$-0.00B,-1.98%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$-0.00B,-0.99%,$0.10B,$-0.00B,-1.98%,$-0.00B,$0.27B,-0.83%,$-0.00B,$0.22B,-1.03%,$-0.00B,$1.95B,-0.10%,$-0.00B,$0.29B,-0.75%,$26,$2,$24,$0,$22,$24,$2,$0,$2,$1,$2,$2,$1,$0,$0,$16,16,$0.05,$0.05,$163,$0,$0,$1382,$65,$422,$46,$32,$565,$1947,$1645,$25,$9,$34,$1679,$2,$57,$1,$268,$1947,$-1,$6,$20,$27,$-0,$0,$-0,$-3,$-3,$22,$-3,$0,$0,$0,$32,$32,$29,$58,$-27,$0,$-27,$58,$58,$-6,$-24,$1,$81,$0,$-4
5,2017-06-30,11.71,$16.32,0.72,$8.62,1.36,$5.01,2.34,$-0.10,0.0,$1.35B,$1.65B,0.82,$0.03B,$0.22B,0.11,$0.10B,$0.09B,92.00%,$0.10B,$-0.00B,-1.00%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.00B,0.00%,$0.10B,$-0.00B,-1.00%,$-0.00B,$0.26B,-0.44%,$-0.00B,$0.22B,-0.55%,$-0.00B,$1.95B,-0.05%,$-0.00B,$0.29B,-0.40%,$25,$2,$23,$0,$32,$34,$-9,$0,$-9,$-3,$-5,$-5,$-6,$0,$0,$12,12,$-0.51,$-0.51,$131,$0,$0,$1354,$66,$448,$46,$32,$591,$1946,$1649,$25,$10,$35,$1684,$2,$56,$1,$262,$1946,$-3,$4,$15,$19,$0,$0,$0,$-3,$-3,$13,$-1,$0,$0,$0,$8,$8,$29,$35,$-4,$0,$-4,$52,$52,$-4,$-44,$1,$49,$0,$-2
6,2017-03-31,15.14,$18.98,0.8,$8.74,1.73,$5.50,2.75,$0.56,27.03,$1.33B,$1.69B,0.79,$0.03B,$0.18B,0.15,$0.10B,$0.09B,92.93%,$0.10B,$0.01B,12.12%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,13.13%,$0.10B,$0.01B,7.07%,$0.01B,$0.22B,3.23%,$0.01B,$0.17B,4.12%,$0.01B,$1.94B,0.36%,$0.01B,$0.24B,4.95%,$25,$1,$23,$0,$20,$21,$3,$0,$3,$1,$2,$2,$2,$0,$0,$11,11,$0.15,$0.15,$78,$0,$0,$1333,$68,$460,$47,$26,$602,$1935,$1685,$25,$9,$34,$1719,$1,$64,$-0,$216,$1935,$2,$2,$3,$5,$0,$0,$-0,$1,$1,$8,$-1,$0,$0,$0,$-8,$-8,$10,$1,$-5,$0,$-5,$0,$0,$-2,$-6,$-13,$-4,$0,$-1
7,2016-12-31,13.37,$18.87,0.71,$8.71,1.53,$5.40,2.48,$0.58,23.05,$1.35B,$1.70B,0.8,$0.03B,$0.17B,0.15,$0.10B,$0.09B,93.88%,$0.10B,$0.01B,12.24%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,13.27%,$0.10B,$0.01B,7.14%,$0.01B,$0.21B,3.23%,$0.01B,$0.17B,4.13%,$0.01B,$1.94B,0.36%,$0.01B,$0.24B,4.95%,$25,$1,$23,$0,$21,$23,$2,$0,$3,$1,$2,$2,$1,$0,$0,$11,11,$0.12,$0.12,$82,$0,$0,$1350,$69,$451,$47,$27,$594,$1943,$1696,$25,$7,$33,$1729,$1,$63,$-1,$214,$1943,$9,$8,$10,$18,$-1,$0,$-0,$1,$0,$27,$-6,$0,$0,$0,$-8,$-8,$-26,$-40,$-17,$0,$-17,$0,$0,$-6,$29,$6,$-7,$0,$-4
8,2016-09-30,10.16,$19.20,0.53,$8.59,1.18,$5.57,1.82,$0.61,16.65,$1.38B,$1.70B,0.81,$0.03B,$0.18B,0.14,$0.10B,$0.09B,94.85%,$0.10B,$0.01B,12.37%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,13.40%,$0.10B,$0.01B,8.25%,$0.01B,$0.22B,3.70%,$0.01B,$0.17B,4.74%,$0.01B,$1.95B,0.41%,$0.01B,$0.24B,5.09%,$25,$1,$23,$0,$20,$21,$3,$0,$3,$1,$2,$2,$2,$0,$0,$11,11,$0.14,$0.14,$127,$0,$0,$1383,$70,$431,$47,$23,$571,$1954,$1703,$26,$8,$33,$1736,$1,$63,$3,$218,$1954,$7,$6,$8,$14,$-1,$0,$-0,$1,$1,$22,$-5,$0,$0,$0,$20,$20,$-13,$2,$-16,$0,$-16,$0,$0,$-4,$34,$14,$37,$0,$-3
9,2016-06-30,9.71,$19.18,0.51,$8.52,1.14,$5.82,1.67,$0.68,14.29,$1.35B,$1.67B,0.81,$0.03B,$0.18B,0.15,$0.10B,$0.09B,95.88%,$0.10B,$0.01B,13.40%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,14.43%,$0.10B,$0.01B,8.25%,$0.01B,$0.22B,3.72%,$0.01B,$0.17B,4.78%,$0.01B,$1.92B,0.41%,$0.01B,$0.24B,5.54%,$24,$1,$23,$0,$19,$21,$4,$0,$4,$1,$2,$2,$2,$0,$0,$11,11,$0.15,$0.15,$99,$0,$0,$1346,$68,$439,$47,$22,$576,$1923,$1668,$26,$11,$37,$1705,$1,$62,$4,$218,$1923,$5,$4,$5,$9,$0,$0,$-0,$5,$5,$19,$-2,$0,$0,$0,$12,$12,$-1,$9,$-25,$0,$-25,$0,$0,$-3,$9,$-19,$9,$0,$-2
