,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,13.31,$9.64,1.38,$2.85,4.67,$2.95,4.52,$1.43,9.31,$0.36B,$1.13B,0.32,$0.83B,$3.49B,0.24,$1.11B,$0.96B,86.49%,$1.11B,$0.95B,85.41%,$1.11B,$0.95B,85.41%,$1.11B,$1.01B,90.81%,$1.11B,$0.90B,80.63%,$1.11B,$0.54B,48.65%,$0.54B,$3.49B,16.38%,$0.54B,$3.49B,16.38%,$0.54B,$5.66B,9.61%,$0.95B,$4.32B,22.96%,$290,$42,$248,$0,$3,$45,$245,$-13,$232,$50,$182,$182,$182,$259,$245,$362,383,$0.50,$0.49,$267,$0,$0,$355,$50,$5026,$0,$96,$5302,$5657,$1129,$831,$208,$1039,$2168,$371,$1490,$-129,$3490,$5657,$512,$45,$147,$192,$-9,$0,$15,$-264,$-334,$384,$-11,$0,$0,$0,$-141,$-141,$44,$-108,$0,$0,$0,$-100,$-100,$0,$-8,$-108,$167,$0,$0
1,2018-06-30,10.72,$9.15,1.17,$2.78,3.85,$2.60,4.13,$1.26,8.51,$0.29B,$1.22B,0.24,$0.83B,$3.31B,0.25,$1.09B,$0.91B,83.76%,$1.09B,$0.90B,82.66%,$1.09B,$0.90B,82.66%,$1.09B,$0.96B,88.26%,$1.09B,$0.85B,77.71%,$1.09B,$0.48B,43.85%,$0.48B,$3.31B,14.90%,$0.48B,$3.31B,14.90%,$0.48B,$5.59B,8.50%,$0.90B,$4.15B,22.31%,$282,$28,$254,$0,$3,$31,$251,$-13,$238,$51,$187,$187,$187,$266,$251,$369,389,$0.51,$0.49,$192,$0,$0,$288,$49,$4981,$0,$93,$5304,$5592,$1219,$831,$228,$1059,$2278,$371,$1308,$-117,$3314,$5592,$330,$31,$95,$126,$-14,$0,$13,$-174,$-185,$263,$-8,$0,$0,$0,$-68,$-68,$13,$-62,$0,$0,$0,$-100,$-100,$0,$-8,$-108,$92,$0,$0
2,2018-03-31,13.0,$8.70,1.49,$2.73,4.77,$2.24,5.81,$1.08,12.04,$0.28B,$1.32B,0.21,$0.83B,$3.23B,0.26,$1.07B,$0.86B,79.93%,$1.07B,$0.85B,78.90%,$1.07B,$0.85B,78.90%,$1.07B,$0.91B,84.69%,$1.07B,$0.79B,73.76%,$1.07B,$0.41B,38.28%,$0.41B,$3.23B,13.11%,$0.41B,$3.23B,13.11%,$0.41B,$5.62B,7.29%,$0.85B,$4.06B,21.35%,$266,$70,$196,$0,$3,$73,$193,$-13,$180,$36,$144,$144,$144,$209,$193,$371,392,$0.39,$0.38,$177,$0,$0,$279,$48,$4982,$0,$75,$5337,$5616,$1322,$831,$232,$1063,$2385,$371,$1121,$-108,$3231,$5616,$144,$16,$40,$56,$-1,$0,$5,$-61,$-60,$134,$-5,$0,$0,$0,$-43,$-43,$0,$-48,$0,$0,$0,$0,$0,$0,$-8,$-8,$78,$0,$0
3,2017-12-31,14.11,$8.51,1.66,$2.70,5.24,$2.09,6.75,$0.94,15.01,$0.21B,$1.38B,0.15,$0.83B,$3.16B,0.26,$1.07B,$0.85B,79.92%,$1.07B,$0.84B,78.99%,$1.07B,$0.84B,78.99%,$1.07B,$0.91B,84.90%,$1.07B,$0.78B,73.55%,$1.07B,$0.36B,33.40%,$0.36B,$3.16B,11.94%,$0.36B,$3.16B,11.94%,$0.36B,$5.62B,6.25%,$0.84B,$3.99B,21.39%,$272,$9,$262,$0,$3,$13,$259,$-13,$245,$218,$27,$27,$27,$274,$259,$362,395,$0.08,$0.08,$100,$0,$0,$206,$45,$5037,$0,$78,$5413,$5619,$1379,$830,$256,$1086,$2465,$371,$977,$-44,$3155,$5619,$356,$64,$355,$419,$-27,$0,$63,$-455,$-370,$407,$-16,$0,$0,$0,$-288,$-288,$0,$-304,$-150,$0,$-150,$0,$0,$0,$-8,$-159,$-56,$0,$0
4,2017-09-30,12.53,$8.45,1.48,$2.62,4.77,$1.60,7.85,$1.15,10.9,$0.36B,$1.48B,0.24,$0.83B,$3.13B,0.27,$1.06B,$0.77B,72.67%,$1.06B,$0.76B,71.72%,$1.06B,$0.76B,71.72%,$1.06B,$0.83B,77.85%,$1.06B,$0.70B,66.07%,$1.06B,$0.44B,41.09%,$0.44B,$3.13B,15.40%,$0.44B,$3.13B,15.40%,$0.44B,$5.68B,7.61%,$0.76B,$3.96B,19.65%,$270,$70,$201,$0,$3,$73,$198,$-13,$184,$64,$120,$120,$120,$213,$198,$371,391,$0.32,$0.32,$251,$0,$0,$355,$43,$4760,$0,$82,$5321,$5676,$1476,$830,$240,$1070,$2546,$371,$939,$-26,$3130,$5676,$328,$49,$166,$214,$-19,$0,$41,$-333,$-275,$256,$-12,$0,$0,$0,$6,$6,$4,$-3,$-150,$0,$-150,$0,$0,$0,$-8,$-159,$95,$0,$0
5,2017-06-30,11.2,$8.08,1.39,$2.61,4.3,$1.33,8.44,$0.97,11.55,$0.23B,$1.54B,0.15,$0.83B,$3.00B,0.28,$1.07B,$0.75B,69.95%,$1.07B,$0.74B,69.11%,$1.07B,$0.74B,69.11%,$1.07B,$0.80B,75.21%,$1.07B,$0.60B,56.43%,$1.07B,$0.37B,35.02%,$0.37B,$3.00B,13.85%,$0.37B,$3.00B,13.85%,$0.37B,$5.60B,6.46%,$0.74B,$3.83B,19.25%,$263,$66,$197,$0,$3,$68,$195,$-14,$181,$62,$119,$119,$119,$211,$195,$367,394,$0.32,$0.31,$128,$0,$0,$230,$42,$4752,$0,$75,$5370,$5600,$1539,$830,$236,$1066,$2605,$371,$819,$-37,$2995,$5600,$208,$33,$106,$140,$-11,$0,$22,$-252,$-207,$126,$-10,$0,$0,$0,$12,$12,$3,$5,$-150,$0,$-150,$0,$0,$0,$-8,$-158,$-28,$0,$0
6,2017-03-31,10.13,$7.75,1.31,$2.53,4.0,$1.15,8.81,$0.92,11.01,$0.53B,$1.67B,0.32,$1.33B,$2.65B,0.5,$1.07B,$0.73B,68.48%,$1.07B,$0.72B,67.54%,$1.07B,$0.72B,67.54%,$1.07B,$0.78B,73.55%,$1.07B,$0.59B,54.88%,$1.07B,$0.36B,34.05%,$0.36B,$2.65B,14.11%,$0.36B,$2.65B,14.11%,$0.36B,$5.90B,6.24%,$0.72B,$3.98B,19.17%,$261,$68,$192,$0,$2,$71,$190,$-16,$174,$84,$90,$90,$90,$207,$190,$341,402,$0.26,$0.24,$427,$0,$0,$531,$38,$4693,$0,$71,$5373,$5904,$1672,$1329,$255,$1584,$3256,$360,$723,$-63,$2648,$5904,$90,$17,$49,$66,$-4,$0,$8,$-103,$-65,$77,$-4,$0,$0,$0,$46,$46,$10,$52,$150,$0,$150,$0,$0,$0,$-8,$142,$272,$0,$0
7,2016-12-31,10.19,$7.48,1.36,$2.48,4.11,$0.97,10.49,$0.85,11.99,$0.26B,$1.77B,0.15,$1.18B,$2.55B,0.46,$1.06B,$0.67B,63.16%,$1.06B,$0.66B,62.22%,$1.06B,$0.66B,62.22%,$1.06B,$0.72B,67.95%,$1.06B,$0.52B,48.40%,$1.06B,$0.34B,32.14%,$0.34B,$2.55B,13.70%,$0.34B,$2.55B,13.70%,$0.34B,$5.74B,5.92%,$0.66B,$3.73B,18.27%,$267,$85,$181,$0,$3,$88,$178,$-16,$162,$55,$107,$107,$107,$195,$178,$343,432,$0.32,$0.29,$155,$0,$0,$263,$36,$4736,$0,$73,$5471,$5735,$1769,$1179,$238,$1417,$3186,$359,$633,$-75,$2549,$5735,$343,$61,$244,$305,$-31,$0,$50,$-458,$-439,$225,$-11,$0,$0,$0,$-83,$-83,$0,$-93,$56,$0,$56,$-147,$-147,$0,$-66,$-157,$-26,$0,$0
8,2016-09-30,8.0,$7.48,1.07,$2.42,3.31,$0.81,9.87,$0.81,9.88,$0.37B,$1.86B,0.2,$1.18B,$2.58B,0.46,$1.06B,$0.62B,58.77%,$1.06B,$0.61B,57.82%,$1.06B,$0.61B,57.82%,$1.06B,$0.67B,63.41%,$1.06B,$0.46B,43.79%,$1.06B,$0.34B,31.94%,$0.34B,$2.58B,13.93%,$0.34B,$2.58B,13.93%,$0.34B,$5.87B,5.80%,$0.61B,$3.76B,17.17%,$274,$99,$175,$0,$3,$101,$173,$-89,$84,$27,$57,$57,$57,$188,$173,$349,406,$0.16,$0.14,$275,$0,$0,$374,$32,$4768,$0,$80,$5499,$5873,$1857,$1178,$255,$1433,$3290,$359,$525,$30,$2583,$5873,$235,$44,$193,$237,$-17,$0,$41,$-360,$-335,$149,$-5,$0,$0,$0,$48,$48,$3,$46,$56,$0,$56,$-92,$-92,$0,$-65,$-101,$94,$0,$0
9,2016-06-30,5.95,$7.37,0.81,$2.32,2.57,$0.74,8.06,$2.45,2.43,$0.40B,$1.94B,0.21,$1.05B,$2.51B,0.42,$1.05B,$0.59B,56.33%,$1.05B,$0.58B,55.38%,$1.05B,$0.58B,55.38%,$1.05B,$0.64B,60.89%,$1.05B,$0.51B,48.05%,$1.05B,$1.10B,104.95%,$1.10B,$2.51B,47.75%,$1.10B,$2.51B,47.75%,$1.10B,$5.75B,18.86%,$0.58B,$3.56B,16.76%,$264,$82,$182,$0,$2,$84,$179,$-14,$165,$56,$109,$109,$109,$194,$179,$341,446,$0.32,$0.26,$301,$0,$0,$398,$31,$4606,$0,$77,$5347,$5745,$1941,$1048,$244,$1292,$3233,$341,$468,$45,$2512,$5745,$178,$28,$100,$128,$-10,$0,$28,$-261,$-242,$55,$-3,$0,$0,$0,$239,$239,$25,$261,$-176,$0,$-176,$0,$0,$0,$-20,$-196,$120,$0,$0
