,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,60.5,$26.51,2.28,$59.27,1.02,$3.22,18.77,$1.61,37.58,$0.41B,$0.13B,3.22,$0.02B,$0.54B,0.03,$1.22B,$0.24B,19.95%,$1.22B,$0.06B,4.93%,$1.22B,$0.06B,4.93%,$1.22B,$0.10B,7.96%,$1.22B,$0.06B,4.60%,$1.22B,$0.03B,2.79%,$0.03B,$0.54B,6.63%,$0.03B,$0.44B,8.22%,$0.03B,$0.79B,4.33%,$0.06B,$0.56B,11.37%,$297,$232,$65,$4,$39,$279,$19,$-1,$17,$-3,$20,$20,$20,$27,$19,$20,21,$0.99,$0.97,$54,$200,$0,$407,$254,$0,$98,$7,$381,$788,$127,$18,$17,$125,$252,$233,$571,$-97,$537,$788,$42,$27,$4,$31,$-10,$20,$0,$-22,$-23,$49,$-22,$0,$0,$0,$0,$0,$-5,$-27,$-1,$0,$-1,$0,$0,$-6,$-3,$-10,$12,$9,$-6
1,2018-06-30,54.06,$25.49,2.12,$59.30,0.91,$2.77,19.55,$1.10,49.14,$0.41B,$0.12B,3.48,$0.02B,$0.52B,0.04,$1.22B,$0.23B,19.18%,$1.22B,$0.05B,4.36%,$1.22B,$0.05B,4.36%,$1.22B,$0.10B,7.82%,$1.22B,$0.05B,4.12%,$1.22B,$0.02B,1.89%,$0.02B,$0.52B,4.54%,$0.02B,$0.42B,5.65%,$0.02B,$0.79B,2.94%,$0.05B,$0.53B,10.24%,$309,$247,$62,$4,$38,$294,$15,$-1,$14,$3,$11,$11,$11,$25,$15,$20,21,$0.55,$0.54,$43,$209,$0,$407,$257,$0,$99,$7,$379,$786,$117,$18,$19,$153,$270,$231,$554,$-99,$516,$786,$22,$19,$6,$25,$-12,$10,$0,$-1,$-17,$29,$-17,$0,$0,$0,$0,$0,$-3,$-21,$-1,$0,$-1,$0,$0,$-4,$-3,$-8,$1,$5,$-4
2,2018-03-31,50.87,$24.98,2.04,$58.83,0.86,$1.64,31.07,$0.92,55.29,$0.40B,$0.11B,3.49,$0.00B,$0.50B,0.01,$1.20B,$0.23B,18.80%,$1.20B,$0.05B,3.99%,$1.20B,$0.05B,3.99%,$1.20B,$0.09B,7.57%,$1.20B,$0.05B,3.74%,$1.20B,$0.02B,1.58%,$0.02B,$0.50B,3.77%,$0.02B,$0.41B,4.71%,$0.02B,$0.78B,2.42%,$0.05B,$0.51B,9.31%,$303,$245,$58,$4,$38,$290,$13,$-1,$12,$2,$11,$11,$11,$23,$13,$20,21,$0.52,$0.51,$20,$216,$0,$396,$257,$0,$100,$7,$381,$778,$114,$3,$35,$160,$274,$228,$545,$-101,$504,$778,$11,$9,$0,$10,$-9,$5,$0,$-9,$-29,$-8,$-8,$0,$0,$0,$0,$0,$-2,$-10,$-0,$0,$-0,$0,$0,$-2,$-2,$-5,$-22,$1,$-2
3,2017-12-31,48.33,$24.62,1.96,$55.89,0.86,$1.29,37.44,$0.56,86.31,$0.41B,$0.13B,3.23,$0.02B,$0.50B,0.04,$1.14B,$0.21B,18.51%,$1.14B,$0.04B,3.42%,$1.14B,$0.04B,3.42%,$1.14B,$0.08B,7.19%,$1.14B,$0.04B,3.16%,$1.14B,$0.01B,0.96%,$0.01B,$0.50B,2.19%,$0.01B,$0.39B,2.75%,$0.01B,$0.79B,1.41%,$0.04B,$0.51B,7.51%,$309,$251,$58,$4,$38,$296,$13,$1,$13,$22,$-8,$-8,$-8,$22,$13,$20,20,$-0.42,$-0.41,$42,$220,$0,$411,$256,$0,$101,$7,$380,$791,$127,$19,$20,$169,$296,$223,$536,$-103,$495,$791,$11,$44,$24,$68,$-18,$-9,$0,$-18,$-11,$68,$-25,$0,$-17,$0,$0,$0,$-2,$-43,$-2,$0,$-2,$-1,$-1,$-8,$-5,$-15,$10,$5,$-8
4,2017-09-30,42.83,$25.54,1.68,$52.36,0.82,$1.31,32.73,$1.30,32.94,$0.39B,$0.11B,3.42,$0.00B,$0.51B,0.01,$1.07B,$0.20B,18.50%,$1.07B,$0.03B,2.82%,$1.07B,$0.03B,2.82%,$1.07B,$0.08B,7.04%,$1.07B,$0.03B,2.44%,$1.07B,$0.03B,2.44%,$0.03B,$0.51B,5.18%,$0.03B,$0.41B,6.49%,$0.03B,$0.78B,3.38%,$0.03B,$0.52B,5.82%,$294,$239,$55,$3,$36,$282,$12,$-1,$11,$2,$9,$9,$9,$25,$12,$20,20,$0.47,$0.46,$22,$220,$0,$387,$245,$0,$100,$6,$392,$779,$113,$3,$21,$154,$267,$220,$532,$-83,$512,$779,$20,$34,$9,$43,$-22,$-10,$0,$-14,$-27,$35,$-18,$0,$-17,$0,$0,$0,$-1,$-35,$-1,$0,$-1,$-1,$-1,$-6,$-3,$-11,$-9,$8,$-6
5,2017-06-30,37.02,$25.10,1.48,$50.31,0.74,$0.86,43.08,$1.24,29.86,$0.39B,$0.11B,3.56,$0.02B,$0.50B,0.05,$1.02B,$0.19B,18.90%,$1.02B,$0.03B,2.74%,$1.02B,$0.03B,2.74%,$1.02B,$0.07B,6.95%,$1.02B,$0.03B,2.45%,$1.02B,$0.03B,2.45%,$0.03B,$0.50B,5.02%,$0.03B,$0.40B,6.27%,$0.03B,$0.79B,3.28%,$0.03B,$0.53B,5.46%,$296,$241,$55,$4,$38,$286,$10,$-1,$9,$2,$7,$7,$7,$21,$10,$20,20,$0.37,$0.36,$18,$216,$0,$390,$250,$0,$102,$6,$399,$789,$110,$23,$20,$177,$286,$219,$524,$-84,$503,$789,$10,$21,$6,$28,$-31,$-6,$0,$-16,$-38,$0,$-11,$0,$-17,$0,$0,$0,$-1,$-28,$19,$2,$22,$-1,$-1,$-4,$-3,$14,$-13,$6,$-4
6,2017-03-31,33.12,$24.87,1.33,$48.12,0.69,$1.22,27.23,$1.15,28.8,$0.37B,$0.10B,3.78,$0.03B,$0.50B,0.05,$0.98B,$0.18B,18.77%,$0.98B,$0.02B,2.46%,$0.98B,$0.02B,2.46%,$0.98B,$0.07B,6.97%,$0.98B,$0.02B,2.15%,$0.98B,$0.02B,2.46%,$0.02B,$0.50B,4.84%,$0.02B,$0.39B,6.05%,$0.02B,$0.77B,3.19%,$0.02B,$0.52B,4.72%,$241,$198,$43,$3,$34,$237,$4,$-1,$3,$-0,$3,$3,$3,$14,$4,$20,20,$0.15,$0.15,$16,$219,$0,$365,$256,$0,$103,$6,$407,$771,$96,$25,$19,$178,$274,$217,$519,$-85,$497,$771,$3,$10,$2,$12,$-14,$-10,$0,$-8,$-32,$-17,$-6,$0,$-16,$0,$0,$0,$-0,$-23,$22,$6,$28,$-0,$-0,$-2,$-2,$24,$-15,$2,$-2
7,2016-12-31,39.0,$24.77,1.57,$47.95,0.81,$1.27,30.65,$1.27,30.71,$0.35B,$0.09B,3.82,$0.00B,$0.49B,0.01,$0.97B,$0.18B,18.87%,$0.97B,$0.03B,2.89%,$0.97B,$0.03B,2.89%,$0.97B,$0.07B,7.53%,$0.97B,$0.03B,2.58%,$0.97B,$0.03B,2.68%,$0.03B,$0.49B,5.27%,$0.03B,$0.40B,6.57%,$0.03B,$0.74B,3.47%,$0.03B,$0.50B,5.57%,$234,$190,$44,$3,$33,$231,$4,$-0,$3,$-4,$7,$7,$7,$15,$4,$20,20,$0.34,$0.33,$31,$201,$0,$345,$253,$0,$98,$6,$396,$741,$90,$4,$20,$157,$247,$213,$518,$-86,$494,$741,$26,$46,$-6,$40,$-4,$11,$0,$-7,$3,$68,$-26,$0,$-2,$0,$0,$0,$-10,$-37,$-1,$-8,$-10,$-4,$-4,$-7,$-2,$-23,$7,$3,$-7
8,2016-09-30,30.15,$25.08,1.2,$46.85,0.64,$2.19,13.77,$1.27,23.74,$0.36B,$0.10B,3.64,$0.00B,$0.50B,0.01,$0.95B,$0.18B,19.16%,$0.95B,$0.03B,3.37%,$0.95B,$0.03B,3.37%,$0.95B,$0.08B,8.00%,$0.95B,$0.03B,3.16%,$0.95B,$0.03B,2.74%,$0.03B,$0.50B,5.30%,$0.03B,$0.40B,6.62%,$0.03B,$0.75B,3.47%,$0.03B,$0.50B,6.40%,$250,$199,$51,$3,$34,$239,$10,$-0,$10,$2,$8,$8,$8,$21,$10,$20,20,$0.40,$0.40,$16,$210,$0,$359,$260,$0,$97,$5,$389,$748,$99,$4,$19,$150,$248,$212,$513,$-75,$500,$748,$19,$35,$2,$36,$-20,$3,$0,$-9,$-28,$27,$-19,$0,$0,$0,$0,$0,$-9,$-28,$-1,$4,$3,$-4,$-4,$-6,$-2,$-9,$-8,$3,$-6
9,2016-06-30,24.23,$24.68,0.98,$46.48,0.52,$2.79,8.69,$1.21,20.03,$0.36B,$0.10B,3.68,$0.01B,$0.49B,0.03,$0.94B,$0.18B,18.54%,$0.94B,$0.03B,3.50%,$0.94B,$0.03B,3.50%,$0.94B,$0.07B,7.84%,$0.94B,$0.03B,3.18%,$0.94B,$0.03B,2.65%,$0.03B,$0.49B,5.16%,$0.03B,$0.40B,6.49%,$0.03B,$0.75B,3.30%,$0.03B,$0.51B,6.59%,$250,$204,$45,$3,$32,$244,$6,$-1,$5,$-0,$6,$6,$6,$18,$6,$20,20,$0.28,$0.27,$21,$212,$0,$358,$265,$0,$98,$6,$396,$754,$97,$14,$19,$164,$261,$211,$507,$-77,$493,$754,$11,$24,$-0,$24,$-13,$1,$0,$-5,$-25,$10,$-13,$0,$0,$0,$0,$0,$-8,$-21,$9,$6,$15,$-3,$-3,$-4,$-1,$8,$-3,$2,$-4
