,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,9.38,$12.62,0.74,$1.13,8.33,$0.42,22.35,$-0.30,0.0,$0.35B,$0.01B,63.13,$0.11B,$0.24B,0.48,$0.02B,$0.02B,100.00%,$0.02B,$0.01B,22.73%,$0.02B,$0.02B,72.73%,$0.02B,$-0.00B,-13.64%,$0.02B,$0.01B,22.73%,$0.02B,$-0.01B,-54.55%,$-0.01B,$0.24B,-4.72%,$-0.01B,$0.24B,-4.72%,$-0.01B,$0.36B,-3.15%,$0.01B,$0.35B,1.36%,$6,$0,$6,$0,$1,$3,$3,$0,$3,$0,$3,$-6,$-6,$18,$5,$19,19,$-0.32,$-0.32,$345,$0,$0,$348,$0,$0,$0,$1,$9,$357,$6,$114,$0,$114,$119,$0,$125,$-43,$238,$357,$-8,$11,$-1,$11,$-1,$0,$0,$-45,$-45,$-43,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$1,$-25,$-25,$-8,$-4,$-37,$-79,$0,$-8
1,2018-04-30,9.76,$13.09,0.75,$1.12,8.71,$9.06,1.08,$0.76,12.85,$0.39B,$0.03B,12.2,$0.11B,$0.25B,0.46,$0.02B,$0.02B,100.00%,$0.02B,0,0.00%,$0.02B,$0.01B,47.83%,$0.02B,$0.07B,291.30%,$0.02B,0,0.00%,$0.02B,$0.02B,78.26%,$0.02B,$0.25B,6.67%,$0.02B,$0.25B,6.67%,$0.02B,$0.39B,4.51%,$0.00B,$0.36B,0.00%,$6,$0,$6,$0,$1,$4,$2,$0,$2,$0,$2,$-3,$-3,$7,$5,$19,19,$-0.18,$-0.18,$386,$0,$0,$388,$0,$0,$0,$0,$2,$391,$32,$112,$0,$112,$144,$0,$122,$-34,$246,$391,$-2,$-1,$3,$2,$-0,$0,$0,$-61,$-62,$-62,$0,$0,$0,$0,$0,$0,$0,$0,$1,$25,$26,$-25,$-25,$-5,$-4,$-9,$-70,$0,$-5
2,2018-01-31,10.18,$13.42,0.76,$1.00,10.16,$13.51,0.75,$1.08,9.43,$0.37B,$0.01B,41.18,$0.11B,$0.25B,0.44,$0.02B,$0.02B,100.00%,$0.02B,$-0.00B,-19.05%,$0.02B,$0.01B,28.57%,$0.02B,$0.06B,261.90%,$0.02B,$-0.00B,-19.05%,$0.02B,$0.02B,114.29%,$0.02B,$0.25B,8.61%,$0.02B,$0.25B,8.61%,$0.02B,$0.37B,5.90%,$-0.00B,$0.37B,-1.02%,$5,$0,$5,$0,$3,$8,$-2,$0,$-2,$0,$-2,$1,$1,$-3,$1,$20,20,$0.05,$0.05,$370,$0,$0,$372,$0,$0,$0,$0,$2,$374,$9,$112,$0,$112,$121,$0,$120,$-29,$253,$374,$1,$-3,$1,$-2,$-0,$0,$0,$-13,$-13,$-14,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$1,$-25,$-25,$-3,$-4,$-31,$-45,$0,$-3
3,2017-10-31,10.23,$13.24,0.77,$0.89,11.44,$15.36,0.67,$1.22,8.39,$0.40B,$0.01B,37.36,$0.11B,$0.28B,0.41,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-26.32%,$0.02B,$0.01B,26.32%,$0.02B,$0.06B,321.05%,$0.02B,$-0.01B,-26.32%,$0.02B,$0.03B,142.11%,$0.03B,$0.28B,9.45%,$0.03B,$0.28B,9.45%,$0.03B,$0.40B,6.44%,$-0.01B,$0.39B,-1.25%,$5,$0,$5,$0,$1,$3,$2,$0,$2,$-0,$2,$-4,$-4,$-25,$5,$22,22,$-0.17,$-0.17,$399,$0,$0,$401,$0,$0,$0,$0,$2,$403,$11,$113,$0,$113,$124,$0,$122,$-33,$279,$403,$27,$57,$-92,$-34,$2,$0,$0,$154,$156,$149,$0,$0,$0,$0,$0,$0,$0,$0,$-35,$0,$-35,$-15,$-15,$-12,$5,$-58,$91,$0,$-12
4,2017-07-31,9.8,$13.38,0.73,$0.89,11.05,$12.74,0.77,$1.62,6.05,$0.42B,$0.01B,34.78,$0.11B,$0.30B,0.37,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-36.84%,$0.02B,$0.00B,15.79%,$0.02B,$0.08B,410.53%,$0.02B,$-0.01B,-36.84%,$0.02B,$0.04B,189.47%,$0.04B,$0.30B,12.59%,$0.04B,$0.30B,12.59%,$0.04B,$0.43B,8.44%,$-0.01B,$0.42B,-1.76%,$7,$0,$7,$0,$7,$10,$-2,$0,$-2,$0,$-2,$24,$24,$88,$0,$23,23,$1.06,$1.06,$423,$0,$0,$424,$0,$0,$0,$0,$2,$427,$12,$113,$0,$113,$125,$0,$120,$-27,$302,$427,$31,$87,$-127,$-40,$2,$0,$0,$150,$152,$144,$0,$0,$0,$0,$0,$0,$0,$0,$-35,$0,$-35,$-0,$-0,$-9,$-0,$-44,$99,$0,$-9
5,2017-04-30,8.41,$12.45,0.68,$0.92,9.19,$10.02,0.84,$0.40,21.02,$0.42B,$0.03B,13.42,$0.11B,$0.28B,0.4,$0.02B,$0.02B,100.00%,$0.02B,$-0.00B,-5.00%,$0.02B,$0.01B,50.00%,$0.02B,$0.00B,20.00%,$0.02B,$-0.00B,-5.00%,$0.02B,$0.01B,40.00%,$0.01B,$0.28B,2.85%,$0.01B,$0.28B,2.85%,$0.01B,$0.42B,1.87%,$-0.00B,$0.39B,-0.25%,$4,$0,$4,$0,$4,$6,$-2,$0,$-2,$0,$-2,$3,$3,$-5,$0,$23,23,$0.14,$0.14,$414,$0,$0,$416,$0,$0,$0,$6,$9,$424,$31,$113,$0,$113,$144,$0,$123,$-53,$281,$424,$7,$-1,$-12,$-13,$2,$0,$0,$30,$32,$26,$0,$0,$0,$0,$0,$0,$0,$0,$-60,$50,$-10,$-0,$-0,$-6,$-0,$-16,$10,$0,$-6
6,2017-01-31,7.83,$12.45,0.63,$1.44,5.44,$12.47,0.63,$0.52,15.06,$0.42B,$0.03B,13.89,$0.11B,$0.28B,0.4,$0.03B,$0.03B,100.00%,$0.03B,$0.01B,34.38%,$0.03B,$0.02B,71.88%,$0.03B,$0.03B,84.38%,$0.03B,$0.01B,34.38%,$0.03B,$0.01B,34.38%,$0.01B,$0.28B,3.91%,$0.01B,$0.28B,3.91%,$0.01B,$0.42B,2.54%,$0.01B,$0.39B,2.79%,$3,$0,$3,$0,$4,$6,$-3,$0,$-3,$0,$-3,$4,$4,$3,$-0,$23,23,$0.19,$0.19,$414,$0,$0,$415,$0,$0,$0,$5,$8,$423,$30,$113,$0,$113,$142,$0,$125,$-58,$281,$423,$4,$4,$-12,$-8,$3,$0,$0,$26,$29,$26,$0,$0,$0,$0,$0,$0,$0,$0,$-10,$0,$-10,$-0,$-0,$-3,$0,$-13,$13,$0,$-3
7,2016-10-31,7.84,$12.39,0.63,$1.65,4.76,$14.53,0.54,$0.12,65.31,$0.42B,$0.04B,10.36,$0.11B,$0.28B,0.4,$0.04B,$0.04B,100.00%,$0.04B,$0.02B,51.35%,$0.04B,$0.03B,83.78%,$0.04B,$0.00B,5.41%,$0.04B,$0.02B,51.35%,$0.04B,$0.00B,5.41%,$0.00B,$0.28B,0.71%,$0.00B,$0.28B,0.71%,$0.00B,$0.43B,0.45%,$0.02B,$0.39B,4.80%,$5,$0,$5,$0,$3,$5,$-0,$0,$-0,$0,$-0,$5,$5,$-8,$3,$23,23,$0.23,$0.23,$416,$0,$0,$420,$0,$0,$0,$9,$12,$432,$41,$112,$0,$112,$153,$0,$128,$-66,$280,$432,$3,$-28,$38,$10,$1,$0,$0,$78,$79,$92,$0,$0,$0,$0,$0,$0,$0,$0,$-63,$0,$-63,$-2,$-2,$-16,$-12,$-92,$-0,$0,$-16
8,2016-07-31,7.17,$12.27,0.58,$1.67,4.29,$10.81,0.66,$-0.20,0.0,$0.42B,$0.04B,9.91,$0.11B,$0.28B,0.41,$0.04B,$0.04B,100.00%,$0.04B,$0.02B,50.00%,$0.04B,$0.03B,81.58%,$0.04B,$0.01B,15.79%,$0.04B,$0.02B,50.00%,$0.04B,$-0.01B,-13.16%,$-0.01B,$0.28B,-1.75%,$-0.01B,$0.28B,-1.75%,$-0.01B,$0.44B,-1.08%,$0.02B,$0.39B,4.73%,$8,$0,$8,$0,$2,$4,$4,$0,$4,$0,$4,$-4,$-4,$14,$7,$23,23,$-0.16,$-0.16,$385,$0,$0,$422,$0,$0,$0,$9,$13,$436,$43,$114,$0,$114,$157,$0,$122,$-64,$279,$436,$-2,$-18,$33,$16,$2,$0,$0,$67,$69,$83,$0,$0,$0,$0,$0,$0,$0,$0,$-61,$0,$-61,$0,$0,$-13,$-2,$-76,$7,$0,$-13
9,2016-04-30,6.49,$12.56,0.52,$1.65,3.93,$7.25,0.89,$-0.65,0.0,$0.43B,$0.04B,10.14,$0.11B,$0.29B,0.4,$0.04B,$0.04B,100.00%,$0.04B,$0.02B,52.63%,$0.04B,$0.03B,84.21%,$0.04B,$0.03B,89.47%,$0.04B,$0.02B,52.63%,$0.04B,$-0.02B,-39.47%,$-0.02B,$0.29B,-5.17%,$-0.02B,$0.29B,-5.17%,$-0.02B,$0.44B,-3.08%,$0.02B,$0.40B,4.88%,$16,$0,$16,$0,$4,$6,$10,$0,$10,$0,$10,$6,$6,$18,$13,$23,23,$0.26,$0.26,$425,$0,$0,$428,$0,$0,$0,$9,$14,$442,$42,$114,$0,$114,$157,$0,$118,$-57,$285,$442,$1,$-25,$35,$10,$2,$0,$0,$69,$71,$82,$0,$0,$0,$0,$0,$0,$0,$0,$-63,$0,$-63,$0,$0,$-10,$-2,$-75,$7,$0,$-10
