,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,32.64,$18.88,1.73,$88.06,0.37,$0.89,36.56,$2.05,15.92,$0.43B,$0.25B,1.69,$0.09B,$0.31B,0.28,$1.46B,$0.16B,10.75%,$1.46B,$0.05B,3.15%,$1.46B,$0.05B,3.15%,$1.46B,$0.09B,5.82%,$1.46B,$0.04B,2.74%,$1.46B,$0.04B,2.40%,$0.04B,$0.31B,11.71%,$0.04B,$0.22B,15.02%,$0.04B,$0.70B,5.57%,$0.05B,$0.40B,12.31%,$400,$354,$45,$0,$31,$385,$14,$-3,$11,$3,$8,$8,$8,$24,$14,$16,17,$0.48,$0.48,$0,$0,$130,$427,$162,$2,$91,$3,$275,$702,$252,$88,$35,$137,$389,$0,$164,$-0,$313,$702,$20,$29,$1,$30,$25,$0,$-14,$-6,$8,$59,$-36,$0,$-47,$0,$0,$0,$0,$-83,$10,$0,$10,$1,$1,$0,$9,$20,$-5,$2,$0
1,2018-06-30,35.46,$18.27,1.94,$86.71,0.41,$-3.12,0.0,$1.88,18.86,$0.38B,$0.21B,1.86,$0.06B,$0.30B,0.2,$1.43B,$0.15B,10.25%,$1.43B,$0.04B,3.00%,$1.43B,$0.04B,3.00%,$1.43B,$0.08B,5.72%,$1.43B,$0.04B,2.65%,$1.43B,$0.03B,2.23%,$0.03B,$0.30B,11.07%,$0.03B,$0.25B,13.84%,$0.03B,$0.62B,5.26%,$0.04B,$0.36B,11.87%,$340,$301,$39,$0,$29,$329,$10,$-1,$10,$3,$7,$7,$7,$20,$10,$16,17,$0.42,$0.41,$4,$0,$95,$384,$156,$1,$58,$4,$232,$616,$207,$60,$33,$106,$313,$0,$156,$-0,$303,$616,$12,$19,$0,$19,$2,$0,$-10,$22,$14,$45,$-26,$0,$0,$0,$0,$0,$0,$-26,$-22,$0,$-22,$1,$1,$0,$0,$-21,$-1,$1,$0
2,2018-03-31,30.82,$17.79,1.73,$87.82,0.35,$-4.24,0.0,$1.54,20.01,$0.36B,$0.18B,2.0,$0.07B,$0.29B,0.24,$1.45B,$0.14B,9.38%,$1.45B,$0.04B,2.55%,$1.45B,$0.04B,2.55%,$1.45B,$0.08B,5.17%,$1.45B,$0.03B,2.21%,$1.45B,$0.03B,1.79%,$0.03B,$0.29B,9.29%,$0.03B,$0.24B,11.70%,$0.03B,$0.59B,4.36%,$0.04B,$0.36B,10.56%,$346,$310,$36,$0,$28,$337,$8,$-0,$8,$2,$6,$6,$6,$18,$8,$16,17,$0.35,$0.34,$2,$0,$101,$364,$152,$1,$58,$4,$228,$592,$182,$70,$33,$116,$298,$0,$149,$-0,$293,$592,$6,$9,$0,$10,$26,$0,$-4,$-15,$7,$22,$-13,$0,$0,$0,$0,$0,$0,$-13,$-12,$0,$-12,$-0,$-0,$0,$0,$-12,$-4,$0,$0
3,2017-12-31,35.73,$17.43,2.05,$85.14,0.42,$-4.52,0.0,$1.27,28.13,$0.38B,$0.19B,2.01,$0.08B,$0.29B,0.28,$1.40B,$0.13B,8.97%,$1.40B,$0.03B,2.07%,$1.40B,$0.03B,2.07%,$1.40B,$0.07B,4.77%,$1.40B,$0.03B,1.78%,$1.40B,$0.02B,1.50%,$0.02B,$0.29B,7.70%,$0.02B,$0.23B,9.78%,$0.02B,$0.60B,3.58%,$0.03B,$0.37B,8.62%,$374,$337,$37,$0,$24,$359,$14,$-3,$11,$-3,$14,$14,$14,$23,$14,$16,16,$0.83,$0.83,$5,$0,$87,$380,$148,$0,$58,$4,$224,$604,$189,$82,$33,$128,$317,$0,$143,$-0,$287,$604,$21,$39,$-3,$35,$-46,$0,$8,$-30,$-66,$-9,$-27,$0,$0,$0,$0,$0,$0,$-27,$19,$0,$19,$-2,$-2,$0,$0,$17,$-19,$4,$0
4,2017-09-30,29.14,$16.56,1.76,$82.18,0.35,$-0.50,0.0,$0.93,31.33,$0.39B,$0.21B,1.84,$0.08B,$0.27B,0.3,$1.37B,$0.13B,9.53%,$1.37B,$0.03B,2.18%,$1.37B,$0.03B,2.18%,$1.37B,$0.07B,5.02%,$1.37B,$0.03B,2.18%,$1.37B,$0.02B,1.09%,$0.02B,$0.27B,5.62%,$0.02B,$0.22B,7.19%,$0.02B,$0.62B,2.59%,$0.03B,$0.36B,9.21%,$374,$339,$35,$0,$24,$362,$11,$-2,$9,$4,$5,$5,$5,$21,$11,$16,16,$0.32,$0.31,$2,$0,$113,$393,$150,$0,$58,$4,$227,$621,$214,$82,$34,$134,$348,$0,$130,$-0,$273,$621,$8,$29,$2,$31,$-37,$0,$15,$-41,$-61,$-22,$-22,$0,$0,$0,$0,$0,$0,$-22,$20,$0,$20,$-2,$-2,$0,$4,$21,$-22,$3,$0
5,2017-06-30,31.02,$16.20,1.92,$77.02,0.4,$3.71,8.35,$1.00,31.02,$0.34B,$0.20B,1.67,$0.05B,$0.27B,0.18,$1.28B,$0.13B,10.13%,$1.28B,$0.03B,2.34%,$1.28B,$0.03B,2.34%,$1.28B,$0.07B,5.38%,$1.28B,$0.03B,2.42%,$1.28B,$0.02B,1.25%,$0.02B,$0.27B,6.14%,$0.02B,$0.21B,7.89%,$0.02B,$0.57B,2.92%,$0.03B,$0.32B,9.72%,$356,$329,$28,$0,$25,$353,$4,$0,$4,$3,$1,$1,$1,$13,$4,$16,17,$0.08,$0.07,$10,$0,$101,$338,$156,$0,$58,$4,$232,$570,$203,$48,$33,$100,$303,$0,$125,$-0,$267,$570,$2,$19,$0,$19,$13,$0,$15,$-34,$-3,$19,$-18,$0,$0,$0,$0,$0,$0,$-18,$-15,$0,$-15,$-1,$-1,$0,$0,$-16,$-14,$3,$0
6,2017-03-31,41.0,$16.02,2.56,$70.25,0.58,$5.69,7.2,$1.24,33.06,$0.33B,$0.22B,1.49,$0.04B,$0.26B,0.16,$1.19B,$0.13B,11.19%,$1.19B,$0.04B,2.94%,$1.19B,$0.04B,2.94%,$1.19B,$0.08B,6.31%,$1.19B,$0.04B,3.03%,$1.19B,$0.02B,1.77%,$0.02B,$0.26B,8.22%,$0.02B,$0.21B,10.63%,$0.02B,$0.55B,4.01%,$0.04B,$0.31B,11.78%,$300,$274,$26,$0,$26,$300,$0,$0,$1,$-0,$1,$1,$1,$10,$0,$16,16,$0.07,$0.07,$7,$0,$80,$331,$156,$0,$58,$3,$218,$549,$223,$43,$1,$62,$285,$0,$124,$-0,$264,$549,$1,$10,$-0,$10,$12,$0,$-10,$-2,$2,$13,$-9,$0,$0,$0,$0,$0,$0,$-9,$-20,$0,$-20,$-1,$-1,$0,$0,$-21,$-17,$1,$0
7,2016-12-31,37.68,$16.11,2.34,$64.93,0.58,$6.04,6.24,$1.27,29.67,$0.34B,$0.20B,1.75,$0.06B,$0.26B,0.24,$1.14B,$0.13B,11.72%,$1.14B,$0.04B,3.32%,$1.14B,$0.04B,3.32%,$1.14B,$0.08B,6.82%,$1.14B,$0.04B,3.32%,$1.14B,$0.02B,1.92%,$0.02B,$0.26B,8.28%,$0.02B,$0.21B,10.59%,$0.02B,$0.57B,4.29%,$0.04B,$0.33B,12.81%,$344,$302,$42,$0,$27,$328,$15,$1,$16,$8,$8,$8,$8,$25,$15,$17,17,$0.44,$0.44,$24,$0,$78,$343,$155,$0,$58,$3,$231,$573,$196,$63,$33,$114,$310,$0,$123,$-0,$263,$573,$21,$39,$8,$47,$-27,$0,$17,$-9,$-14,$54,$-22,$0,$-12,$0,$0,$0,$0,$-34,$58,$0,$58,$-95,$-95,$0,$1,$-36,$-16,$5,$0
8,2016-09-30,30.1,$15.48,1.94,$58.13,0.52,$4.15,7.26,$1.08,27.87,$0.29B,$0.20B,1.44,$0.04B,$0.25B,0.15,$1.07B,$0.13B,11.68%,$1.07B,$0.03B,3.08%,$1.07B,$0.03B,3.08%,$1.07B,$0.07B,6.82%,$1.07B,$0.03B,2.99%,$1.07B,$0.02B,1.87%,$0.02B,$0.25B,7.08%,$0.02B,$0.19B,8.92%,$0.02B,$0.50B,4.00%,$0.03B,$0.29B,11.08%,$283,$249,$34,$0,$23,$272,$11,$-1,$10,$4,$6,$6,$6,$21,$11,$16,16,$0.39,$0.38,$1,$0,$86,$286,$153,$0,$58,$3,$214,$500,$198,$38,$1,$53,$251,$0,$116,$0,$249,$500,$14,$29,$2,$32,$2,$0,$11,$-18,$-5,$40,$-15,$0,$0,$0,$0,$0,$0,$-15,$33,$0,$33,$-99,$-99,$0,$2,$-64,$-39,$3,$0
9,2016-06-30,24.08,$15.16,1.59,$53.35,0.45,$1.18,20.48,$0.99,24.32,$0.25B,$0.19B,1.36,$0.02B,$0.25B,0.1,$1.06B,$0.12B,11.35%,$1.06B,$0.03B,3.03%,$1.06B,$0.03B,3.03%,$1.06B,$0.07B,6.81%,$1.06B,$0.03B,3.03%,$1.06B,$0.02B,1.89%,$0.02B,$0.25B,6.55%,$0.02B,$0.19B,8.09%,$0.02B,$0.47B,3.88%,$0.03B,$0.27B,10.27%,$262,$230,$31,$0,$23,$253,$9,$-0,$9,$3,$6,$6,$6,$19,$9,$17,18,$0.32,$0.31,$3,$0,$74,$254,$156,$0,$58,$4,$218,$472,$187,$24,$1,$39,$226,$0,$113,$0,$246,$472,$7,$20,$2,$22,$25,$0,$5,$-14,$17,$46,$-10,$0,$0,$0,$0,$0,$0,$-10,$20,$0,$20,$-92,$-92,$0,$-1,$-73,$-36,$2,$0
