,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,37.52,$12.14,3.09,$13.13,2.86,$7.51,5.0,$2.28,16.46,$0.29B,$0.06B,4.92,$0.00B,$0.29B,0.0,$0.33B,$0.19B,57.36%,$0.33B,$0.08B,23.01%,$0.33B,$0.08B,23.01%,$0.33B,$0.08B,24.85%,$0.33B,$0.08B,23.01%,$0.33B,$0.06B,17.48%,$0.06B,$0.29B,20.82%,$0.06B,$0.28B,21.92%,$0.06B,$0.36B,17.36%,$0.08B,$0.29B,27.40%,$77,$33,$44,$13,$17,$62,$14,$0,$14,$3,$12,$12,$12,$16,$14,$24,24,$0.48,$0.47,$173,$61,$0,$291,$43,$0,$15,$0,$65,$356,$59,$0,$1,$3,$62,$0,$55,$-3,$294,$356,$46,$5,$13,$18,$12,$-6,$0,$4,$20,$83,$-3,$0,$-2,$5,$0,$5,$0,$0,$0,$0,$0,$-19,$-19,$0,$-3,$-22,$61,$8,$0
1,2018-06-30,35.41,$11.57,3.06,$12.19,2.9,$4.72,7.5,$2.03,17.44,$0.27B,$0.05B,5.08,$0.00B,$0.28B,0.0,$0.31B,$0.17B,56.86%,$0.31B,$0.07B,22.22%,$0.31B,$0.07B,22.22%,$0.31B,$0.07B,24.18%,$0.31B,$0.07B,22.55%,$0.31B,$0.05B,16.67%,$0.05B,$0.28B,18.98%,$0.05B,$0.26B,19.94%,$0.05B,$0.34B,15.96%,$0.07B,$0.28B,25.30%,$89,$38,$51,$12,$18,$68,$21,$-0,$21,$3,$18,$18,$18,$22,$21,$24,24,$0.74,$0.72,$149,$56,$0,$269,$43,$0,$15,$0,$66,$335,$53,$0,$1,$3,$56,$0,$44,$-3,$278,$335,$34,$3,$9,$13,$7,$-2,$0,$-1,$12,$59,$-2,$0,$-2,$20,$0,$20,$0,$16,$0,$0,$0,$-20,$-20,$0,$-3,$-23,$51,$5,$0
2,2018-03-31,26.9,$10.91,2.46,$11.05,2.43,$2.72,9.9,$1.63,16.5,$0.24B,$0.05B,5.11,$0.00B,$0.26B,0.0,$0.28B,$0.16B,55.87%,$0.28B,$0.06B,20.64%,$0.28B,$0.06B,20.64%,$0.28B,$0.06B,22.78%,$0.28B,$0.06B,21.00%,$0.28B,$0.04B,14.59%,$0.04B,$0.26B,15.44%,$0.04B,$0.25B,16.17%,$0.04B,$0.31B,13.07%,$0.06B,$0.26B,21.85%,$82,$35,$48,$10,$17,$62,$21,$0,$21,$4,$16,$16,$16,$22,$21,$24,24,$0.68,$0.67,$124,$55,$0,$244,$44,$0,$14,$0,$68,$312,$48,$0,$2,$3,$51,$0,$26,$-0,$261,$312,$16,$2,$4,$6,$8,$0,$0,$2,$10,$33,$-1,$0,$-1,$24,$0,$24,$0,$22,$0,$0,$0,$-22,$-22,$0,$-0,$-23,$31,$2,$0
3,2017-12-31,24.92,$10.65,2.34,$9.99,2.5,$1.55,16.07,$1.17,21.3,$0.24B,$0.04B,5.45,$0.00B,$0.26B,0.0,$0.26B,$0.14B,53.10%,$0.26B,$0.04B,16.67%,$0.26B,$0.04B,16.67%,$0.26B,$0.05B,18.99%,$0.26B,$0.04B,16.67%,$0.26B,$0.03B,11.63%,$0.03B,$0.26B,11.37%,$0.03B,$0.25B,11.87%,$0.03B,$0.31B,9.62%,$0.04B,$0.26B,16.30%,$78,$34,$44,$10,$15,$59,$19,$0,$19,$9,$11,$11,$11,$21,$19,$25,26,$0.42,$0.42,$117,$54,$0,$240,$45,$0,$12,$0,$70,$310,$44,$0,$1,$3,$47,$0,$9,$-2,$262,$310,$30,$7,$16,$23,$-20,$-15,$0,$-1,$-33,$21,$-5,$0,$-2,$1,$0,$1,$0,$-7,$0,$0,$0,$-21,$-21,$0,$-4,$-26,$-12,$9,$0
4,2017-09-30,28.8,$10.74,2.68,$9.32,3.09,$2.61,11.02,$1.79,16.09,$0.25B,$0.04B,5.67,$0.00B,$0.27B,0.0,$0.24B,$0.12B,51.88%,$0.24B,$0.03B,13.81%,$0.24B,$0.03B,13.81%,$0.24B,$0.04B,16.32%,$0.24B,$0.03B,13.81%,$0.24B,$0.05B,19.25%,$0.05B,$0.27B,17.74%,$0.05B,$0.26B,18.49%,$0.05B,$0.32B,15.02%,$0.03B,$0.27B,12.73%,$57,$26,$31,$9,$14,$49,$7,$0,$8,$2,$6,$6,$6,$9,$7,$25,26,$0.23,$0.22,$140,$58,$0,$250,$42,$0,$12,$0,$72,$321,$44,$0,$1,$3,$47,$0,$-2,$-3,$274,$321,$19,$5,$9,$14,$1,$-16,$0,$-5,$-18,$15,$-2,$0,$-2,$-13,$0,$-13,$0,$-18,$0,$0,$0,$4,$4,$0,$-4,$-0,$-3,$7,$0
5,2017-06-30,25.29,$10.41,2.43,$9.46,2.67,$3.33,7.6,$1.88,13.45,$0.24B,$0.05B,5.36,$0.00B,$0.27B,0.0,$0.24B,$0.12B,51.04%,$0.24B,$0.04B,14.52%,$0.24B,$0.04B,14.52%,$0.24B,$0.04B,17.01%,$0.24B,$0.03B,14.11%,$0.24B,$0.05B,19.92%,$0.05B,$0.27B,19.59%,$0.05B,$0.26B,20.45%,$0.05B,$0.31B,16.41%,$0.04B,$0.27B,14.29%,$64,$31,$34,$9,$14,$54,$11,$0,$11,$3,$8,$8,$8,$12,$11,$25,26,$0.33,$0.32,$136,$51,$0,$242,$42,$0,$10,$0,$70,$312,$45,$0,$1,$2,$47,$0,$-7,$-3,$265,$312,$14,$4,$5,$9,$-5,$-7,$0,$1,$-12,$10,$-2,$0,$-2,$-10,$0,$-10,$0,$-14,$0,$0,$0,$3,$3,$0,$-3,$-1,$-5,$4,$0
6,2017-03-31,30.46,$10.06,3.03,$9.21,3.31,$3.42,8.91,$1.80,16.92,$0.23B,$0.05B,4.87,$0.00B,$0.25B,0.0,$0.23B,$0.12B,50.21%,$0.23B,$0.03B,13.30%,$0.23B,$0.03B,13.30%,$0.23B,$0.04B,16.31%,$0.23B,$0.03B,12.88%,$0.23B,$0.05B,19.74%,$0.05B,$0.25B,20.02%,$0.05B,$0.24B,20.98%,$0.05B,$0.30B,16.40%,$0.03B,$0.25B,13.49%,$59,$31,$28,$9,$14,$54,$6,$-0,$5,$0,$5,$5,$5,$7,$6,$25,26,$0.21,$0.21,$132,$45,$0,$231,$43,$0,$10,$0,$72,$304,$48,$0,$1,$2,$50,$0,$-16,$-4,$254,$304,$5,$2,$2,$4,$-7,$-3,$0,$3,$-6,$3,$-0,$0,$0,$-2,$0,$-2,$0,$-2,$0,$0,$0,$1,$1,$0,$-2,$-1,$0,$2,$0
7,2016-12-31,25.06,$9.72,2.58,$8.84,2.83,$3.30,7.6,$1.73,14.49,$0.22B,$0.04B,5.15,$0.00B,$0.24B,0.0,$0.22B,$0.11B,51.13%,$0.22B,$0.03B,13.12%,$0.22B,$0.03B,13.12%,$0.22B,$0.04B,16.74%,$0.22B,$0.03B,13.12%,$0.22B,$0.04B,19.91%,$0.04B,$0.24B,20.49%,$0.04B,$0.23B,21.57%,$0.04B,$0.29B,16.57%,$0.03B,$0.24B,13.50%,$59,$28,$31,$8,$14,$50,$9,$0,$9,$-17,$27,$27,$27,$11,$9,$25,25,$1.08,$1.06,$130,$41,$0,$216,$44,$0,$9,$0,$71,$288,$42,$0,$1,$2,$44,$0,$-22,$-6,$244,$288,$44,$8,$-9,$-0,$-3,$7,$0,$-3,$2,$46,$-4,$0,$0,$-38,$0,$-38,$0,$-42,$0,$0,$0,$8,$8,$0,$-3,$5,$9,$8,$0
8,2016-09-30,22.34,$8.70,2.57,$8.24,2.71,$1.63,13.71,$0.62,36.03,$0.21B,$0.05B,4.56,$0.00B,$0.22B,0.0,$0.21B,$0.10B,50.24%,$0.21B,$0.02B,9.27%,$0.21B,$0.02B,9.27%,$0.21B,$0.03B,13.17%,$0.21B,$0.02B,9.27%,$0.21B,$0.02B,7.32%,$0.02B,$0.22B,7.48%,$0.02B,$0.21B,7.92%,$0.02B,$0.27B,5.94%,$0.02B,$0.22B,9.48%,$59,$28,$30,$8,$13,$50,$9,$0,$9,$1,$8,$8,$8,$11,$9,$25,25,$0.32,$0.31,$119,$44,$0,$209,$44,$0,$10,$1,$56,$266,$46,$0,$2,$3,$49,$0,$-49,$-3,$217,$266,$17,$6,$6,$12,$-1,$7,$0,$5,$5,$34,$-3,$0,$0,$-36,$0,$-36,$0,$-40,$0,$0,$0,$6,$6,$0,$-2,$4,$-1,$5,$0
9,2016-06-30,20.79,$8.26,2.52,$7.79,2.67,$0.45,45.84,$0.34,61.15,$0.21B,$0.06B,3.64,$0.00B,$0.20B,0.0,$0.19B,$0.10B,49.48%,$0.19B,$0.01B,5.73%,$0.19B,$0.01B,5.73%,$0.19B,$0.02B,10.42%,$0.19B,$0.01B,6.25%,$0.19B,$0.01B,4.17%,$0.01B,$0.20B,4.14%,$0.01B,$0.19B,4.40%,$0.01B,$0.26B,3.26%,$0.01B,$0.20B,5.69%,$56,$27,$28,$8,$14,$48,$7,$-0,$7,$1,$6,$6,$6,$9,$7,$25,25,$0.25,$0.24,$96,$51,$0,$208,$43,$0,$11,$1,$56,$264,$57,$0,$2,$2,$60,$0,$-57,$-4,$204,$264,$9,$4,$4,$8,$-14,$1,$0,$12,$-4,$13,$-3,$0,$0,$9,$0,$9,$0,$6,$0,$0,$0,$3,$3,$0,$-2,$2,$22,$3,$0
