,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.97,$9.80,0.3,$4.30,0.69,$-1.18,0.0,$-0.74,0.0,$0.05B,$0.01B,5.61,$0.20B,$0.22B,0.88,$0.09B,$0.08B,89.66%,$0.09B,$0.03B,35.63%,$0.09B,$0.03B,35.63%,$0.09B,$0.06B,72.41%,$0.09B,$-0.02B,-19.54%,$0.09B,$-0.01B,-16.09%,$-0.01B,$0.22B,-6.13%,$-0.01B,$0.20B,-6.76%,$-0.01B,$0.43B,-3.26%,$0.03B,$0.42B,7.32%,$23,$2,$20,$0,$6,$14,$8,$-3,$5,$0,$5,$5,$5,$16,$8,$20,20,$0.23,$0.23,$23,$0,$0,$51,$340,$0,$20,$0,$375,$425,$9,$195,$0,$195,$204,$217,$0,$0,$221,$425,$-20,$22,$32,$55,$-2,$0,$3,$-6,$-4,$30,$-29,$0,$0,$0,$0,$0,$0,$-29,$-2,$0,$-2,$0,$0,$-14,$0,$-16,$-15,$0,$-14
1,2018-06-30,3.62,$9.70,0.37,$5.22,0.69,$-0.08,0.0,$-0.79,0.0,$0.04B,$0.01B,7.0,$0.20B,$0.22B,0.89,$0.09B,$0.08B,91.76%,$0.09B,$0.03B,35.29%,$0.09B,$0.03B,35.29%,$0.09B,$0.06B,72.94%,$0.09B,$-0.02B,-21.18%,$0.09B,$-0.02B,-20.00%,$-0.02B,$0.22B,-7.14%,$-0.02B,$0.20B,-7.87%,$-0.02B,$0.42B,-3.87%,$0.03B,$0.41B,6.92%,$21,$1,$19,$0,$6,$13,$8,$-3,$4,$0,$4,$4,$4,$15,$8,$20,20,$0.21,$0.21,$22,$0,$0,$39,$345,$0,$21,$0,$381,$420,$6,$195,$0,$195,$201,$214,$0,$0,$219,$420,$-25,$15,$32,$47,$0,$0,$7,$-3,$4,$26,$-45,$0,$0,$0,$0,$0,$16,$-29,$-1,$0,$-1,$0,$0,$-12,$0,$-13,$-15,$0,$-12
2,2018-03-31,3.79,$7.17,0.53,$6.01,0.63,$1.68,2.25,$-0.90,0.0,$0.03B,$0.01B,5.88,$0.20B,$0.22B,0.9,$0.08B,$0.08B,91.57%,$0.08B,$0.03B,32.53%,$0.08B,$0.03B,32.53%,$0.08B,$0.06B,72.29%,$0.08B,$-0.02B,-24.10%,$0.08B,$-0.02B,-24.10%,$-0.02B,$0.22B,-8.01%,$-0.02B,$0.20B,-8.81%,$-0.02B,$0.42B,-4.44%,$0.03B,$0.41B,6.06%,$20,$1,$18,$0,$6,$13,$6,$-36,$-30,$0,$-30,$-30,$-30,$14,$6,$19,19,$-1.53,$-1.53,$21,$0,$0,$33,$349,$0,$22,$0,$385,$418,$6,$196,$0,$196,$201,$191,$0,$0,$217,$418,$-30,$8,$0,$8,$-1,$0,$48,$-4,$44,$22,$-45,$0,$0,$0,$0,$0,$16,$-28,$-1,$0,$-1,$0,$0,$-9,$0,$-10,$-16,$0,$-9
3,2017-12-31,8.52,$12.21,0.7,$7.13,1.2,$2.95,2.89,$0.70,12.17,$0.06B,$0.01B,12.57,$0.20B,$0.26B,0.77,$0.08B,$0.08B,92.86%,$0.08B,$0.03B,34.52%,$0.08B,$0.03B,34.52%,$0.08B,$0.06B,72.62%,$0.08B,$0.02B,17.86%,$0.08B,$0.02B,17.86%,$0.02B,$0.26B,5.69%,$0.02B,$0.23B,6.25%,$0.02B,$0.46B,3.23%,$0.03B,$0.45B,6.31%,$23,$2,$21,$0,$6,$14,$9,$-5,$4,$0,$4,$4,$7,$18,$9,$21,21,$-0.04,$-0.04,$37,$0,$0,$63,$356,$0,$22,$0,$394,$457,$5,$196,$0,$196,$201,$226,$0,$0,$256,$457,$15,$32,$0,$32,$-0,$0,$-18,$-10,$-28,$18,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$-2,$4,$4,$-36,$-10,$-44,$-26,$0,$-36
4,2017-09-30,6.33,$12.44,0.51,$7.16,0.88,$4.46,1.42,$0.78,8.12,$0.06B,$0.01B,12.23,$0.20B,$0.26B,0.75,$0.08B,$0.08B,94.05%,$0.08B,$0.03B,35.71%,$0.08B,$0.03B,35.71%,$0.08B,$0.06B,71.43%,$0.08B,$0.02B,20.24%,$0.08B,$0.02B,20.24%,$0.02B,$0.26B,6.35%,$0.02B,$0.24B,6.97%,$0.02B,$0.46B,3.62%,$0.03B,$0.46B,6.46%,$21,$1,$20,$0,$6,$13,$7,$-3,$4,$0,$4,$4,$2,$15,$7,$10,10,$0.18,$0.18,$40,$0,$0,$60,$362,$0,$23,$0,$401,$461,$5,$196,$0,$196,$201,$122,$0,$0,$260,$461,$10,$23,$0,$23,$1,$0,$-13,$-9,$-21,$12,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$-2,$4,$4,$-27,$0,$-25,$-13,$0,$-27
5,2017-06-30,7.63,$12.68,0.6,$6.14,1.24,$4.98,1.53,$0.86,8.87,$0.06B,$0.01B,12.87,$0.20B,$0.27B,0.74,$0.09B,$0.08B,94.12%,$0.09B,$0.03B,37.65%,$0.09B,$0.03B,37.65%,$0.09B,$0.06B,71.76%,$0.09B,$0.02B,21.18%,$0.09B,$0.02B,23.53%,$0.02B,$0.27B,7.37%,$0.02B,$0.24B,8.11%,$0.02B,$0.47B,4.22%,$0.03B,$0.46B,6.83%,$19,$1,$17,$0,$6,$13,$5,$-3,$2,$0,$2,$2,$1,$13,$5,$10,10,$0.10,$0.10,$46,$0,$0,$60,$367,$0,$24,$0,$406,$466,$5,$196,$0,$196,$201,$124,$0,$0,$266,$466,$6,$15,$0,$15,$0,$0,$-7,$-7,$-14,$8,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$4,$4,$-18,$0,$-15,$-7,$0,$-18
6,2017-03-31,9.45,$13.02,0.73,$6.72,1.41,$6.21,1.52,$1.04,9.08,$0.07B,$0.01B,11.91,$0.20B,$0.27B,0.72,$0.09B,$0.08B,94.38%,$0.09B,$0.04B,40.45%,$0.09B,$0.04B,40.45%,$0.09B,$0.07B,73.03%,$0.09B,$0.02B,24.72%,$0.09B,$0.02B,24.72%,$0.02B,$0.27B,8.04%,$0.02B,$0.25B,8.86%,$0.02B,$0.47B,4.62%,$0.04B,$0.47B,7.65%,$21,$1,$20,$0,$6,$13,$8,$-3,$5,$0,$5,$5,$5,$15,$8,$10,10,$0.46,$0.46,$48,$0,$0,$67,$373,$0,$24,$0,$408,$474,$6,$196,$0,$196,$202,$127,$0,$0,$272,$474,$5,$7,$0,$7,$-2,$0,$-6,$-3,$-11,$1,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$4,$4,$-9,$0,$-6,$-5,$0,$-9
7,2016-12-31,8.14,$13.25,0.61,$5.77,1.41,$6.56,1.24,$1.18,6.9,$0.06B,$0.01B,9.94,$0.20B,$0.27B,0.72,$0.09B,$0.09B,94.57%,$0.09B,$0.04B,42.39%,$0.09B,$0.04B,42.39%,$0.09B,$0.07B,73.91%,$0.09B,$0.02B,26.09%,$0.09B,$0.02B,26.09%,$0.02B,$0.27B,8.72%,$0.02B,$0.25B,9.65%,$0.02B,$0.48B,5.02%,$0.04B,$0.47B,8.26%,$23,$1,$22,$0,$6,$13,$10,$-3,$6,$0,$6,$6,$9,$17,$10,$21,21,$0.29,$0.29,$53,$0,$0,$61,$378,$0,$25,$0,$415,$476,$6,$197,$0,$197,$203,$126,$0,$0,$273,$476,$25,$30,$0,$30,$3,$0,$-1,$-7,$-5,$50,$-1,$0,$0,$0,$0,$0,$0,$-1,$-3,$0,$-3,$4,$4,$-35,$0,$-34,$15,$0,$-35
8,2016-09-30,7.66,$13.40,0.57,$5.97,1.28,$2.57,2.98,$1.34,5.71,$0.06B,$0.01B,9.07,$0.20B,$0.28B,0.71,$0.10B,$0.09B,94.74%,$0.10B,$0.04B,43.16%,$0.10B,$0.04B,43.16%,$0.10B,$0.07B,74.74%,$0.10B,$0.03B,28.42%,$0.10B,$0.02B,25.26%,$0.02B,$0.28B,8.67%,$0.02B,$0.25B,9.62%,$0.02B,$0.48B,5.01%,$0.04B,$0.47B,8.65%,$22,$1,$21,$0,$6,$14,$9,$-3,$5,$0,$5,$5,$5,$16,$9,$21,21,$0.26,$0.26,$49,$0,$0,$56,$384,$0,$26,$0,$422,$478,$6,$197,$0,$197,$203,$126,$0,$0,$275,$478,$19,$23,$0,$23,$3,$0,$-1,$-8,$-5,$36,$-1,$0,$0,$0,$0,$0,$0,$-1,$-2,$0,$-1,$3,$3,$-26,$0,$-24,$11,$0,$-26
9,2016-06-30,8.26,$13.57,0.61,$6.00,1.38,$-1.46,0.0,$1.38,5.99,$0.05B,$0.01B,8.43,$0.20B,$0.28B,0.72,$0.10B,$0.09B,95.79%,$0.10B,$0.04B,43.16%,$0.10B,$0.04B,43.16%,$0.10B,$0.07B,75.79%,$0.10B,$0.03B,29.47%,$0.10B,$0.03B,26.32%,$0.03B,$0.28B,9.00%,$0.03B,$0.25B,10.01%,$0.03B,$0.48B,5.21%,$0.04B,$0.47B,8.64%,$23,$1,$21,$0,$6,$14,$9,$-3,$6,$0,$6,$6,$3,$17,$9,$9,9,$0.28,$0.28,$38,$0,$0,$52,$390,$0,$27,$0,$426,$478,$6,$197,$0,$197,$203,$124,$0,$0,$275,$478,$13,$15,$0,$15,$-2,$0,$-3,$-5,$-9,$19,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$-17,$0,$-19,$0,$0,$-17
