,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,122.95,$4.94,24.91,$4.51,27.26,$-1.54,0.0,$-0.47,0.0,$0.71B,$0.46B,1.57,$0.00B,$0.45B,0.0,$0.42B,$0.41B,98.80%,$0.42B,$0.03B,6.51%,$0.42B,$0.03B,6.51%,$0.42B,$0.05B,12.29%,$0.42B,$0.01B,2.41%,$0.42B,$0.01B,2.41%,$0.01B,$0.45B,2.56%,$0.01B,$0.45B,2.56%,$0.01B,$0.93B,1.18%,$0.03B,$0.45B,4.02%,$152,$2,$150,$35,$60,$97,$54,$-4,$51,$0,$51,$51,$51,$61,$54,$91,97,$0.56,$0.52,$635,$6,$19,$714,$29,$185,$0,$5,$219,$934,$456,$0,$12,$30,$486,$0,$-1196,$-2,$448,$934,$3,$18,$44,$63,$-23,$-4,$0,$-3,$-15,$51,$-19,$0,$0,$-118,$0,$-118,$0,$-137,$0,$0,$0,$28,$28,$0,$0,$28,$-58,$45,$0
1,2018-06-30,98.24,$4.18,23.53,$3.63,27.06,$-3.45,0.0,$-0.60,0.0,$0.57B,$0.06B,9.19,$0.38B,$0.38B,1.0,$0.32B,$0.32B,98.77%,$0.32B,$-0.03B,-10.19%,$0.32B,$-0.03B,-10.19%,$0.32B,$-0.01B,-3.09%,$0.32B,$-0.05B,-16.05%,$0.32B,$-0.05B,-16.05%,$-0.05B,$0.38B,-14.24%,$-0.05B,$0.38B,-14.24%,$-0.05B,$0.84B,-6.43%,$-0.03B,$0.76B,-4.47%,$97,$1,$96,$37,$61,$99,$-2,$-4,$-6,$0,$-6,$-6,$-6,$4,$-2,$90,90,$-0.07,$-0.07,$509,$0,$16,$568,$19,$249,$0,$5,$274,$841,$62,$379,$5,$402,$464,$0,$-1247,$-3,$377,$841,$-48,$12,$31,$43,$-12,$-3,$0,$-3,$-14,$-18,$-6,$0,$0,$-85,$0,$-85,$0,$-92,$0,$0,$0,$22,$22,$0,$0,$22,$-87,$32,$0
2,2018-03-31,82.93,$4.06,20.45,$2.63,31.57,$-4.62,0.0,$-1.21,0.0,$0.51B,$0.05B,11.06,$0.37B,$0.36B,1.03,$0.23B,$0.23B,98.71%,$0.23B,$-0.09B,-37.77%,$0.23B,$-0.09B,-37.77%,$0.23B,$-0.07B,-28.76%,$0.23B,$-0.11B,-45.49%,$0.23B,$-0.11B,-45.49%,$-0.11B,$0.36B,-29.67%,$-0.11B,$0.36B,-29.67%,$-0.11B,$0.81B,-13.46%,$-0.09B,$0.74B,-12.14%,$71,$1,$70,$49,$59,$109,$-37,$-4,$-42,$0,$-42,$-42,$-42,$-32,$-37,$90,90,$-0.47,$-0.47,$460,$0,$9,$514,$12,$276,$0,$5,$293,$806,$46,$374,$3,$395,$442,$0,$-1241,$-4,$364,$806,$-42,$6,$20,$26,$-13,$0,$0,$-1,$-22,$-38,$-2,$0,$0,$-55,$0,$-55,$0,$-57,$0,$0,$0,$16,$16,$0,$0,$16,$-79,$20,$0
3,2017-12-31,77.59,$4.19,18.51,$1.83,42.33,$-5.08,0.0,$-1.64,0.0,$0.56B,$0.05B,10.2,$0.37B,$0.37B,0.99,$0.16B,$0.16B,98.77%,$0.16B,$-0.13B,-80.86%,$0.16B,$-0.13B,-80.86%,$0.16B,$-0.11B,-70.37%,$0.16B,$-0.14B,-87.65%,$0.16B,$-0.14B,-87.65%,$-0.14B,$0.37B,-43.29%,$-0.14B,$0.37B,-43.29%,$-0.14B,$0.82B,-21.57%,$-0.13B,$0.74B,-21.75%,$95,$1,$94,$26,$56,$83,$12,$-5,$7,$0,$7,$7,$7,$18,$12,$88,88,$0.09,$0.09,$516,$1,$7,$555,$11,$247,$0,$5,$263,$818,$54,$370,$3,$391,$445,$0,$-1199,$-2,$372,$818,$-143,$16,$41,$57,$-31,$-1,$0,$-4,$-9,$-94,$-7,$0,$0,$-244,$0,$-244,$0,$-251,$503,$0,$503,$14,$14,$0,$0,$517,$171,$43,$0
4,2017-09-30,61.28,$3.93,15.6,$0.76,80.63,$-5.20,0.0,$-2.22,0.0,$0.55B,$0.04B,14.38,$0.37B,$0.35B,1.05,$0.07B,$0.07B,98.51%,$0.07B,$-0.19B,-282.09%,$0.07B,$-0.19B,-282.09%,$0.07B,$-0.18B,-264.18%,$0.07B,$-0.19B,-289.55%,$0.07B,$-0.19B,-289.55%,$-0.19B,$0.35B,-61.83%,$-0.19B,$0.35B,-61.83%,$-0.19B,$0.77B,-35.60%,$-0.19B,$0.71B,-38.14%,$61,$0,$60,$22,$44,$67,$-6,$-5,$-11,$0,$-11,$-11,$-11,$-0,$-6,$88,88,$-0.13,$-0.13,$511,$0,$7,$548,$9,$210,$0,$5,$224,$772,$38,$365,$3,$387,$425,$0,$-1206,$-1,$348,$772,$-149,$10,$28,$38,$-30,$-0,$0,$-5,$-23,$-135,$-5,$0,$0,$-187,$0,$-187,$0,$-192,$503,$0,$503,$8,$8,$0,$0,$511,$184,$29,$0
5,2017-06-30,46.0,$3.91,11.75,$0.07,639.45,$-4.52,0.0,$-2.52,0.0,$0.54B,$0.03B,19.36,$0.36B,$0.35B,1.05,$0.01B,$0.01B,100.00%,$0.01B,$-0.22B,-3683.33%,$0.01B,$-0.22B,-3683.33%,$0.01B,$-0.21B,-3566.67%,$0.01B,$-0.22B,-3666.67%,$0.01B,$-0.22B,-3666.67%,$-0.22B,$0.35B,-69.90%,$-0.22B,$0.35B,-69.90%,$-0.22B,$0.75B,-48.70%,$-0.22B,$0.71B,-54.53%,$6,$0,$6,$22,$42,$64,$-57,$-3,$-60,$0,$-60,$-60,$-60,$-53,$-57,$88,88,$-0.68,$-0.68,$525,$0,$6,$537,$7,$206,$0,$5,$217,$754,$28,$361,$2,$381,$409,$0,$-1195,$-1,$345,$754,$-138,$5,$16,$21,$-6,$-0,$0,$-3,$-8,$-126,$-2,$0,$0,$-155,$0,$-155,$0,$-156,$503,$0,$503,$5,$5,$0,$0,$508,$226,$19,$0
6,2017-03-31,43.3,$2.82,15.33,0,0.0,$-3.61,0.0,$-2.30,0.0,$0.24B,$0.02B,10.16,$0.00B,$0.25B,0.0,$0.00B,0,nan%,$0.00B,$-0.21B,inf%,$0.00B,$-0.21B,inf%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$-0.20B,$0.25B,-61.78%,$-0.20B,$0.25B,-61.78%,$-0.20B,$0.29B,-53.94%,$-0.21B,$0.25B,-63.53%,$0,$0,$0,$52,$28,$80,$-80,$2,$-78,$0,$-78,$-78,$-78,$-79,$-80,$87,87,$-0.90,$-0.90,$236,$0,$4,$239,$7,$38,$0,$5,$50,$289,$24,$1,$1,$19,$42,$0,$-1135,$-0,$247,$289,$-78,$1,$8,$9,$-1,$0,$0,$-0,$-8,$-77,$-1,$0,$0,$58,$0,$58,$0,$57,$0,$0,$0,$2,$2,$0,$0,$2,$-19,$9,$0
7,2016-12-31,38.7,$3.62,10.68,$0.17,223.16,$-3.06,0.0,$-1.62,0.0,$0.31B,$0.03B,10.21,$0.00B,$0.32B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.15B,-980.00%,$0.02B,$-0.15B,-980.00%,$0.02B,$-0.14B,-940.00%,$0.02B,$-0.14B,-940.00%,$0.02B,$-0.14B,-940.00%,$-0.14B,$0.32B,-38.60%,$-0.14B,$0.32B,-38.60%,$-0.14B,$0.37B,-34.12%,$-0.15B,$0.32B,-40.19%,$0,$0,$0,$23,$24,$46,$-46,$2,$-45,$0,$-45,$-45,$-45,$-45,$-46,$87,87,$-0.52,$-0.52,$307,$0,$3,$310,$6,$43,$0,$5,$55,$365,$30,$1,$2,$20,$50,$0,$-1056,$-0,$315,$365,$-141,$5,$24,$29,$0,$0,$0,$1,$6,$-106,$-4,$0,$0,$117,$0,$117,$-0,$113,$0,$0,$0,$2,$2,$0,$0,$2,$9,$28,$0
8,2016-09-30,50.64,$4.05,12.51,$0.17,292.01,$-2.26,0.0,$-1.45,0.0,$0.36B,$0.03B,13.42,$0.00B,$0.35B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.13B,-880.00%,$0.02B,$-0.13B,-880.00%,$0.02B,$-0.13B,-833.33%,$0.02B,$-0.13B,-833.33%,$0.02B,$-0.13B,-833.33%,$-0.13B,$0.35B,-31.85%,$-0.13B,$0.35B,-31.85%,$-0.13B,$0.40B,-28.36%,$-0.13B,$0.35B,-33.55%,$0,$0,$0,$21,$17,$38,$-38,$2,$-37,$0,$-37,$-37,$-37,$-37,$-38,$87,87,$-0.43,$-0.43,$353,$0,$5,$358,$6,$30,$0,$5,$41,$399,$27,$1,$2,$21,$48,$0,$-1012,$-0,$352,$399,$-96,$4,$17,$21,$0,$0,$0,$-0,$1,$-75,$-4,$0,$0,$102,$0,$102,$-0,$98,$0,$0,$0,$2,$2,$0,$0,$2,$26,$21,$0
9,2016-06-30,45.45,$4.39,10.35,$0.17,262.09,$-1.63,0.0,$-1.42,0.0,$0.39B,$0.03B,14.57,$0.00B,$0.38B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.13B,-866.67%,$0.02B,$-0.13B,-866.67%,$0.02B,$-0.12B,-813.33%,$0.02B,$-0.12B,-813.33%,$0.02B,$-0.12B,-813.33%,$-0.12B,$0.38B,-29.31%,$-0.12B,$0.38B,-29.31%,$-0.12B,$0.43B,-26.29%,$-0.13B,$0.38B,-31.12%,$0,$0,$0,$27,$15,$42,$-42,$2,$-40,$0,$-40,$-40,$-40,$-40,$-42,$87,87,$-0.46,$-0.46,$387,$0,$5,$392,$6,$27,$0,$5,$38,$430,$27,$1,$2,$22,$49,$0,$-975,$-0,$381,$430,$-60,$3,$12,$15,$0,$0,$0,$-0,$1,$-44,$-3,$0,$0,$58,$0,$58,$-0,$55,$0,$0,$0,$1,$1,$0,$0,$1,$12,$14,$0
