,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,31.19,$23.54,1.32,$10.37,3.01,$-5.04,0.0,$2.57,12.14,$1.73B,$2.12B,0.81,$6.57B,$11.39B,0.58,$4.99B,$4.99B,100.00%,$4.99B,$2.01B,40.28%,$4.99B,$2.01B,40.28%,$4.99B,$3.93B,78.70%,$4.99B,$1.15B,23.09%,$4.99B,$1.25B,25.09%,$1.25B,$11.39B,11.21%,$1.25B,$9.99B,12.79%,$1.25B,$22.15B,5.70%,$2.01B,$17.97B,11.26%,$1273,$0,$1273,$25,$380,$775,$498,$-191,$307,$59,$248,$248,$227,$983,$498,$482,484,$0.47,$0.47,$720,$0,$309,$1727,$18245,$0,$1401,$774,$20420,$22147,$2124,$6571,$1075,$8629,$10753,$5,$2850,$-27,$11394,$22147,$816,$1418,$-473,$945,$114,$0,$-91,$-62,$15,$1776,$-2589,$0,$1087,$0,$0,$0,$0,$-1502,$-198,$0,$-198,$-223,$-223,$-156,$311,$-266,$8,$53,$-156
1,2018-06-30,35.16,$23.16,1.52,$9.71,3.62,$-4.46,0.0,$1.82,19.32,$1.55B,$2.05B,0.76,$6.56B,$11.28B,0.58,$4.68B,$4.68B,100.00%,$4.68B,$1.51B,32.37%,$4.68B,$1.51B,32.37%,$4.68B,$3.47B,74.17%,$4.68B,$0.64B,13.62%,$4.68B,$0.89B,19.01%,$0.89B,$11.28B,8.23%,$0.89B,$9.88B,9.40%,$0.89B,$21.85B,4.07%,$1.51B,$17.84B,8.54%,$1230,$0,$1230,$29,$397,$887,$343,$-333,$10,$16,$-6,$-6,$-23,$808,$343,$484,484,$-0.05,$-0.05,$621,$0,$187,$1551,$17917,$0,$1402,$984,$20303,$21854,$2053,$6555,$995,$8520,$10573,$5,$2677,$-28,$11281,$21854,$568,$933,$-370,$563,$76,$0,$-24,$-107,$-52,$1079,$-1782,$0,$732,$0,$0,$0,$0,$-1050,$-169,$0,$-169,$-130,$-130,$-102,$280,$-121,$-92,$35,$-102
2,2018-03-31,30.1,$23.29,1.29,$9.41,3.2,$-3.73,0.0,$-1.33,0.0,$2.59B,$2.21B,1.17,$6.86B,$11.39B,0.6,$4.51B,$4.51B,100.00%,$4.51B,$-1.13B,-25.06%,$4.51B,$-1.13B,-25.06%,$4.51B,$0.86B,19.17%,$4.51B,$-1.71B,-37.88%,$4.51B,$-0.60B,-13.32%,$-0.60B,$11.39B,-5.71%,$-0.60B,$9.99B,-6.53%,$-0.60B,$22.45B,-2.75%,$-1.13B,$18.25B,-6.43%,$1286,$0,$1286,$35,$425,$578,$708,$-165,$543,$-31,$574,$574,$554,$1176,$708,$487,488,$1.14,$1.14,$992,$0,$895,$2594,$17431,$0,$1402,$1021,$19854,$22448,$2214,$6858,$1013,$8847,$11061,$5,$2754,$-29,$11387,$22448,$574,$468,$-528,$-60,$89,$0,$-33,$-1,$69,$583,$-787,$0,$215,$0,$0,$0,$0,$-572,$120,$0,$120,$-67,$-67,$-48,$293,$298,$309,$0,$-48
3,2017-12-31,28.83,$21.67,1.33,$9.16,3.15,$-3.43,0.0,$-2.39,0.0,$2.20B,$1.74B,1.27,$6.75B,$10.62B,0.64,$4.26B,$4.26B,100.00%,$4.26B,$-1.80B,-42.34%,$4.26B,$-1.80B,-42.34%,$4.26B,$0.25B,5.90%,$4.26B,$-2.19B,-51.48%,$4.26B,$-1.12B,-26.27%,$-1.12B,$10.62B,-11.11%,$-1.12B,$9.31B,-12.29%,$-1.12B,$21.48B,-5.22%,$-1.80B,$17.37B,-10.50%,$1201,$0,$1201,$52,$386,$740,$461,$-169,$292,$-224,$516,$516,$494,$960,$461,$469,469,$1.02,$1.02,$675,$0,$780,$2203,$17502,$0,$1310,$461,$19273,$21476,$1739,$6746,$1245,$9118,$10857,$5,$2248,$-30,$10619,$21476,$-1050,$2053,$1098,$3151,$-171,$0,$248,$-191,$-150,$1951,$-2649,$0,$1130,$0,$0,$0,$-87,$-1606,$-858,$0,$-858,$312,$312,$-190,$-114,$-850,$-505,$104,$-190
4,2017-09-30,27.96,$20.29,1.38,$8.95,3.12,$-2.38,0.0,$-3.99,0.0,$1.54B,$1.62B,0.95,$7.49B,$9.94B,0.75,$4.07B,$4.07B,100.00%,$4.07B,$-2.71B,-66.54%,$4.07B,$-2.71B,-66.54%,$4.07B,$-0.50B,-12.32%,$4.07B,$-3.02B,-74.39%,$4.07B,$-1.86B,-45.85%,$-1.86B,$9.94B,-19.00%,$-1.86B,$8.65B,-20.33%,$-1.86B,$21.65B,-8.75%,$-2.71B,$17.43B,-15.94%,$960,$0,$960,$64,$382,$958,$2,$-210,$-208,$-93,$-115,$-115,$-136,$525,$2,$487,487,$-0.28,$-0.28,$564,$0,$303,$1542,$18396,$0,$1295,$416,$20107,$21649,$1622,$7487,$1245,$10084,$11706,$5,$1803,$-29,$9943,$21649,$-1566,$1554,$1457,$3011,$-148,$0,$230,$-68,$-27,$1418,$-1956,$0,$184,$0,$0,$0,$-68,$-1840,$-174,$0,$-174,$138,$138,$-141,$-47,$-224,$-646,$83,$-141
5,2017-06-30,27.8,$20.61,1.35,$9.10,3.06,$-1.53,0.0,$-4.04,0.0,$1.58B,$1.60B,0.99,$7.13B,$10.10B,0.71,$4.02B,$4.02B,100.00%,$4.02B,$-2.96B,-73.65%,$4.02B,$-2.96B,-73.65%,$4.02B,$-0.66B,-16.34%,$4.02B,$-3.10B,-77.11%,$4.02B,$-1.87B,-46.63%,$-1.87B,$10.10B,-19.13%,$-1.87B,$8.81B,-19.78%,$-1.87B,$21.57B,-8.70%,$-2.96B,$17.23B,-17.36%,$1059,$0,$1059,$30,$386,$3359,$-2300,$-34,$-2334,$-836,$-1498,$-1498,$-1512,$-1797,$-2300,$472,472,$-3.20,$-3.20,$540,$0,$338,$1577,$18276,$0,$1289,$432,$19997,$21574,$1595,$7133,$1279,$9881,$11476,$5,$1988,$-30,$10098,$21574,$-1451,$1031,$1396,$2427,$-123,$0,$120,$-54,$-99,$877,$-1215,$0,$162,$-68,$0,$-68,$0,$-1121,$-405,$0,$-405,$138,$138,$-92,$-67,$-426,$-670,$67,$-92
6,2017-03-31,33.62,$22.09,1.52,$8.82,3.81,$-1.68,0.0,$-1.57,0.0,$1.45B,$1.49B,0.97,$7.00B,$9.61B,0.73,$3.80B,$3.80B,100.00%,$3.80B,$-0.92B,-24.17%,$3.80B,$-0.92B,-24.17%,$3.80B,$1.50B,39.47%,$3.80B,$-1.26B,-33.13%,$3.80B,$-0.68B,-17.75%,$-0.68B,$9.61B,-6.96%,$-0.68B,$9.61B,-6.96%,$-0.68B,$21.01B,-3.10%,$-0.92B,$16.60B,-5.37%,$1036,$0,$1036,$42,$402,$1001,$35,$24,$59,$12,$47,$47,$36,$563,$35,$431,434,$0.08,$0.08,$787,$0,$135,$1445,$19028,$0,$0,$535,$19563,$21008,$1493,$6995,$1092,$9906,$11399,$5,$3549,$-31,$9609,$21008,$47,$528,$-87,$441,$59,$0,$45,$-33,$48,$536,$-587,$0,$-306,$0,$0,$0,$0,$-893,$0,$0,$0,$0,$0,$-44,$-22,$-66,$-423,$0,$-44
7,2016-12-31,37.17,$22.17,1.68,$8.12,4.58,$-2.13,0.0,$-2.32,0.0,$1.96B,$1.48B,1.32,$7.01B,$9.60B,0.73,$3.49B,$3.49B,100.00%,$3.49B,$-1.38B,-39.42%,$3.49B,$-1.38B,-39.42%,$3.49B,$1.13B,32.45%,$3.49B,$-1.77B,-50.76%,$3.49B,$-1.00B,-28.59%,$-1.00B,$9.60B,-10.18%,$-1.00B,$9.60B,-10.18%,$-1.00B,$21.01B,-4.46%,$-1.38B,$16.61B,-7.88%,$1010,$0,$1010,$548,$368,$1452,$-442,$-99,$-541,$-301,$-240,$-240,$-252,$208,$-442,$430,430,$-0.59,$-0.59,$1180,$0,$160,$1955,$18548,$0,$0,$508,$19056,$21011,$1478,$7011,$1103,$9933,$11411,$5,$3556,$-31,$9600,$21011,$-985,$2509,$287,$2796,$-164,$0,$-111,$-153,$-460,$1351,$-1541,$0,$1241,$0,$0,$0,$-131,$-431,$-833,$0,$-833,$299,$299,$-172,$-62,$-768,$152,$77,$-172
8,2016-09-30,34.81,$22.74,1.53,$7.91,4.4,$-3.97,0.0,$-6.46,0.0,$2.78B,$1.53B,1.82,$7.85B,$9.85B,0.8,$3.34B,$3.34B,100.00%,$3.34B,$-2.64B,-79.16%,$3.34B,$-2.64B,-79.16%,$3.34B,$0.77B,23.14%,$3.34B,$-2.86B,-85.51%,$3.34B,$-2.77B,-83.02%,$-2.77B,$9.85B,-27.74%,$-2.77B,$9.85B,-27.74%,$-2.77B,$22.47B,-11.98%,$-2.64B,$17.70B,-14.78%,$910,$0,$910,$125,$377,$1160,$-250,$-30,$-280,$-137,$-143,$-143,$-144,$370,$-250,$430,430,$-0.33,$-0.33,$1819,$0,$472,$2777,$19105,$0,$0,$587,$19692,$22469,$1528,$7854,$1139,$11096,$12624,$5,$3851,$-32,$9845,$22469,$-745,$1859,$111,$1970,$6,$0,$-124,$-135,$-171,$1054,$-1164,$0,$786,$-8,$0,$-8,$0,$-386,$17,$0,$17,$299,$299,$-129,$-64,$123,$791,$61,$-129
9,2016-06-30,34.83,$22.43,1.55,$7.74,4.5,$-6.18,0.0,$-6.80,0.0,$2.19B,$1.38B,1.59,$7.87B,$9.71B,0.81,$3.25B,$3.25B,100.00%,$3.25B,$-2.86B,-88.06%,$3.25B,$-2.86B,-88.06%,$3.25B,$0.48B,14.62%,$3.25B,$-2.84B,-87.26%,$3.25B,$-2.91B,-89.63%,$-2.91B,$9.71B,-27.35%,$-2.91B,$9.71B,-27.97%,$-2.91B,$22.52B,-12.12%,$-2.86B,$17.58B,-15.39%,$847,$0,$847,$89,$387,$1109,$-262,$-236,$-498,$-183,$-315,$-315,$-315,$360,$-262,$430,430,$-0.73,$-0.73,$1300,$0,$413,$2189,$19734,$0,$0,$593,$20327,$22516,$1375,$7868,$1173,$11428,$12803,$5,$4038,$-32,$9713,$22516,$-602,$1239,$184,$1423,$-6,$0,$-232,$-92,$-381,$440,$-812,$0,$767,$-6,$0,$-6,$0,$-51,$17,$0,$17,$0,$0,$-86,$-48,$-117,$272,$40,$-86
