,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,15.95,$4.52,3.53,$28.40,0.56,$1.24,12.82,$0.78,20.45,$0.57B,$0.36B,1.58,$0.40B,$0.30B,1.35,$1.92B,$0.45B,23.23%,$1.92B,$0.12B,6.26%,$1.92B,$0.12B,6.26%,$1.92B,$0.17B,8.82%,$1.92B,$0.07B,3.86%,$1.92B,$0.05B,2.71%,$0.05B,$0.30B,18.37%,$0.05B,$0.02B,3466.67%,$0.05B,$1.08B,5.12%,$0.12B,$0.70B,17.64%,$549,$415,$133,$0,$79,$494,$55,$-4,$50,$14,$36,$36,$36,$65,$55,$66,66,$0.54,$0.54,$49,$261,$7,$566,$231,$0,$278,$5,$516,$1082,$359,$404,$18,$424,$783,$1,$-214,$-8,$299,$1082,$36,$32,$28,$61,$-14,$-65,$35,$-4,$-39,$57,$-29,$0,$-1,$0,$0,$0,$5,$-25,$4,$-1,$3,$-45,$-45,$0,$-12,$-54,$-22,$9,$0
1,2018-04-30,17.5,$3.97,4.41,$26.73,0.65,$0.64,27.3,$0.49,35.71,$0.50B,$0.32B,1.58,$0.41B,$0.26B,1.56,$1.84B,$0.43B,23.26%,$1.84B,$0.10B,5.39%,$1.84B,$0.10B,5.39%,$1.84B,$0.15B,8.12%,$1.84B,$0.05B,2.83%,$1.84B,$0.03B,1.85%,$0.03B,$0.26B,11.75%,$0.03B,$-0.02B,906.67%,$0.03B,$1.01B,3.38%,$0.10B,$0.67B,14.51%,$457,$353,$104,$0,$74,$438,$19,$-27,$-8,$-2,$-6,$-6,$-6,$30,$19,$66,66,$-0.09,$-0.09,$42,$221,$10,$497,$221,$0,$281,$5,$510,$1007,$315,$409,$18,$429,$744,$1,$-250,$-8,$262,$1007,$-0,$22,$34,$56,$17,$-25,$13,$-5,$-15,$40,$-14,$0,$-4,$0,$0,$0,$0,$-19,$5,$-0,$5,$-46,$-46,$0,$-11,$-52,$-30,$8,$0
2,2018-01-31,18.45,$4.03,4.58,$25.74,0.72,$0.24,78.21,$0.82,22.5,$0.44B,$0.27B,1.6,$0.39B,$0.27B,1.46,$1.80B,$0.42B,23.57%,$1.80B,$0.11B,6.23%,$1.80B,$0.11B,6.23%,$1.80B,$0.16B,9.01%,$1.80B,$0.09B,4.78%,$1.80B,$0.06B,3.17%,$0.06B,$0.27B,19.03%,$0.06B,$-0.02B,570.00%,$0.06B,$0.95B,5.64%,$0.11B,$0.65B,16.30%,$421,$329,$92,$0,$75,$408,$13,$-7,$6,$1,$5,$5,$5,$24,$13,$66,67,$0.08,$0.08,$19,$201,$11,$435,$220,$0,$283,$5,$511,$946,$271,$388,$18,$408,$680,$1,$-244,$-7,$266,$946,$5,$11,$4,$15,$31,$-2,$-31,$-3,$-26,$-7,$-6,$0,$0,$0,$0,$0,$0,$-6,$0,$10,$10,$-46,$-46,$0,$-5,$-41,$-53,$6,$0
3,2017-10-31,15.95,$4.46,3.57,$24.92,0.64,$-0.06,0.0,$0.77,20.71,$0.51B,$0.32B,1.62,$0.39B,$0.31B,1.27,$1.77B,$0.42B,23.50%,$1.77B,$0.11B,6.16%,$1.77B,$0.11B,6.16%,$1.77B,$0.16B,8.98%,$1.77B,$0.08B,4.69%,$1.77B,$0.05B,3.05%,$0.05B,$0.31B,17.78%,$0.05B,$0.02B,526.83%,$0.05B,$1.03B,5.30%,$0.11B,$0.69B,15.77%,$489,$372,$116,$0,$73,$455,$33,$-7,$26,$9,$17,$17,$17,$50,$33,$71,71,$0.24,$0.25,$72,$198,$6,$511,$227,$0,$285,$5,$520,$1031,$316,$387,$18,$410,$726,$1,$-248,$-8,$305,$1031,$55,$49,$3,$52,$-20,$-11,$5,$-3,$-45,$62,$-19,$0,$0,$0,$0,$0,$9,$-10,$-10,$-2,$-12,$-42,$-42,$0,$2,$-52,$0,$10,$0
4,2017-07-31,18.0,$4.57,3.94,$24.61,0.73,$0.05,338.98,$0.79,22.78,$0.52B,$0.29B,1.79,$0.39B,$0.32B,1.2,$1.76B,$0.42B,23.91%,$1.76B,$0.12B,6.53%,$1.76B,$0.12B,6.53%,$1.76B,$0.16B,9.03%,$1.76B,$0.09B,5.05%,$1.76B,$0.06B,3.18%,$0.06B,$0.32B,18.81%,$0.06B,$0.03B,22400.00%,$0.06B,$1.05B,5.47%,$0.12B,$0.71B,16.74%,$469,$354,$115,$0,$76,$435,$34,$-6,$28,$10,$18,$18,$18,$45,$34,$71,71,$0.26,$0.25,$53,$213,$6,$519,$230,$0,$294,$2,$526,$1045,$290,$387,$21,$431,$721,$1,$-266,$-10,$324,$1045,$37,$32,$0,$32,$-9,$-26,$-22,$-0,$-69,$1,$-13,$0,$0,$0,$0,$0,$9,$-5,$-10,$-1,$-11,$-2,$-2,$0,$-2,$-16,$-19,$8,$0
5,2017-04-30,17.5,$4.27,4.1,$24.30,0.72,$0.65,26.95,$0.86,20.35,$0.49B,$0.29B,1.7,$0.39B,$0.30B,1.28,$1.75B,$0.43B,24.74%,$1.75B,$0.13B,7.13%,$1.75B,$0.13B,7.13%,$1.75B,$0.17B,9.64%,$1.75B,$0.10B,5.47%,$1.75B,$0.06B,3.53%,$0.06B,$0.30B,21.83%,$0.06B,$0.01B,-364.71%,$0.06B,$1.02B,6.04%,$0.13B,$0.69B,18.38%,$420,$320,$101,$0,$75,$388,$32,$-7,$26,$9,$17,$17,$17,$43,$32,$71,71,$0.24,$0.24,$56,$195,$5,$491,$235,$0,$296,$2,$533,$1024,$288,$387,$21,$433,$721,$1,$-284,$-11,$303,$1024,$19,$21,$-2,$19,$12,$-9,$-22,$-2,$-30,$8,$-9,$0,$0,$0,$0,$0,$0,$-9,$-10,$-0,$-10,$-2,$-2,$0,$-2,$-15,$-16,$6,$0
6,2017-01-31,16.0,$3.99,4.01,$23.50,0.68,$0.86,18.55,$0.65,24.62,$0.44B,$0.26B,1.68,$0.39B,$0.28B,1.37,$1.71B,$0.42B,24.74%,$1.71B,$0.10B,6.10%,$1.71B,$0.10B,6.10%,$1.71B,$0.15B,8.68%,$1.71B,$0.07B,4.34%,$1.71B,$0.05B,2.75%,$0.05B,$0.28B,16.95%,$0.05B,$-0.02B,-172.48%,$0.05B,$0.98B,4.59%,$0.10B,$0.67B,15.24%,$392,$308,$84,$0,$69,$382,$10,$-7,$3,$1,$2,$2,$2,$21,$10,$71,71,$0.03,$0.03,$22,$192,$4,$440,$239,$0,$299,$2,$539,$979,$261,$386,$21,$435,$696,$1,$-301,$-10,$283,$979,$2,$11,$5,$16,$19,$-5,$-30,$2,$-48,$-30,$-4,$0,$0,$0,$0,$0,$0,$-4,$-10,$-0,$-10,$-3,$-3,$0,$-2,$-15,$-50,$3,$0
7,2016-10-31,14.4,$3.97,3.62,$23.00,0.63,$1.25,11.48,$0.70,20.57,$0.51B,$0.33B,1.55,$0.40B,$0.28B,1.41,$1.68B,$0.43B,25.42%,$1.68B,$0.11B,6.47%,$1.68B,$0.11B,6.47%,$1.68B,$0.15B,9.09%,$1.68B,$0.08B,4.69%,$1.68B,$0.05B,3.03%,$0.05B,$0.28B,18.53%,$0.05B,$-0.02B,-156.92%,$0.05B,$1.05B,4.93%,$0.11B,$0.68B,15.75%,$480,$359,$121,$0,$78,$441,$39,$-8,$32,$13,$19,$19,$19,$50,$39,$72,73,$0.27,$0.27,$71,$187,$4,$505,$242,$0,$301,$2,$545,$1050,$327,$396,$21,$442,$769,$1,$-303,$-11,$281,$1050,$51,$44,$11,$55,$-18,$-29,$-2,$1,$-37,$69,$-16,$0,$-4,$0,$0,$0,$10,$-10,$-40,$-1,$-41,$-51,$-51,$0,$0,$-93,$-34,$11,$0
8,2016-07-31,16.22,$3.77,4.3,$22.63,0.72,$1.67,9.74,$0.68,23.85,$0.49B,$0.32B,1.51,$0.41B,$0.27B,1.54,$1.66B,$0.43B,25.90%,$1.66B,$0.11B,6.37%,$1.66B,$0.11B,6.37%,$1.66B,$0.15B,9.19%,$1.66B,$0.08B,4.51%,$1.66B,$0.05B,3.00%,$0.05B,$0.27B,18.32%,$0.05B,$-0.04B,-131.58%,$0.05B,$1.05B,4.80%,$0.11B,$0.68B,15.10%,$462,$334,$128,$0,$80,$419,$44,$-8,$35,$12,$24,$24,$24,$55,$44,$73,74,$0.32,$0.32,$57,$183,$4,$490,$244,$0,$307,$10,$562,$1052,$324,$414,$21,$460,$783,$1,$-322,$-8,$269,$1052,$32,$34,$6,$40,$-10,$-25,$0,$1,$-31,$41,$-10,$0,$-4,$0,$0,$0,$0,$-14,$-30,$-1,$-31,$-45,$-45,$0,$1,$-75,$-49,$8,$0
9,2016-04-30,14.74,$3.78,3.9,$22.00,0.67,$1.56,9.46,$0.46,32.04,$0.44B,$0.27B,1.62,$0.42B,$0.28B,1.54,$1.62B,$0.40B,24.89%,$1.62B,$0.08B,4.99%,$1.62B,$0.08B,4.99%,$1.62B,$0.13B,8.19%,$1.62B,$0.05B,3.14%,$1.62B,$0.03B,2.03%,$0.03B,$0.28B,12.29%,$0.03B,$-0.03B,-72.53%,$0.03B,$1.02B,3.17%,$0.08B,$0.70B,11.45%,$372,$283,$89,$0,$75,$362,$11,$-7,$4,$1,$2,$2,$2,$22,$11,$72,73,$0.03,$0.03,$84,$151,$3,$440,$256,$0,$310,$11,$576,$1017,$273,$424,$21,$469,$741,$1,$-345,$-8,$276,$1017,$8,$22,$5,$28,$25,$7,$-25,$4,$-16,$20,$-6,$0,$-4,$0,$0,$0,$0,$-10,$-20,$-1,$-21,$-11,$-11,$0,$-0,$-32,$-22,$5,$0
