,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,15.35,$3.26,4.7,$3.30,4.65,$0.51,30.19,$0.09,170.56,$0.19B,$0.05B,4.13,$0.10B,$0.30B,0.32,$0.28B,$0.14B,48.21%,$0.28B,$0.01B,3.93%,$0.28B,$0.01B,3.93%,$0.28B,$0.03B,11.79%,$0.28B,$0.00B,1.07%,$0.28B,$0.01B,2.50%,$0.01B,$0.30B,3.44%,$0.01B,$0.09B,-44.44%,$0.01B,$0.46B,1.87%,$0.01B,$0.40B,3.60%,$69,$37,$32,$0,$28,$65,$4,$-2,$2,$0,$2,$2,$2,$10,$4,$87,91,$0.02,$0.02,$118,$7,$6,$194,$41,$0,$217,$3,$261,$455,$47,$96,$1,$105,$152,$0,$-52,$1,$304,$455,$2,$16,$5,$22,$-2,$1,$0,$-2,$5,$29,$-11,$0,$0,$0,$0,$0,$0,$-11,$-3,$0,$-3,$141,$91,$0,$-1,$87,$106,$5,$0
1,2018-06-30,13.11,$2.01,6.52,$3.29,3.99,$0.33,39.23,$-0.03,0.0,$0.08B,$0.05B,1.74,$0.13B,$0.16B,0.77,$0.27B,$0.13B,47.41%,$0.27B,$0.01B,1.85%,$0.27B,$0.01B,1.85%,$0.27B,$0.03B,10.00%,$0.27B,$-0.00B,-0.74%,$0.27B,$-0.00B,-0.74%,$-0.00B,$0.16B,-1.18%,$-0.00B,$-0.05B,3.92%,$-0.00B,$0.35B,-0.58%,$0.01B,$0.29B,1.84%,$68,$37,$31,$1,$29,$67,$1,$-2,$-1,$-0,$-0,$-0,$6,$6,$1,$81,90,$0.07,$0.07,$9,$7,$6,$83,$43,$0,$218,$1,$263,$346,$48,$126,$1,$134,$182,$0,$-54,$0,$164,$346,$0,$11,$4,$15,$-0,$1,$0,$-3,$6,$21,$-9,$0,$0,$0,$0,$0,$0,$-9,$20,$10,$30,$6,$-45,$0,$-1,$-15,$-3,$4,$0
2,2018-03-31,8.16,$2.14,3.81,$3.32,2.46,$0.16,50.09,$-0.13,0.0,$0.09B,$0.04B,2.03,$0.09B,$0.17B,0.53,$0.26B,$0.12B,46.97%,$0.26B,$0.01B,2.27%,$0.26B,$0.01B,2.27%,$0.26B,$0.03B,10.98%,$0.26B,$-0.00B,-0.38%,$0.26B,$-0.01B,-3.79%,$-0.01B,$0.17B,-5.85%,$-0.01B,$-0.05B,19.80%,$-0.01B,$0.35B,-2.90%,$0.01B,$0.26B,2.25%,$63,$36,$27,$1,$24,$61,$3,$-1,$1,$0,$1,$1,$-2,$8,$3,$81,81,$-0.03,$-0.03,$15,$8,$7,$88,$40,$0,$220,$1,$262,$349,$43,$91,$1,$133,$177,$0,$-60,$0,$173,$349,$1,$5,$2,$7,$2,$-0,$0,$-2,$7,$14,$-5,$0,$0,$0,$0,$0,$0,$-5,$-8,$0,$-8,$0,$0,$0,$0,$-7,$2,$2,$0
3,2017-12-31,8.86,$2.14,4.15,$3.26,2.72,$-0.02,0.0,$-0.14,0.0,$0.09B,$0.04B,2.36,$0.10B,$0.17B,0.56,$0.26B,$0.12B,46.51%,$0.26B,$0.00B,0.78%,$0.26B,$0.00B,0.78%,$0.26B,$0.03B,10.08%,$0.26B,$-0.00B,-1.55%,$0.26B,$-0.01B,-4.65%,$-0.01B,$0.17B,-6.81%,$-0.01B,$-0.05B,26.23%,$-0.01B,$0.34B,-3.50%,$0.00B,$0.27B,0.73%,$80,$35,$45,$1,$41,$77,$3,$-2,$1,$-3,$4,$4,$1,$9,$3,$79,79,$0.03,$0.03,$13,$7,$5,$86,$37,$0,$221,$1,$259,$344,$36,$96,$0,$136,$172,$0,$-58,$0,$172,$344,$-1,$23,$26,$49,$-24,$-1,$0,$-0,$-31,$18,$-14,$0,$0,$0,$0,$0,$0,$-14,$-9,$2,$-7,$3,$3,$0,$0,$-4,$0,$6,$0
4,2017-09-30,11.13,$2.11,5.27,$3.04,3.66,$0.11,102.58,$-0.35,0.0,$0.09B,$0.04B,2.14,$0.10B,$0.17B,0.57,$0.24B,$0.10B,42.86%,$0.24B,$-0.00B,-1.68%,$0.24B,$-0.00B,-1.68%,$0.24B,$0.02B,9.66%,$0.24B,$-0.01B,-5.46%,$0.24B,$-0.03B,-11.34%,$-0.03B,$0.17B,-15.49%,$-0.03B,$-0.05B,55.67%,$-0.03B,$0.34B,-7.91%,$-0.00B,$0.27B,-1.46%,$59,$34,$25,$1,$25,$61,$-2,$-1,$-3,$1,$-4,$-4,$-7,$4,$-2,$80,80,$-0.09,$-0.09,$12,$6,$5,$86,$35,$0,$223,$0,$258,$344,$40,$97,$0,$134,$174,$0,$-60,$0,$170,$344,$-5,$17,$7,$24,$-8,$-0,$0,$-2,$-7,$12,$-10,$0,$0,$0,$0,$0,$0,$-10,$-4,$0,$-4,$2,$2,$0,$0,$-2,$-0,$6,$0
5,2017-06-30,8.96,$2.13,4.21,$3.07,2.92,$0.29,30.72,$-0.32,0.0,$0.08B,$0.04B,2.37,$0.10B,$0.17B,0.6,$0.24B,$0.10B,43.33%,$0.24B,$-0.00B,-0.42%,$0.24B,$-0.00B,-0.42%,$0.24B,$0.03B,11.25%,$0.24B,$-0.01B,-4.17%,$0.24B,$-0.03B,-10.83%,$-0.03B,$0.17B,-13.45%,$-0.03B,$-0.05B,85.25%,$-0.03B,$0.34B,-7.56%,$-0.00B,$0.27B,-0.35%,$62,$35,$27,$1,$25,$60,$2,$-1,$0,$-0,$0,$0,$-2,$8,$2,$79,79,$-0.03,$-0.03,$11,$5,$5,$83,$36,$0,$221,$0,$257,$340,$35,$101,$0,$136,$171,$0,$-52,$0,$169,$340,$-1,$12,$3,$15,$-6,$1,$0,$-1,$-9,$5,$-8,$0,$0,$0,$0,$0,$0,$-8,$-5,$5,$0,$1,$1,$0,$-0,$1,$-2,$3,$0
6,2017-03-31,7.89,$2.45,3.22,$3.10,2.54,$0.44,17.86,$-0.36,0.0,$0.09B,$0.04B,2.12,$0.10B,$0.17B,0.61,$0.24B,$0.11B,43.98%,$0.24B,$-0.00B,-0.41%,$0.24B,$-0.00B,-0.41%,$0.24B,$0.03B,11.20%,$0.24B,$-0.01B,-3.73%,$0.24B,$-0.03B,-12.03%,$-0.03B,$0.19B,-13.70%,$-0.03B,$-0.03B,203.51%,$-0.03B,$0.34B,-8.36%,$-0.00B,$0.30B,-0.34%,$57,$34,$23,$1,$23,$58,$-1,$-1,$-2,$-1,$-1,$-1,$-4,$5,$-1,$79,79,$-0.05,$-0.05,$11,$6,$6,$85,$37,$0,$222,$0,$259,$344,$40,$102,$0,$110,$150,$0,$-49,$0,$194,$344,$-1,$6,$1,$7,$-6,$0,$0,$-1,$-7,$-2,$-3,$0,$0,$0,$0,$0,$0,$-3,$3,$0,$3,$1,$1,$0,$-0,$3,$-1,$1,$0
7,2016-12-31,8.57,$2.08,4.11,$3.16,2.71,$0.58,14.75,$-0.39,0.0,$0.08B,$0.04B,2.07,$0.10B,$0.16B,0.6,$0.24B,$0.11B,45.08%,$0.24B,$0.00B,0.82%,$0.24B,$0.00B,0.82%,$0.24B,$0.03B,12.30%,$0.24B,$-0.01B,-2.87%,$0.24B,$-0.03B,-12.30%,$-0.03B,$0.16B,-13.44%,$-0.03B,$-0.06B,571.43%,$-0.03B,$0.34B,-8.63%,$0.00B,$0.26B,0.69%,$60,$33,$27,$1,$26,$63,$-3,$-5,$-8,$-2,$-6,$-6,$-14,$6,$-3,$78,78,$-0.18,$-0.18,$13,$6,$5,$79,$34,$0,$224,$0,$258,$337,$38,$97,$0,$135,$173,$0,$-52,$0,$164,$337,$-6,$27,$22,$49,$-18,$-1,$0,$0,$-21,$21,$-8,$0,$1,$0,$0,$0,$0,$-7,$15,$13,$28,$4,$-51,$0,$-2,$-26,$-11,$5,$0
8,2016-09-30,8.22,$3.14,2.62,$2.83,2.91,$0.47,17.48,$-0.24,0.0,$0.09B,$0.04B,2.62,$0.06B,$0.20B,0.29,$0.21B,$0.10B,45.02%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.02B,9.95%,$0.21B,$-0.00B,-0.95%,$0.21B,$-0.02B,-8.53%,$-0.02B,$0.25B,-7.67%,$-0.02B,$0.02B,-514.29%,$-0.02B,$0.36B,-5.12%,$0.00B,$0.30B,0.00%,$61,$33,$27,$1,$25,$59,$1,$-1,$-0,$-0,$-0,$-0,$-6,$8,$1,$78,78,$-0.07,$-0.07,$29,$6,$7,$93,$34,$0,$229,$0,$263,$355,$35,$58,$0,$74,$109,$0,$-38,$0,$246,$355,$1,$18,$12,$30,$-9,$-1,$0,$-2,$-9,$22,$-5,$0,$0,$0,$0,$0,$0,$-5,$-14,$0,$-14,$3,$3,$0,$0,$-11,$6,$4,$0
9,2016-06-30,8.04,$3.12,2.57,$2.47,3.26,$0.30,26.51,$-0.17,0.0,$0.09B,$0.04B,2.5,$0.06B,$0.20B,0.28,$0.18B,$0.08B,45.14%,$0.18B,$-0.00B,-0.57%,$0.18B,$-0.00B,-0.57%,$0.18B,$0.02B,8.57%,$0.18B,$-0.00B,-1.14%,$0.18B,$-0.01B,-6.86%,$-0.01B,$0.24B,-6.36%,$-0.01B,$0.01B,-94.12%,$-0.01B,$0.35B,-4.23%,$-0.00B,$0.30B,-0.43%,$63,$35,$29,$1,$25,$61,$2,$-1,$1,$0,$0,$0,$-5,$8,$2,$77,77,$-0.07,$-0.07,$22,$6,$7,$88,$34,$0,$230,$0,$264,$352,$35,$57,$0,$73,$108,$0,$-33,$0,$243,$352,$1,$11,$8,$19,$-10,$-0,$0,$-1,$-8,$12,$-3,$0,$0,$0,$0,$0,$0,$-3,$-3,$-10,$-13,$2,$2,$0,$0,$-10,$-2,$2,$0
