,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.35,$1.03,0.34,$1.67,0.21,$-1.99,0.0,$-0.74,0.0,$0.01B,$0.00B,2.97,$0.00B,$0.01B,0.21,$0.01B,$0.01B,88.89%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$-0.01B,$0.01B,-68.97%,$-0.01B,$0.01B,-68.97%,$-0.01B,$0.01B,-42.55%,$-0.01B,$0.01B,-57.14%,$2,$0,$2,$1,$1,$3,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$6,6,$-0.14,$-0.14,$3,$1,$0,$7,$3,$0,$0,$0,$3,$10,$2,$1,$0,$1,$4,$0,$-185,$-1,$6,$10,$-3,$1,$0,$1,$1,$-0,$0,$-1,$-0,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-3,$0,$0
1,2018-06-30,0.38,$1.19,0.32,$1.76,0.21,$-2.53,0.0,$-0.80,0.0,$0.01B,$0.00B,2.9,$0.00B,$0.01B,0.18,$0.01B,$0.01B,88.89%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$-0.01B,$0.01B,-60.61%,$-0.01B,$0.01B,-60.61%,$-0.01B,$0.01B,-37.74%,$-0.01B,$0.01B,-50.00%,$2,$0,$2,$1,$2,$3,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$6,6,$-0.20,$-0.20,$4,$1,$0,$8,$3,$0,$0,$0,$3,$11,$3,$1,$0,$1,$4,$0,$-184,$-1,$7,$11,$-2,$1,$0,$1,$1,$-0,$0,$-0,$0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-2,$0,$0
2,2018-03-31,0.42,$1.44,0.29,$1.92,0.22,$-3.01,0.0,$-0.80,0.0,$0.01B,$0.00B,3.29,$0.00B,$0.01B,0.18,$0.01B,$0.01B,88.89%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$-0.01B,$0.01B,-71.43%,$-0.01B,$0.01B,-71.43%,$-0.01B,$0.01B,-37.74%,$-0.01B,$0.01B,-55.56%,$2,$0,$2,$2,$2,$3,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$6,6,$-0.10,$-0.10,$5,$1,$0,$10,$3,$0,$0,$0,$3,$13,$3,$2,$0,$2,$4,$0,$-183,$-0,$8,$13,$-1,$0,$0,$0,$0,$-0,$0,$-0,$0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-1,$0,$0
3,2017-12-31,0.74,$1.34,0.55,$1.99,0.37,$-3.24,0.0,$-0.90,0.0,$0.01B,$0.00B,2.73,$0.00B,$0.01B,0.21,$0.01B,$0.01B,88.89%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$0.01B,$-0.01B,-55.56%,$-0.01B,$0.01B,-86.96%,$-0.01B,$0.01B,-86.96%,$-0.01B,$0.01B,-41.67%,$-0.01B,$0.01B,-66.67%,$3,$2,$2,$2,$2,$5,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$5,5,$-0.30,$-0.30,$6,$1,$0,$10,$3,$0,$0,$0,$3,$13,$4,$2,$0,$2,$5,$0,$-184,$-0,$8,$13,$-5,$1,$0,$1,$1,$-0,$0,$-0,$-1,$-6,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$9,$9,$0,$0,$9,$2,$0,$0
4,2017-09-30,1.28,$1.71,0.75,$2.00,0.64,$-3.64,0.0,$-0.70,0.0,$0.01B,$0.00B,3.13,$0.00B,$0.01B,0.18,$0.01B,$0.01B,100.00%,$0.01B,$-0.00B,-33.33%,$0.01B,$-0.00B,-33.33%,$0.01B,$-0.00B,-33.33%,$0.01B,$-0.00B,-33.33%,$0.01B,$-0.00B,-33.33%,$-0.00B,$0.01B,-63.16%,$-0.00B,$0.01B,-63.16%,$-0.00B,$0.02B,-26.67%,$-0.00B,$0.01B,-48.00%,$2,$0,$2,$2,$2,$4,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$-1,$-1,$6,6,$-0.20,$-0.20,$7,$2,$0,$12,$4,$0,$0,$0,$4,$16,$4,$2,$0,$2,$6,$0,$-182,$0,$10,$16,$-3,$1,$0,$1,$1,$-2,$0,$-1,$-2,$-5,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$9,$9,$0,$0,$9,$3,$0,$0
5,2017-06-30,1.08,$0.46,2.36,$1.94,0.56,$-3.66,0.0,$-1.00,0.0,$0.01B,$0.01B,1.06,$0.00B,$0.00B,0.86,$0.01B,$0.01B,100.00%,$0.01B,$-0.00B,-44.44%,$0.01B,$-0.00B,-44.44%,$0.01B,$-0.00B,-44.44%,$0.01B,$-0.00B,-44.44%,$0.01B,$-0.00B,-44.44%,$-0.00B,$0.00B,-114.29%,$-0.00B,$0.00B,-114.29%,$-0.00B,$0.01B,-40.00%,$-0.00B,$0.00B,-84.21%,$2,$0,$2,$1,$2,$4,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$-1,$-1,$5,5,$-0.20,$-0.20,$2,$2,$0,$7,$4,$0,$0,$0,$4,$11,$7,$2,$0,$2,$9,$0,$-181,$-0,$2,$11,$-2,$0,$0,$0,$0,$-2,$0,$-1,$-1,$-3,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$0,$2,$0,$0,$0,$0,$2,$-2,$0,$0
6,2017-03-31,1.6,$0.65,2.45,$2.05,0.78,$-3.45,0.0,$-1.10,0.0,$0.01B,$0.00B,1.49,$0.00B,$0.00B,0.29,$0.01B,$0.01B,90.00%,$0.01B,$-0.00B,-40.00%,$0.01B,$-0.00B,-40.00%,$0.01B,$-0.00B,-40.00%,$0.01B,$-0.00B,-40.00%,$0.01B,$-0.00B,-40.00%,$-0.00B,$0.00B,-145.45%,$-0.00B,$0.00B,-145.45%,$-0.00B,$0.01B,-48.48%,$-0.00B,$0.00B,-114.29%,$2,$0,$2,$1,$2,$3,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$5,5,$-0.20,$-0.20,$2,$2,$0,$6,$2,$0,$0,$0,$2,$8,$4,$1,$0,$1,$5,$0,$-180,$-0,$3,$8,$-1,$0,$0,$0,$1,$-1,$0,$-0,$-1,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-2,$0,$0
7,2016-12-31,1.84,$0.85,2.17,$2.28,0.81,$-3.14,0.0,$-1.20,0.0,$0.01B,$0.01B,1.66,$0.00B,$0.00B,0.23,$0.01B,$0.01B,90.91%,$0.01B,$-0.00B,-36.36%,$0.01B,$-0.00B,-36.36%,$0.01B,$-0.00B,-36.36%,$0.01B,$-0.00B,-36.36%,$0.01B,$-0.00B,-36.36%,$-0.00B,$0.00B,-177.78%,$-0.00B,$0.00B,-177.78%,$-0.00B,$0.01B,-53.33%,$-0.00B,$0.01B,-145.45%,$3,$0,$3,$1,$2,$3,$-0,$-0,$-0,$0,$-1,$-1,$-0,$-0,$-0,$5,5,$-0.10,$-0.10,$3,$1,$0,$8,$2,$0,$0,$0,$2,$10,$5,$1,$0,$1,$6,$0,$-179,$-0,$4,$10,$-6,$0,$0,$1,$-0,$-1,$0,$-1,$-1,$-6,$-1,$0,$0,$0,$-0,$-0,$0,$-1,$-0,$0,$-0,$8,$8,$0,$0,$8,$0,$0,$0
8,2016-09-30,1.14,$0.98,1.16,$2.38,0.48,$-3.56,0.0,$-1.70,0.0,$0.01B,$0.01B,1.74,$0.00B,$0.01B,0.22,$0.01B,$0.01B,72.73%,$0.01B,$-0.01B,-63.64%,$0.01B,$-0.01B,-63.64%,$0.01B,$-0.01B,-54.55%,$0.01B,$-0.01B,-63.64%,$0.01B,$-0.01B,-63.64%,$-0.01B,$0.01B,-400.00%,$-0.01B,$0.01B,-400.00%,$-0.01B,$0.01B,-107.69%,$-0.01B,$0.01B,-350.00%,$2,$0,$2,$2,$2,$4,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$5,5,$-0.50,$-0.50,$6,$1,$0,$9,$2,$0,$0,$0,$2,$11,$5,$1,$0,$1,$6,$0,$-179,$-0,$5,$11,$-5,$0,$0,$1,$1,$-1,$0,$0,$1,$-4,$-1,$0,$0,$0,$-0,$-0,$0,$-1,$-0,$0,$-0,$8,$8,$0,$0,$8,$3,$0,$0
9,2016-06-30,1.46,$-0.20,-7.29,$2.79,0.52,$-3.81,0.0,$-1.50,0.0,$0.00B,$0.00B,0.69,$0.00B,$-0.00B,-0.34,$0.01B,$0.01B,66.67%,$0.01B,$-0.01B,-50.00%,$0.01B,$-0.01B,-50.00%,$0.01B,$-0.01B,-41.67%,$0.01B,$-0.01B,-50.00%,$0.01B,$-0.01B,-50.00%,$-0.01B,$-0.00B,-2400.00%,$-0.01B,$-0.00B,-2400.00%,$-0.01B,$0.00B,-126.32%,$-0.01B,$-0.00B,-2400.00%,$3,$0,$2,$2,$2,$4,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$4,4,$-0.30,$-0.30,$1,$0,$0,$3,$1,$0,$0,$0,$1,$4,$4,$0,$0,$0,$5,$0,$-176,$-0,$-1,$4,$-3,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-2,$0,$0
