,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.39,$2.60,2.08,$20.69,0.26,$-4.50,0.0,$-2.63,0.0,$0.01B,$0.01B,0.94,$0.01B,$0.01B,0.51,$0.06B,$0.01B,15.63%,$0.06B,$-0.01B,-10.94%,$0.06B,$-0.01B,-10.94%,$0.06B,$-0.00B,-6.25%,$0.06B,$-0.01B,-12.50%,$0.06B,$-0.01B,-12.50%,$-0.01B,$0.01B,-69.57%,$-0.01B,$-0.01B,400.00%,$-0.01B,$0.03B,-28.32%,$-0.01B,$0.02B,-42.42%,$17,$15,$3,$0,$2,$18,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$4,4,$-0.23,$-0.23,$3,$0,$0,$9,$0,$0,$15,$1,$16,$25,$10,$5,$0,$5,$15,$0,$-171,$-2,$10,$25,$-3,$2,$-0,$1,$0,$0,$-2,$0,$-1,$-3,$0,$0,$0,$0,$0,$0,$-4,$-4,$-1,$-0,$-1,$0,$0,$0,$0,$-1,$-9,$0,$0
1,2018-06-30,7.35,$2.81,2.62,$24.15,0.3,$-5.04,0.0,$-3.30,0.0,$0.01B,$0.01B,1.27,$0.01B,$0.01B,0.47,$0.06B,$0.01B,14.52%,$0.06B,$-0.01B,-11.29%,$0.06B,$-0.01B,-11.29%,$0.06B,$-0.01B,-8.06%,$0.06B,$-0.01B,-14.52%,$0.06B,$-0.01B,-14.52%,$-0.01B,$0.01B,-94.74%,$-0.01B,$-0.00B,257.14%,$-0.01B,$0.03B,-33.33%,$-0.01B,$0.02B,-46.67%,$16,$14,$3,$0,$3,$18,$-1,$0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$4,4,$-0.23,$-0.23,$7,$0,$0,$14,$0,$0,$12,$0,$13,$27,$11,$5,$0,$5,$16,$0,$-170,$-2,$11,$27,$-3,$1,$0,$2,$1,$0,$-2,$-0,$-2,$-3,$0,$0,$0,$0,$0,$0,$-1,$-1,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-5,$0,$0
2,2018-03-31,6.96,$3.04,2.29,$28.99,0.24,$-5.71,0.0,$-3.97,0.0,$0.02B,$0.01B,1.3,$0.01B,$0.01B,0.43,$0.06B,$0.01B,14.52%,$0.06B,$-0.01B,-11.29%,$0.06B,$-0.01B,-11.29%,$0.06B,$-0.01B,-8.06%,$0.06B,$-0.01B,-16.13%,$0.06B,$-0.01B,-16.13%,$-0.01B,$0.01B,-137.93%,$-0.01B,$-0.00B,173.91%,$-0.01B,$0.03B,-38.83%,$-0.01B,$0.02B,-53.85%,$16,$14,$2,$0,$3,$17,$-1,$-1,$-2,$0,$-2,$-2,$-2,$-0,$-1,$4,4,$-0.42,$-0.42,$9,$0,$0,$16,$0,$0,$13,$0,$13,$29,$12,$5,$0,$5,$18,$0,$-169,$-2,$12,$29,$-2,$1,$0,$1,$1,$0,$-1,$-1,$-0,$-1,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-0,$-1,$0,$0,$0,$0,$-1,$-2,$0,$0
3,2017-12-31,11.13,$3.41,3.26,$33.07,0.34,$-6.00,0.0,$-5.05,0.0,$0.02B,$0.02B,1.3,$0.01B,$0.01B,0.34,$0.06B,$0.01B,15.00%,$0.06B,$-0.01B,-13.33%,$0.06B,$-0.01B,-13.33%,$0.06B,$-0.01B,-11.67%,$0.06B,$-0.01B,-18.33%,$0.06B,$-0.01B,-16.67%,$-0.01B,$0.01B,-200.00%,$-0.01B,$0.00B,125.00%,$-0.01B,$0.03B,-41.24%,$-0.01B,$0.02B,-76.19%,$15,$14,$2,$0,$5,$19,$-4,$-0,$-4,$0,$-4,$-4,$-4,$-3,$-4,$2,2,$-1.70,$-1.70,$11,$0,$0,$19,$0,$0,$13,$0,$13,$32,$15,$5,$0,$5,$19,$0,$-167,$-3,$13,$32,$-10,$3,$3,$5,$3,$0,$-3,$-1,$-1,$-5,$-0,$0,$0,$0,$0,$0,$-2,$-2,$3,$0,$3,$15,$15,$0,$0,$18,$11,$3,$0
4,2017-09-30,8.45,$0.93,9.12,$36.95,0.23,$-6.04,0.0,$-4.90,0.0,$0.01B,$0.01B,0.61,$0.01B,$0.00B,3.47,$0.06B,$0.01B,15.00%,$0.06B,$-0.01B,-11.67%,$0.06B,$-0.01B,-11.67%,$0.06B,$-0.01B,-8.33%,$0.06B,$-0.01B,-16.67%,$0.06B,$-0.01B,-15.00%,$-0.01B,$0.00B,-327.27%,$-0.01B,$-0.01B,87.80%,$-0.01B,$0.02B,-40.91%,$-0.01B,$0.01B,-87.50%,$15,$13,$2,$0,$2,$16,$-1,$-0,$-2,$0,$-2,$-2,$-2,$-1,$-1,$2,2,$-0.90,$-0.90,$1,$0,$0,$7,$0,$0,$13,$0,$13,$20,$12,$7,$0,$7,$18,$0,$-163,$-3,$2,$20,$-6,$2,$1,$3,$3,$0,$-2,$-0,$1,$-3,$0,$0,$0,$0,$0,$0,$-1,$-1,$3,$0,$3,$1,$1,$0,$0,$4,$0,$1,$0
5,2017-06-30,6.52,$1.10,5.93,$39.06,0.17,$-5.42,0.0,$-6.50,0.0,$0.01B,$0.01B,0.62,$0.01B,$0.00B,3.17,$0.06B,$0.01B,15.25%,$0.06B,$-0.01B,-13.56%,$0.06B,$-0.01B,-13.56%,$0.06B,$-0.01B,-8.47%,$0.06B,$-0.01B,-20.34%,$0.06B,$-0.01B,-16.95%,$-0.01B,$0.00B,-250.00%,$-0.01B,$-0.01B,108.11%,$-0.01B,$0.02B,-43.96%,$-0.01B,$0.01B,-94.12%,$16,$13,$3,$0,$3,$17,$-1,$-0,$-2,$0,$-2,$-2,$-2,$-1,$-1,$2,2,$-0.93,$-0.93,$1,$0,$0,$9,$0,$0,$13,$0,$13,$22,$14,$6,$0,$6,$20,$0,$-162,$-3,$2,$22,$-4,$1,$-0,$1,$2,$0,$-2,$0,$0,$-3,$0,$0,$0,$0,$0,$0,$-1,$-1,$3,$0,$3,$1,$1,$0,$0,$4,$1,$1,$0
6,2017-03-31,9.31,$1.97,4.73,$41.71,0.22,$-5.44,0.0,$-10.20,0.0,$0.01B,$0.02B,0.59,$0.00B,$0.00B,1.11,$0.06B,$0.01B,14.04%,$0.06B,$-0.01B,-17.54%,$0.06B,$-0.01B,-17.54%,$0.06B,$-0.01B,-10.53%,$0.06B,$-0.02B,-26.32%,$0.06B,$-0.01B,-22.81%,$-0.01B,$0.00B,-247.62%,$-0.01B,$-0.01B,157.58%,$-0.01B,$0.02B,-57.14%,$-0.01B,$0.01B,-108.11%,$14,$11,$2,$0,$3,$16,$-2,$-0,$-3,$0,$-3,$-3,$-2,$-2,$-2,$2,2,$-1.51,$-1.51,$1,$0,$0,$9,$0,$0,$13,$1,$14,$23,$16,$4,$0,$4,$20,$0,$-160,$-2,$3,$23,$-2,$1,$1,$1,$1,$0,$0,$-1,$0,$-1,$0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$0,$0,$1,$1,$0,$0,$1,$0,$1,$0
7,2016-12-31,7.5,$2.65,2.83,$43.46,0.17,$-5.70,0.0,$-10.70,0.0,$0.01B,$0.02B,0.6,$0.00B,$0.00B,0.89,$0.05B,$0.01B,14.81%,$0.05B,$-0.01B,-18.52%,$0.05B,$-0.01B,-18.52%,$0.05B,$-0.01B,-9.26%,$0.05B,$-0.01B,-25.93%,$0.05B,$-0.01B,-24.07%,$-0.01B,$0.00B,-200.00%,$-0.01B,$-0.01B,173.33%,$-0.01B,$0.02B,-57.78%,$-0.01B,$0.01B,-97.56%,$15,$13,$2,$0,$3,$18,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-1,$-3,$1,1,$-1.63,$-1.63,$1,$0,$0,$9,$0,$0,$13,$1,$14,$23,$15,$4,$0,$4,$19,$0,$-157,$-2,$4,$23,$-13,$4,$5,$9,$-3,$0,$4,$0,$1,$-3,$-0,$0,$0,$0,$0,$0,$-1,$-2,$3,$1,$4,$0,$0,$0,$0,$4,$-0,$3,$0
8,2016-09-30,11.7,$4.35,2.69,$55.37,0.21,$-6.60,0.0,$-14.10,0.0,$0.01B,$0.01B,0.68,$0.00B,$0.01B,0.62,$0.05B,$0.01B,14.81%,$0.05B,$-0.01B,-20.37%,$0.05B,$-0.01B,-20.37%,$0.05B,$-0.01B,-12.96%,$0.05B,$-0.02B,-29.63%,$0.05B,$-0.02B,-27.78%,$-0.02B,$0.01B,-193.55%,$-0.02B,$-0.01B,222.22%,$-0.02B,$0.02B,-66.67%,$-0.01B,$0.01B,-97.78%,$14,$12,$2,$0,$3,$16,$-2,$-2,$-4,$0,$-4,$-4,$-3,$-1,$-2,$1,1,$-2.47,$-2.47,$1,$0,$0,$9,$0,$0,$14,$1,$15,$23,$13,$4,$0,$4,$17,$0,$-155,$-2,$7,$23,$-11,$2,$4,$6,$-1,$0,$4,$-0,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$3,$0,$3,$0,$0,$0,$0,$3,$0,$3,$0
9,2016-06-30,18.4,$5.22,3.52,$63.89,0.29,$-11.66,0.0,$-18.60,0.0,$0.01B,$0.01B,0.64,$0.00B,$0.01B,0.55,$0.05B,$0.01B,15.09%,$0.05B,$-0.01B,-20.75%,$0.05B,$-0.01B,-20.75%,$0.05B,$-0.01B,-9.43%,$0.05B,$-0.02B,-32.08%,$0.05B,$-0.02B,-32.08%,$-0.02B,$0.01B,-206.06%,$-0.02B,$-0.01B,261.54%,$-0.02B,$0.02B,-73.12%,$-0.01B,$0.01B,-95.65%,$14,$11,$2,$0,$4,$16,$-3,$-3,$-5,$0,$-5,$-5,$-5,$-2,$-3,$1,1,$-4.59,$-4.59,$1,$0,$0,$7,$0,$0,$14,$1,$15,$22,$11,$4,$0,$4,$15,$0,$-151,$-2,$7,$22,$-7,$2,$2,$4,$-0,$0,$2,$0,$2,$-1,$-0,$0,$0,$0,$0,$0,$-1,$-1,$1,$1,$2,$0,$0,$0,$0,$2,$-0,$2,$0
