,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,56.06,$22.54,2.49,$18.44,3.04,$2.88,19.49,$4.53,12.38,$0.55B,$0.44B,1.24,$2.13B,$1.94B,1.1,$1.59B,$1.26B,78.78%,$1.59B,$0.49B,30.63%,$1.59B,$0.49B,30.63%,$1.59B,$0.73B,45.76%,$1.59B,$0.38B,24.04%,$1.59B,$0.39B,24.61%,$0.39B,$1.94B,20.52%,$0.39B,$1.93B,20.57%,$0.39B,$6.04B,6.61%,$0.49B,$4.07B,12.37%,$289,$15,$274,$0,$130,$209,$81,$-26,$54,$16,$38,$38,$38,$144,$81,$86,86,$0.44,$0.44,$233,$74,$96,$545,$4977,$0,$5,$274,$5492,$6036,$440,$2131,$838,$3659,$4099,$86,$1099,$-68,$1937,$6036,$392,$241,$-2,$239,$-31,$-4,$18,$-23,$-33,$614,$-528,$0,$0,$0,$0,$0,$-0,$-529,$-271,$0,$-271,$4,$4,$-143,$0,$-411,$-326,$16,$-143
1,2018-06-30,52.96,$22.43,2.36,$18.43,2.87,$4.92,10.77,$4.62,11.46,$0.59B,$0.66B,0.89,$1.84B,$1.93B,0.95,$1.59B,$1.26B,79.01%,$1.59B,$0.49B,31.05%,$1.59B,$0.49B,31.05%,$1.59B,$0.73B,45.76%,$1.59B,$0.39B,24.51%,$1.59B,$0.40B,25.14%,$0.40B,$1.93B,21.59%,$0.40B,$1.92B,21.66%,$0.40B,$5.97B,6.73%,$0.49B,$3.76B,12.75%,$343,$52,$291,$0,$122,$235,$108,$-26,$82,$19,$63,$63,$63,$169,$108,$86,87,$0.73,$0.73,$316,$51,$72,$589,$4843,$0,$5,$266,$5385,$5974,$661,$1836,$810,$3385,$4047,$86,$1097,$-72,$1927,$5974,$354,$178,$-32,$146,$-35,$19,$2,$-24,$6,$518,$-348,$0,$0,$0,$0,$0,$-2,$-350,$-307,$0,$-307,$4,$4,$-107,$0,$-410,$-242,$12,$-107
2,2018-03-31,51.04,$22.35,2.28,$18.51,2.76,$6.02,8.48,$4.58,11.14,$0.59B,$0.38B,1.56,$2.09B,$1.92B,1.09,$1.60B,$1.27B,79.45%,$1.60B,$0.51B,31.89%,$1.60B,$0.51B,31.89%,$1.60B,$0.74B,46.24%,$1.60B,$0.40B,25.31%,$1.60B,$0.40B,24.87%,$0.40B,$1.92B,22.16%,$0.40B,$1.91B,22.23%,$0.40B,$5.92B,6.71%,$0.51B,$4.00B,13.39%,$541,$177,$364,$0,$146,$384,$157,$-27,$130,$38,$92,$92,$92,$218,$157,$86,86,$1.07,$1.06,$232,$42,$121,$593,$4783,$0,$5,$265,$5322,$5915,$380,$2085,$804,$3615,$3995,$86,$1071,$-48,$1919,$5915,$291,$117,$-55,$62,$-124,$28,$11,$-39,$-74,$287,$-244,$0,$0,$0,$0,$0,$5,$-239,$-307,$0,$-307,$3,$3,$-71,$0,$-375,$-328,$8,$-71
3,2017-12-31,54.03,$21.69,2.49,$18.31,2.95,$7.51,7.2,$4.56,11.85,$0.52B,$0.37B,1.43,$2.08B,$1.86B,1.12,$1.58B,$1.28B,81.04%,$1.58B,$0.52B,33.10%,$1.58B,$0.52B,33.10%,$1.58B,$0.75B,47.37%,$1.58B,$0.42B,26.38%,$1.58B,$0.39B,24.98%,$0.39B,$1.86B,22.84%,$0.39B,$1.85B,22.92%,$0.39B,$5.79B,6.69%,$0.52B,$3.94B,13.97%,$420,$94,$326,$0,$128,$278,$142,$-25,$117,$-81,$199,$199,$199,$198,$142,$86,86,$2.32,$2.30,$171,$59,$130,$522,$4729,$0,$5,$270,$5270,$5792,$365,$2084,$797,$3567,$3932,$86,$1015,$-41,$1860,$5792,$199,$56,$-91,$-35,$-83,$10,$13,$-25,$-73,$95,$-143,$0,$0,$0,$0,$0,$3,$-140,$-307,$0,$-307,$0,$0,$-36,$-2,$-344,$-389,$4,$-36
4,2017-09-30,55.29,$19.92,2.78,$18.38,3.01,$8.51,6.5,$3.30,16.75,$0.82B,$0.65B,1.27,$2.08B,$1.70B,1.22,$1.58B,$1.30B,82.53%,$1.58B,$0.55B,34.94%,$1.58B,$0.55B,34.94%,$1.58B,$0.78B,49.18%,$1.58B,$0.44B,28.10%,$1.58B,$0.28B,17.97%,$0.28B,$1.70B,17.19%,$0.28B,$1.70B,17.25%,$0.28B,$6.10B,4.85%,$0.55B,$3.79B,15.07%,$287,$11,$276,$0,$133,$200,$87,$-26,$61,$15,$46,$46,$46,$143,$87,$85,86,$0.53,$0.53,$557,$70,$79,$818,$4674,$0,$5,$345,$5285,$6103,$646,$2084,$520,$3754,$4400,$86,$852,$-30,$1704,$6103,$283,$224,$130,$354,$-3,$-1,$17,$10,$30,$684,$-424,$0,$0,$0,$0,$0,$1,$-423,$295,$0,$295,$8,$8,$-139,$0,$164,$426,$12,$-139
5,2017-06-30,54.14,$19.70,2.75,$18.49,2.93,$7.19,7.53,$3.21,16.87,$0.54B,$0.60B,0.9,$1.79B,$1.68B,1.06,$1.59B,$1.32B,83.28%,$1.59B,$0.55B,34.45%,$1.59B,$0.55B,34.45%,$1.59B,$0.77B,48.64%,$1.59B,$0.44B,27.76%,$1.59B,$0.28B,17.41%,$0.28B,$1.68B,17.17%,$0.28B,$1.68B,17.22%,$0.28B,$5.87B,4.81%,$0.55B,$3.47B,15.08%,$348,$46,$302,$0,$123,$225,$123,$-28,$96,$36,$60,$60,$60,$179,$123,$85,86,$0.70,$0.69,$287,$52,$74,$542,$4584,$0,$5,$374,$5325,$5868,$602,$1788,$497,$3581,$4183,$85,$842,$-33,$1684,$5868,$238,$169,$114,$283,$-16,$16,$5,$-4,$19,$551,$-288,$0,$0,$0,$0,$0,$-10,$-298,$0,$0,$0,$6,$6,$-104,$0,$-97,$155,$9,$-104
6,2017-03-31,57.39,$19.34,2.97,$18.37,3.12,$5.23,10.98,$2.62,21.9,$0.56B,$0.33B,1.71,$2.09B,$1.65B,1.26,$1.57B,$1.33B,84.55%,$1.57B,$0.47B,29.75%,$1.57B,$0.47B,29.75%,$1.57B,$0.70B,44.25%,$1.57B,$0.36B,22.95%,$1.57B,$0.22B,14.24%,$0.22B,$1.65B,14.28%,$0.22B,$1.65B,14.33%,$0.22B,$5.81B,3.96%,$0.47B,$3.74B,12.80%,$522,$148,$374,$0,$147,$352,$170,$-28,$142,$53,$89,$89,$89,$227,$170,$85,86,$1.05,$1.04,$233,$44,$109,$557,$4519,$0,$5,$364,$5248,$5805,$326,$2087,$496,$3827,$4153,$85,$817,$-34,$1651,$5805,$178,$113,$69,$183,$-92,$24,$14,$-8,$-17,$352,$-182,$0,$0,$0,$0,$0,$-3,$-185,$0,$0,$0,$3,$3,$-69,$0,$-66,$101,$6,$-69
7,2016-12-31,54.15,$18.39,2.94,$17.59,3.08,$3.94,13.74,$-0.16,0.0,$0.47B,$0.31B,1.53,$2.09B,$1.57B,1.33,$1.50B,$1.32B,88.27%,$1.50B,$0.06B,4.07%,$1.50B,$0.06B,4.07%,$1.50B,$0.30B,19.73%,$1.50B,$-0.05B,-3.00%,$1.50B,$-0.01B,-0.87%,$-0.01B,$1.57B,-0.83%,$-0.01B,$1.56B,-0.84%,$-0.01B,$5.66B,-0.23%,$0.06B,$3.66B,1.67%,$423,$70,$352,$0,$124,$250,$172,$-27,$145,$56,$89,$89,$89,$228,$172,$85,86,$1.04,$1.04,$136,$58,$113,$468,$4486,$0,$5,$339,$5194,$5662,$306,$2087,$507,$3787,$4093,$85,$763,$-55,$1569,$5662,$89,$56,$47,$104,$-67,$11,$19,$-3,$-51,$145,$-106,$0,$0,$0,$6,$6,$-4,$-105,$0,$0,$0,$0,$0,$-34,$1,$-34,$7,$2,$-34
8,2016-09-30,51.33,$17.94,2.86,$17.10,3.0,$2.76,18.59,$-3.43,0.0,$0.41B,$0.30B,1.36,$2.09B,$1.53B,1.37,$1.45B,$1.31B,89.88%,$1.45B,$-0.42B,-28.72%,$1.45B,$-0.42B,-28.72%,$1.45B,$-0.17B,-11.50%,$1.45B,$-0.52B,-36.02%,$1.45B,$-0.29B,-20.04%,$-0.29B,$1.53B,-17.94%,$-0.29B,$1.52B,-18.00%,$-0.29B,$5.64B,-5.02%,$-0.42B,$3.61B,-11.25%,$292,$1,$292,$0,$122,$211,$81,$-25,$57,$19,$38,$38,$38,$137,$81,$85,85,$0.44,$0.44,$131,$68,$80,$413,$4454,$0,$5,$404,$5223,$5636,$304,$2086,$499,$3806,$4109,$85,$676,$-6,$1527,$5636,$-291,$249,$705,$955,$-6,$-4,$-41,$-3,$-88,$589,$-444,$0,$0,$0,$0,$0,$-9,$-453,$0,$0,$0,$14,$14,$-135,$2,$-119,$16,$6,$-135
9,2016-06-30,53.6,$17.98,2.98,$17.22,3.11,$-0.90,0.0,$-6.09,0.0,$0.36B,$0.28B,1.31,$2.09B,$1.53B,1.37,$1.46B,$1.31B,89.60%,$1.46B,$-0.83B,-56.47%,$1.46B,$-0.83B,-56.47%,$1.46B,$-0.56B,-38.33%,$1.46B,$-0.93B,-63.66%,$1.46B,$-0.52B,-35.39%,$-0.52B,$1.53B,-29.59%,$-0.52B,$1.52B,-29.69%,$-0.52B,$5.54B,-8.58%,$-0.83B,$3.61B,-21.53%,$336,$23,$312,$0,$126,$290,$45,$-28,$17,$9,$8,$8,$8,$104,$45,$85,85,$0.10,$0.10,$109,$49,$63,$361,$4448,$0,$5,$412,$5180,$5541,$276,$2086,$499,$3737,$4014,$85,$673,$8,$1528,$5541,$-329,$193,$648,$841,$-8,$16,$-54,$2,$-62,$460,$-367,$0,$0,$0,$0,$0,$-11,$-378,$0,$0,$0,$8,$8,$-100,$2,$-90,$-8,$3,$-100
