,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,75.59,$32.28,2.34,$6.99,10.82,$0.99,76.08,$3.70,20.43,$0.27B,$0.02B,14.53,$1.22B,$1.36B,0.9,$0.29B,$0.29B,100.00%,$0.29B,$0.21B,70.21%,$0.29B,$0.21B,70.21%,$0.29B,$0.28B,95.89%,$0.29B,$0.16B,53.08%,$0.29B,$0.16B,53.08%,$0.16B,$1.36B,11.55%,$0.16B,$1.36B,11.55%,$0.16B,$2.67B,5.93%,$0.21B,$2.58B,8.10%,$75,$0,$75,$0,$3,$22,$53,$-12,$41,$0,$41,$41,$41,$73,$53,$42,42,$0.97,$0.97,$3,$0,$0,$272,$2374,$0,$0,$25,$2399,$2671,$19,$1220,$69,$1289,$1308,$0,$24,$3,$1363,$2671,$117,$56,$-17,$39,$0,$0,$0,$-4,$-0,$156,$-137,$0,$0,$0,$-13,$-13,$0,$-149,$269,$-198,$71,$48,$48,$-123,$-3,$-7,$-0,$2,$-123
1,2018-06-30,73.68,$32.28,2.28,$6.94,10.61,$0.49,150.89,$3.67,20.08,$0.26B,$0.02B,15.55,$1.23B,$1.36B,0.9,$0.29B,$0.29B,100.00%,$0.29B,$0.20B,70.49%,$0.29B,$0.20B,70.49%,$0.29B,$0.28B,96.18%,$0.29B,$0.15B,53.13%,$0.29B,$0.15B,53.13%,$0.15B,$1.36B,11.48%,$0.15B,$1.36B,11.48%,$0.15B,$2.67B,5.94%,$0.20B,$2.59B,8.14%,$73,$0,$73,$0,$3,$23,$50,$-12,$38,$0,$38,$38,$38,$69,$50,$42,42,$0.91,$0.91,$3,$0,$0,$261,$2389,$0,$0,$23,$2412,$2673,$17,$1226,$69,$1295,$1312,$0,$25,$2,$1361,$2673,$76,$37,$-8,$28,$0,$0,$0,$-6,$-3,$102,$-134,$0,$0,$0,$-7,$-7,$0,$-141,$-31,$106,$75,$45,$45,$-81,$-0,$39,$-0,$2,$-81
2,2018-03-31,66.4,$31.78,2.09,$6.89,9.63,$0.18,371.36,$3.69,17.99,$0.25B,$0.02B,15.21,$1.16B,$1.32B,0.88,$0.29B,$0.29B,100.00%,$0.29B,$0.20B,71.23%,$0.29B,$0.20B,71.23%,$0.29B,$0.28B,96.84%,$0.29B,$0.15B,53.68%,$0.29B,$0.15B,53.68%,$0.15B,$1.32B,11.64%,$0.15B,$1.32B,11.64%,$0.15B,$2.56B,6.04%,$0.20B,$2.48B,8.27%,$73,$0,$73,$0,$4,$22,$51,$-12,$38,$0,$38,$38,$38,$69,$51,$42,42,$0.93,$0.92,$3,$0,$0,$251,$2286,$0,$0,$22,$2308,$2559,$17,$1160,$63,$1223,$1240,$0,$29,$1,$1320,$2559,$38,$18,$-4,$14,$0,$0,$0,$-4,$-4,$49,$-16,$0,$0,$0,$-3,$-3,$0,$-20,$-30,$41,$11,$0,$0,$-39,$-0,$-29,$0,$1,$-39
3,2017-12-31,73.3,$31.83,2.3,$6.80,10.78,$-2.44,0.0,$3.87,18.94,$0.24B,$0.02B,14.84,$1.15B,$1.32B,0.87,$0.28B,$0.28B,100.00%,$0.28B,$0.20B,71.22%,$0.28B,$0.20B,71.22%,$0.28B,$0.27B,97.12%,$0.28B,$0.16B,57.19%,$0.28B,$0.16B,57.19%,$0.16B,$1.32B,12.18%,$0.16B,$1.32B,12.18%,$0.16B,$2.55B,6.30%,$0.20B,$2.47B,8.11%,$71,$0,$71,$0,$3,$20,$51,$-13,$38,$0,$38,$38,$38,$69,$51,$41,41,$0.91,$0.90,$3,$0,$0,$242,$2286,$0,$0,$18,$2304,$2546,$16,$1145,$62,$1207,$1224,$0,$33,$-1,$1322,$2546,$159,$73,$-32,$40,$0,$0,$0,$-4,$-2,$197,$-175,$0,$0,$18,$-7,$11,$0,$-164,$-62,$63,$1,$122,$122,$-153,$-6,$-35,$-2,$3,$-153
4,2017-09-30,74.23,$31.97,2.32,$6.73,11.03,$-7.82,0.0,$4.00,18.56,$0.24B,$0.02B,12.72,$1.11B,$1.33B,0.84,$0.27B,$0.27B,100.00%,$0.27B,$0.19B,70.96%,$0.27B,$0.19B,70.96%,$0.27B,$0.26B,97.06%,$0.27B,$0.16B,59.56%,$0.27B,$0.16B,59.56%,$0.16B,$1.33B,12.68%,$0.16B,$1.33B,12.68%,$0.16B,$2.52B,6.51%,$0.19B,$2.44B,8.02%,$71,$0,$71,$0,$3,$20,$51,$-12,$39,$0,$39,$39,$39,$70,$51,$41,41,$0.95,$0.94,$4,$0,$0,$243,$2258,$0,$0,$19,$2276,$2520,$19,$1111,$62,$1173,$1192,$0,$34,$-3,$1328,$2520,$122,$54,$-29,$25,$0,$0,$0,$-3,$-0,$146,$-148,$0,$0,$18,$-15,$3,$0,$-145,$-15,$9,$-6,$122,$122,$-114,$-5,$-2,$-1,$2,$-114
5,2017-06-30,75.14,$31.39,2.39,$6.60,11.38,$-11.73,0.0,$3.89,19.32,$0.23B,$0.02B,12.45,$1.15B,$1.29B,0.89,$0.26B,$0.26B,100.00%,$0.26B,$0.19B,70.45%,$0.26B,$0.19B,70.45%,$0.26B,$0.25B,96.21%,$0.26B,$0.16B,59.09%,$0.26B,$0.16B,59.09%,$0.16B,$1.29B,12.51%,$0.16B,$1.29B,12.51%,$0.16B,$2.51B,6.36%,$0.19B,$2.43B,7.85%,$70,$0,$70,$0,$3,$20,$50,$-12,$38,$0,$38,$38,$38,$68,$50,$41,41,$0.93,$0.93,$3,$0,$0,$228,$2267,$0,$0,$16,$2283,$2511,$18,$1145,$61,$1206,$1225,$0,$35,$-3,$1286,$2511,$82,$35,$-21,$15,$0,$0,$0,$-2,$-2,$95,$-139,$0,$0,$18,$-7,$11,$0,$-128,$-3,$30,$27,$80,$80,$-75,$-0,$32,$-1,$2,$-75
6,2017-03-31,68.09,$31.41,2.17,$6.50,10.48,$-14.99,0.0,$4.12,16.53,$0.23B,$0.02B,10.78,$1.15B,$1.29B,0.89,$0.26B,$0.26B,100.00%,$0.26B,$0.17B,64.71%,$0.26B,$0.17B,64.71%,$0.26B,$0.23B,90.59%,$0.26B,$0.16B,63.92%,$0.26B,$0.16B,63.92%,$0.16B,$1.29B,13.35%,$0.16B,$1.29B,13.35%,$0.16B,$2.52B,6.76%,$0.17B,$2.43B,7.09%,$66,$0,$66,$0,$4,$21,$46,$-2,$44,$0,$44,$44,$44,$63,$46,$40,40,$1.11,$1.10,$6,$0,$0,$233,$2268,$0,$0,$15,$2283,$2516,$22,$1146,$61,$1207,$1229,$0,$35,$-3,$1287,$2516,$44,$17,$-15,$3,$0,$0,$0,$-1,$2,$49,$-122,$0,$0,$18,$-16,$2,$0,$-120,$-0,$29,$29,$80,$80,$-36,$-0,$73,$1,$2,$-36
7,2016-12-31,68.63,$30.36,2.26,$6.38,10.76,$-12.45,0.0,$3.87,17.73,$0.21B,$0.02B,10.09,$1.12B,$1.21B,0.92,$0.25B,$0.25B,100.00%,$0.25B,$0.16B,64.92%,$0.25B,$0.16B,64.92%,$0.25B,$0.22B,90.32%,$0.25B,$0.15B,61.29%,$0.25B,$0.15B,61.29%,$0.15B,$1.21B,12.84%,$0.15B,$1.21B,12.84%,$0.15B,$2.40B,6.55%,$0.16B,$2.33B,7.20%,$65,$0,$65,$0,$3,$19,$46,$-5,$41,$0,$41,$41,$41,$63,$46,$39,39,$1.03,$1.03,$5,$0,$0,$211,$2160,$0,$0,$33,$2193,$2404,$21,$1116,$57,$1173,$1194,$0,$30,$6,$1210,$2404,$153,$62,$-40,$22,$0,$0,$0,$-0,$2,$177,$-367,$0,$0,$60,$-8,$52,$-15,$-330,$74,$124,$198,$104,$104,$-138,$-20,$144,$-8,$2,$-138
8,2016-09-30,71.73,$30.29,2.37,$6.28,11.43,$-6.28,0.0,$4.28,16.76,$0.26B,$0.04B,7.07,$1.09B,$1.21B,0.9,$0.24B,$0.24B,100.00%,$0.24B,$0.16B,64.88%,$0.24B,$0.16B,64.88%,$0.24B,$0.22B,90.08%,$0.24B,$0.17B,68.60%,$0.24B,$0.17B,68.18%,$0.17B,$1.21B,14.14%,$0.17B,$1.21B,14.14%,$0.17B,$2.39B,7.32%,$0.16B,$2.29B,7.24%,$63,$0,$63,$0,$2,$19,$44,$-11,$33,$0,$33,$33,$33,$60,$44,$39,40,$0.84,$0.83,$4,$0,$0,$255,$2096,$0,$0,$36,$2133,$2388,$36,$1086,$59,$1145,$1181,$0,$25,$8,$1207,$2388,$112,$46,$-28,$18,$0,$0,$0,$0,$0,$129,$-287,$0,$0,$56,$-59,$-3,$-11,$-300,$74,$95,$169,$104,$104,$-102,$-9,$162,$-9,$1,$-102
9,2016-06-30,67.87,$30.10,2.25,$6.23,10.89,$-1.92,0.0,$4.34,15.64,$0.23B,$0.03B,8.61,$1.07B,$1.18B,0.91,$0.24B,$0.24B,100.00%,$0.24B,$0.16B,65.82%,$0.24B,$0.16B,65.82%,$0.24B,$0.22B,90.72%,$0.24B,$0.17B,70.46%,$0.24B,$0.17B,70.04%,$0.17B,$1.18B,14.74%,$0.17B,$1.18B,14.74%,$0.17B,$2.34B,7.58%,$0.16B,$2.25B,7.39%,$61,$0,$61,$0,$2,$32,$29,$16,$45,$0,$45,$45,$45,$45,$29,$39,39,$1.16,$1.16,$4,$0,$0,$226,$2066,$0,$0,$43,$2109,$2335,$26,$1073,$58,$1131,$1157,$0,$27,$6,$1179,$2335,$78,$30,$-23,$7,$0,$0,$0,$-0,$-2,$83,$-250,$0,$0,$56,$-26,$31,$-11,$-231,$-0,$157,$157,$50,$50,$-67,$-2,$138,$-9,$1,$-67
