,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,24.92,$13.97,1.78,$14.60,1.71,$-3.91,0.0,$-0.23,0.0,$1.37B,$3.41B,0.4,$7.10B,$4.68B,1.52,$5.02B,$3.31B,65.82%,$5.02B,$0.46B,9.22%,$5.02B,$0.46B,9.22%,$5.02B,$1.05B,20.91%,$5.02B,$0.10B,1.99%,$5.02B,$-0.10B,-1.95%,$-0.10B,$5.07B,-2.02%,$-0.10B,$3.16B,-3.35%,$-0.10B,$20.70B,-0.48%,$0.46B,$12.17B,3.83%,$895,$222,$673,$0,$840,$1211,$-316,$-118,$-434,$-95,$-340,$-340,$-345,$-167,$-316,$364,364,$-0.95,$-0.95,$54,$467,$221,$1369,$15174,$215,$1914,$3,$19330,$20699,$3411,$7095,$3516,$12215,$15626,$4,$-1388,$3,$5074,$20699,$-39,$438,$35,$473,$0,$0,$0,$494,$494,$927,$-1297,$0,$0,$0,$-13,$-13,$-67,$-1377,$-694,$405,$-289,$608,$1002,$-203,$-46,$465,$15,$0,$-203
1,2018-06-30,26.08,$15.05,1.73,$14.89,1.75,$-4.96,0.0,$0.76,34.32,$1.32B,$2.56B,0.51,$7.09B,$5.07B,1.4,$5.04B,$3.32B,65.73%,$5.04B,$0.89B,17.65%,$5.04B,$0.89B,17.65%,$5.04B,$1.47B,29.17%,$5.04B,$0.55B,10.93%,$5.04B,$0.26B,5.18%,$0.26B,$5.46B,5.60%,$0.26B,$3.55B,9.52%,$0.26B,$20.31B,1.31%,$0.89B,$12.56B,7.41%,$1007,$313,$694,$0,$431,$889,$118,$-88,$30,$6,$25,$25,$23,$263,$118,$354,355,$0.07,$0.07,$81,$337,$175,$1316,$14848,$200,$1917,$4,$18992,$20308,$2560,$7093,$3472,$12285,$14845,$4,$-966,$-21,$5463,$20308,$301,$289,$90,$379,$0,$0,$0,$130,$130,$810,$-833,$0,$0,$0,$1,$1,$-39,$-871,$-141,$-606,$-747,$604,$998,$-132,$-15,$104,$43,$0,$-132
2,2018-03-31,23.54,$13.35,1.76,$15.11,1.56,$-5.14,0.0,$0.55,42.81,$1.63B,$3.23B,0.51,$7.29B,$4.51B,1.62,$5.03B,$3.34B,66.34%,$5.03B,$0.90B,17.82%,$5.03B,$0.90B,17.82%,$5.03B,$1.47B,29.32%,$5.03B,$0.45B,8.95%,$5.03B,$0.19B,3.86%,$0.19B,$4.51B,4.48%,$0.19B,$2.59B,8.07%,$0.19B,$20.10B,0.99%,$0.90B,$11.79B,7.72%,$1751,$724,$1026,$0,$481,$1350,$401,$-62,$339,$63,$276,$276,$276,$545,$401,$338,339,$0.82,$0.81,$45,$245,$161,$1634,$14457,$201,$1920,$5,$18465,$20099,$3226,$7287,$3359,$12366,$15592,$3,$-919,$-19,$4506,$20099,$276,$145,$41,$186,$0,$0,$0,$-74,$-74,$388,$-370,$0,$0,$0,$0,$0,$-29,$-399,$-279,$362,$83,$0,$0,$-66,$0,$17,$6,$0,$-66
3,2017-12-31,25.06,$12.82,1.95,$14.86,1.69,$-4.89,0.0,$0.39,64.25,$1.76B,$3.18B,0.56,$7.51B,$4.32B,1.74,$4.88B,$3.36B,68.82%,$4.88B,$0.91B,18.67%,$4.88B,$0.91B,18.67%,$4.88B,$1.49B,30.52%,$4.88B,$0.44B,9.11%,$4.88B,$0.13B,2.65%,$0.13B,$4.32B,3.04%,$0.13B,$2.40B,5.55%,$0.13B,$19.96B,0.67%,$0.91B,$11.83B,8.20%,$1368,$456,$912,$0,$505,$1108,$260,$-95,$165,$217,$-52,$-52,$-52,$409,$260,$329,331,$-0.16,$-0.16,$38,$471,$176,$1763,$14360,$204,$1922,$6,$18198,$19962,$3178,$7512,$3309,$12463,$15642,$3,$-1073,$-43,$4320,$19962,$129,$578,$452,$1030,$-52,$19,$49,$-440,$-416,$742,$-1696,$0,$0,$0,$-5,$-5,$-107,$-1809,$1395,$-282,$1113,$330,$330,$-229,$-144,$1069,$2,$40,$-229
4,2017-09-30,24.82,$12.96,1.91,$14.73,1.68,$-4.09,0.0,$0.82,30.26,$1.33B,$2.57B,0.52,$7.52B,$4.36B,1.72,$4.80B,$3.30B,68.67%,$4.80B,$0.88B,18.21%,$4.80B,$0.88B,18.21%,$4.80B,$1.45B,30.25%,$4.80B,$0.42B,8.72%,$4.80B,$0.27B,5.62%,$0.27B,$4.36B,6.45%,$0.27B,$2.44B,11.96%,$0.27B,$19.27B,1.43%,$0.88B,$11.88B,8.20%,$917,$234,$683,$0,$429,$806,$111,$-95,$17,$3,$14,$14,$14,$254,$111,$331,332,$0.04,$0.04,$28,$512,$204,$1332,$14042,$208,$1925,$6,$17937,$19270,$2567,$7519,$1792,$12340,$14907,$3,$-1021,$-44,$4363,$19270,$181,$429,$236,$665,$0,$0,$0,$-316,$-316,$530,$-1216,$0,$0,$0,$-10,$-10,$-80,$-1307,$1398,$-645,$753,$327,$327,$-170,$-140,$769,$-8,$0,$-170
5,2017-06-30,24.43,$12.66,1.93,$14.63,1.67,$-3.72,0.0,$0.86,28.41,$1.28B,$2.78B,0.46,$6.78B,$4.12B,1.64,$4.75B,$3.26B,68.64%,$4.75B,$0.88B,18.49%,$4.75B,$0.88B,18.49%,$4.75B,$1.45B,30.52%,$4.75B,$0.43B,9.14%,$4.75B,$0.28B,5.96%,$0.28B,$4.12B,6.99%,$0.28B,$2.20B,13.36%,$0.28B,$18.82B,1.53%,$0.88B,$10.90B,8.62%,$991,$277,$714,$0,$448,$867,$124,$-195,$-71,$-27,$-44,$-44,$-44,$266,$124,$325,325,$-0.14,$-0.14,$33,$393,$183,$1281,$13669,$195,$1928,$6,$17542,$18823,$2778,$6777,$1826,$11922,$14700,$3,$-976,$-36,$4123,$18823,$167,$286,$222,$508,$0,$0,$0,$-23,$-23,$651,$-732,$0,$0,$0,$1,$1,$-55,$-786,$922,$-587,$335,$40,$40,$-113,$-131,$131,$-3,$0,$-113
6,2017-03-31,22.75,$12.92,1.76,$14.36,1.58,$-4.05,0.0,$1.09,20.87,$1.47B,$3.66B,0.4,$5.59B,$4.19B,1.33,$4.66B,$3.21B,68.92%,$4.66B,$0.89B,19.16%,$4.66B,$0.89B,19.16%,$4.66B,$1.46B,31.32%,$4.66B,$0.55B,11.84%,$4.66B,$0.36B,7.65%,$0.36B,$4.19B,8.96%,$0.36B,$2.26B,17.47%,$0.36B,$18.64B,1.95%,$0.89B,$9.78B,9.04%,$1599,$552,$1046,$0,$488,$1183,$415,$-83,$333,$121,$211,$211,$211,$559,$415,$324,325,$0.65,$0.65,$39,$276,$185,$1471,$13289,$194,$1931,$7,$17165,$18636,$3664,$5591,$1833,$10781,$14445,$3,$-874,$-20,$4191,$18636,$211,$143,$120,$264,$0,$0,$0,$-64,$-64,$411,$-312,$0,$0,$0,$0,$0,$-31,$-343,$-37,$26,$-10,$2,$2,$-57,$0,$-65,$3,$0,$-57
7,2016-12-31,21.01,$12.60,1.67,$13.90,1.51,$-4.35,0.0,$1.00,21.01,$1.76B,$3.45B,0.51,$6.06B,$4.07B,1.49,$4.49B,$3.10B,69.04%,$4.49B,$0.86B,19.10%,$4.49B,$0.86B,19.10%,$4.49B,$1.41B,31.45%,$4.49B,$0.51B,11.35%,$4.49B,$0.33B,7.39%,$0.33B,$4.07B,8.53%,$0.33B,$2.14B,16.98%,$0.33B,$18.69B,1.85%,$0.86B,$10.13B,8.69%,$1297,$441,$856,$0,$491,$1072,$225,$-85,$140,$52,$89,$89,$89,$374,$225,$322,324,$0.28,$0.27,$36,$494,$249,$1762,$13068,$193,$1933,$7,$16930,$18692,$3452,$6058,$1856,$11169,$14621,$3,$-972,$-25,$4071,$18692,$332,$555,$209,$764,$-188,$39,$109,$-249,$-292,$803,$-1475,$0,$0,$0,$-5,$-5,$-123,$-1603,$65,$921,$986,$14,$14,$-206,$-4,$791,$-9,$47,$-206
8,2016-09-30,22.71,$11.82,1.92,$13.32,1.7,$-1.97,0.0,$0.92,24.69,$1.38B,$2.91B,0.47,$6.10B,$3.81B,1.6,$4.29B,$3.01B,70.03%,$4.29B,$0.85B,19.86%,$4.29B,$0.85B,19.86%,$4.29B,$1.39B,32.46%,$4.29B,$0.50B,11.67%,$4.29B,$0.30B,7.03%,$0.30B,$3.81B,7.88%,$0.30B,$1.88B,15.94%,$0.30B,$18.07B,1.71%,$0.85B,$9.91B,8.72%,$861,$218,$643,$0,$393,$748,$114,$-82,$32,$9,$24,$24,$27,$250,$114,$322,324,$0.08,$0.08,$30,$534,$263,$1379,$12854,$201,$1936,$7,$16689,$18067,$2912,$6096,$2016,$11344,$14256,$3,$-1061,$-179,$3812,$18067,$243,$406,$161,$567,$0,$0,$0,$-278,$-278,$532,$-1083,$0,$0,$0,$-8,$-8,$-77,$-1168,$289,$492,$781,$9,$9,$-152,$-0,$637,$1,$0,$-152
9,2016-06-30,24.82,$11.83,2.1,$13.21,1.88,$0.59,42.25,$0.82,30.27,$1.26B,$2.70B,0.47,$5.86B,$3.81B,1.54,$4.25B,$2.97B,69.93%,$4.25B,$0.85B,19.98%,$4.25B,$0.85B,19.98%,$4.25B,$1.39B,32.66%,$4.25B,$0.49B,11.53%,$4.25B,$0.27B,6.35%,$0.27B,$3.81B,7.05%,$0.27B,$1.87B,14.29%,$0.27B,$17.62B,1.55%,$0.85B,$9.67B,8.67%,$898,$235,$663,$0,$388,$759,$138,$-92,$46,$17,$29,$29,$29,$275,$138,$322,323,$0.09,$0.09,$28,$415,$237,$1260,$12556,$190,$1937,$7,$16358,$17617,$2696,$5857,$1986,$11110,$13807,$3,$-1067,$-156,$3811,$17617,$216,$270,$135,$405,$0,$0,$0,$-133,$-133,$487,$-673,$0,$0,$0,$2,$2,$-45,$-715,$-208,$533,$326,$2,$2,$-99,$-0,$228,$0,$0,$-99
