,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.35,$6.17,1.68,$9.83,1.05,$-0.09,0.0,$0.13,79.62,$0.54B,$0.15B,3.7,$0.18B,$0.56B,0.33,$0.90B,$0.17B,18.74%,$0.90B,$0.05B,5.88%,$0.90B,$0.05B,5.88%,$0.90B,$0.10B,11.42%,$0.90B,$0.04B,4.10%,$0.90B,$0.01B,1.44%,$0.01B,$0.56B,2.35%,$0.01B,$0.49B,2.70%,$0.01B,$0.93B,1.41%,$0.05B,$0.74B,7.23%,$235,$195,$41,$0,$30,$225,$10,$-4,$6,$3,$4,$4,$4,$23,$10,$91,94,$0.04,$0.04,$52,$203,$0,$537,$314,$0,$70,$3,$391,$928,$145,$182,$8,$223,$368,$1,$138,$-65,$560,$928,$22,$38,$9,$47,$-17,$-35,$7,$-4,$-49,$20,$-31,$0,$-14,$0,$0,$0,$0,$-46,$2,$22,$24,$0,$0,$0,$-0,$24,$-6,$8,$0
1,2018-06-30,10.85,$6.13,1.77,$9.62,1.13,$-0.02,0.0,$0.12,90.42,$0.53B,$0.14B,3.91,$0.19B,$0.56B,0.35,$0.87B,$0.17B,18.99%,$0.87B,$0.05B,6.10%,$0.87B,$0.05B,6.10%,$0.87B,$0.10B,11.62%,$0.87B,$0.04B,4.26%,$0.87B,$0.01B,1.38%,$0.01B,$0.56B,2.21%,$0.01B,$0.48B,2.49%,$0.01B,$0.93B,1.30%,$0.05B,$0.75B,7.44%,$236,$188,$48,$0,$29,$217,$19,$-4,$15,$4,$11,$11,$11,$32,$19,$90,94,$0.12,$0.12,$72,$190,$0,$534,$316,$0,$72,$4,$396,$930,$137,$194,$9,$238,$375,$1,$135,$-63,$555,$930,$18,$25,$6,$31,$-1,$-21,$7,$-13,$-29,$21,$-24,$0,$-14,$0,$0,$0,$0,$-38,$3,$32,$34,$1,$1,$0,$-0,$35,$15,$5,$0
2,2018-03-31,8.1,$6.16,1.31,$9.20,0.88,$0.09,86.82,$0.02,405.0,$0.53B,$0.15B,3.6,$0.19B,$0.55B,0.34,$0.82B,$0.15B,18.63%,$0.82B,$0.04B,5.15%,$0.82B,$0.04B,5.15%,$0.82B,$0.09B,10.78%,$0.82B,$0.03B,3.19%,$0.82B,$0.00B,0.37%,$0.00B,$0.55B,0.56%,$0.00B,$0.48B,0.62%,$0.00B,$0.93B,0.33%,$0.04B,$0.74B,6.24%,$227,$186,$41,$0,$27,$213,$14,$-4,$10,$3,$7,$7,$7,$26,$14,$89,92,$0.08,$0.08,$60,$189,$0,$533,$316,$0,$73,$4,$396,$929,$148,$186,$8,$231,$379,$1,$124,$-54,$550,$929,$7,$13,$3,$15,$-6,$-18,$19,$-17,$-22,$0,$-10,$0,$-14,$0,$0,$0,$0,$-24,$-1,$26,$25,$0,$0,$0,$0,$26,$3,$2,$0
3,2017-12-31,8.6,$6.14,1.4,$8.61,1.0,$-0.02,0.0,$-0.07,0.0,$0.51B,$0.16B,3.19,$0.16B,$0.55B,0.29,$0.75B,$0.14B,18.72%,$0.75B,$0.03B,4.28%,$0.75B,$0.03B,4.28%,$0.75B,$0.08B,10.16%,$0.75B,$0.02B,2.14%,$0.75B,$-0.01B,-0.67%,$-0.01B,$0.55B,-0.96%,$-0.01B,$0.47B,-1.03%,$-0.01B,$0.90B,-0.58%,$0.03B,$0.71B,5.05%,$204,$165,$39,$0,$30,$195,$10,$-4,$6,$-2,$8,$8,$-9,$22,$10,$85,88,$-0.11,$-0.11,$56,$165,$0,$505,$315,$0,$74,$4,$398,$903,$158,$159,$6,$197,$355,$1,$123,$-53,$547,$903,$-6,$45,$19,$65,$-74,$-15,$14,$55,$-20,$38,$-24,$0,$-45,$0,$0,$0,$0,$-68,$-83,$83,$-1,$-1,$-1,$0,$-1,$-2,$-30,$11,$0
4,2017-09-30,10.0,$6.08,1.65,$7.92,1.26,$-0.46,0.0,$0.04,250.0,$0.60B,$0.22B,2.71,$0.14B,$0.52B,0.27,$0.68B,$0.11B,16.74%,$0.68B,$0.01B,2.06%,$0.68B,$0.01B,2.06%,$0.68B,$0.06B,8.22%,$0.68B,$-0.00B,-0.15%,$0.68B,$0.00B,0.59%,$0.00B,$0.52B,0.78%,$0.00B,$0.50B,0.82%,$0.00B,$0.93B,0.48%,$0.01B,$0.66B,2.33%,$202,$165,$37,$0,$27,$192,$10,$-4,$6,$3,$3,$3,$3,$21,$10,$85,88,$0.03,$0.03,$65,$164,$0,$596,$299,$0,$25,$3,$330,$926,$220,$140,$8,$184,$404,$1,$133,$-54,$522,$926,$3,$33,$1,$35,$-74,$-17,$18,$51,$-22,$16,$-20,$0,$0,$0,$0,$0,$0,$-20,$1,$64,$65,$-1,$-1,$0,$-0,$64,$62,$8,$0
5,2017-06-30,7.35,$6.01,1.22,$6.86,1.07,$-0.41,0.0,$-0.15,0.0,$0.51B,$0.21B,2.43,$0.08B,$0.51B,0.15,$0.58B,$0.08B,14.04%,$0.58B,$-0.01B,-1.88%,$0.58B,$-0.01B,-1.88%,$0.58B,$0.03B,5.14%,$0.58B,$-0.03B,-4.28%,$0.58B,$-0.01B,-2.05%,$-0.01B,$0.51B,-2.39%,$-0.01B,$0.49B,-2.52%,$-0.01B,$0.84B,-1.49%,$-0.01B,$0.59B,-1.84%,$183,$148,$35,$0,$27,$175,$8,$-4,$4,$2,$2,$2,$2,$19,$8,$85,87,$0.02,$0.02,$68,$157,$0,$505,$304,$0,$25,$3,$335,$840,$208,$75,$7,$118,$326,$1,$130,$-55,$514,$840,$1,$22,$2,$24,$-49,$-11,$16,$41,$-3,$22,$-15,$0,$0,$0,$0,$0,$0,$-15,$2,$0,$2,$-1,$-1,$0,$-0,$1,$10,$6,$0
6,2017-03-31,8.1,$5.96,1.36,$6.15,1.32,$-0.54,0.0,$-0.34,0.0,$0.47B,$0.18B,2.61,$0.07B,$0.51B,0.15,$0.52B,$0.06B,11.63%,$0.52B,$-0.03B,-6.59%,$0.52B,$-0.03B,-6.59%,$0.52B,$0.01B,1.16%,$0.52B,$-0.05B,-8.91%,$0.52B,$-0.03B,-5.43%,$-0.03B,$0.51B,-5.62%,$-0.03B,$0.48B,-5.93%,$-0.03B,$0.80B,-3.54%,$-0.03B,$0.58B,-5.53%,$159,$130,$29,$0,$25,$155,$4,$-4,$0,$1,$-1,$-1,$-1,$14,$4,$84,84,$-0.01,$-0.01,$70,$145,$0,$470,$301,$0,$26,$4,$332,$802,$180,$74,$7,$117,$297,$1,$129,$-61,$505,$802,$-1,$11,$0,$11,$-23,$-1,$-2,$4,$-21,$-11,$-7,$0,$0,$0,$0,$0,$0,$-7,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-18,$3,$0
7,2016-12-31,7.5,$5.91,1.27,$5.64,1.33,$-0.50,0.0,$-0.49,0.0,$0.46B,$0.18B,2.58,$0.07B,$0.50B,0.15,$0.47B,$0.03B,7.20%,$0.47B,$-0.06B,-12.08%,$0.47B,$-0.06B,-12.08%,$0.47B,$-0.02B,-3.60%,$0.47B,$-0.07B,-13.77%,$0.47B,$-0.04B,-8.47%,$-0.04B,$0.50B,-7.99%,$-0.04B,$0.47B,-8.44%,$-0.04B,$0.80B,-5.06%,$-0.06B,$0.57B,-8.92%,$137,$124,$13,$0,$22,$145,$-8,$-3,$-11,$-11,$-0,$-0,$-0,$2,$-8,$84,84,$0.00,$0.00,$88,$144,$0,$463,$304,$0,$26,$4,$335,$798,$180,$73,$6,$118,$298,$1,$130,$-63,$501,$798,$-41,$40,$28,$67,$-2,$16,$-5,$-25,$-15,$11,$-34,$0,$-4,$0,$0,$0,$0,$-38,$13,$-8,$5,$-1,$-1,$0,$-5,$-1,$-29,$12,$0
8,2016-09-30,7.36,$5.78,1.27,$5.82,1.26,$0.43,17.15,$-1.49,0.0,$0.43B,$0.09B,4.67,$0.16B,$0.49B,0.33,$0.49B,$0.03B,6.17%,$0.49B,$-0.14B,-29.42%,$0.49B,$-0.14B,-29.42%,$0.49B,$-0.10B,-20.58%,$0.49B,$-0.15B,-30.86%,$0.49B,$-0.12B,-25.31%,$-0.12B,$0.49B,-24.33%,$-0.12B,$0.46B,-25.75%,$-0.12B,$0.78B,-15.30%,$-0.14B,$0.65B,-21.39%,$105,$99,$5,$0,$22,$120,$-15,$-3,$-18,$-4,$-13,$-13,$-13,$-5,$-15,$84,84,$-0.16,$-0.16,$92,$139,$0,$431,$309,$0,$27,$4,$346,$776,$92,$161,$7,$195,$287,$1,$130,$-56,$489,$776,$-41,$30,$13,$43,$31,$25,$-24,$-4,$28,$30,$-30,$0,$-4,$0,$0,$0,$-1,$-34,$-8,$-1,$-9,$-1,$-1,$0,$-2,$-12,$-15,$9,$0
9,2016-06-30,5.79,$5.90,0.98,$6.44,0.9,$1.13,5.14,$-1.38,0.0,$0.45B,$0.10B,4.59,$0.16B,$0.50B,0.32,$0.54B,$0.04B,7.66%,$0.54B,$-0.14B,-25.61%,$0.54B,$-0.14B,-25.61%,$0.54B,$-0.09B,-17.38%,$0.54B,$-0.15B,-27.48%,$0.54B,$-0.11B,-21.31%,$-0.11B,$0.50B,-21.34%,$-0.11B,$0.47B,-23.37%,$-0.11B,$0.79B,-13.60%,$-0.14B,$0.66B,-19.57%,$115,$103,$13,$0,$21,$130,$-15,$-2,$-17,$-4,$-14,$-14,$-14,$-5,$-15,$83,83,$-0.17,$-0.17,$93,$145,$0,$447,$311,$0,$25,$4,$343,$790,$97,$160,$6,$195,$292,$1,$144,$-57,$498,$790,$-27,$20,$13,$33,$18,$19,$-21,$-2,$14,$20,$-24,$0,$0,$0,$0,$0,$-0,$-24,$-7,$-1,$-8,$-1,$-1,$0,$-2,$-11,$-14,$6,$0
