,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,31.0,$31.34,0.99,$18.17,1.71,$14.09,2.2,$5.46,5.68,$0.13B,$0.10B,1.29,$0.72B,$0.38B,1.87,$0.40B,$0.40B,100.00%,$0.40B,$0.20B,49.75%,$0.40B,$0.20B,49.75%,$0.40B,$0.24B,59.34%,$0.40B,$0.13B,31.57%,$0.40B,$0.09B,22.98%,$0.09B,$0.38B,26.00%,$0.09B,$0.34B,30.18%,$0.09B,$1.41B,6.51%,$0.20B,$1.10B,18.36%,$95,$0,$95,$0,$3,$49,$46,$-18,$29,$0,$29,$29,$21,$55,$46,$12,22,$1.71,$1.30,$63,$10,$0,$134,$48,$243,$47,$6,$1278,$1412,$104,$717,$2,$924,$1028,$320,$0,$-4,$384,$1412,$91,$27,$-0,$27,$-7,$0,$1,$8,$-10,$108,$-9,$0,$0,$0,$0,$0,$5,$-4,$-21,$0,$-21,$0,$-9,$-40,$-1,$-70,$34,$1,$-17
1,2018-06-30,30.96,$31.84,0.97,$17.71,1.75,$12.72,2.43,$5.23,5.92,$0.13B,$0.12B,1.1,$0.72B,$0.39B,1.86,$0.39B,$0.39B,100.00%,$0.39B,$0.20B,50.25%,$0.39B,$0.20B,50.25%,$0.39B,$0.24B,60.41%,$0.39B,$0.12B,30.96%,$0.39B,$0.09B,22.34%,$0.09B,$0.39B,27.91%,$0.09B,$0.34B,33.11%,$0.09B,$1.41B,6.20%,$0.20B,$1.11B,18.86%,$111,$0,$111,$0,$3,$54,$57,$-18,$39,$0,$39,$39,$30,$67,$57,$12,21,$2.46,$1.75,$53,$8,$0,$126,$48,$246,$48,$6,$1286,$1412,$115,$723,$2,$907,$1022,$326,$0,$-5,$390,$1412,$65,$18,$-4,$15,$-9,$0,$1,$7,$-6,$74,$-5,$0,$0,$0,$0,$0,$3,$-2,$-13,$0,$-13,$0,$-9,$-27,$-1,$-49,$23,$1,$-11
2,2018-03-31,27.92,$29.74,0.94,$16.75,1.67,$11.77,2.37,$4.61,6.06,$0.09B,$0.11B,0.84,$0.73B,$0.36B,1.99,$0.38B,$0.38B,100.00%,$0.38B,$0.19B,50.53%,$0.38B,$0.19B,50.53%,$0.38B,$0.23B,61.38%,$0.38B,$0.11B,28.84%,$0.38B,$0.08B,20.11%,$0.08B,$0.36B,28.38%,$0.08B,$0.32B,34.94%,$0.08B,$1.38B,5.34%,$0.19B,$1.09B,19.16%,$89,$0,$89,$0,$4,$45,$44,$-18,$26,$0,$26,$26,$18,$53,$44,$12,22,$1.49,$1.15,$21,$8,$0,$89,$47,$242,$49,$6,$1288,$1377,$106,$725,$2,$907,$1013,$301,$0,$-4,$364,$1377,$26,$9,$0,$9,$-5,$0,$1,$5,$-15,$20,$-3,$0,$0,$0,$0,$0,$3,$-0,$-6,$0,$-6,$0,$-9,$-13,$-0,$-28,$-9,$1,$-6
3,2017-12-31,24.91,$21.40,1.16,$18.66,1.33,$12.19,2.04,$3.48,7.16,$0.09B,$0.12B,0.76,$0.73B,$0.26B,2.79,$0.38B,$0.38B,100.00%,$0.38B,$0.18B,48.68%,$0.38B,$0.18B,48.68%,$0.38B,$0.23B,60.32%,$0.38B,$0.09B,23.54%,$0.38B,$0.06B,16.14%,$0.06B,$0.26B,28.21%,$0.06B,$0.21B,36.91%,$0.06B,$1.39B,4.19%,$0.18B,$0.99B,19.55%,$101,$0,$101,$0,$5,$51,$50,$-19,$31,$0,$31,$31,$22,$60,$50,$12,22,$1.83,$1.48,$30,$8,$0,$91,$46,$245,$50,$7,$1298,$1389,$121,$730,$3,$1007,$1127,$200,$0,$-3,$262,$1389,$89,$44,$15,$59,$3,$0,$1,$-16,$-21,$127,$-5,$0,$0,$0,$6,$6,$3,$4,$-312,$0,$-312,$0,$242,$-31,$-40,$-141,$-11,$0,$-22
4,2017-09-30,23.3,$20.00,1.17,$21.26,1.1,$20.12,1.16,$2.50,9.32,$0.19B,$0.21B,0.89,$0.76B,$0.25B,3.12,$0.37B,$0.37B,100.00%,$0.37B,$0.16B,44.11%,$0.37B,$0.16B,44.11%,$0.37B,$0.21B,56.99%,$0.37B,$0.06B,16.99%,$0.37B,$0.04B,11.51%,$0.04B,$0.25B,22.37%,$0.04B,$0.19B,30.88%,$0.04B,$1.50B,2.86%,$0.16B,$1.01B,16.47%,$93,$0,$93,$0,$4,$47,$47,$-20,$26,$0,$26,$26,$18,$58,$47,$12,24,$1.48,$1.07,$121,$8,$0,$186,$48,$245,$50,$9,$1309,$1496,$210,$762,$3,$1041,$1251,$183,$0,$-3,$245,$1496,$58,$34,$13,$46,$1,$0,$0,$-12,$-24,$81,$-5,$0,$0,$0,$0,$0,$8,$4,$-184,$0,$-184,$0,$242,$-22,$-40,$-4,$81,$-0,$-17
5,2017-06-30,25.53,$16.35,1.56,$25.37,1.01,$27.88,0.92,$3.32,7.69,$0.11B,$0.22B,0.49,$0.70B,$0.20B,3.5,$0.37B,$0.37B,100.00%,$0.37B,$0.15B,41.35%,$0.37B,$0.15B,41.35%,$0.37B,$0.21B,56.22%,$0.37B,$0.05B,14.05%,$0.37B,$0.05B,12.70%,$0.05B,$0.20B,28.70%,$0.05B,$0.15B,42.25%,$0.05B,$1.43B,3.18%,$0.15B,$0.90B,14.95%,$95,$0,$95,$0,$3,$45,$50,$-25,$26,$0,$26,$26,$18,$61,$50,$12,22,$1.47,$1.13,$41,$8,$0,$107,$49,$249,$51,$10,$1322,$1429,$217,$700,$40,$1012,$1229,$204,$0,$-3,$200,$1429,$32,$22,$12,$34,$-4,$0,$0,$-3,$-11,$55,$-4,$0,$0,$0,$0,$0,$5,$1,$-245,$0,$-245,$0,$242,$-12,$-41,$-56,$0,$0,$-11
6,2017-03-31,33.06,$12.94,2.56,$30.81,1.07,$31.79,1.04,$5.91,5.59,$0.20B,$0.31B,0.64,$0.71B,$0.16B,4.47,$0.39B,$0.39B,100.00%,$0.39B,$0.17B,44.27%,$0.39B,$0.17B,44.27%,$0.39B,$0.23B,58.27%,$0.39B,$0.08B,19.08%,$0.39B,$0.08B,19.08%,$0.08B,$0.16B,51.11%,$0.08B,$0.11B,80.43%,$0.08B,$1.51B,4.95%,$0.17B,$0.87B,15.90%,$89,$0,$89,$0,$7,$52,$37,$-31,$6,$0,$6,$6,$3,$49,$37,$12,15,$0.28,$0.28,$113,$8,$18,$195,$49,$253,$52,$53,$1314,$1509,$305,$707,$65,$1046,$1351,$163,$0,$-3,$158,$1509,$6,$11,$12,$23,$-1,$0,$1,$-1,$-9,$20,$-2,$0,$0,$0,$0,$0,$0,$-2,$-147,$0,$-147,$0,$242,$-6,$-35,$54,$73,$0,$-6
7,2016-12-31,29.18,$12.11,2.41,$32.71,0.89,$35.35,0.83,$7.77,3.76,$0.11B,$0.19B,0.56,$0.99B,$0.15B,6.69,$0.40B,$0.40B,100.00%,$0.40B,$0.19B,46.50%,$0.40B,$0.19B,46.50%,$0.40B,$0.24B,59.75%,$0.40B,$0.10B,23.75%,$0.40B,$0.10B,23.75%,$0.10B,$0.15B,73.22%,$0.10B,$0.10B,126.25%,$0.10B,$1.45B,6.15%,$0.19B,$1.14B,15.60%,$88,$0,$88,$0,$7,$61,$27,$-23,$4,$0,$4,$4,$3,$40,$27,$12,12,$0.24,$0.24,$40,$7,$0,$105,$49,$256,$53,$8,$1343,$1449,$189,$990,$5,$1111,$1301,$152,$0,$-2,$148,$1449,$97,$55,$1,$56,$0,$0,$1,$-50,$-44,$108,$57,$0,$0,$0,$0,$0,$110,$167,$-163,$0,$-163,$0,$0,$-22,$-101,$-286,$-11,$0,$-22
8,2016-09-30,24.85,$12.18,2.04,$33.04,0.75,$38.90,0.64,$5.75,4.32,$0.16B,$0.21B,0.76,$1.04B,$0.15B,6.99,$0.40B,$0.40B,100.00%,$0.40B,$0.20B,49.01%,$0.40B,$0.20B,49.01%,$0.40B,$0.24B,60.40%,$0.40B,$0.11B,26.73%,$0.40B,$0.07B,17.33%,$0.07B,$0.15B,63.06%,$0.07B,$0.10B,126.13%,$0.07B,$1.52B,4.37%,$0.20B,$1.19B,16.13%,$98,$0,$98,$0,$5,$59,$39,$-22,$16,$0,$16,$16,$23,$58,$39,$12,12,$1.89,$1.89,$92,$7,$6,$161,$53,$258,$54,$47,$1360,$1521,$211,$1042,$4,$1161,$1372,$154,$0,$-3,$149,$1521,$93,$41,$-9,$32,$-1,$0,$1,$-49,$-43,$83,$51,$0,$0,$0,$0,$0,$109,$160,$-86,$0,$-86,$0,$0,$-17,$-99,$-202,$41,$0,$-17
9,2016-06-30,12.56,$10.76,1.17,$34.37,0.37,$40.75,0.31,$-44.04,0.0,$0.20B,$0.28B,0.71,$1.05B,$0.13B,7.98,$0.42B,$0.42B,100.00%,$0.42B,$-0.15B,-35.48%,$0.42B,$-0.15B,-35.48%,$0.42B,$-0.11B,-25.00%,$0.42B,$-0.24B,-56.90%,$0.42B,$-0.54B,-128.33%,$-0.54B,$0.13B,-545.82%,$-0.54B,$0.08B,-1314.63%,$-0.54B,$1.59B,-32.44%,$-0.15B,$1.18B,-11.54%,$118,$0,$118,$0,$4,$48,$71,$-22,$49,$0,$49,$49,$46,$82,$71,$12,12,$3.73,$3.73,$21,$8,$0,$197,$56,$260,$55,$46,$1388,$1585,$278,$1051,$4,$1176,$1453,$137,$0,$-2,$132,$1585,$70,$22,$-2,$20,$2,$0,$0,$-44,$-46,$44,$31,$0,$0,$0,$0,$0,$8,$39,$-78,$0,$-78,$0,$0,$-11,$-23,$-112,$-28,$0,$-11
