,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,25.44,$25.36,1.0,$5.53,4.6,$-11.19,0.0,$0.11,231.27,$0.02B,$0.04B,0.55,$1.23B,$1.26B,0.97,$0.31B,$0.22B,68.47%,$0.31B,$0.10B,30.57%,$0.31B,$0.10B,30.57%,$0.31B,$0.18B,57.64%,$0.31B,$0.05B,17.20%,$0.31B,$0.01B,2.87%,$0.01B,$1.43B,0.68%,$0.01B,$1.43B,0.68%,$0.01B,$2.72B,0.37%,$0.10B,$2.66B,3.97%,$85,$27,$59,$0,$9,$58,$28,$-10,$17,$0,$17,$17,$2,$50,$28,$56,56,$0.03,$0.03,$20,$0,$0,$20,$2358,$0,$0,$336,$2696,$2715,$36,$1229,$16,$1245,$1281,$1,$-88,$23,$1434,$2715,$42,$67,$6,$73,$0,$0,$0,$-2,$8,$124,$-274,$0,$0,$0,$0,$0,$-187,$-461,$266,$1,$266,$176,$176,$-53,$-49,$340,$3,$3,$-45
1,2018-06-30,30.82,$25.13,1.23,$5.55,5.55,$-10.92,0.0,$0.11,280.18,$0.02B,$0.03B,0.87,$1.15B,$1.10B,1.05,$0.30B,$0.20B,68.12%,$0.30B,$0.09B,29.87%,$0.30B,$0.09B,29.87%,$0.30B,$0.17B,57.38%,$0.30B,$0.05B,16.11%,$0.30B,$0.01B,2.68%,$0.01B,$1.27B,0.67%,$0.01B,$1.27B,0.67%,$0.01B,$2.46B,0.35%,$0.09B,$2.42B,3.94%,$80,$25,$55,$0,$8,$56,$24,$-11,$13,$0,$13,$13,$3,$46,$24,$50,50,$0.07,$0.07,$24,$0,$0,$24,$2268,$0,$0,$167,$2437,$2461,$27,$1150,$14,$1163,$1190,$1,$-73,$20,$1270,$2461,$25,$44,$4,$48,$0,$0,$0,$-1,$1,$74,$-167,$0,$0,$0,$0,$0,$-21,$-188,$186,$1,$187,$0,$0,$-34,$-32,$121,$7,$2,$-29
2,2018-03-31,24.84,$25.47,0.98,$5.43,4.58,$-9.61,0.0,$0.09,275.96,$0.02B,$0.02B,0.76,$1.07B,$1.11B,0.96,$0.28B,$0.19B,68.44%,$0.28B,$0.08B,29.79%,$0.28B,$0.08B,29.79%,$0.28B,$0.16B,57.45%,$0.28B,$0.05B,18.09%,$0.28B,$0.01B,2.48%,$0.01B,$1.29B,0.62%,$0.01B,$1.29B,0.62%,$0.01B,$2.39B,0.32%,$0.08B,$2.35B,3.93%,$76,$25,$51,$0,$8,$55,$22,$-9,$12,$0,$12,$12,$8,$43,$22,$50,100,$0.16,$0.09,$18,$0,$0,$18,$2223,$0,$0,$149,$2374,$2392,$24,$1070,$14,$1083,$1107,$1,$-62,$17,$1285,$2392,$12,$22,$2,$23,$0,$0,$0,$-1,$-1,$34,$-102,$0,$0,$0,$0,$0,$-3,$-105,$105,$0,$105,$0,$0,$-17,$-15,$73,$2,$1,$-14
3,2017-12-31,26.71,$25.29,1.06,$6.08,4.39,$-8.84,0.0,$0.01,0.0,$0.02B,$0.02B,0.67,$0.96B,$1.10B,0.87,$0.27B,$0.18B,68.66%,$0.27B,$0.08B,29.10%,$0.27B,$0.08B,29.10%,$0.27B,$0.15B,57.46%,$0.27B,$0.05B,17.16%,$0.27B,0,0.00%,$0.00B,$1.27B,0.00%,$0.00B,$1.27B,0.00%,$0.00B,$2.27B,0.00%,$0.08B,$2.23B,3.86%,$73,$23,$50,$0,$8,$51,$22,$-10,$12,$0,$12,$12,$-4,$42,$22,$44,44,$-0.08,$-0.08,$16,$0,$0,$16,$2105,$0,$0,$143,$2250,$2267,$24,$958,$13,$971,$995,$1,$-56,$12,$1271,$2267,$46,$76,$5,$81,$0,$0,$0,$-4,$-3,$124,$-389,$0,$0,$0,$0,$0,$-20,$-409,$82,$8,$90,$140,$307,$-50,$-61,$286,$1,$4,$-48
4,2017-09-30,23.49,$21.67,1.08,$5.18,4.54,$-8.77,0.0,$0.16,146.84,$0.02B,$0.03B,0.66,$1.07B,$0.96B,1.12,$0.25B,$0.17B,68.50%,$0.25B,$0.07B,28.74%,$0.25B,$0.07B,28.74%,$0.25B,$0.15B,57.09%,$0.25B,$0.04B,15.75%,$0.25B,$0.01B,4.72%,$0.01B,$0.96B,1.23%,$0.01B,$0.96B,1.23%,$0.01B,$2.07B,0.61%,$0.07B,$2.03B,3.79%,$69,$22,$47,$0,$7,$48,$21,$-10,$11,$0,$11,$11,$1,$40,$21,$44,44,$0.03,$0.03,$18,$0,$0,$18,$1922,$0,$0,$130,$2055,$2073,$28,$1072,$13,$1085,$1112,$0,$-38,$9,$961,$2073,$34,$55,$3,$59,$0,$0,$0,$-2,$2,$95,$-202,$0,$0,$0,$0,$0,$-15,$-217,$195,$8,$203,$0,$0,$-34,$-44,$125,$3,$3,$-34
5,2017-06-30,22.15,$22.01,1.01,$5.13,4.31,$-13.86,0.0,$0.13,170.4,$0.03B,$0.02B,1.31,$0.97B,$0.98B,0.99,$0.24B,$0.16B,68.49%,$0.24B,$0.07B,28.57%,$0.24B,$0.07B,28.57%,$0.24B,$0.14B,56.72%,$0.24B,$0.04B,15.55%,$0.24B,$0.01B,4.62%,$0.01B,$0.98B,1.17%,$0.01B,$0.98B,1.17%,$0.01B,$1.98B,0.60%,$0.07B,$1.94B,3.77%,$64,$20,$45,$0,$7,$45,$19,$-3,$16,$0,$16,$16,$2,$37,$19,$44,44,$0.05,$0.05,$28,$0,$0,$28,$1815,$0,$0,$132,$1950,$1978,$21,$969,$13,$982,$1003,$0,$-28,$9,$975,$1978,$23,$37,$0,$37,$0,$0,$0,$-4,$-4,$56,$-79,$0,$0,$0,$0,$0,$-13,$-92,$92,$8,$99,$0,$0,$-22,$-29,$48,$12,$2,$-22
6,2017-03-31,22.65,$22.13,1.02,$4.32,5.24,$-14.53,0.0,$0.16,141.57,$0.02B,$0.02B,0.81,$0.89B,$0.98B,0.91,$0.22B,$0.15B,67.87%,$0.22B,$0.06B,28.51%,$0.22B,$0.06B,28.51%,$0.22B,$0.13B,56.56%,$0.22B,$0.03B,12.22%,$0.22B,$0.02B,7.24%,$0.02B,$0.98B,1.90%,$0.02B,$0.98B,1.90%,$0.02B,$1.91B,0.95%,$0.06B,$1.87B,3.81%,$62,$20,$42,$0,$7,$46,$16,$-8,$7,$0,$7,$7,$1,$35,$16,$43,43,$0.01,$0.01,$17,$0,$0,$17,$1762,$0,$0,$123,$1888,$1906,$21,$894,$13,$906,$928,$0,$-19,$11,$978,$1906,$7,$19,$3,$22,$0,$0,$0,$-1,$-1,$28,$-24,$0,$0,$0,$0,$0,$-0,$-25,$16,$7,$23,$0,$0,$-11,$-14,$-2,$2,$1,$-11
7,2016-12-31,20.7,$22.71,0.91,$3.49,5.94,$-15.29,0.0,$0.22,94.1,$0.02B,$0.02B,0.71,$0.88B,$0.98B,0.9,$0.20B,$0.13B,67.34%,$0.20B,$0.06B,29.15%,$0.20B,$0.06B,29.15%,$0.20B,$0.11B,56.28%,$0.20B,$0.03B,12.56%,$0.20B,$0.02B,8.54%,$0.02B,$0.98B,2.33%,$0.02B,$0.98B,2.33%,$0.02B,$1.89B,1.13%,$0.06B,$1.86B,3.93%,$59,$19,$40,$0,$7,$43,$17,$-10,$6,$0,$6,$6,$8,$33,$17,$30,79,$0.18,$0.16,$15,$0,$0,$15,$1734,$0,$0,$140,$1877,$1892,$22,$879,$12,$891,$913,$0,$-9,$9,$979,$1892,$25,$55,$5,$60,$0,$0,$0,$1,$10,$95,$-559,$0,$0,$0,$0,$0,$-83,$-642,$254,$2,$256,$378,$378,$-27,$-54,$554,$6,$3,$-27
8,2016-09-30,19.42,$22.89,0.85,$3.58,5.43,$-12.13,0.0,$0.23,84.43,$0.02B,$0.03B,0.54,$0.72B,$0.82B,0.88,$0.18B,$0.12B,67.42%,$0.18B,$0.05B,29.21%,$0.18B,$0.05B,29.21%,$0.18B,$0.10B,56.18%,$0.18B,$0.03B,14.04%,$0.18B,$0.01B,7.87%,$0.01B,$0.82B,2.28%,$0.01B,$0.82B,2.28%,$0.01B,$1.58B,1.07%,$0.05B,$1.55B,4.05%,$53,$17,$36,$0,$5,$37,$16,$-8,$8,$0,$8,$8,$-0,$30,$16,$35,35,$0.00,$0.00,$16,$0,$0,$16,$1521,$0,$0,$42,$1566,$1582,$30,$723,$8,$730,$760,$0,$-8,$-0,$822,$1582,$19,$38,$2,$40,$0,$0,$0,$-1,$9,$68,$-332,$0,$0,$0,$0,$0,$-10,$-343,$97,$1,$99,$239,$239,$-18,$-39,$281,$7,$2,$-18
9,2016-06-30,19.09,$25.38,0.75,$2.63,7.25,$-6.14,0.0,$0.26,73.42,$0.01B,$0.03B,0.56,$0.76B,$0.59B,1.28,$0.16B,$0.11B,67.08%,$0.16B,$0.05B,27.95%,$0.16B,$0.05B,27.95%,$0.16B,$0.09B,55.90%,$0.16B,$0.02B,11.80%,$0.16B,$0.02B,11.18%,$0.02B,$0.59B,3.36%,$0.02B,$0.59B,3.36%,$0.02B,$1.38B,1.53%,$0.05B,$1.34B,3.92%,$47,$15,$32,$0,$5,$33,$14,$-8,$6,$0,$6,$6,$7,$27,$14,$23,74,$0.32,$0.08,$14,$0,$0,$14,$1345,$0,$0,$14,$1362,$1376,$25,$755,$7,$762,$787,$0,$-0,$-1,$590,$1376,$11,$24,$1,$25,$0,$0,$0,$-0,$4,$40,$-128,$0,$0,$0,$0,$0,$-2,$-130,$129,$1,$130,$0,$0,$-10,$-27,$94,$4,$1,$-10
