,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.56,$18.54,0.79,$25.92,0.56,$4.35,3.35,$0.63,23.11,$0.02B,$0.08B,0.22,$0.01B,$0.05B,0.31,$0.07B,$0.02B,32.31%,$0.07B,$0.01B,7.69%,$0.07B,$0.01B,7.69%,$0.07B,$0.01B,15.38%,$0.07B,$0.01B,7.69%,$0.07B,$0.00B,3.08%,$0.00B,$0.05B,4.26%,$0.00B,$0.05B,4.26%,$0.00B,$0.15B,1.37%,$0.01B,$0.06B,8.16%,$17,$12,$5,$0,$3,$16,$1,$0,$1,$0,$1,$1,$1,$2,$1,$3,3,$0.36,$0.36,$5,$0,$0,$18,$2,$117,$0,$1,$130,$148,$80,$14,$6,$21,$101,$3,$41,$-2,$47,$148,$2,$3,$1,$3,$0,$0,$0,$-0,$-0,$5,$-0,$0,$0,$0,$-5,$-5,$-0,$-5,$0,$-1,$-1,$0,$0,$-0,$-0,$-1,$-1,$0,$-0
1,2018-06-30,16.13,$18.36,0.88,$25.76,0.63,$2.90,5.57,$0.41,39.35,$0.02B,$0.08B,0.22,$0.01B,$0.05B,0.31,$0.07B,$0.02B,29.23%,$0.07B,$0.00B,4.62%,$0.07B,$0.00B,6.15%,$0.07B,$0.01B,12.31%,$0.07B,$0.00B,4.62%,$0.07B,0,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.15B,0.00%,$0.00B,$0.06B,4.88%,$16,$12,$5,$0,$3,$16,$1,$0,$1,$0,$0,$0,$0,$2,$1,$3,3,$0.18,$0.18,$5,$0,$0,$18,$2,$116,$0,$2,$129,$146,$79,$14,$6,$20,$100,$3,$40,$-1,$46,$146,$1,$2,$1,$3,$-0,$0,$0,$-1,$-1,$2,$-0,$0,$0,$0,$-4,$-4,$-0,$-4,$0,$-1,$-1,$0,$0,$-0,$0,$-1,$-2,$0,$-0
2,2018-03-31,15.93,$18.53,0.86,$25.89,0.62,$1.74,9.13,$-0.16,0.0,$0.02B,$0.08B,0.24,$0.01B,$0.05B,0.31,$0.07B,$0.02B,24.62%,$0.07B,0,0.00%,$0.07B,$0.00B,3.08%,$0.07B,$0.01B,9.23%,$0.07B,0,0.00%,$0.07B,$-0.00B,-1.54%,$-0.00B,$0.05B,-2.11%,$-0.00B,$0.05B,-2.11%,$-0.00B,$0.15B,-0.67%,$0.00B,$0.06B,0.00%,$16,$11,$4,$0,$3,$15,$1,$0,$1,$0,$0,$0,$0,$2,$1,$3,3,$0.19,$0.19,$6,$0,$0,$18,$2,$115,$0,$2,$128,$146,$78,$14,$7,$21,$99,$3,$39,$-1,$47,$146,$0,$1,$1,$2,$-1,$0,$0,$-0,$-1,$1,$0,$0,$0,$0,$-2,$-2,$-0,$-2,$0,$-1,$-1,$0,$0,$-0,$-0,$-1,$-1,$0,$-0
3,2017-12-31,16.2,$18.88,0.86,$26.06,0.62,$1.48,10.98,$-0.48,0.0,$0.02B,$0.08B,0.24,$0.01B,$0.05B,0.3,$0.07B,$0.02B,23.08%,$0.07B,$-0.00B,-3.08%,$0.07B,$0.00B,1.54%,$0.07B,$0.01B,7.69%,$0.07B,$-0.00B,-3.08%,$0.07B,$-0.00B,-1.54%,$-0.00B,$0.05B,-2.09%,$-0.00B,$0.05B,-2.09%,$-0.00B,$0.15B,-0.67%,$-0.00B,$0.06B,-3.20%,$16,$10,$7,$0,$4,$14,$2,$0,$2,$1,$1,$1,$1,$4,$2,$3,3,$0.26,$0.26,$7,$0,$0,$19,$2,$115,$0,$1,$128,$146,$78,$14,$7,$21,$99,$3,$37,$3,$48,$146,$-1,$4,$-0,$4,$2,$0,$0,$-2,$-1,$2,$-0,$0,$0,$0,$-1,$-1,$-0,$-1,$-2,$1,$-2,$0,$0,$-1,$0,$-2,$-1,$0,$-1
4,2017-09-30,12.44,$18.68,0.67,$26.29,0.47,$1.00,12.45,$-0.78,0.0,$0.02B,$0.08B,0.28,$0.02B,$0.05B,0.33,$0.07B,$0.01B,18.18%,$0.07B,$-0.00B,-6.06%,$0.07B,$-0.00B,-1.52%,$0.07B,$0.00B,3.03%,$0.07B,$-0.00B,-6.06%,$0.07B,$-0.00B,-3.03%,$-0.00B,$0.05B,-4.19%,$-0.00B,$0.05B,-4.19%,$-0.00B,$0.15B,-1.34%,$-0.00B,$0.06B,-6.37%,$17,$13,$3,$0,$3,$17,$-1,$0,$-1,$-0,$-1,$-1,$-1,$0,$-0,$3,3,$-0.22,$-0.22,$10,$0,$0,$23,$2,$113,$0,$2,$128,$151,$82,$15,$7,$22,$104,$3,$37,$2,$47,$151,$-2,$3,$-1,$2,$1,$0,$0,$1,$2,$1,$-0,$0,$0,$0,$2,$2,$-0,$2,$0,$-1,$-1,$0,$0,$-0,$0,$-1,$2,$0,$-0
5,2017-06-30,14.02,$18.84,0.74,$26.50,0.53,$2.22,6.3,$-0.19,0.0,$0.02B,$0.08B,0.27,$0.02B,$0.05B,0.32,$0.07B,$0.01B,21.21%,$0.07B,$-0.00B,-3.03%,$0.07B,$0.00B,1.52%,$0.07B,$0.00B,6.06%,$0.07B,$-0.00B,-3.03%,$0.07B,0,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.15B,0.00%,$-0.00B,$0.06B,-3.13%,$16,$14,$2,$0,$3,$18,$-2,$0,$-2,$-1,$-1,$-1,$-1,$-0,$-1,$3,3,$-0.39,$-0.39,$8,$0,$0,$22,$2,$113,$0,$3,$128,$150,$80,$15,$7,$22,$102,$3,$38,$2,$48,$150,$-1,$2,$-1,$2,$0,$0,$0,$-1,$-1,$-0,$-0,$0,$0,$0,$2,$2,$-0,$2,$0,$-1,$-1,$0,$0,$-0,$0,$-1,$1,$0,$-0
6,2017-03-31,15.73,$19.08,0.82,$26.58,0.59,$2.93,5.37,$0.72,21.85,$0.02B,$0.08B,0.27,$0.02B,$0.05B,0.32,$0.07B,$0.02B,26.87%,$0.07B,$0.00B,2.99%,$0.07B,$0.00B,5.97%,$0.07B,$0.01B,10.45%,$0.07B,$0.00B,2.99%,$0.07B,$0.00B,2.99%,$0.00B,$0.05B,4.10%,$0.00B,$0.05B,4.10%,$0.00B,$0.15B,1.32%,$0.00B,$0.06B,3.09%,$16,$13,$3,$0,$3,$17,$-1,$0,$-1,$-0,$-0,$-0,$-0,$1,$-0,$3,3,$-0.13,$-0.13,$8,$0,$0,$21,$2,$113,$0,$2,$128,$149,$79,$15,$7,$22,$101,$3,$39,$1,$48,$149,$-0,$1,$-0,$1,$0,$0,$0,$-0,$0,$1,$-0,$0,$0,$0,$1,$1,$-0,$1,$0,$-1,$-1,$0,$0,$-0,$0,$-1,$1,$0,$-0
7,2016-12-31,17.35,$19.09,0.91,$26.61,0.65,$2.42,7.17,$1.22,14.22,$0.02B,$0.08B,0.26,$0.02B,$0.05B,0.32,$0.07B,$0.02B,29.85%,$0.07B,$0.00B,5.97%,$0.07B,$0.01B,8.96%,$0.07B,$0.01B,13.43%,$0.07B,$0.00B,5.97%,$0.07B,$0.00B,4.48%,$0.00B,$0.05B,6.19%,$0.00B,$0.05B,6.19%,$0.00B,$0.15B,1.99%,$0.00B,$0.06B,6.15%,$17,$12,$4,$0,$4,$17,$-0,$0,$-0,$-0,$-0,$-0,$-0,$1,$0,$3,3,$-0.04,$-0.04,$7,$0,$0,$21,$2,$114,$0,$1,$128,$149,$78,$15,$7,$23,$101,$3,$39,$1,$48,$149,$3,$4,$0,$4,$-1,$0,$0,$-5,$-6,$1,$-0,$0,$0,$0,$1,$1,$-0,$1,$-2,$1,$-1,$0,$0,$-0,$0,$-1,$1,$0,$-0
8,2016-09-30,17.4,$19.94,0.87,$26.23,0.66,$4.69,3.71,$1.72,10.12,$0.02B,$0.08B,0.24,$0.02B,$0.05B,0.33,$0.07B,$0.02B,33.33%,$0.07B,$0.01B,7.58%,$0.07B,$0.01B,12.12%,$0.07B,$0.01B,16.67%,$0.07B,$0.01B,7.58%,$0.07B,$0.00B,6.06%,$0.00B,$0.05B,8.38%,$0.00B,$0.05B,8.38%,$0.00B,$0.15B,2.65%,$0.01B,$0.07B,7.72%,$17,$12,$5,$0,$3,$16,$1,$0,$1,$0,$1,$1,$1,$2,$2,$3,3,$0.37,$0.37,$6,$0,$0,$19,$2,$122,$0,$1,$136,$154,$79,$16,$8,$25,$104,$3,$39,$3,$50,$154,$3,$3,$-0,$2,$1,$0,$0,$-2,$-1,$4,$-0,$0,$0,$0,$-5,$-5,$-0,$-5,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$-1,$0,$-0
9,2016-06-30,17.63,$19.54,0.9,$25.85,0.68,$5.64,3.12,$1.99,8.86,$0.02B,$0.08B,0.22,$0.02B,$0.05B,0.35,$0.07B,$0.02B,35.38%,$0.07B,$0.01B,9.23%,$0.07B,$0.01B,13.85%,$0.07B,$0.01B,20.00%,$0.07B,$0.01B,9.23%,$0.07B,$0.01B,7.69%,$0.01B,$0.05B,10.75%,$0.01B,$0.05B,10.75%,$0.01B,$0.15B,3.34%,$0.01B,$0.07B,9.45%,$17,$11,$6,$0,$3,$15,$2,$0,$2,$0,$1,$1,$1,$3,$2,$3,3,$0.52,$0.52,$4,$0,$0,$17,$2,$121,$0,$1,$135,$152,$78,$17,$8,$25,$103,$3,$39,$3,$49,$152,$2,$2,$-0,$2,$1,$0,$0,$-4,$-3,$1,$-0,$0,$0,$0,$-4,$-4,$-0,$-4,$0,$0,$0,$0,$0,$-0,$0,$-0,$-3,$0,$-0
