,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,62.85,$29.59,2.12,$46.31,1.36,$6.36,9.88,$-0.72,0.0,$1.26B,$0.52B,2.4,$0.00B,$0.93B,0.0,$1.51B,$0.44B,29.27%,$1.51B,$0.03B,2.25%,$1.51B,$0.03B,2.25%,$1.51B,$0.06B,3.77%,$1.51B,$0.04B,2.65%,$1.51B,$-0.02B,-1.39%,$-0.02B,$0.93B,-2.64%,$-0.02B,$0.81B,-3.08%,$-0.02B,$1.53B,-1.61%,$0.03B,$0.93B,4.28%,$401,$276,$124,$35,$72,$391,$10,$2,$12,$3,$9,$9,$10,$15,$10,$32,33,$0.31,$0.30,$530,$331,$0,$1258,$57,$0,$124,$94,$275,$1533,$524,$0,$75,$75,$599,$0,$124,$-0,$934,$1533,$10,$17,$27,$44,$60,$-86,$55,$-10,$21,$74,$-20,$0,$-14,$-8,$1,$-7,$0,$-41,$0,$0,$0,$158,$158,$0,$0,$158,$191,$27,$0
1,2018-06-30,62.5,$23.76,2.63,$45.13,1.38,$7.55,8.27,$-0.38,0.0,$1.04B,$0.45B,2.33,$0.00B,$0.76B,0.0,$1.46B,$0.42B,28.76%,$1.46B,$0.05B,3.35%,$1.46B,$0.05B,3.35%,$1.46B,$0.07B,4.99%,$1.46B,$0.06B,3.76%,$1.46B,$-0.01B,-0.68%,$-0.01B,$0.76B,-1.32%,$-0.01B,$0.65B,-1.55%,$-0.01B,$1.26B,-0.83%,$0.05B,$0.76B,6.49%,$367,$258,$109,$31,$67,$370,$-3,$2,$-1,$4,$-5,$-5,$-5,$3,$-3,$32,32,$-0.17,$-0.17,$356,$291,$0,$1036,$29,$0,$105,$86,$221,$1257,$445,$0,$56,$56,$501,$0,$130,$-0,$756,$1257,$0,$11,$20,$31,$75,$-48,$-4,$-17,$9,$40,$-13,$0,$0,$-1,$0,$-1,$0,$-14,$0,$0,$0,$-2,$-2,$0,$0,$-2,$25,$17,$0
2,2018-03-31,57.2,$23.95,2.39,$43.54,1.31,$6.63,8.63,$0.23,248.7,$1.00B,$0.40B,2.49,$0.00B,$0.76B,0.0,$1.43B,$0.40B,28.29%,$1.43B,$0.07B,4.97%,$1.43B,$0.07B,4.97%,$1.43B,$0.10B,6.65%,$1.43B,$0.08B,5.32%,$1.43B,$0.01B,0.70%,$0.01B,$0.76B,1.32%,$0.01B,$0.65B,1.54%,$0.01B,$1.21B,0.85%,$0.07B,$0.76B,9.35%,$345,$240,$105,$29,$60,$336,$8,$-1,$8,$2,$6,$6,$6,$14,$8,$31,33,$0.18,$0.17,$386,$266,$0,$1000,$20,$0,$108,$86,$214,$1213,$402,$0,$55,$55,$457,$0,$140,$-0,$756,$1213,$6,$6,$9,$15,$102,$-23,$-15,$-1,$37,$57,$-3,$0,$0,$-0,$0,$-0,$0,$-3,$0,$0,$0,$2,$2,$0,$0,$2,$56,$8,$0
3,2017-12-31,58.75,$23.32,2.52,$42.46,1.38,$5.15,11.41,$0.53,110.85,$1.02B,$0.42B,2.39,$0.00B,$0.73B,0.0,$1.41B,$0.40B,28.14%,$1.41B,$0.09B,6.11%,$1.41B,$0.09B,6.11%,$1.41B,$0.11B,7.96%,$1.41B,$0.09B,6.54%,$1.41B,$0.02B,1.42%,$0.02B,$0.73B,2.59%,$0.02B,$0.62B,3.04%,$0.02B,$1.21B,1.73%,$0.09B,$0.73B,11.13%,$397,$293,$104,$25,$59,$378,$19,$1,$21,$53,$-32,$-32,$-32,$25,$19,$32,33,$-0.99,$-0.96,$330,$246,$0,$1016,$21,$0,$110,$62,$193,$1209,$424,$0,$54,$54,$478,$0,$128,$-1,$730,$1209,$19,$26,$44,$70,$-99,$2,$-1,$25,$-2,$88,$-14,$0,$-1,$-5,$0,$-5,$0,$-20,$0,$0,$0,$-105,$-105,$0,$0,$-105,$-38,$22,$0
4,2017-09-30,47.6,$24.67,1.93,$41.35,1.15,$6.09,7.81,$2.20,21.64,$0.95B,$0.35B,2.68,$0.00B,$0.78B,0.0,$1.38B,$0.40B,29.25%,$1.38B,$0.10B,7.26%,$1.38B,$0.10B,7.26%,$1.38B,$0.13B,9.22%,$1.38B,$0.11B,7.62%,$1.38B,$0.07B,5.37%,$0.07B,$0.78B,9.37%,$0.07B,$0.66B,11.02%,$0.07B,$1.16B,6.43%,$0.10B,$0.78B,12.67%,$355,$252,$103,$23,$55,$330,$25,$1,$27,$6,$21,$21,$21,$31,$25,$32,32,$0.66,$0.64,$373,$249,$0,$945,$20,$0,$113,$83,$216,$1161,$352,$0,$32,$32,$385,$0,$187,$-5,$777,$1161,$51,$20,$16,$37,$18,$-1,$-20,$18,$13,$101,$-10,$0,$-1,$-3,$0,$-3,$0,$-14,$0,$0,$0,$-81,$-81,$0,$0,$-81,$6,$16,$0
5,2017-06-30,43.1,$24.55,1.76,$40.36,1.07,$6.99,6.17,$2.18,19.77,$0.90B,$0.31B,2.94,$0.00B,$0.78B,0.0,$1.36B,$0.40B,29.61%,$1.36B,$0.11B,7.71%,$1.36B,$0.11B,7.71%,$1.36B,$0.13B,9.85%,$1.36B,$0.11B,7.94%,$1.36B,$0.07B,5.44%,$0.07B,$0.78B,9.37%,$0.07B,$0.66B,11.04%,$0.07B,$1.12B,6.52%,$0.11B,$0.78B,13.30%,$331,$239,$92,$23,$49,$312,$19,$1,$20,$5,$15,$15,$15,$25,$19,$32,33,$0.45,$0.44,$306,$264,$0,$902,$19,$0,$116,$79,$214,$1116,$307,$0,$33,$33,$340,$0,$197,$-5,$776,$1116,$31,$14,$13,$27,$9,$-16,$-39,$7,$-54,$3,$-6,$0,$-1,$9,$0,$9,$0,$2,$0,$0,$0,$-56,$-56,$0,$0,$-56,$-50,$11,$0
6,2017-03-31,49.55,$24.90,1.99,$39.68,1.25,$9.61,5.15,$2.22,22.32,$0.92B,$0.30B,3.06,$0.00B,$0.81B,0.0,$1.34B,$0.41B,30.48%,$1.34B,$0.11B,8.35%,$1.34B,$0.11B,8.35%,$1.34B,$0.14B,10.66%,$1.34B,$0.11B,8.42%,$1.34B,$0.08B,5.59%,$0.08B,$0.81B,9.61%,$0.08B,$0.69B,11.36%,$0.08B,$1.14B,6.72%,$0.11B,$0.81B,14.35%,$324,$227,$97,$23,$51,$301,$23,$1,$24,$8,$16,$16,$16,$31,$23,$33,34,$0.49,$0.47,$361,$268,$0,$924,$19,$0,$119,$80,$218,$1142,$302,$0,$32,$32,$334,$0,$231,$0,$808,$1142,$16,$8,$6,$14,$49,$-20,$-22,$1,$-20,$9,$-3,$0,$-1,$-1,$0,$-1,$0,$-6,$0,$0,$0,$-8,$-8,$0,$0,$-8,$-5,$5,$0
7,2016-12-31,54.35,$24.18,2.25,$39.52,1.38,$11.25,4.83,$2.25,24.16,$0.96B,$0.36B,2.7,$0.00B,$0.80B,0.0,$1.33B,$0.41B,31.10%,$1.33B,$0.12B,8.66%,$1.33B,$0.12B,8.66%,$1.33B,$0.15B,10.99%,$1.33B,$0.11B,8.58%,$1.33B,$0.08B,5.72%,$0.08B,$0.80B,10.00%,$0.08B,$0.67B,11.93%,$0.08B,$1.18B,6.99%,$0.12B,$0.80B,15.14%,$368,$257,$111,$23,$54,$335,$33,$1,$34,$12,$22,$22,$22,$40,$33,$33,34,$0.68,$0.65,$366,$248,$0,$963,$19,$0,$123,$79,$222,$1184,$357,$0,$31,$31,$388,$0,$229,$2,$797,$1184,$76,$32,$19,$51,$-23,$-35,$21,$12,$-9,$118,$-11,$0,$-9,$-29,$0,$-29,$0,$-49,$0,$0,$0,$-11,$-11,$0,$0,$-11,$59,$19,$0
8,2016-09-30,60.49,$23.50,2.57,$39.29,1.54,$10.94,5.53,$2.26,26.77,$0.89B,$0.29B,3.04,$0.00B,$0.78B,0.0,$1.32B,$0.41B,30.81%,$1.32B,$0.11B,8.55%,$1.32B,$0.11B,8.55%,$1.32B,$0.15B,10.98%,$1.32B,$0.11B,8.40%,$1.32B,$0.08B,5.75%,$0.08B,$0.78B,10.30%,$0.08B,$0.66B,12.39%,$0.08B,$1.10B,7.21%,$0.11B,$0.78B,15.32%,$338,$235,$103,$22,$51,$309,$30,$0,$30,$9,$21,$21,$21,$38,$30,$33,34,$0.64,$0.62,$403,$218,$0,$885,$19,$0,$118,$74,$212,$1097,$291,$0,$28,$28,$320,$0,$222,$0,$777,$1097,$54,$25,$17,$42,$57,$-5,$5,$7,$38,$133,$-7,$0,$0,$-33,$0,$-33,$0,$-40,$0,$0,$0,$-2,$-2,$0,$0,$-2,$92,$14,$0
9,2016-06-30,47.54,$22.61,2.1,$39.88,1.19,$10.45,4.55,$2.11,22.53,$0.83B,$0.27B,3.03,$0.00B,$0.74B,0.0,$1.33B,$0.40B,30.19%,$1.33B,$0.11B,8.23%,$1.33B,$0.11B,8.23%,$1.33B,$0.14B,10.72%,$1.33B,$0.11B,8.08%,$1.33B,$0.07B,5.28%,$0.07B,$0.74B,9.88%,$0.07B,$0.62B,12.06%,$0.07B,$1.04B,6.84%,$0.11B,$0.74B,15.38%,$312,$214,$98,$22,$49,$286,$26,$-0,$25,$9,$16,$16,$16,$34,$26,$33,33,$0.49,$0.48,$353,$208,$0,$827,$19,$0,$122,$72,$213,$1041,$273,$0,$27,$27,$300,$0,$201,$0,$741,$1041,$33,$17,$14,$31,$60,$5,$-10,$3,$26,$90,$-5,$0,$0,$-30,$0,$-30,$0,$-35,$0,$0,$0,$-11,$-11,$0,$0,$-11,$44,$9,$0
