,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.88,$-0.33,-5.68,$0.11,16.62,$-1.34,0.0,$-0.42,0.0,$0.16B,$0.05B,3.44,$0.32B,$-0.13B,-2.52,$0.04B,$0.04B,100.00%,$0.04B,$-0.18B,-451.28%,$0.04B,$-0.18B,-451.28%,$0.04B,$-0.17B,-425.64%,$0.04B,$-0.19B,-476.92%,$0.04B,$-0.19B,-476.92%,$-0.19B,$-0.13B,178.85%,$-0.19B,$-0.19B,113.41%,$-0.19B,$0.25B,-66.79%,$-0.18B,$0.19B,-82.05%,$8,$0,$8,$41,$8,$50,$-42,$-3,$-45,$0,$-45,$-45,$-45,$-40,$-42,$382,382,$-0.12,$-0.12,$145,$0,$0,$161,$29,$0,$59,$2,$90,$250,$47,$319,$9,$330,$377,$4,$-1250,$-11,$-127,$250,$-135,$7,$9,$17,$0,$0,$0,$-9,$-19,$-140,$-1,$0,$0,$-19,$0,$-19,$0,$-20,$0,$0,$0,$99,$99,$0,$0,$99,$-60,$14,$0
1,2018-06-30,1.34,$-0.23,-5.83,$0.12,11.07,$-1.32,0.0,$-0.57,0.0,$0.19B,$0.04B,4.52,$0.32B,$-0.09B,-3.63,$0.04B,$0.04B,100.00%,$0.04B,$-0.18B,-451.28%,$0.04B,$-0.18B,-451.28%,$0.04B,$-0.16B,-420.51%,$0.04B,$-0.19B,-476.92%,$0.04B,$-0.19B,-476.92%,$-0.19B,$-0.09B,204.96%,$-0.19B,$-0.15B,122.77%,$-0.19B,$0.29B,-62.10%,$-0.18B,$0.23B,-77.45%,$11,$0,$11,$45,$8,$53,$-42,$-2,$-44,$0,$-44,$-44,$-44,$-40,$-42,$376,376,$-0.12,$-0.12,$177,$0,$0,$194,$31,$0,$59,$2,$91,$286,$43,$318,$10,$330,$374,$4,$-1205,$-11,$-88,$286,$-91,$5,$5,$10,$0,$0,$0,$-18,$-24,$-106,$-0,$0,$0,$-27,$0,$-27,$0,$-28,$0,$0,$0,$98,$98,$0,$0,$98,$-36,$9,$0
2,2018-03-31,2.1,$-0.29,-7.33,$0.12,18.08,$-1.25,0.0,$-0.61,0.0,$0.18B,$0.05B,4.03,$0.32B,$-0.10B,-3.2,$0.04B,$0.04B,100.00%,$0.04B,$-0.18B,-500.00%,$0.04B,$-0.18B,-500.00%,$0.04B,$-0.16B,-465.71%,$0.04B,$-0.19B,-531.43%,$0.04B,$-0.19B,-531.43%,$-0.19B,$-0.10B,222.75%,$-0.19B,$-0.16B,128.06%,$-0.19B,$0.28B,-58.68%,$-0.18B,$0.22B,-74.79%,$10,$0,$10,$45,$9,$53,$-44,$-3,$-46,$0,$-46,$-46,$-46,$-41,$-44,$337,337,$-0.14,$-0.14,$163,$0,$0,$181,$32,$0,$61,$2,$95,$276,$45,$318,$10,$331,$375,$3,$-1161,$-9,$-99,$276,$-46,$2,$1,$3,$0,$0,$0,$-9,$-23,$-66,$-0,$0,$0,$21,$0,$21,$0,$21,$0,$0,$0,$44,$44,$0,$0,$44,$-2,$5,$0
3,2017-12-31,1.24,$-0.31,-3.94,$0.11,11.46,$-1.22,0.0,$-0.63,0.0,$0.20B,$0.07B,2.76,$0.32B,$-0.10B,-3.12,$0.03B,$0.03B,100.00%,$0.03B,$-0.17B,-554.84%,$0.03B,$-0.17B,-554.84%,$0.03B,$-0.16B,-516.13%,$0.03B,$-0.18B,-593.55%,$0.03B,$-0.18B,-593.55%,$-0.18B,$-0.10B,278.79%,$-0.18B,$-0.16B,144.03%,$-0.18B,$0.30B,-54.36%,$-0.17B,$0.22B,-68.46%,$10,$0,$10,$50,$9,$58,$-48,$-3,$-51,$0,$-51,$-51,$-51,$-45,$-48,$293,293,$-0.16,$-0.16,$186,$0,$0,$203,$36,$0,$61,$2,$99,$302,$74,$318,$10,$331,$404,$3,$-1114,$-9,$-102,$302,$-184,$11,$22,$33,$0,$0,$0,$4,$9,$-139,$-4,$0,$0,$40,$0,$40,$0,$36,$-0,$0,$-0,$65,$65,$0,$0,$65,$-38,$20,$0
4,2017-09-30,1.14,$-0.24,-4.77,$0.09,12.31,$-1.74,0.0,$-0.68,0.0,$0.23B,$0.07B,3.31,$0.32B,$-0.07B,-4.28,$0.03B,$0.03B,100.00%,$0.03B,$-0.18B,-684.62%,$0.03B,$-0.18B,-684.62%,$0.03B,$-0.17B,-638.46%,$0.03B,$-0.19B,-730.77%,$0.03B,$-0.19B,-730.77%,$-0.19B,$-0.07B,452.38%,$-0.19B,$-0.14B,183.57%,$-0.19B,$0.33B,-52.56%,$-0.18B,$0.24B,-64.73%,$8,$0,$8,$42,$8,$50,$-42,$-3,$-45,$0,$-45,$-45,$-45,$-38,$-42,$296,296,$-0.15,$-0.15,$205,$0,$0,$226,$37,$0,$62,$9,$108,$334,$68,$317,$16,$340,$408,$3,$-1064,$-8,$-74,$334,$-133,$9,$15,$24,$0,$0,$0,$5,$6,$-101,$-4,$0,$0,$23,$0,$23,$0,$19,$-0,$0,$-0,$47,$47,$0,$0,$47,$-35,$13,$0
5,2017-06-30,1.15,$-0.20,-5.65,$0.08,15.07,$-2.16,0.0,$-0.77,0.0,$0.24B,$0.07B,3.54,$0.32B,$-0.06B,-5.37,$0.02B,$0.02B,100.00%,$0.02B,$-0.20B,-947.62%,$0.02B,$-0.20B,-947.62%,$0.02B,$-0.19B,-900.00%,$0.02B,$-0.21B,-1004.76%,$0.02B,$-0.21B,-1004.76%,$-0.21B,$-0.06B,1918.18%,$-0.21B,$-0.12B,290.03%,$-0.21B,$0.36B,-53.69%,$-0.20B,$0.26B,-65.09%,$7,$0,$7,$39,$9,$48,$-41,$-3,$-44,$0,$-44,$-44,$-44,$-39,$-41,$283,283,$-0.16,$-0.16,$217,$0,$0,$237,$39,$0,$62,$18,$119,$356,$67,$317,$15,$348,$415,$3,$-1019,$-10,$-59,$356,$-88,$5,$11,$15,$0,$0,$0,$15,$15,$-57,$-2,$0,$0,$-20,$0,$-20,$0,$-23,$-0,$0,$-0,$24,$24,$0,$0,$23,$-56,$9,$0
6,2017-03-31,1.28,$-0.10,-12.43,$0.06,20.7,$-2.48,0.0,$-0.90,0.0,$0.26B,$0.06B,4.57,$0.32B,$-0.03B,-10.88,$0.02B,$0.02B,100.00%,$0.02B,$-0.23B,-1376.47%,$0.02B,$-0.23B,-1376.47%,$0.02B,$-0.22B,-1317.65%,$0.02B,$-0.25B,-1447.06%,$0.02B,$-0.25B,-1447.06%,$-0.25B,$-0.03B,-787.20%,$-0.25B,$-0.09B,806.56%,$-0.25B,$0.36B,-56.52%,$-0.23B,$0.29B,-67.29%,$6,$0,$6,$38,$9,$47,$-41,$-3,$-44,$0,$-44,$-44,$-44,$-38,$-41,$274,274,$-0.16,$-0.16,$238,$0,$0,$258,$39,$0,$61,$3,$103,$362,$56,$317,$15,$334,$391,$3,$-974,$-11,$-29,$362,$-44,$2,$6,$8,$0,$0,$0,$-4,$-9,$-44,$-1,$0,$0,$-24,$0,$-24,$0,$-25,$-0,$0,$-0,$15,$15,$0,$0,$15,$-54,$4,$0
7,2016-12-31,1.26,$-0.02,-61.76,$0.06,22.21,$-2.59,0.0,$-1.03,0.0,$0.29B,$0.07B,4.33,$0.32B,$-0.01B,-57.04,$0.02B,$0.02B,100.00%,$0.02B,$-0.27B,-1786.67%,$0.02B,$-0.27B,-1786.67%,$0.02B,$-0.26B,-1726.67%,$0.02B,$-0.28B,-1860.00%,$0.02B,$-0.28B,-1860.00%,$-0.28B,$-0.01B,-329.20%,$-0.28B,$-0.07B,-1253.93%,$-0.28B,$0.39B,-56.59%,$-0.27B,$0.31B,-66.83%,$5,$0,$5,$51,$8,$59,$-54,$-3,$-57,$0,$-57,$-57,$-57,$-51,$-54,$271,271,$-0.21,$-0.21,$266,$0,$0,$288,$40,$0,$61,$5,$106,$394,$66,$316,$15,$333,$400,$3,$-930,$-12,$-6,$394,$-280,$10,$21,$31,$0,$0,$0,$-3,$-7,$-255,$-18,$0,$0,$46,$0,$46,$0,$28,$315,$0,$315,$4,$4,$0,$-39,$279,$51,$19,$0
8,2016-09-30,2.08,$0.18,11.34,$0.06,35.2,$-2.13,0.0,$-1.11,0.0,$0.35B,$0.08B,4.68,$0.32B,$0.05B,6.35,$0.02B,$0.02B,100.00%,$0.02B,$-0.29B,-1831.25%,$0.02B,$-0.29B,-1831.25%,$0.02B,$-0.29B,-1787.50%,$0.02B,$-0.30B,-1881.25%,$0.02B,$-0.30B,-1881.25%,$-0.30B,$0.05B,-188.71%,$-0.30B,$-0.01B,-313.54%,$-0.30B,$0.46B,-61.30%,$-0.29B,$0.37B,-73.90%,$3,$0,$3,$53,$14,$67,$-63,$-3,$-66,$0,$-66,$-66,$-66,$-61,$-63,$271,271,$-0.24,$-0.24,$332,$0,$0,$354,$41,$0,$63,$2,$106,$460,$76,$316,$3,$334,$410,$3,$-873,$-10,$50,$460,$-223,$7,$17,$25,$0,$0,$0,$-3,$3,$-194,$-15,$0,$0,$-43,$0,$-43,$0,$-58,$315,$0,$315,$4,$4,$0,$-39,$279,$27,$15,$0
9,2016-06-30,7.27,$0.41,17.88,$0.07,101.84,$-1.67,0.0,$-0.99,0.0,$0.42B,$0.08B,5.13,$0.32B,$0.11B,2.87,$0.02B,$0.02B,100.00%,$0.02B,$-0.26B,-1315.00%,$0.02B,$-0.26B,-1315.00%,$0.02B,$-0.26B,-1280.00%,$0.02B,$-0.27B,-1340.00%,$0.02B,$-0.27B,-1340.00%,$-0.27B,$0.11B,-112.25%,$-0.27B,$0.05B,-153.14%,$-0.27B,$0.53B,-56.16%,$-0.26B,$0.43B,-66.29%,$3,$0,$3,$65,$14,$79,$-76,$-3,$-79,$0,$-79,$-79,$-79,$-74,$-76,$271,271,$-0.29,$-0.29,$400,$0,$0,$420,$40,$0,$63,$2,$105,$525,$82,$316,$3,$333,$415,$3,$-807,$-9,$110,$525,$-157,$5,$12,$17,$0,$0,$0,$-1,$8,$-132,$-11,$0,$0,$-139,$0,$-139,$0,$-150,$315,$0,$315,$2,$2,$0,$-39,$279,$-4,$10,$0
