,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,86.7,$24.34,3.56,$35.74,2.43,$3.87,22.38,$2.14,40.51,$0.19B,$0.06B,3.45,$0.02B,$0.30B,0.06,$0.40B,$0.19B,48.61%,$0.40B,$0.03B,8.31%,$0.40B,$0.03B,8.31%,$0.40B,$0.05B,12.34%,$0.40B,$0.03B,8.06%,$0.40B,$0.03B,7.81%,$0.03B,$0.30B,14.29%,$0.03B,$0.11B,69.27%,$0.03B,$0.39B,9.34%,$0.03B,$0.32B,12.52%,$104,$54,$50,$0,$32,$94,$10,$-0,$10,$2,$7,$7,$7,$14,$10,$11,12,$0.65,$0.62,$56,$0,$0,$188,$11,$0,$190,$1,$202,$390,$55,$19,$1,$32,$87,$0,$73,$0,$303,$390,$19,$12,$6,$18,$-10,$0,$-1,$1,$-20,$18,$-2,$0,$-28,$0,$0,$0,$0,$-30,$-44,$0,$-44,$95,$95,$0,$-1,$50,$37,$5,$0
1,2018-06-30,69.3,$17.77,3.9,$35.30,1.96,$2.89,24.01,$2.69,25.76,$0.14B,$0.06B,2.48,$0.05B,$0.20B,0.25,$0.38B,$0.19B,49.48%,$0.38B,$0.03B,8.33%,$0.38B,$0.03B,8.33%,$0.38B,$0.05B,12.50%,$0.38B,$0.03B,7.81%,$0.38B,$0.03B,7.81%,$0.03B,$0.20B,16.44%,$0.03B,$0.03B,184.62%,$0.03B,$0.32B,9.65%,$0.03B,$0.25B,13.28%,$104,$53,$51,$0,$34,$95,$9,$-1,$9,$1,$8,$8,$8,$13,$9,$10,11,$0.73,$0.69,$16,$0,$0,$141,$10,$0,$166,$1,$177,$318,$57,$50,$1,$63,$120,$0,$66,$0,$198,$318,$12,$8,$4,$12,$-10,$0,$1,$1,$-13,$11,$-1,$0,$-3,$0,$0,$0,$0,$-5,$-9,$0,$-9,$1,$1,$0,$-1,$-9,$-3,$3,$0
2,2018-03-31,55.75,$17.02,3.28,$33.65,1.66,$2.36,23.62,$2.40,23.23,$0.13B,$0.05B,2.46,$0.06B,$0.19B,0.32,$0.36B,$0.18B,49.45%,$0.36B,$0.03B,8.24%,$0.36B,$0.03B,8.24%,$0.36B,$0.05B,12.36%,$0.36B,$0.03B,7.69%,$0.36B,$0.03B,7.14%,$0.03B,$0.19B,15.07%,$0.03B,$0.02B,495.24%,$0.03B,$0.31B,8.44%,$0.03B,$0.25B,12.68%,$95,$48,$47,$0,$33,$88,$6,$-1,$6,$1,$4,$4,$4,$10,$6,$10,11,$0.42,$0.39,$17,$0,$0,$134,$10,$0,$168,$1,$179,$313,$54,$59,$1,$72,$126,$0,$58,$0,$187,$313,$4,$4,$1,$5,$-2,$0,$-1,$0,$-6,$4,$-1,$0,$-3,$0,$0,$0,$0,$-4,$-2,$0,$-2,$1,$1,$0,$-0,$-1,$-2,$1,$0
3,2017-12-31,54.15,$16.62,3.26,$30.96,1.75,$2.12,25.6,$2.22,24.39,$0.13B,$0.06B,2.33,$0.06B,$0.18B,0.32,$0.33B,$0.17B,49.55%,$0.33B,$0.03B,8.11%,$0.33B,$0.03B,8.11%,$0.33B,$0.04B,12.01%,$0.33B,$0.02B,7.21%,$0.33B,$0.02B,7.21%,$0.02B,$0.18B,14.68%,$0.02B,$0.02B,171.43%,$0.02B,$0.31B,8.47%,$0.03B,$0.24B,12.37%,$94,$49,$45,$0,$30,$86,$8,$-1,$7,$-4,$12,$12,$12,$12,$8,$10,11,$1.13,$1.07,$19,$0,$0,$131,$9,$0,$165,$1,$174,$306,$56,$57,$1,$69,$126,$0,$54,$0,$180,$306,$24,$13,$-7,$6,$-15,$0,$-1,$2,$-12,$18,$-2,$0,$-61,$0,$0,$0,$0,$-63,$29,$0,$29,$0,$0,$0,$-1,$28,$-17,$4,$0
4,2017-09-30,54.65,$15.33,3.57,$28.85,1.89,$2.18,25.08,$1.47,37.18,$0.13B,$0.05B,2.54,$0.07B,$0.17B,0.41,$0.30B,$0.15B,50.00%,$0.30B,$0.02B,7.95%,$0.30B,$0.02B,7.95%,$0.30B,$0.04B,11.59%,$0.30B,$0.02B,7.28%,$0.30B,$0.02B,4.97%,$0.02B,$0.17B,9.65%,$0.02B,$-0.00B,67.42%,$0.02B,$0.31B,5.72%,$0.02B,$0.23B,11.93%,$91,$45,$47,$0,$30,$82,$9,$-1,$8,$3,$6,$6,$6,$13,$9,$10,11,$0.58,$0.55,$16,$0,$0,$131,$8,$0,$166,$1,$175,$306,$52,$67,$0,$89,$141,$0,$43,$0,$165,$306,$13,$10,$4,$13,$-17,$0,$-2,$2,$-20,$6,$-2,$0,$-60,$0,$0,$0,$0,$-62,$37,$0,$37,$0,$0,$0,$-1,$36,$-20,$3,$0
5,2017-06-30,42.5,$14.71,2.89,$26.19,1.62,$2.78,15.3,$1.25,34.0,$0.13B,$0.05B,2.35,$0.07B,$0.16B,0.45,$0.27B,$0.13B,48.71%,$0.27B,$0.02B,7.38%,$0.27B,$0.02B,7.38%,$0.27B,$0.03B,10.70%,$0.27B,$0.02B,7.01%,$0.27B,$0.01B,4.43%,$0.01B,$0.16B,8.04%,$0.01B,$-0.01B,28.24%,$0.01B,$0.31B,5.17%,$0.02B,$0.23B,11.07%,$84,$42,$41,$0,$28,$77,$7,$-0,$7,$2,$4,$4,$4,$10,$7,$10,11,$0.42,$0.40,$19,$0,$0,$128,$8,$0,$170,$1,$179,$307,$54,$72,$0,$94,$148,$0,$37,$0,$158,$307,$7,$6,$2,$8,$-8,$0,$-0,$1,$-10,$4,$-1,$0,$-61,$0,$0,$0,$0,$-62,$42,$0,$42,$0,$0,$0,$-1,$41,$-16,$2,$0
6,2017-03-31,37.6,$14.28,2.63,$24.48,1.54,$3.14,11.99,$1.16,32.41,$0.11B,$0.04B,3.06,$0.02B,$0.15B,0.14,$0.24B,$0.12B,48.15%,$0.24B,$0.02B,7.41%,$0.24B,$0.02B,7.41%,$0.24B,$0.03B,10.29%,$0.24B,$0.02B,7.00%,$0.24B,$0.01B,4.53%,$0.01B,$0.15B,7.65%,$0.01B,$0.05B,17.05%,$0.01B,$0.22B,5.48%,$0.02B,$0.17B,11.25%,$64,$32,$32,$0,$24,$62,$3,$-0,$2,$0,$2,$2,$2,$5,$3,$10,11,$0.23,$0.21,$34,$0,$0,$110,$7,$0,$97,$1,$105,$215,$36,$21,$0,$28,$64,$0,$32,$0,$151,$215,$2,$3,$1,$4,$2,$0,$-4,$-0,$-6,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$-2,$1,$0
7,2016-12-31,33.4,$14.02,2.38,$24.04,1.39,$3.38,9.87,$1.20,27.83,$0.11B,$0.04B,2.59,$0.02B,$0.15B,0.15,$0.22B,$0.11B,48.21%,$0.22B,$0.02B,8.04%,$0.22B,$0.02B,8.04%,$0.22B,$0.03B,11.16%,$0.22B,$0.02B,8.04%,$0.22B,$0.01B,4.91%,$0.01B,$0.15B,8.66%,$0.01B,$0.05B,17.96%,$0.01B,$0.22B,6.27%,$0.02B,$0.17B,12.95%,$63,$32,$31,$0,$22,$58,$5,$-0,$5,$2,$3,$3,$3,$7,$5,$9,10,$0.33,$0.33,$36,$0,$0,$113,$7,$0,$100,$2,$108,$221,$44,$22,$2,$30,$73,$0,$30,$0,$148,$221,$12,$6,$-0,$6,$-8,$0,$3,$1,$-3,$15,$-1,$0,$-46,$0,$0,$0,$0,$-47,$-5,$0,$-5,$52,$52,$0,$-4,$44,$12,$2,$0
8,2016-09-30,32.31,$13.50,2.39,$23.30,1.39,$2.64,12.26,$1.22,26.48,$0.12B,$0.03B,3.7,$0.01B,$0.14B,0.07,$0.20B,$0.10B,47.29%,$0.20B,$0.02B,8.37%,$0.20B,$0.02B,8.37%,$0.20B,$0.02B,11.33%,$0.20B,$0.02B,8.37%,$0.20B,$0.01B,5.42%,$0.01B,$0.14B,9.98%,$0.01B,$0.08B,18.03%,$0.01B,$0.19B,7.42%,$0.02B,$0.15B,14.38%,$60,$32,$28,$0,$19,$55,$5,$-0,$5,$2,$3,$3,$3,$7,$5,$10,10,$0.34,$0.33,$53,$0,$0,$120,$4,$0,$60,$1,$65,$185,$32,$10,$0,$12,$45,$0,$27,$0,$140,$185,$8,$4,$2,$6,$-8,$0,$3,$0,$-4,$11,$-1,$0,$-24,$0,$0,$0,$0,$-25,$-4,$0,$-4,$52,$52,$0,$-4,$44,$30,$2,$0
9,2016-06-30,28.44,$13.12,2.17,$23.63,1.2,$1.56,18.25,$1.27,22.39,$0.12B,$0.03B,3.51,$0.01B,$0.14B,0.08,$0.19B,$0.09B,46.88%,$0.19B,$0.02B,8.85%,$0.19B,$0.02B,8.85%,$0.19B,$0.02B,11.46%,$0.19B,$0.02B,8.85%,$0.19B,$0.01B,5.73%,$0.01B,$0.14B,11.61%,$0.01B,$0.08B,21.36%,$0.01B,$0.18B,8.41%,$0.02B,$0.15B,16.71%,$56,$30,$26,$0,$18,$51,$5,$-0,$5,$2,$3,$3,$3,$6,$5,$9,9,$0.33,$0.31,$51,$0,$0,$117,$4,$0,$60,$1,$65,$182,$33,$11,$0,$13,$46,$0,$23,$0,$136,$182,$5,$3,$1,$4,$-6,$0,$4,$0,$-2,$7,$-0,$0,$-24,$0,$0,$0,$0,$-25,$-3,$0,$-3,$52,$52,$0,$-4,$45,$28,$1,$0
