,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,26.31,$0.00,0.0,$8.55,3.08,$3.75,7.01,$1.65,15.95,$0.27B,$0.04B,6.35,$0.00B,$0.00B,0.0,$0.25B,$0.14B,57.32%,$0.25B,$0.06B,23.58%,$0.25B,$0.06B,23.58%,$0.25B,$0.07B,26.83%,$0.25B,$0.06B,24.39%,$0.25B,$0.05B,19.11%,$0.05B,$0.27B,18.93%,$0.05B,$0.24B,21.76%,$0.05B,$0.32B,15.68%,$0.06B,$0.27B,23.36%,$64,$26,$37,$12,$9,$48,$16,$1,$17,$3,$13,$13,$13,$18,$16,$28,29,$0.47,$0.46,$170,$42,$6,$266,$13,$2,$31,$1,$50,$316,$42,$0,$5,$5,$47,$0,$0,$0,$269,$316,$39,$6,$2,$8,$-7,$-8,$2,$-11,$-24,$23,$-2,$0,$0,$0,$-26,$-26,$0,$-27,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$0,$0
1,2018-06-30,27.25,$0.00,0.0,$8.23,3.31,$4.77,5.71,$1.59,17.14,$0.26B,$0.05B,5.47,$0.00B,$0.00B,0.0,$0.24B,$0.14B,58.05%,$0.24B,$0.06B,24.15%,$0.24B,$0.06B,24.15%,$0.24B,$0.06B,27.12%,$0.24B,$0.06B,24.58%,$0.24B,$0.05B,19.49%,$0.05B,$0.26B,19.55%,$0.05B,$0.22B,22.72%,$0.05B,$0.31B,15.93%,$0.06B,$0.26B,24.23%,$62,$26,$36,$12,$10,$48,$14,$0,$14,$2,$12,$12,$12,$16,$14,$28,29,$0.42,$0.41,$168,$41,$4,$256,$14,$1,$32,$1,$50,$306,$47,$0,$5,$5,$52,$0,$0,$0,$255,$306,$26,$4,$1,$5,$-2,$-7,$3,$-4,$-11,$20,$-1,$0,$0,$0,$-19,$-19,$0,$-20,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
2,2018-03-31,27.13,$0.00,0.0,$8.05,3.37,$5.59,4.86,$1.65,16.44,$0.24B,$0.05B,5.15,$0.00B,$0.00B,0.0,$0.23B,$0.13B,58.26%,$0.23B,$0.06B,25.65%,$0.23B,$0.06B,25.65%,$0.23B,$0.07B,28.26%,$0.23B,$0.06B,26.09%,$0.23B,$0.05B,20.43%,$0.05B,$0.24B,21.10%,$0.05B,$0.21B,24.80%,$0.05B,$0.29B,16.97%,$0.06B,$0.24B,26.49%,$63,$26,$36,$11,$8,$47,$16,$0,$16,$2,$14,$14,$14,$18,$16,$28,29,$0.50,$0.49,$161,$39,$6,$243,$14,$1,$32,$2,$51,$294,$47,$0,$5,$5,$52,$0,$0,$0,$242,$294,$14,$2,$1,$2,$4,$-4,$2,$-6,$-4,$12,$-0,$0,$0,$-11,$0,$-11,$0,$-12,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$0
3,2017-12-31,25.91,$0.00,0.0,$7.80,3.32,$5.97,4.34,$1.64,15.8,$0.23B,$0.05B,4.46,$0.00B,$0.00B,0.0,$0.22B,$0.13B,59.28%,$0.22B,$0.06B,26.24%,$0.22B,$0.06B,26.24%,$0.22B,$0.06B,28.96%,$0.22B,$0.06B,27.15%,$0.22B,$0.05B,20.81%,$0.05B,$0.23B,21.90%,$0.05B,$0.19B,26.10%,$0.05B,$0.28B,17.49%,$0.06B,$0.23B,27.62%,$57,$25,$32,$11,$9,$45,$12,$1,$13,$5,$8,$8,$8,$14,$12,$28,29,$0.30,$0.28,$149,$35,$7,$232,$14,$1,$33,$2,$51,$283,$52,$0,$4,$4,$57,$0,$0,$0,$227,$283,$46,$6,$3,$9,$2,$-7,$-1,$12,$6,$62,$-6,$0,$0,$-51,$0,$-51,$0,$-57,$0,$0,$0,$3,$3,$0,$0,$3,$7,$3,$0
4,2017-09-30,28.11,$0.00,0.0,$7.61,3.69,$3.75,7.49,$1.65,17.04,$0.23B,$0.05B,4.49,$0.00B,$0.00B,0.0,$0.21B,$0.13B,59.35%,$0.21B,$0.06B,26.64%,$0.21B,$0.06B,26.64%,$0.21B,$0.06B,28.97%,$0.21B,$0.06B,27.10%,$0.21B,$0.05B,21.50%,$0.05B,$0.22B,23.35%,$0.05B,$0.18B,28.31%,$0.05B,$0.27B,18.62%,$0.06B,$0.22B,28.93%,$54,$21,$33,$10,$8,$39,$15,$1,$15,$4,$12,$12,$12,$16,$15,$28,29,$0.41,$0.40,$144,$39,$9,$225,$10,$1,$34,$1,$47,$272,$50,$0,$4,$5,$55,$0,$0,$0,$217,$272,$38,$5,$2,$7,$9,$-10,$1,$7,$7,$53,$-2,$0,$0,$0,$-53,$-53,$0,$-55,$0,$0,$0,$2,$2,$0,$0,$2,$-0,$0,$0
5,2017-06-30,22.09,$0.00,0.0,$7.35,3.01,$1.83,12.04,$1.07,20.64,$0.21B,$0.05B,4.27,$0.00B,$0.00B,0.0,$0.20B,$0.10B,50.98%,$0.20B,$0.04B,17.16%,$0.20B,$0.04B,17.16%,$0.20B,$0.04B,20.10%,$0.20B,$0.04B,17.65%,$0.20B,$0.03B,14.22%,$0.03B,$0.21B,15.76%,$0.03B,$0.17B,19.50%,$0.03B,$0.26B,12.57%,$0.04B,$0.21B,19.02%,$56,$23,$33,$9,$8,$40,$16,$1,$16,$3,$13,$13,$13,$17,$16,$28,29,$0.48,$0.47,$135,$34,$6,$211,$10,$1,$34,$1,$48,$259,$49,$0,$4,$5,$54,$0,$0,$0,$205,$259,$27,$3,$1,$4,$6,$-5,$3,$8,$12,$43,$-1,$0,$0,$0,$-23,$-23,$0,$-24,$0,$0,$0,$2,$2,$0,$0,$2,$21,$0,$0
6,2017-03-31,18.59,$0.00,0.0,$6.68,2.78,$0.30,61.39,$0.71,26.18,$0.19B,$0.04B,4.41,$0.00B,$0.00B,0.0,$0.18B,$0.09B,48.91%,$0.18B,$0.02B,12.50%,$0.18B,$0.02B,12.50%,$0.18B,$0.03B,15.76%,$0.18B,$0.02B,13.04%,$0.18B,$0.02B,10.33%,$0.02B,$0.19B,10.87%,$0.02B,$0.16B,13.69%,$0.02B,$0.24B,8.72%,$0.02B,$0.19B,13.16%,$54,$22,$33,$9,$8,$39,$15,$0,$16,$2,$13,$13,$13,$17,$15,$27,28,$0.49,$0.48,$115,$31,$5,$189,$10,$1,$35,$1,$49,$238,$43,$0,$4,$4,$47,$0,$0,$0,$191,$238,$13,$2,$0,$2,$4,$-2,$0,$5,$8,$23,$-0,$0,$0,$-20,$0,$-20,$0,$-20,$0,$0,$0,$2,$2,$0,$0,$2,$4,$0,$0
7,2016-12-31,13.16,$6.39,2.06,$5.99,2.2,$-0.66,0.0,$0.34,38.71,$0.17B,$0.04B,4.3,$0.00B,$0.18B,0.0,$0.16B,$0.08B,46.34%,$0.16B,$0.01B,6.71%,$0.16B,$0.01B,6.71%,$0.16B,$0.02B,10.37%,$0.16B,$0.01B,6.71%,$0.16B,$0.01B,5.49%,$0.01B,$0.18B,5.35%,$0.01B,$0.14B,6.83%,$0.01B,$0.22B,4.29%,$0.01B,$0.18B,6.54%,$50,$22,$28,$9,$8,$39,$11,$0,$11,$3,$8,$8,$8,$12,$11,$27,28,$0.30,$0.31,$91,$29,$5,$168,$10,$1,$35,$2,$51,$219,$39,$0,$4,$5,$44,$0,$58,$-0,$175,$219,$10,$7,$4,$10,$-24,$-2,$2,$-1,$-24,$-4,$-3,$0,$0,$-1,$0,$-1,$0,$-4,$0,$0,$0,$1,$1,$0,$0,$1,$-7,$3,$0
8,2016-09-30,11.82,$0.00,0.0,$5.63,2.1,$0.38,30.75,$0.23,51.39,$0.15B,$0.03B,4.63,$0.00B,$0.00B,0.0,$0.15B,$0.07B,44.81%,$0.15B,$0.00B,2.60%,$0.15B,$0.00B,2.60%,$0.15B,$0.01B,7.14%,$0.15B,$0.00B,2.60%,$0.15B,$0.01B,3.90%,$0.01B,$0.17B,3.64%,$0.01B,$0.13B,4.70%,$0.01B,$0.21B,2.90%,$0.00B,$0.17B,2.43%,$44,$34,$10,$9,$7,$51,$-7,$0,$-7,$-2,$-5,$-5,$-5,$-5,$-7,$27,27,$-0.18,$-0.18,$93,$29,$3,$154,$9,$1,$36,$1,$53,$207,$33,$0,$3,$8,$42,$0,$0,$0,$165,$207,$1,$5,$1,$6,$-5,$-1,$-2,$-2,$-10,$-3,$-2,$0,$0,$-0,$0,$-0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$0,$0
9,2016-06-30,10.94,$0.00,0.0,$5.48,2.0,$0.94,11.66,$0.61,17.93,$0.15B,$0.03B,4.9,$0.00B,$0.00B,0.0,$0.15B,$0.08B,54.67%,$0.15B,$0.02B,10.67%,$0.15B,$0.02B,10.67%,$0.15B,$0.02B,15.33%,$0.15B,$0.02B,10.67%,$0.15B,$0.02B,10.67%,$0.02B,$0.17B,9.86%,$0.02B,$0.13B,12.72%,$0.02B,$0.21B,7.78%,$0.02B,$0.17B,9.86%,$36,$17,$19,$9,$6,$32,$4,$0,$4,$1,$3,$3,$3,$5,$4,$27,27,$0.12,$0.11,$95,$31,$3,$154,$10,$1,$37,$1,$54,$208,$32,$0,$3,$9,$40,$0,$0,$0,$168,$208,$6,$4,$2,$6,$-4,$-3,$-1,$-4,$-12,$-1,$-1,$0,$0,$0,$-6,$-6,$0,$-7,$0,$0,$0,$-1,$-1,$0,$0,$-1,$-8,$0,$0
