,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.32,$12.01,1.44,$4.46,3.88,$3.42,5.06,$0.98,17.67,$8.04B,$7.96B,1.01,$0.29B,$1.24B,0.23,$0.46B,$0.43B,92.83%,$0.46B,$0.13B,28.26%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.13B,28.04%,$0.46B,$0.10B,21.96%,$0.10B,$1.24B,8.26%,$0.10B,$0.91B,11.32%,$0.10B,$9.58B,1.06%,$0.13B,$1.53B,8.92%,$118,$10,$108,$0,$72,$83,$35,$-0,$35,$7,$28,$28,$28,$0,$0,$102,104,$0.27,$0.27,$74,$0,$0,$8040,$145,$851,$329,$211,$1536,$9575,$7955,$290,$90,$380,$8335,$1,$541,$-45,$1241,$9575,$79,$9,$24,$33,$3,$0,$0,$-9,$-6,$106,$-3,$0,$0,$0,$-29,$-29,$-214,$-246,$0,$71,$71,$8,$8,$-52,$109,$136,$-4,$5,$-52
1,2018-06-30,17.23,$11.92,1.45,$4.45,3.87,$3.55,4.86,$0.94,18.33,$8.04B,$8.01B,1.0,$0.21B,$1.23B,0.17,$0.46B,$0.43B,93.44%,$0.46B,$0.13B,28.88%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.13B,28.45%,$0.46B,$0.10B,21.23%,$0.10B,$1.23B,7.99%,$0.10B,$0.90B,10.99%,$0.10B,$9.56B,1.02%,$0.13B,$1.44B,9.21%,$117,$9,$108,$0,$73,$83,$34,$-0,$33,$7,$26,$26,$26,$0,$0,$102,103,$0.26,$0.25,$133,$0,$0,$8043,$146,$834,$330,$209,$1519,$9562,$8008,$211,$114,$325,$8333,$1,$531,$-43,$1229,$9562,$51,$8,$15,$23,$3,$0,$0,$-10,$-7,$67,$-2,$0,$0,$0,$-8,$-8,$-156,$-165,$0,$-8,$-8,$6,$6,$-35,$191,$154,$55,$3,$-35
2,2018-03-31,16.24,$11.84,1.37,$4.60,3.53,$3.62,4.49,$0.99,16.4,$8.04B,$7.99B,1.01,$0.22B,$1.22B,0.18,$0.47B,$0.44B,94.06%,$0.47B,$0.15B,31.00%,$0.47B,0,0.00%,$0.47B,0,0.00%,$0.47B,$0.14B,30.15%,$0.47B,$0.10B,21.66%,$0.10B,$1.22B,8.45%,$0.10B,$0.88B,11.69%,$0.10B,$9.52B,1.08%,$0.15B,$1.43B,10.23%,$111,$8,$104,$0,$70,$79,$32,$0,$32,$7,$25,$25,$25,$0,$0,$102,103,$0.25,$0.24,$192,$0,$0,$8042,$148,$793,$332,$206,$1479,$9521,$7986,$216,$104,$320,$8306,$1,$522,$-42,$1215,$9521,$25,$4,$7,$11,$3,$0,$0,$-6,$-3,$33,$-0,$0,$0,$0,$35,$35,$-96,$-61,$0,$-4,$-4,$2,$2,$-17,$161,$143,$114,$1,$-17
3,2017-12-31,16.24,$11.79,1.38,$4.58,3.55,$3.71,4.38,$0.92,17.65,$7.84B,$7.83B,1.0,$0.22B,$1.21B,0.18,$0.47B,$0.44B,94.03%,$0.47B,$0.14B,29.85%,$0.47B,0,0.00%,$0.47B,0,0.00%,$0.47B,$0.14B,29.00%,$0.47B,$0.10B,20.26%,$0.10B,$1.21B,7.93%,$0.10B,$0.88B,11.03%,$0.10B,$9.36B,1.00%,$0.14B,$1.43B,9.82%,$114,$7,$107,$0,$77,$86,$29,$-0,$29,$7,$22,$22,$22,$0,$0,$101,103,$0.22,$0.22,$78,$0,$0,$7838,$152,$834,$333,$207,$1526,$9364,$7827,$219,$109,$329,$8156,$1,$508,$-32,$1208,$9364,$94,$16,$19,$36,$7,$0,$0,$19,$26,$156,$-4,$0,$0,$0,$11,$11,$-115,$-108,$0,$-35,$-35,$7,$7,$-65,$-267,$-360,$-312,$5,$-65
4,2017-09-30,16.61,$11.76,1.41,$4.60,3.61,$3.43,4.84,$0.94,17.67,$7.86B,$7.94B,0.99,$0.23B,$1.21B,0.19,$0.47B,$0.44B,94.04%,$0.47B,$0.15B,31.70%,$0.47B,0,0.00%,$0.47B,0,0.00%,$0.47B,$0.14B,30.64%,$0.47B,$0.10B,20.64%,$0.10B,$1.21B,8.16%,$0.10B,$0.87B,11.41%,$0.10B,$9.46B,1.01%,$0.15B,$1.43B,10.45%,$115,$7,$108,$0,$69,$77,$37,$-1,$36,$12,$24,$24,$24,$0,$0,$101,103,$0.23,$0.23,$166,$0,$0,$7858,$153,$909,$335,$205,$1602,$9460,$7943,$227,$85,$311,$8254,$1,$502,$-26,$1206,$9460,$72,$12,$-1,$12,$9,$0,$0,$23,$31,$115,$-1,$0,$0,$0,$-54,$-54,$-42,$-98,$0,$-28,$-28,$6,$6,$-49,$-171,$-242,$-224,$4,$-49
5,2017-06-30,14.86,$11.68,1.27,$4.53,3.28,$3.01,4.94,$0.85,17.48,$7.80B,$7.97B,0.98,$0.22B,$1.20B,0.19,$0.46B,$0.43B,93.71%,$0.46B,$0.14B,29.93%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.13B,27.55%,$0.46B,$0.09B,18.87%,$0.09B,$1.20B,7.39%,$0.09B,$0.86B,10.38%,$0.09B,$9.50B,0.90%,$0.14B,$1.42B,9.72%,$131,$7,$124,$0,$74,$83,$48,$-3,$45,$14,$31,$31,$31,$0,$0,$101,102,$0.31,$0.30,$157,$0,$0,$7802,$155,$997,$336,$208,$1697,$9499,$7972,$222,$109,$330,$8302,$1,$495,$-25,$1197,$9499,$49,$9,$-4,$5,$-0,$0,$0,$18,$17,$71,$1,$0,$0,$0,$-142,$-142,$12,$-129,$0,$-32,$-32,$5,$5,$-33,$-115,$-176,$-233,$3,$-33
6,2017-03-31,15.87,$11.55,1.37,$4.30,3.69,$2.57,6.17,$0.48,33.07,$7.96B,$7.99B,1.0,$0.25B,$1.18B,0.21,$0.44B,$0.40B,92.66%,$0.44B,$0.08B,19.04%,$0.44B,0,0.00%,$0.44B,0,0.00%,$0.44B,$0.07B,16.51%,$0.44B,$0.05B,11.24%,$0.05B,$1.18B,4.20%,$0.05B,$0.84B,5.81%,$0.05B,$9.73B,0.52%,$0.08B,$1.43B,5.12%,$109,$7,$102,$0,$74,$83,$26,$-0,$26,$8,$18,$18,$18,$0,$0,$101,102,$0.18,$0.17,$432,$0,$0,$7955,$160,$925,$338,$353,$1777,$9732,$7986,$248,$319,$568,$8554,$1,$480,$-27,$1178,$9732,$18,$6,$6,$12,$8,$0,$0,$7,$15,$44,$-2,$0,$0,$0,$-71,$-71,$-17,$-90,$0,$-6,$-6,$3,$3,$-16,$107,$88,$42,$1,$-16
7,2016-12-31,16.84,$11.51,1.46,$4.30,3.92,$2.39,7.04,$0.49,34.36,$7.91B,$7.88B,1.0,$0.25B,$1.17B,0.22,$0.43B,$0.39B,90.97%,$0.43B,$0.08B,19.44%,$0.43B,0,0.00%,$0.43B,0,0.00%,$0.43B,$0.07B,16.67%,$0.43B,$0.05B,11.34%,$0.05B,$1.17B,4.21%,$0.05B,$0.83B,5.70%,$0.05B,$9.62B,0.53%,$0.08B,$1.43B,4.67%,$115,$7,$108,$0,$68,$77,$38,$-1,$37,$12,$24,$24,$24,$0,$0,$99,101,$0.25,$0.24,$390,$0,$0,$7908,$161,$854,$340,$361,$1716,$9624,$7883,$254,$316,$570,$8453,$1,$479,$-28,$1171,$9624,$50,$18,$24,$42,$15,$0,$0,$31,$45,$137,$-15,$0,$1102,$0,$87,$87,$-25,$1149,$-775,$-82,$-857,$9,$9,$-60,$-156,$-1064,$222,$11,$-60
8,2016-09-30,14.53,$11.48,1.27,$4.26,3.41,$2.24,6.5,$0.41,35.44,$8.08B,$8.20B,0.99,$0.25B,$1.16B,0.21,$0.42B,$0.38B,89.10%,$0.42B,$0.07B,17.06%,$0.42B,0,0.00%,$0.42B,0,0.00%,$0.42B,$0.06B,14.22%,$0.42B,$0.04B,9.72%,$0.04B,$1.16B,3.53%,$0.04B,$0.82B,4.69%,$0.04B,$9.72B,0.45%,$0.07B,$1.41B,3.59%,$106,$7,$98,$0,$71,$79,$26,$-7,$19,$5,$14,$14,$14,$0,$0,$100,101,$0.14,$0.14,$321,$0,$0,$8077,$168,$921,$342,$207,$1637,$9715,$8203,$247,$101,$348,$8552,$1,$469,$-20,$1163,$9715,$25,$12,$19,$30,$-6,$0,$0,$33,$27,$82,$-12,$0,$1118,$0,$31,$31,$-94,$1043,$-775,$-89,$-864,$5,$5,$-45,$-68,$-972,$153,$10,$-45
9,2016-06-30,13.58,$11.28,1.2,$4.25,3.19,$2.39,5.69,$0.40,33.94,$7.57B,$6.64B,1.14,$1.07B,$1.16B,0.93,$0.42B,$0.36B,87.47%,$0.42B,$0.07B,17.35%,$0.42B,0,0.00%,$0.42B,0,0.00%,$0.42B,$0.06B,14.22%,$0.42B,$0.04B,9.64%,$0.04B,$1.16B,3.44%,$0.04B,$0.89B,4.49%,$0.04B,$8.96B,0.45%,$0.07B,$2.23B,3.26%,$106,$10,$96,$0,$102,$113,$-7,$-3,$-10,$-3,$-7,$-7,$-7,$0,$0,$99,100,$-0.07,$-0.07,$311,$0,$0,$7566,$152,$771,$270,$205,$1398,$8964,$6637,$1071,$101,$1172,$7809,$1,$470,$-20,$1155,$8964,$11,$6,$7,$14,$-16,$0,$0,$26,$10,$35,$-8,$0,$-1,$0,$183,$183,$-33,$141,$-775,$735,$-40,$3,$3,$-30,$35,$-31,$144,$3,$-30
