,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,58.66,$37.76,1.55,$24.77,2.37,$9.07,6.47,$3.59,16.34,$0.25B,$0.35B,0.71,$2.04B,$1.90B,1.07,$1.23B,$0.92B,74.78%,$1.23B,$0.27B,21.56%,$1.23B,$0.27B,21.56%,$1.23B,$0.44B,35.96%,$1.23B,$0.19B,15.13%,$1.23B,$0.18B,14.48%,$0.18B,$1.90B,9.58%,$0.18B,$1.54B,11.87%,$0.18B,$5.50B,3.27%,$0.27B,$3.94B,6.90%,$280,$72,$208,$0,$116,$232,$48,$-20,$28,$-0,$28,$28,$28,$93,$48,$50,50,$0.56,$0.56,$14,$53,$52,$247,$4460,$0,$358,$51,$5253,$5500,$350,$2037,$840,$3250,$3600,$1,$509,$-10,$1900,$5500,$130,$134,$8,$143,$54,$-0,$-19,$-15,$73,$346,$-193,$0,$-19,$0,$0,$0,$0,$-212,$0,$-98,$-98,$47,$47,$-82,$-0,$-133,$2,$5,$-82
1,2018-06-30,57.25,$37.72,1.52,$25.61,2.24,$8.23,6.95,$3.78,15.15,$0.23B,$0.30B,0.77,$2.03B,$1.90B,1.07,$1.26B,$0.92B,73.31%,$1.26B,$0.28B,22.32%,$1.26B,$0.28B,22.32%,$1.26B,$0.46B,36.22%,$1.26B,$0.20B,15.65%,$1.26B,$0.19B,14.77%,$0.19B,$1.90B,10.25%,$0.19B,$1.54B,12.77%,$0.19B,$5.44B,3.40%,$0.28B,$3.93B,7.51%,$262,$32,$230,$0,$117,$193,$69,$-22,$47,$3,$44,$44,$44,$114,$69,$50,50,$0.88,$0.87,$13,$47,$42,$232,$4418,$0,$358,$56,$5207,$5439,$300,$2031,$845,$3241,$3541,$1,$509,$-11,$1898,$5439,$102,$90,$7,$97,$52,$6,$-24,$9,$48,$247,$-116,$0,$-19,$0,$0,$0,$0,$-135,$0,$-104,$-104,$47,$47,$-54,$-0,$-111,$1,$4,$-54
2,2018-03-31,53.25,$37.08,1.44,$26.22,2.03,$6.86,7.76,$3.35,15.9,$0.26B,$0.33B,0.79,$2.04B,$1.84B,1.11,$1.28B,$0.89B,69.71%,$1.28B,$0.26B,20.14%,$1.28B,$0.26B,20.14%,$1.28B,$0.43B,33.65%,$1.28B,$0.17B,13.43%,$1.28B,$0.16B,12.80%,$0.16B,$1.84B,9.28%,$0.16B,$1.48B,11.64%,$0.16B,$5.40B,2.98%,$0.26B,$3.87B,7.09%,$342,$96,$245,$0,$117,$257,$85,$-24,$60,$2,$58,$58,$58,$129,$85,$49,49,$1.18,$1.18,$11,$44,$33,$258,$4365,$0,$358,$54,$5142,$5400,$326,$2038,$846,$3239,$3566,$1,$492,$-11,$1835,$5400,$58,$45,$4,$49,$12,$9,$-22,$25,$66,$173,$-52,$0,$0,$0,$0,$0,$0,$-52,$0,$-97,$-97,$2,$2,$-27,$-0,$-122,$-1,$2,$-27
3,2017-12-31,58.46,$36.44,1.6,$26.90,2.17,$6.60,8.86,$3.34,17.5,$0.30B,$0.63B,0.47,$1.82B,$1.80B,1.01,$1.31B,$0.90B,68.53%,$1.31B,$0.26B,19.98%,$1.31B,$0.26B,19.98%,$1.31B,$0.43B,33.08%,$1.31B,$0.18B,13.40%,$1.31B,$0.16B,12.48%,$0.16B,$1.80B,9.39%,$0.16B,$1.44B,11.83%,$0.16B,$5.42B,2.95%,$0.26B,$3.62B,7.35%,$345,$109,$236,$0,$131,$281,$63,$-12,$51,$3,$48,$48,$48,$106,$63,$49,49,$0.98,$0.98,$12,$52,$50,$296,$4358,$0,$358,$54,$5125,$5421,$632,$1816,$833,$2990,$3622,$1,$458,$-9,$1799,$5421,$163,$171,$12,$183,$-23,$-3,$4,$-4,$-22,$324,$-276,$0,$0,$0,$0,$0,$0,$-276,$0,$19,$19,$55,$55,$-101,$-16,$-44,$3,$6,$-101
4,2017-09-30,55.28,$35.54,1.56,$26.64,2.08,$5.67,9.75,$3.31,16.7,$0.25B,$0.60B,0.42,$1.82B,$1.73B,1.05,$1.29B,$0.88B,68.27%,$1.29B,$0.26B,20.28%,$1.29B,$0.26B,20.28%,$1.29B,$0.43B,33.36%,$1.29B,$0.17B,12.93%,$1.29B,$0.16B,12.31%,$0.16B,$1.73B,9.33%,$0.16B,$1.37B,11.80%,$0.16B,$5.63B,2.87%,$0.26B,$3.54B,7.44%,$310,$98,$212,$0,$107,$246,$64,$-25,$39,$3,$36,$36,$36,$107,$64,$48,49,$0.75,$0.75,$15,$57,$53,$254,$4309,$0,$358,$50,$5375,$5629,$602,$1817,$850,$3301,$3903,$1,$436,$-10,$1726,$5629,$115,$128,$10,$138,$30,$-7,$-13,$-6,$50,$303,$-197,$0,$0,$0,$0,$0,$0,$-197,$0,$-31,$-31,$6,$6,$-76,$-0,$-101,$5,$5,$-76
5,2017-06-30,58.73,$35.25,1.67,$26.46,2.22,$4.62,12.72,$3.48,16.88,$0.25B,$0.58B,0.43,$1.82B,$1.71B,1.06,$1.28B,$0.88B,68.20%,$1.28B,$0.25B,19.80%,$1.28B,$0.25B,19.80%,$1.28B,$0.42B,32.66%,$1.28B,$0.16B,12.70%,$1.28B,$0.17B,13.09%,$0.17B,$1.71B,9.97%,$0.17B,$1.35B,12.65%,$0.17B,$5.56B,3.06%,$0.25B,$3.53B,7.25%,$284,$84,$200,$0,$112,$238,$46,$-24,$22,$1,$22,$22,$22,$89,$46,$48,49,$0.45,$0.44,$22,$51,$51,$248,$4262,$0,$358,$48,$5309,$5557,$578,$1817,$837,$3270,$3848,$1,$425,$-10,$1709,$5557,$78,$85,$7,$93,$36,$-1,$-20,$-2,$8,$179,$-119,$0,$0,$0,$0,$0,$0,$-119,$0,$3,$3,$0,$0,$-50,$-0,$-47,$13,$4,$-50
6,2017-03-31,56.02,$35.28,1.59,$26.68,2.1,$3.79,14.79,$3.77,14.86,$0.25B,$0.55B,0.45,$1.82B,$1.71B,1.06,$1.29B,$0.89B,68.58%,$1.29B,$0.27B,21.05%,$1.29B,$0.27B,21.05%,$1.29B,$0.44B,33.67%,$1.29B,$0.18B,13.93%,$1.29B,$0.18B,14.09%,$0.18B,$1.71B,10.93%,$0.18B,$1.35B,13.91%,$0.18B,$5.50B,3.35%,$0.27B,$3.53B,7.82%,$367,$120,$247,$0,$118,$280,$88,$-25,$63,$7,$57,$57,$57,$130,$88,$48,48,$1.17,$1.17,$17,$42,$43,$245,$4224,$0,$358,$46,$5256,$5500,$545,$1817,$825,$3246,$3791,$1,$428,$-10,$1709,$5500,$57,$43,$7,$49,$17,$7,$-16,$10,$51,$157,$-51,$0,$0,$0,$0,$0,$0,$-51,$0,$-72,$-72,$-1,$-1,$-25,$-0,$-98,$8,$2,$-25
7,2016-12-31,53.78,$34.68,1.55,$25.96,2.07,$3.48,15.44,$3.39,15.86,$0.28B,$0.61B,0.46,$1.82B,$1.68B,1.08,$1.26B,$0.86B,68.04%,$1.26B,$0.25B,19.55%,$1.26B,$0.25B,19.55%,$1.26B,$0.41B,32.43%,$1.26B,$0.16B,12.56%,$1.26B,$0.17B,13.12%,$0.17B,$1.68B,10.05%,$0.17B,$1.32B,12.85%,$0.17B,$5.50B,3.08%,$0.25B,$3.49B,7.13%,$331,$108,$223,$0,$119,$266,$64,$-22,$43,$-2,$44,$44,$44,$105,$64,$48,48,$0.91,$0.92,$10,$49,$62,$280,$4215,$0,$358,$44,$5219,$5499,$614,$1818,$816,$3209,$3823,$1,$397,$-10,$1676,$5499,$164,$161,$-6,$155,$-5,$4,$4,$-58,$-31,$289,$-287,$0,$0,$0,$0,$0,$0,$-287,$24,$71,$95,$-1,$-1,$-96,$-8,$-9,$-7,$7,$-96
8,2016-09-30,53.93,$34.12,1.58,$25.96,2.08,$5.24,10.29,$3.36,16.05,$0.24B,$0.55B,0.44,$1.82B,$1.65B,1.1,$1.25B,$0.85B,67.97%,$1.25B,$0.25B,20.29%,$1.25B,$0.25B,20.29%,$1.25B,$0.41B,33.07%,$1.25B,$0.17B,13.18%,$1.25B,$0.17B,13.26%,$0.17B,$1.65B,10.23%,$0.17B,$1.29B,13.12%,$0.17B,$5.39B,3.13%,$0.25B,$3.47B,7.42%,$301,$96,$205,$0,$109,$245,$56,$-21,$35,$-10,$45,$45,$45,$95,$56,$48,48,$0.92,$0.92,$12,$54,$55,$238,$4162,$0,$358,$44,$5156,$5394,$547,$1819,$803,$3198,$3745,$1,$372,$-10,$1649,$5394,$120,$120,$-5,$115,$38,$-1,$-17,$-58,$23,$258,$-203,$0,$0,$0,$0,$0,$0,$-203,$24,$-8,$17,$-1,$-1,$-72,$-7,$-62,$-7,$4,$-72
9,2016-06-30,58.61,$33.69,1.74,$25.52,2.3,$6.88,8.52,$2.95,19.87,$0.24B,$0.52B,0.46,$1.80B,$1.63B,1.11,$1.22B,$0.85B,69.04%,$1.22B,$0.25B,20.10%,$1.22B,$0.25B,20.10%,$1.22B,$0.40B,33.01%,$1.22B,$0.16B,13.07%,$1.22B,$0.15B,11.85%,$0.15B,$1.63B,9.12%,$0.15B,$1.27B,11.76%,$0.15B,$5.31B,2.75%,$0.25B,$3.43B,7.26%,$293,$82,$211,$0,$108,$229,$64,$-25,$39,$3,$36,$36,$36,$105,$64,$48,48,$0.74,$0.73,$16,$50,$57,$238,$4110,$0,$358,$45,$5070,$5308,$521,$1799,$806,$3159,$3680,$1,$352,$-9,$1628,$5308,$75,$82,$7,$88,$39,$4,$-18,$-48,$-23,$141,$-121,$0,$0,$0,$0,$0,$0,$-121,$5,$27,$32,$-2,$-2,$-48,$-5,$-23,$-3,$3,$-48
